loc,t,aDotS,bDotS,gDotS,aS,bS,gS,xS,yS,zS,qE,qDotE,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH,xSH,ySH,zSH,aDotUB,bDotUB,gDotUB,aUB,bUB,gUB,xUB,yUB,zUB,xHand,yHand,zHand,aHand,bHand,gHand,enable
3,0,0.2467121,-0.2072574,0.2420492,-1.403496,-4.501075,-2.520875,0.3117966,1.236362,0.5324488,-0.9883683,0.02239419,-0.174681,0.1710804,-0.1171648,-0.4463053,-3.514786,-0.5093167,0.387908,1.424199,0.4460199,-0.08260488,0.1929798,0.0856249,-1.057431,0.4270797,-0.09866293,0.5546722,1.48805,0.320085,0.01763342,1.134025,0.4036523,290.5163,243.1853,6.229941,False
3,0.01111111,0.2638199,-0.2274823,0.2379696,-1.403681,-4.496984,-2.525038,0.3114668,1.235849,0.5318573,-0.9887145,-0.03187661,-0.175871,0.1945181,-0.1245992,-0.4491741,-3.510697,-0.5110092,0.3872327,1.423995,0.4455962,-0.0836375,0.2015042,0.08776714,-1.056675,0.4300644,-0.09921074,0.5542775,1.488016,0.3201268,0.01854047,1.132219,0.4011157,290.7803,248.7117,359.6936,False
3,0.02222222,0.2755422,-0.234902,0.2401872,-1.404259,-4.493073,-2.529009,0.3111047,1.235383,0.5312862,-0.9887704,-0.00486175,-0.1758393,0.2051639,-0.1160756,-0.4513004,-3.506732,-0.5127645,0.3865615,1.423832,0.4452515,-0.08471181,0.2025738,0.08671696,-1.055932,0.4327895,-0.09958651,0.5539058,1.488035,0.32007,0.0199246,1.129385,0.397371,291.3949,249.2465,357.8601,False
3,0.03333334,0.2883295,-0.2433694,0.2445458,-1.404882,-4.488927,-2.533327,0.310797,1.234911,0.5306973,-0.9889675,-0.01811267,-0.1777699,0.1966188,-0.09050021,-0.4523241,-3.503111,-0.5139874,0.3859446,1.423715,0.4448078,-0.08691787,0.1929918,0.07927462,-1.055491,0.4349096,-0.09959583,0.5535551,1.488054,0.3200202,0.02152956,1.125996,0.3930644,292.2363,248.3109,357.3618,False
3,0.04444445,0.3021702,-0.2422557,0.2467194,-1.405731,-4.485222,-2.537708,0.3105278,1.234434,0.5301509,-0.9886953,0.02495889,-0.1765266,0.1859473,-0.07028399,-0.4532173,-3.500369,-0.5146554,0.3852117,1.423694,0.4443479,-0.08695342,0.1919266,0.07501181,-1.055033,0.4373321,-0.09987866,0.5530906,1.48802,0.3199399,0.02314067,1.122428,0.3887804,293.1275,247.5225,356.7627,False
3,0.05555556,0.3064604,-0.2444133,0.2403562,-1.406174,-4.481527,-2.541818,0.3102393,1.234005,0.5295675,-0.9888451,-0.01402519,-0.1679738,0.1742386,-0.07355594,-0.4548365,-3.49905,-0.5144471,0.38453,1.423381,0.4440928,-0.085825,0.1929866,0.08139761,-1.054074,0.4399374,-0.1003136,0.552559,1.488116,0.3198693,0.02459413,1.119016,0.3849755,293.9808,247.0515,356.0595,False
3,0.06666667,0.3139881,-0.247682,0.225493,-1.40626,-4.477907,-2.546232,0.3098933,1.233726,0.5290203,-0.988877,-0.00286685,-0.1765031,0.1742122,-0.07456361,-0.4564887,-3.496311,-0.5146785,0.3838351,1.423252,0.4436843,-0.08478407,0.1961833,0.07925972,-1.053483,0.4426281,-0.1006422,0.5521557,1.488157,0.3198378,0.02584854,1.116004,0.3819396,294.6886,246.773,355.4861,False
3,0.07777778,0.3172375,-0.2573101,0.2170408,-1.406315,-4.474041,-2.550436,0.3096001,1.233324,0.5285313,-0.9884876,0.0354753,-0.175542,0.194463,-0.07987806,-0.4587513,-3.491712,-0.5168197,0.3831018,1.423212,0.4432762,-0.08691109,0.1983141,0.0792819,-1.052818,0.4453462,-0.100965,0.5517904,1.488179,0.3197541,0.0263344,1.114613,0.3807101,294.7682,243.7964,358.6964,False
3,0.08888889,0.3161247,-0.2540548,0.227671,-1.407158,-4.470111,-2.55454,0.3093937,1.232984,0.5279603,-0.9886559,-0.01570829,-0.1691296,0.2008756,-0.07565469,-0.460582,-3.487466,-0.5191249,0.3823628,1.423223,0.4424841,-0.08908486,0.1919215,0.07610553,-1.052212,0.4475603,-0.1008997,0.5514857,1.48825,0.3195622,0.02652673,1.114096,0.3806418,294.6217,244.5406,358.2406,False
3,0.1,0.3150447,-0.2508397,0.2297785,-1.407973,-4.466492,-2.55857,0.3091242,1.232678,0.5274906,-0.9883374,0.02922021,-0.1678746,0.1678449,-0.06716185,-0.4613165,-3.486788,-0.5182812,0.3817669,1.423128,0.4419334,-0.09340386,0.1780769,0.07080647,-1.051815,0.4493172,-0.1006142,0.5511363,1.488297,0.3194258,0.02666685,1.113769,0.3809006,294.3963,246.1805,356.8761,False
3,0.1111111,0.310713,-0.2284709,0.2328202,-1.409058,-4.463441,-2.562307,0.3089839,1.232294,0.5264511,-0.9881164,0.01984697,-0.16339,0.1539932,-0.04056763,-0.4615418,-3.483905,-0.5191998,0.3812038,1.423075,0.4414639,-0.09338479,0.1663619,0.07399923,-1.051018,0.4511624,-0.1004733,0.5507083,1.488262,0.3192885,0.02691001,1.1135,0.3810298,294.1564,247.171,356.1298,False
3,0.1222222,0.302176,-0.2189169,0.2284671,-1.409874,-4.460515,-2.565688,0.3087406,1.232057,0.5260677,-0.988028,0.007894759,-0.1601596,0.1507987,-0.03845609,-0.4625985,-3.481214,-0.5200786,0.3804802,1.423144,0.4409893,-0.09443432,0.1631692,0.07613549,-1.050315,0.4533128,-0.1004638,0.550366,1.488315,0.3191588,0.02726646,1.113284,0.3808496,293.9175,247.3385,356.2289,False
3,0.1333333,0.2851381,-0.2115372,0.2219681,-1.410604,-4.45749,-2.568724,0.3085602,1.231744,0.5255179,-0.9877984,0.02094155,-0.1537829,0.1486904,-0.04169638,-0.4638678,-3.478784,-0.5207766,0.3798625,1.423097,0.4405198,-0.0976585,0.1642387,0.07296954,-1.04978,0.455512,-0.1003865,0.5500133,1.488363,0.3190079,0.02766951,1.113103,0.3804118,293.7193,246.8923,356.9724,False
3,0.1444445,0.27875,-0.2083826,0.218723,-1.411222,-4.454299,-2.572169,0.3082798,1.231475,0.5247598,-0.987441,0.03247671,-0.1463342,0.1572251,-0.0428037,-0.4652042,-3.47571,-0.5224763,0.3792374,1.422956,0.4400892,-0.09661084,0.165303,0.07082777,-1.049288,0.4577236,-0.1004534,0.5496185,1.48851,0.3188605,0.0280832,1.112938,0.3798138,293.5674,246.0769,358.105,False
3,0.1555556,0.2702507,-0.1978219,0.2058456,-1.411793,-4.451727,-2.575293,0.3081252,1.231191,0.5242968,-0.9870873,0.03211071,-0.1410392,0.1636377,-0.04389585,-0.4666087,-3.472188,-0.5241846,0.378655,1.422912,0.4396076,-0.09445944,0.1546464,0.07399476,-1.048543,0.4593391,-0.1003064,0.5492537,1.488592,0.3186681,0.02844639,1.112805,0.3792907,293.4382,245.0968,359.304,False
3,0.1666667,0.2596081,-0.1936166,0.2004545,-1.412449,-4.448892,-2.578274,0.3079457,1.230894,0.5237803,-0.9874969,-0.03766013,-0.1378312,0.1742788,-0.04071952,-0.4679525,-3.468837,-0.5260558,0.3781341,1.422841,0.4392107,-0.08805221,0.1439909,0.07712652,-1.047715,0.4609633,-0.1002736,0.5488603,1.488611,0.3184428,0.0287402,1.112665,0.3788638,293.3337,244.5332,0.1005509,False
3,0.1777778,0.2351188,-0.178838,0.1864217,-1.412975,-4.446798,-2.58033,0.3077853,1.230659,0.5232604,-0.9873797,0.01110909,-0.1314361,0.1806896,-0.03649034,-0.4692436,-3.464669,-0.5284457,0.3776175,1.42285,0.4387755,-0.07953683,0.1311982,0.07703958,-1.046991,0.4622242,-0.1003471,0.5485821,1.488633,0.318224,0.02901213,1.112505,0.3784732,293.2306,244.1612,0.7183746,False
3,0.1888889,0.2085104,-0.1736297,0.1767034,-1.413437,-4.444392,-2.582146,0.3075221,1.230491,0.5227823,-0.9872285,0.01374935,-0.1163844,0.1636733,-0.02703393,-0.4699957,-3.462976,-0.5294061,0.3771864,1.422811,0.4384134,-0.07216703,0.1205508,0.06844345,-1.046612,0.4635956,-0.1004363,0.5482196,1.488628,0.3180659,0.02926667,1.112339,0.3780801,292.9945,244.2433,0.8542303,False
