loc,t,aDotS,bDotS,gDotS,aS,bS,gS,xS,yS,zS,qE,qDotE,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH,xSH,ySH,zSH,aDotUB,bDotUB,gDotUB,aUB,bUB,gUB,xUB,yUB,zUB,xHand,yHand,zHand,aHand,bHand,gHand,enable
7,0,0.03657565,-0.4848126,0.194609,-1.526128,-4.552984,-3.096169,0.3071088,1.188049,0.5172529,-1.674744,-0.00826159,-0.3410845,0.3016176,0.0802875,-0.8670906,-3.524894,-0.5161883,0.2653412,1.392613,0.4299805,-0.1783462,0.3910005,0.05707914,-0.9267156,0.6881527,-0.3528534,0.4149365,1.515366,0.3244343,0.04204251,1.129797,0.403356,285.2405,265.1715,347.7154,False
7,0.01111111,0.02913683,-0.4859286,0.1913857,-1.52789,-4.547444,-3.096486,0.3058794,1.187756,0.5156679,-1.674897,-0.01377682,-0.3368387,0.3037609,0.07920551,-0.8680329,-3.520411,-0.5154639,0.2642983,1.392467,0.4285369,-0.1740555,0.3643556,0.06339256,-0.9269835,0.6922227,-0.3535149,0.4146282,1.515265,0.3237107,0.04111445,1.129094,0.3988881,285.6888,274.1935,337.3718,False
7,0.02222222,0.01314257,-0.4870142,0.1966335,-1.529798,-4.541769,-3.096463,0.3044606,1.187394,0.5139744,-1.674792,0.009767913,-0.3367834,0.3048221,0.09305634,-0.8684712,-3.515424,-0.5148479,0.2633959,1.39239,0.4269903,-0.1635235,0.3238867,0.05259015,-0.9275609,0.6949683,-0.3536816,0.4143305,1.51514,0.3229744,0.04091211,1.127967,0.3923686,286.0493,274.2965,335.4969,False
7,0.03333334,0.005656283,-0.4869893,0.2029898,-1.531996,-4.536282,-3.096561,0.3032146,1.187086,0.5124404,-1.674817,-0.002326136,-0.3356119,0.2867061,0.1047526,-0.8683642,-3.511487,-0.5135736,0.2625115,1.392323,0.4255476,-0.1763547,0.3100553,0.04841133,-0.9282517,0.6987238,-0.3535581,0.4140414,1.515046,0.3223,0.04115206,1.126716,0.3847733,286.4065,271.9192,335.8268,False
7,0.04444445,-0.006137431,-0.4794845,0.2135252,-1.534418,-4.531175,-3.096317,0.3020428,1.186785,0.51092,-1.674584,0.0213987,-0.328095,0.2739457,0.1079003,-0.8684941,-3.50776,-0.5126572,0.2616794,1.392249,0.4241154,-0.2071972,0.3196561,0.0540034,-0.928843,0.7035075,-0.3531871,0.4138269,1.514963,0.3215456,0.04166885,1.125565,0.3770549,286.7818,269.7433,335.9236,False
7,0.05555556,-0.01571731,-0.478455,0.21452,-1.536363,-4.525639,-3.096286,0.3007895,1.186536,0.5091588,-1.674801,-0.01992334,-0.3270529,0.2782216,0.1068346,-0.869203,-3.503178,-0.5119594,0.2608198,1.392168,0.4225972,-0.2040183,0.3217901,0.05291722,-0.9295785,0.7081324,-0.3537181,0.4135345,1.514898,0.3208027,0.04213781,1.124659,0.3699405,287.0921,268.1036,335.7092,False
7,0.06666667,-0.04665627,-0.4657648,0.2153343,-1.538546,-4.520726,-3.09492,0.2996322,1.186322,0.5076053,-1.674618,0.01694636,-0.3238803,0.2920763,0.1121616,-0.8698113,-3.498045,-0.5118154,0.2600565,1.392128,0.4211237,-0.1849711,0.3004928,0.03887971,-0.9305101,0.7111955,-0.3541362,0.4133773,1.514835,0.3200138,0.04246976,1.124093,0.363986,287.2982,267.0237,335.3299,False
7,0.07777778,-0.06690737,-0.4594644,0.2130362,-1.540332,-4.51568,-3.093777,0.2984655,1.186135,0.5058987,-1.674901,-0.02605241,-0.3206567,0.2995473,0.1259993,-0.8700771,-3.492578,-0.5117126,0.2593664,1.392076,0.419641,-0.1786589,0.2898405,0.0302905,-0.931407,0.71442,-0.3543088,0.4132735,1.514738,0.3191702,0.04250449,1.123899,0.3594365,287.388,266.5854,334.8716,False
7,0.08888889,-0.0924365,-0.4585526,0.2043835,-1.542045,-4.510555,-3.092064,0.2973095,1.185993,0.5043576,-1.673761,0.1046746,-0.3012475,0.2782714,0.1599767,-0.868656,-3.488045,-0.5119453,0.2587595,1.392146,0.418252,-0.1892856,0.2802542,0.03462435,-0.9318747,0.7179617,-0.3539575,0.4132103,1.514619,0.3183382,0.04217033,1.124041,0.3562176,287.351,266.6516,334.4662,False
7,0.1,-0.1062507,-0.4554948,0.1946995,-1.543562,-4.505268,-3.090666,0.2960545,1.185806,0.5027328,-1.67403,-0.02540353,-0.2894179,0.2633926,0.1737549,-0.8678401,-3.483633,-0.5118763,0.2580819,1.392124,0.4167893,-0.1977763,0.2717241,0.0400077,-0.9321905,0.7213988,-0.3534699,0.413169,1.514418,0.3175039,0.04148731,1.12449,0.3541124,287.2567,267.1635,334.0251,False
7,0.1111111,-0.118949,-0.4588505,0.1808178,-1.544849,-4.49982,-3.089155,0.2947823,1.185782,0.5012243,-1.673718,0.02900516,-0.2797343,0.2453111,0.182211,-0.8669851,-3.479661,-0.5114462,0.2575528,1.392248,0.415333,-0.2073985,0.2536251,0.03792665,-0.9326401,0.7242114,-0.3524667,0.4132103,1.514257,0.3166103,0.04055833,1.125192,0.3527501,287.0864,267.9463,333.6091,False
7,0.1222222,-0.1433697,-0.4612029,0.1647378,-1.545878,-4.494291,-3.086935,0.2935715,1.185766,0.4996855,-1.674197,-0.04393749,-0.2624931,0.2240389,0.2066217,-0.8652115,-3.475553,-0.5117195,0.2571296,1.392454,0.413955,-0.2224348,0.234486,0.02417805,-0.9334449,0.7266166,-0.350973,0.4133071,1.514099,0.3156579,0.03950539,1.126072,0.3517256,286.8709,268.8656,333.1669,False
7,0.1333333,-0.1572159,-0.4527692,0.1592595,-1.547058,-4.489446,-3.084964,0.2923837,1.185665,0.4981623,-1.674325,-0.01120597,-0.2666786,0.2176235,0.2183482,-0.8638549,-3.471097,-0.5114952,0.2566677,1.392548,0.4125261,-0.2172351,0.2121327,0.01026039,-0.934214,0.7284684,-0.3498826,0.4133659,1.514013,0.314775,0.0384207,1.127038,0.3506342,286.6226,269.7899,332.6928,False
7,0.1444445,-0.1870666,-0.4348191,0.1515127,-1.548243,-4.485068,-3.082004,0.2912883,1.185693,0.4967563,-1.673799,0.0482998,-0.2677358,0.2122955,0.216216,-0.862869,-3.467031,-0.5110992,0.2563078,1.392833,0.4111795,-0.2206532,0.2036548,-0.01635865,-0.9359035,0.7301964,-0.3484017,0.4136147,1.514012,0.3138192,0.03744138,1.128012,0.349182,286.3947,270.5218,332.2523,False
7,0.1555556,-0.2072983,-0.4243119,0.1438659,-1.54929,-4.48032,-3.079323,0.2901618,1.185718,0.495327,-1.674198,-0.03674144,-0.2676431,0.197365,0.2236664,-0.8612029,-3.463339,-0.5106097,0.2559862,1.39316,0.4097803,-0.2281933,0.1940824,-0.02589943,-0.9370183,0.7321677,-0.3467793,0.41382,1.514003,0.3128753,0.03663029,1.128949,0.3471834,286.1968,270.9684,331.8699,False
7,0.1666667,-0.2381629,-0.407509,0.1265361,-1.549863,-4.476314,-3.075617,0.2891198,1.185943,0.4939444,-1.673478,0.06624179,-0.2663754,0.1568747,0.2364035,-0.858667,-3.460943,-0.5092568,0.255715,1.393527,0.4084675,-0.2314064,0.1567974,-0.0248672,-0.937421,0.7326592,-0.344348,0.4140971,1.514019,0.3119302,0.03601563,1.129821,0.3446281,286.024,271.1701,331.463,False
7,0.1777778,-0.2551024,-0.4035124,0.1019043,-1.549699,-4.471799,-3.07245,0.2879958,1.186224,0.4924424,-1.673886,-0.03769774,-0.2640719,0.1323681,0.2555457,-0.8560124,-3.457833,-0.5083538,0.2555909,1.393854,0.4070601,-0.2367402,0.1365605,-0.0237845,-0.9378199,0.7336955,-0.3421781,0.4143522,1.513995,0.3109319,0.03556583,1.13066,0.3416244,285.9221,271.1016,331.1128,False
7,0.1888889,-0.2517796,-0.4132499,0.08282349,-1.549658,-4.466792,-3.069949,0.2868868,1.186611,0.4911342,-1.673178,0.06525471,-0.2448642,0.1366935,0.2650473,-0.8540891,-3.453678,-0.5089961,0.2554518,1.394169,0.405808,-0.2400191,0.1291209,-0.03335768,-0.9388644,0.7347638,-0.3400438,0.4146162,1.51396,0.3099663,0.03524144,1.131512,0.3383154,285.8409,270.7994,330.8706,False
7,0.2,-0.2442277,-0.4133829,0.0636847,-1.549456,-4.462182,-3.067676,0.2858639,1.18689,0.4898777,-1.67387,-0.06369396,-0.2139902,0.1314917,0.258507,-0.8524555,-3.450305,-0.5096973,0.2552643,1.394471,0.4044864,-0.2474802,0.1131421,-0.03118332,-0.9392703,0.735617,-0.3374105,0.4149411,1.513847,0.3089895,0.03494008,1.132464,0.3348831,285.7851,270.2572,330.8203,False
7,0.2111111,-0.2602016,-0.3911982,0.04849632,-1.549106,-4.458398,-3.064432,0.2849373,1.187187,0.4885898,-1.674812,-0.08539072,-0.1906053,0.132657,0.2477399,-0.8512437,-3.446958,-0.5105549,0.255089,1.394813,0.4032667,-0.2507262,0.09184644,-0.03544741,-0.939805,0.7357762,-0.3346012,0.4152437,1.513817,0.3080006,0.03462768,1.133572,0.3314773,285.6802,269.6231,330.8813,False
7,0.2222222,-0.2794428,-0.3583086,0.03961425,-1.549055,-4.455408,-3.060785,0.284142,1.187512,0.4874904,-1.675252,-0.039391,-0.1628498,0.1189085,0.2507908,-0.8492554,-3.443911,-0.5114971,0.2550521,1.39519,0.4021118,-0.2497193,0.0929268,-0.04291008,-0.9408437,0.7368273,-0.3325233,0.4156646,1.513809,0.307004,0.03438201,1.134824,0.328255,285.4994,269.1239,330.8274,False
7,0.2333333,-0.2932954,-0.3435208,0.03090915,-1.54895,-4.451843,-3.057299,0.2832385,1.187835,0.4863176,-1.674413,0.07699495,-0.1542646,0.1072159,0.2549907,-0.8471515,-3.441158,-0.5118833,0.2548845,1.395574,0.4009237,-0.2487098,0.0865446,-0.04931898,-0.9417928,0.7374259,-0.3301912,0.4160246,1.513771,0.3060067,0.03418747,1.136135,0.3253303,285.2328,268.8247,330.6375,False
7,0.2444444,-0.3145568,-0.3224773,0.007197957,-1.547996,-4.449033,-3.053195,0.2824431,1.1882,0.4853365,-1.674053,0.03229549,-0.1295449,0.0827788,0.2836145,-0.8436729,-3.438371,-0.5130463,0.2550092,1.395954,0.3997304,-0.2392416,0.0759121,-0.06326269,-0.9430797,0.7375698,-0.3279691,0.416447,1.513712,0.3050561,0.03393897,1.13746,0.3227754,284.9763,268.6188,330.439,False
7,0.2555556,-0.3272745,-0.3130884,-0.01106543,-1.546849,-4.445778,-3.049426,0.2816382,1.188535,0.48423,-1.674333,-0.02563259,-0.1103278,0.08603799,0.2973701,-0.8411456,-3.434556,-0.5147491,0.2550371,1.396381,0.3985534,-0.2275381,0.06738432,-0.0633662,-0.9438078,0.7379413,-0.325956,0.416827,1.513655,0.3039968,0.03357787,1.138812,0.3206451,284.7645,268.5389,330.2359,False
7,0.2666667,-0.3485095,-0.3005654,-0.03470751,-1.545351,-4.442999,-3.04489,0.2808157,1.188993,0.4833817,-1.673937,0.03649227,-0.08257928,0.09570499,0.3153593,-0.8382614,-3.43018,-0.5177087,0.2551391,1.396775,0.3974926,-0.2168809,0.05565624,-0.06134167,-0.9444688,0.7379964,-0.3238473,0.4172012,1.513559,0.3029346,0.03307418,1.140193,0.3188715,284.5502,268.5338,330.1061,False
