loc,t,aDotS,bDotS,gDotS,aS,bS,gS,xS,yS,zS,qE,qDotE,emgA,emgB,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH,xSH,ySH,zSH,aDotUB,bDotUB,gDotUB,aUB,bUB,gUB,xUB,yUB,zUB,xHand,yHand,zHand,aHand,bHand,gHand,enable
2,0,0.4026793,-1.084603,0.7325009,-1.525166,1.545189,-2.726063,0.3672819,1.22127,0.4648635,-1.159647,0.1038017,11.19363,16.7988,-0.744374,0.6207497,-0.1118798,-0.6031202,-3.608177,-0.6081171,0.3715061,1.428224,0.3975542,-0.2885901,0.7313615,0.273482,-0.9943535,0.3272856,-0.1111342,0.5188788,1.49765,0.2303011,0.06720054,1.11957,0.4020181,292.2399,287.0515,334.6812,True
2,0.01111111,0.3684037,-1.04961,0.6376823,-1.524925,1.556758,-2.729763,0.3652292,1.221082,0.4640152,-1.158272,0.124631,11.27321,16.77737,-0.745599,0.7144894,-0.1052672,-0.6103475,-3.593008,-0.6123058,0.3695177,1.427919,0.3968396,-0.2706228,0.7281951,0.2615633,-0.9926741,0.3371096,-0.1138832,0.5181044,1.497844,0.2308755,0.06575959,1.118505,0.3976262,291.4427,282.2627,338.957,True
2,0.02222222,0.3385226,-1.024137,0.5940082,-1.525552,1.568533,-2.733444,0.3630763,1.220761,0.4630747,-1.157477,0.07109077,11.32626,16.41311,-0.7153897,0.7176154,-0.04685193,-0.6135055,-3.580418,-0.6157916,0.3676946,1.427747,0.3960786,-0.1988253,0.6761699,0.1947131,-0.9932749,0.3441114,-0.1177951,0.5173231,1.498135,0.2314627,0.06487775,1.116085,0.3916424,291.9183,280.4326,339.6036,True
2,0.03333334,0.2882569,-0.9763536,0.515205,-1.524804,-4.704922,-2.735505,0.3612213,1.220528,0.4621267,-1.155922,0.1412935,11.32626,15.74888,-0.6475854,0.6515345,0.03351069,-0.613946,-3.570215,-0.6192206,0.3660392,1.427673,0.3953745,-0.1330594,0.6198441,0.1598633,-0.9932978,0.3499221,-0.1216934,0.5166289,1.498383,0.2318339,0.06435993,1.112552,0.3845438,292.9196,279.0458,339.3878,True
2,0.04444445,0.2540275,-0.9360033,0.4555267,-1.523988,-4.695411,-2.737816,0.3592445,1.220327,0.4613204,-1.155461,0.04087353,11.37931,15.02035,-0.6078116,0.5929612,0.06613206,-0.6152456,-3.562041,-0.6204814,0.3642718,1.427397,0.3947275,-0.176923,0.6123264,0.142235,-0.9928477,0.3580418,-0.1225885,0.5158285,1.498445,0.2321773,0.06432835,1.111384,0.38059,292.5617,271.0442,347.7476,True
2,0.05555556,0.2111916,-0.8765002,0.3703052,-1.522084,-4.68779,-2.739175,0.3574894,1.220227,0.4605861,-1.15375,0.1561045,11.43236,14.1847,-0.5661302,0.5280854,0.06251943,-0.6168445,-3.556344,-0.6203259,0.3627607,1.427306,0.3941717,-0.2321638,0.6132838,0.1577521,-0.9914193,0.366404,-0.1227129,0.5151907,1.498528,0.232548,0.06418575,1.111108,0.37885,292.6184,268.5301,350.7321,True
2,0.06666667,0.171544,-0.8042005,0.2946489,-1.520236,-4.681448,-2.740106,0.3559301,1.220371,0.459981,-1.153793,-0.005237641,11.45889,13.56331,-0.5277941,0.5036902,0.05262569,-0.6194901,-3.549341,-0.62139,0.3614177,1.427232,0.393584,-0.2839647,0.5886745,0.1913278,-0.9887624,0.3737997,-0.1218942,0.5146074,1.498543,0.2326729,0.06386121,1.110903,0.3782803,292.7663,268.6312,351.4144,True
2,0.07777778,0.117019,-0.739359,0.2264931,-1.518205,-4.675433,-2.74008,0.3543468,1.220544,0.4594581,-1.152991,0.07351822,11.48541,13.26334,-0.4786916,0.4846078,0.06077948,-0.6215056,-3.54151,-0.6239115,0.3601699,1.427119,0.3930211,-0.2796464,0.5226305,0.1869705,-0.9872759,0.378365,-0.1214575,0.5140305,1.498628,0.2328165,0.06331346,1.11075,0.3781437,292.9677,270.2512,350.3245,True
2,0.08888889,0.07963999,-0.7085721,0.1775237,-1.515969,-4.66881,-2.740305,0.3527117,1.220662,0.4589324,-1.152634,0.03214261,11.48541,13.22048,-0.4456641,0.4751005,0.0584138,-0.6238721,-3.534022,-0.6261297,0.3589826,1.427014,0.392451,-0.2583305,0.4736694,0.1803203,-0.9859805,0.3829579,-0.1219645,0.5135598,1.498713,0.2329466,0.0626819,1.110566,0.377939,293.1951,271.5102,349.4625,True
2,0.1,0.01449681,-0.6693056,0.1147431,-1.512698,-4.663492,-2.738534,0.3512326,1.221058,0.4585271,-1.151832,0.07326885,11.43236,13.47761,-0.3902926,0.433719,0.0408998,-0.6259957,-3.529361,-0.6273843,0.3581092,1.427127,0.3918085,-0.2286071,0.4119405,0.1618451,-0.9850149,0.3860548,-0.1220857,0.5130956,1.49883,0.2328618,0.06201206,1.110464,0.3774944,293.4106,271.978,349.2579,True
2,0.1111111,-0.07516113,-0.5895841,0.0604838,-1.510214,-4.659688,-2.73541,0.3499177,1.22167,0.4581118,-1.152184,-0.03263157,11.35279,14.09899,-0.3216637,0.3304841,0.07002141,-0.6250066,-3.526911,-0.627845,0.3574381,1.427498,0.3912613,-0.2066995,0.3353141,0.1082832,-0.9855896,0.3877401,-0.1212337,0.5127878,1.498845,0.2326565,0.06127166,1.110446,0.3767682,293.6318,271.7185,349.7162,True
2,0.1222222,-0.0997095,-0.5672575,0.04665406,-1.508097,-4.654398,-2.73393,0.3483766,1.222075,0.4574964,-1.150579,0.1472899,11.27321,14.87037,-0.2968657,0.2750838,0.09530365,-0.6243035,-3.522867,-0.6284122,0.3565986,1.42768,0.3907444,-0.2111416,0.3001685,0.08594634,-0.9854319,0.3906559,-0.1203054,0.5124584,1.498859,0.2325282,0.06044864,1.110484,0.3757984,293.7365,270.8693,350.7329,True
2,0.1333333,-0.2000527,-0.470487,0.0009017438,-1.505726,-4.6531,-2.728396,0.3472144,1.222734,0.4571152,-1.149523,0.09555539,11.19363,15.7703,-0.2496597,0.2144026,0.1236005,-0.6227861,-3.519911,-0.6294363,0.3561325,1.427991,0.3902609,-0.2166897,0.2543622,0.05934206,-0.985694,0.3922257,-0.1184673,0.5122236,1.498867,0.232331,0.05929932,1.110677,0.3747248,293.718,269.5024,352.1592,True
2,0.1444445,-0.24808,-0.4140986,-0.01186697,-1.504041,-4.650505,-2.724407,0.3459574,1.223221,0.4566753,-1.151426,-0.1743498,11.16711,16.67023,-0.2175095,0.1942016,0.143577,-0.6220154,-3.515324,-0.6318049,0.3555824,1.428138,0.3897622,-0.2148294,0.2234994,0.02946873,-0.9865031,0.3940598,-0.1171319,0.5119363,1.498775,0.2320781,0.05770063,1.111019,0.3735487,293.779,267.6949,353.8721,True
2,0.1555556,-0.3163961,-0.3183194,-0.02889739,-1.5031,-4.650549,-2.718627,0.3448668,1.22385,0.4563198,-1.148322,0.2857376,11.19363,17.33447,-0.170433,0.1591133,0.16129,-0.6204574,-3.51197,-0.6342097,0.3553813,1.428498,0.3893588,-0.201335,0.1724177,-0.01120003,-0.988037,0.394013,-0.1152954,0.5118142,1.498718,0.2317536,0.05578929,1.111331,0.3721121,293.8032,265.3171,356.0506,True
2,0.1666667,-0.3953591,-0.2310943,-0.05228167,-1.501997,-4.651084,-2.711771,0.3437101,1.224528,0.4559469,-1.149959,-0.1518741,11.22016,17.76302,-0.1371881,0.1133426,0.1780068,-0.6182454,-3.509715,-0.6355618,0.3553154,1.428807,0.3889549,-0.1716257,0.09046026,-0.03503252,-0.9889675,0.3920906,-0.1131479,0.5116127,1.498741,0.2312105,0.05366555,1.11166,0.370487,293.988,263.1212,357.8057,True
2,0.1777778,-0.4796501,-0.169444,-0.08522959,-1.500098,-4.651992,-2.703687,0.3426811,1.225297,0.4556682,-1.149146,0.07626996,11.24668,17.99871,-0.1125332,0.06651221,0.1841228,-0.6159742,-3.508466,-0.6360832,0.3553382,1.429256,0.3884866,-0.1493372,0.05535838,-0.04808643,-0.9898522,0.3915796,-0.1118155,0.5114435,1.498718,0.2308116,0.05132322,1.112024,0.3674828,294.0013,266.4911,353.0378,True
2,0.1888889,-0.5500807,-0.1056373,-0.1118064,-1.498576,-4.653582,-2.6953,0.3417108,1.226013,0.4555225,-1.148584,0.05104401,11.24668,18.04157,-0.07613204,-0.006904975,0.1847709,-0.612992,-3.509535,-0.6354883,0.3553788,1.429619,0.3881142,-0.1216683,0.008536346,-0.05801091,-0.9906171,0.3896783,-0.1102024,0.5113533,1.498698,0.2302818,0.04869151,1.112197,0.3621565,293.9971,271.0391,345.9542,True
2,0.2,-0.6151795,-0.04608685,-0.138392,-1.496996,-4.65584,-2.686224,0.3406938,1.226807,0.4553092,-1.148006,0.05299862,11.22016,17.95586,-0.0461985,-0.05051195,0.184467,-0.6101483,-3.510139,-0.635479,0.3553898,1.429947,0.3877656,-0.1014556,-0.03509695,-0.06785482,-0.9915204,0.3874544,-0.1084666,0.5112852,1.498669,0.2297447,0.04703664,1.112548,0.3555469,294.5588,271.1266,343.0932,True
2,0.2111111,-0.6578683,0.0007122941,-0.1511547,-1.495748,-4.657946,-2.677497,0.3397796,1.227605,0.4550047,-1.148405,-0.03641361,11.11406,17.89158,0.01877208,-0.0950601,0.1668791,-0.6076407,-3.512165,-0.6361541,0.3556643,1.430447,0.387527,-0.08451473,-0.06701604,-0.08297736,-0.9927173,0.3852509,-0.106841,0.5112187,1.49868,0.2291827,0.04581539,1.113618,0.349351,294.8898,268.8738,342.9103,True
2,0.2222222,-0.7112669,0.08157249,-0.1756514,-1.494935,-4.662272,-2.667604,0.3389949,1.228464,0.4548726,-1.148524,-0.01001411,11.03448,17.89158,0.03683454,-0.09606358,0.1592931,-0.605819,-3.512118,-0.6371543,0.3558947,1.430814,0.3871667,-0.08552261,-0.09364601,-0.08191702,-0.9933143,0.3830583,-0.1045839,0.5111924,1.498663,0.2286541,0.04466698,1.1157,0.3445824,294.926,267.0916,342.7848,True
2,0.2333333,-0.7646527,0.164587,-0.1895052,-1.49474,-4.667562,-2.656934,0.338219,1.229518,0.4547837,-1.149526,-0.09112436,10.98143,17.913,0.03467859,-0.07157463,0.1636291,-0.6042361,-3.509912,-0.6392793,0.3562177,1.431378,0.3866611,-0.07485045,-0.1149308,-0.08311053,-0.993986,0.3806436,-0.1026622,0.5111154,1.498681,0.2279685,0.04320677,1.118844,0.3417973,294.5978,266.1059,342.6427,True
2,0.2444444,-0.8191395,0.2443573,-0.225715,-1.493989,-4.673514,-2.645903,0.3375552,1.230711,0.4547348,-1.14924,0.02738459,10.95491,17.99871,0.04538964,-0.04815303,0.180659,-0.602284,-3.506828,-0.6426037,0.3567945,1.431973,0.3863201,-0.05676381,-0.1543052,-0.0918565,-0.9948952,0.377047,-0.1006779,0.5111545,1.498664,0.2273722,0.04135956,1.122933,0.3411289,293.8961,265.7914,342.6447,True
2,0.2555556,-0.8725331,0.2996475,-0.2608407,-1.492918,-4.679888,-2.634104,0.3367923,1.232106,0.4547474,-1.149082,0.01455979,11.06101,18.08442,0.06466328,-0.03430621,0.1997365,-0.6000049,-3.503802,-0.6464842,0.3572686,1.432514,0.3861058,-0.04395884,-0.1830433,-0.0941465,-0.9956595,0.3733956,-0.09849461,0.5110934,1.498596,0.2268114,0.03907006,1.127776,0.3424832,292.9893,266.0983,342.6791,True
2,0.2666667,-0.9077687,0.3272449,-0.2874281,-1.491517,-4.685368,-2.622894,0.3361379,1.233559,0.4547126,-1.149358,-0.02488928,11.22016,18.23441,0.08934052,-0.04601604,0.2219129,-0.5969257,-3.501591,-0.6500728,0.3580203,1.433124,0.3858755,-0.01746199,-0.2245245,-0.113643,-0.9971605,0.3686301,-0.09659099,0.5111526,1.498542,0.22616,0.03641684,1.133203,0.345522,291.9947,266.9069,342.7744,True
2,0.2777778,-0.9686189,0.3761284,-0.3246622,-1.490228,-4.692693,-2.609694,0.3354363,1.235117,0.4548421,-1.149249,0.01055206,11.37931,18.51296,0.1247363,-0.0875307,0.2428811,-0.5928452,-3.501383,-0.6527885,0.3588574,1.433955,0.3858638,0.006745309,-0.2734584,-0.1491031,-0.999577,0.3627699,-0.09427857,0.5111672,1.498494,0.2255454,0.0336045,1.139027,0.3497335,290.9437,267.9193,343.0551,True
2,0.2888889,-1.014519,0.4143793,-0.3459225,-1.489353,-4.699894,-2.596563,0.3348557,1.236648,0.4548905,-1.150313,-0.09705164,11.56498,18.92007,0.148301,-0.1173255,0.2511771,-0.5890678,-3.501126,-0.6553384,0.3597413,1.434732,0.3857524,0.02039576,-0.3138915,-0.1737845,-1.001795,0.3569337,-0.09171633,0.5112205,1.4985,0.2248163,0.03077078,1.145082,0.3545172,289.8916,269.0263,343.4402,True
2,0.3,-1.081752,0.4685915,-0.3756952,-1.488613,-4.708698,-2.581502,0.3340974,1.238446,0.455251,-1.149131,0.1093979,11.72414,19.4129,0.2048965,-0.1693971,0.2528009,-0.5845096,-3.503354,-0.6577774,0.3608257,1.435669,0.3857121,0.0373635,-0.3681761,-0.1899898,-1.003812,0.3496925,-0.08880284,0.5112899,1.498449,0.2241054,0.02813972,1.151186,0.3592542,288.826,270.1074,343.8227,True
2,0.3111111,-1.122314,0.5025961,-0.3948245,-1.487857,1.566184,-2.567064,0.3334362,1.240332,0.455548,-1.149603,-0.0438674,11.83024,19.99143,0.2370739,-0.2013299,0.2738147,-0.5794628,-3.503894,-0.6610836,0.3619039,1.436568,0.385675,0.06271309,-0.3947466,-0.2147927,-1.006615,0.3430924,-0.08687977,0.5113959,1.498338,0.2233527,0.02561293,1.157245,0.3635412,287.8809,271.0964,344.0356,True
2,0.3222222,-1.187392,0.5429682,-0.4181903,-1.487285,1.556906,-2.55079,0.3327046,1.242457,0.4559946,-1.148478,0.1038824,11.83024,20.63424,0.2929731,-0.2929097,0.3147689,-0.5717018,-3.507494,-0.6633567,0.3634347,1.437812,0.3855739,0.06799948,-0.4245581,-0.2233944,-1.008795,0.3361808,-0.0840989,0.5115592,1.498318,0.2226307,0.02321627,1.163248,0.3671411,287.0403,271.8901,344.1057,True
2,0.3333333,-1.2727,0.5865123,-0.4351603,-1.487311,1.547244,-2.532872,0.3321012,1.244837,0.4565485,-1.149548,-0.09833602,11.77719,21.34133,0.3038982,-0.3451312,0.3369493,-0.5647973,-3.510376,-0.6645828,0.3648163,1.438922,0.385457,0.06040457,-0.4522544,-0.2403778,-1.011499,0.3288372,-0.0804746,0.5116819,1.498225,0.2220192,0.02076859,1.169306,0.3700742,286.3645,272.3355,344.152,True
2,0.3444445,-1.367615,0.6258032,-0.4615904,-1.487125,1.53694,-2.513566,0.3313203,1.247382,0.4572999,-1.148552,0.09236123,11.64456,22.11271,0.3216266,-0.4528333,0.4004945,-0.554157,-3.515781,-0.6641815,0.3665686,1.440046,0.3854699,0.05265224,-0.5129602,-0.2776315,-1.015357,0.3192295,-0.07567851,0.5119435,1.498138,0.221328,0.01838582,1.175544,0.3724547,285.7041,272.4836,344.2532,True
2,0.3555556,-1.488174,0.6575197,-0.5381197,-1.485244,1.525302,-2.492186,0.330438,1.250175,0.4581783,-1.147495,0.0962381,11.51194,22.86265,0.3797087,-0.5806208,0.4381553,-0.5429621,-3.524508,-0.6628405,0.3684391,1.441374,0.3854744,0.07468185,-0.5640248,-0.3173311,-1.019642,0.3093487,-0.07204597,0.5121859,1.497976,0.2206066,0.01599234,1.182132,0.374519,285.0902,272.4427,344.3505,True
2,0.3666667,-1.530864,0.6553372,-0.5763827,-1.483351,1.514774,-2.472821,0.3297183,1.252919,0.4589667,-1.146604,0.08099438,11.37931,23.54832,0.4088468,-0.6402906,0.4729759,-0.5324942,-3.530554,-0.6630797,0.3701234,1.442625,0.3854525,0.1029532,-0.6001498,-0.3688031,-1.024807,0.2997205,-0.06921316,0.512473,1.497883,0.2199605,0.01356946,1.189301,0.3765528,284.4641,272.3138,344.4461,True
2,0.3777778,-1.575718,0.6434853,-0.6423399,-1.480304,1.503746,-2.452929,0.328863,1.255843,0.4599721,-1.145005,0.145668,11.24668,24.10542,0.4380307,-0.6882656,0.517413,-0.5212696,-3.535813,-0.664264,0.3719478,1.443933,0.385426,0.1312909,-0.6032662,-0.4085344,-1.030161,0.2913164,-0.06729888,0.5127698,1.497778,0.2191873,0.01097759,1.197236,0.3788621,283.6942,271.9029,344.8176,True
2,0.3888889,-1.616279,0.6391821,-0.6838115,-1.477705,1.492256,-2.432287,0.3282143,1.258943,0.4609716,-1.14702,-0.1855431,11.11406,24.44826,0.4681995,-0.7319548,0.5522614,-0.509492,-3.542055,-0.665112,0.3736592,1.445289,0.3854485,0.1458536,-0.6032064,-0.4406478,-1.035572,0.283206,-0.06527781,0.5130283,1.497674,0.2184958,0.008254177,1.206061,0.3817343,282.7206,271.0956,345.7049,True
2,0.4,-1.680276,0.6422575,-0.7241772,-1.475325,1.480455,-2.410037,0.3273752,1.262293,0.4622462,-1.146757,0.02560338,10.98143,24.61967,0.5028335,-0.809769,0.6061736,-0.4954801,-3.550194,-0.6647756,0.3754365,1.446634,0.3855202,0.1431903,-0.6266038,-0.4939092,-1.042495,0.2736319,-0.06197362,0.5133578,1.497532,0.217854,0.005797374,1.215635,0.3852492,281.3842,270.3053,346.824,True
2,0.4111111,-1.743207,0.6506912,-0.7709475,-1.473001,1.467948,-2.387399,0.3265405,1.265561,0.4637146,-1.145702,0.09572369,10.82228,24.61967,0.5168763,-0.8460051,0.6219651,-0.483221,-3.558333,-0.6639066,0.3773659,1.4481,0.3855376,0.1077403,-0.6735042,-0.5287172,-1.048898,0.2628232,-0.05656368,0.5137831,1.497506,0.21734,0.003638156,1.22569,0.3894013,279.8506,269.42,348.2304,True
2,0.4222222,-1.793355,0.6410944,-0.8156,-1.46992,1.455245,-2.364386,0.326005,1.269151,0.4652753,-1.143609,0.1900859,10.71618,24.49111,0.5117111,-0.8301097,0.6518691,-0.4713896,-3.562036,-0.6660649,0.3791997,1.449505,0.3854644,0.08309329,-0.6841785,-0.5433728,-1.054876,0.2535188,-0.05213058,0.5142121,1.497499,0.2167456,0.001757599,1.236019,0.3941225,278.3225,268.5192,349.7985,True
2,0.4333333,-1.820072,0.6463461,-0.8581693,-1.467397,1.442282,-2.341952,0.3251566,1.272824,0.4669261,-1.142481,0.1008328,10.66313,24.23399,0.5248474,-0.7993352,0.7147036,-0.4587556,-3.562011,-0.6722364,0.3808842,1.450859,0.3853958,0.05549181,-0.6885039,-0.5345505,-1.06009,0.2442606,-0.04727856,0.5145661,1.497222,0.2160361,-8.333707E-05,1.246543,0.39933,276.8895,267.2365,351.8285,True
2,0.4444444,-1.837149,0.6431191,-0.8869056,-1.465191,1.429682,-2.319923,0.3243691,1.276267,0.4686022,-1.141246,0.1113403,10.6366,23.86972,0.5315226,-0.7717435,0.765861,-0.4459602,-3.561038,-0.6792318,0.3826793,1.452242,0.385268,0.03948683,-0.688525,-0.5365064,-1.065717,0.2353171,-0.04285772,0.5149544,1.497093,0.215507,-0.001819378,1.257166,0.4049284,275.5135,264.9097,354.9594,True
2,0.4555556,-1.859585,0.6409252,-0.9230819,-1.46263,1.416435,-2.297141,0.3235897,1.28008,0.4705153,-1.140699,0.04802859,10.6366,23.46261,0.5287644,-0.7378354,0.8415984,-0.4323471,-3.556194,-0.6892769,0.3843418,1.453602,0.3851309,0.01693106,-0.6938856,-0.5533087,-1.072102,0.2260105,-0.03778546,0.5152918,1.496902,0.2150881,-0.003327044,1.267828,0.4107902,274.2425,260.4935,0.2284897,True
2,0.4666667,-1.896967,0.6333507,-0.9623919,-1.460383,1.403113,-2.273301,0.3230924,1.283861,0.4726677,-1.13973,0.08709791,10.71618,23.07692,0.5395911,-0.715524,0.875674,-0.4193925,-3.552696,-0.6987525,0.386099,1.45511,0.3849995,0.009457886,-0.6949552,-0.5553593,-1.077994,0.2170949,-0.0334754,0.515565,1.496698,0.2146277,-0.004701824,1.27847,0.4167908,272.9958,252.3198,9.293704,True
