loc,t,aDotS,bDotS,gDotS,aS,bS,gS,xS,yS,zS,qE,qDotE,emgA,emgB,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH,xSH,ySH,zSH,aDotUB,bDotUB,gDotUB,aUB,bUB,gUB,xUB,yUB,zUB,xHand,yHand,zHand,aHand,bHand,gHand,enable
4,0,0.1796305,-1.082393,0.4968323,-1.527038,-4.667663,-2.950016,0.3421744,1.199355,0.4925132,-1.520042,0.02713137,11.72414,14.07757,-0.6420025,0.6968191,-0.1129032,-0.7630031,-3.541579,-0.5958455,0.3114496,1.408367,0.4292727,-0.1053234,0.7764586,0.3209365,-0.9063706,0.5282207,-0.2647635,0.4538617,1.506363,0.2843807,0.05907658,1.136254,0.4040307,285.606,270.5665,345.8793,True
4,0.01111111,0.0953137,-1.055108,0.4691317,-1.529092,-4.656049,-2.948975,0.3400674,1.198616,0.4910834,-1.518878,0.1066075,11.69761,13.949,-0.6133582,0.6308854,-0.1494076,-0.7681729,-3.537822,-0.5924902,0.3097902,1.407544,0.4282486,-0.08958548,0.7125489,0.2877999,-0.9055461,0.5364631,-0.2693183,0.4528328,1.506346,0.2842209,0.05767136,1.135523,0.4003893,285.8322,278.3717,337.6066,True
4,0.02222222,0.007847246,-1.022416,0.4563265,-1.531588,-4.645258,-2.946996,0.3379483,1.198094,0.4897885,-1.517917,0.08739731,11.59151,13.58474,-0.5825291,0.5872847,-0.170992,-0.7730699,-3.533644,-0.5899727,0.3085342,1.406954,0.4271951,-0.07477295,0.6614181,0.2727435,-0.9045932,0.5440071,-0.2735514,0.4518425,1.506439,0.284379,0.05633712,1.13413,0.3952756,286.1851,279.5997,335.4471,True
4,0.03333334,-0.05515515,-0.9832388,0.4498424,-1.534299,-4.634829,-2.944869,0.335914,1.197627,0.4883707,-1.517834,0.007490259,11.48541,13.0705,-0.5397295,0.5447412,-0.1564407,-0.7767732,-3.528998,-0.588634,0.3071849,1.406421,0.4262733,-0.06629315,0.5708708,0.2556511,-0.9031722,0.5489069,-0.2761586,0.4509287,1.506385,0.2841473,0.05509756,1.132414,0.3890424,286.6125,278.2336,335.5849,True
4,0.04444445,-0.1448656,-0.9217677,0.4401186,-1.537066,-4.625843,-2.940652,0.3338659,1.197468,0.4869642,-1.517724,0.01062786,11.37931,12.57767,-0.4721186,0.4713011,-0.1069403,-0.7778507,-3.525218,-0.5884004,0.3061527,1.406206,0.4253373,-0.0629974,0.4834845,0.2556298,-0.9010683,0.5526183,-0.2778183,0.4502171,1.506172,0.2841618,0.05414759,1.130768,0.3821749,287.1591,276.5376,335.8141,True
4,0.05555556,-0.2367822,-0.837947,0.4313652,-1.540111,-4.618076,-2.935321,0.3317856,1.197314,0.4855576,-1.518358,-0.05756349,11.29973,12.14913,-0.4205534,0.4383153,-0.05513246,-0.7792601,-3.519391,-0.5894539,0.3052271,1.406086,0.4243715,-0.06618893,0.4355315,0.249306,-0.8992515,0.557781,-0.2802218,0.4494722,1.506074,0.2839043,0.05340692,1.129563,0.3751991,287.7074,275.0419,335.7504,True
4,0.06666667,-0.2924064,-0.7764186,0.4130629,-1.542558,-4.610761,-2.930564,0.329815,1.197033,0.4840186,-1.517181,0.1086592,11.19363,11.67774,-0.375552,0.3946979,-0.03100097,-0.7804511,-3.515565,-0.5895653,0.304342,1.405911,0.4234588,-0.05999848,0.3854652,0.2183503,-0.8987492,0.5613284,-0.2820868,0.4489218,1.505898,0.283289,0.0527554,1.129061,0.368556,288.088,273.8726,335.4661,True
4,0.07777778,-0.4111969,-0.653516,0.3466419,-1.543356,-4.606837,-2.922277,0.32796,1.196924,0.4826958,-1.516813,0.033215,11.08753,11.18491,-0.307065,0.2723168,-0.0220378,-0.7798945,-3.516703,-0.5875226,0.3038224,1.405907,0.4226303,-0.03585851,0.3258159,0.1702237,-0.8985905,0.5632688,-0.2839793,0.4484333,1.505947,0.282747,0.0518947,1.129473,0.3626035,288.2781,273.0174,335.0629,True
4,0.08888889,-0.4700367,-0.5984793,0.3081336,-1.544409,-4.60123,-2.915346,0.3258616,1.196838,0.4814558,-1.51823,-0.1291171,10.98143,10.69209,-0.2898139,0.2307826,-0.00408715,-0.7801027,-3.514486,-0.5862566,0.3031223,1.405771,0.4218016,-0.01914161,0.2682903,0.1285129,-0.8988057,0.5641116,-0.2848312,0.4478874,1.506091,0.2824588,0.05068132,1.130897,0.3575831,288.1543,272.6287,334.5095,True
4,0.1,-0.5545089,-0.525475,0.2567986,-1.544705,-4.597411,-2.906652,0.3239284,1.196984,0.4803007,-1.515813,0.2227597,10.95491,10.32783,-0.2683733,0.219088,0.0117249,-0.7807813,-3.51143,-0.586109,0.3027062,1.405857,0.4210563,-0.01301128,0.1606731,0.08373305,-0.8983865,0.5612996,-0.2833617,0.4476303,1.506124,0.2818425,0.04923882,1.133193,0.3535924,287.6238,272.6118,333.9004,True
