loc,t,aDotS,bDotS,gDotS,aS,bS,gS,qE,qDotE,tpad,enable,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH,aDotUB,bDotUB,gDotUB,aUB,bUB,gUB,xHand,yHand,zHand,aHand,bHand,gHand
3,0,-0.3310735,-0.4050875,0.196436,-1.265493,3.637872,-3.009924,-1.326806,0.02217986,0,0,-0.2365467,0.1374669,0.07122287,-0.62929,4.052151,-0.4569569,-0.1332092,0.134957,0.08470231,-0.6795855,1.990388,-0.2055193,0.1673864,1.127831,0.7206241,305.2019,317.4377,15.37959
3,0.01111111,-0.3246032,-0.381728,0.1918805,-1.266989,3.641723,-3.007689,-1.326709,0.008693403,0,0,-0.2397112,0.1246713,0.07547132,-0.6288378,4.054374,-0.45598,-0.128136,0.1200788,0.05055801,-0.6803833,1.991568,-0.205273,0.1561901,1.129069,0.7157553,304.248,316.0941,11.24208
3,0.02222222,-0.3192248,-0.3455018,0.1935057,-1.26866,3.644893,-3.005353,-1.326715,-0.0006937156,0,0,-0.2555985,0.105458,0.08620039,-0.62787,4.055871,-0.4538913,-0.1102058,0.09977171,0.03550455,-0.680687,1.992156,-0.2051667,0.144786,1.130307,0.7108052,303.4891,313.784,8.876615
3,0.03333334,-0.309505,-0.297665,0.1875448,-1.270267,3.647027,-3.002826,-1.326827,-0.01033634,0,0,-0.2832272,0.0734843,0.09593181,-0.6264554,4.056509,-0.4502401,-0.1113272,0.08059642,0.0418787,-0.6800526,1.992981,-0.2046008,0.1346739,1.131447,0.7067371,302.8423,311.4719,7.348298
3,0.04444445,-0.2965297,-0.2606217,0.1732431,-1.271389,3.649248,-3.00069,-1.326865,-0.003412972,0,0,-0.3044698,0.09904131,0.1015313,-0.6261305,4.060512,-0.4493434,-0.11976,0.07635699,0.06215976,-0.6787503,1.994763,-0.2043151,0.1268516,1.132422,0.7040789,302.2981,309.8127,6.344135
3,0.05555556,-0.2846817,-0.2384323,0.1623588,-1.272571,3.651525,-2.998564,-1.3269,-0.003224408,0,0,-0.2958322,0.1437364,0.1122666,-0.6258807,4.066628,-0.4513627,-0.1239748,0.08170334,0.06538735,-0.6781628,1.99689,-0.2044743,0.1217969,1.133198,0.7029418,301.9031,308.945,5.819509
3,0.06666667,-0.2791815,-0.2056174,0.1491292,-1.273588,3.653059,-2.996197,-1.327168,-0.02457075,0,0,-0.2316574,0.150004,0.1404793,-0.6244484,4.071712,-0.4551625,-0.1230912,0.0700265,0.0419394,-0.6785393,1.997614,-0.2037662,0.119544,1.133833,0.7031759,301.7432,308.8238,5.689331
3,0.07777778,-0.2747932,-0.1802032,0.1391987,-1.274588,3.654416,-2.9937,-1.327079,0.008262498,0,0,-0.2051164,0.1159152,0.131622,-0.6232393,4.072463,-0.4543771,-0.1180523,0.05729735,0.0003446992,-0.6800419,1.997734,-0.2027419,0.1196683,1.134394,0.704469,301.7825,309.2092,6.014511
3,0.08888889,-0.2427059,-0.133481,0.1334326,-1.275711,3.654692,-2.99219,-1.326931,0.0133889,0,0,-0.1980142,0.05317724,0.09513305,-0.622711,4.069837,-0.4503309,-0.105491,0.04876336,-0.03276134,-0.6816126,1.997589,-0.201906,0.1214961,1.134934,0.7063648,301.9003,309.9552,6.634854
3,0.1,-0.2192467,-0.1122082,0.135434,-1.277062,3.655909,-2.990946,-1.32674,0.0172331,0,0,-0.1865265,0.01488197,0.07146566,-0.6221895,4.067839,-0.4469365,-0.101309,0.0391783,-0.03918272,-0.6821038,1.997957,-0.2012615,0.124167,1.135495,0.708501,302.0477,310.9094,7.373318
3,0.1111111,-0.1734088,-0.07494092,0.1395253,-1.278796,3.655711,-2.990535,-1.327906,-0.1068034,0,0,-0.1505728,-0.04044366,0.0443319,-0.6215664,4.063554,-0.4430762,-0.08639185,0.01457021,-0.01693225,-0.6814076,1.997107,-0.2002186,0.1268726,1.136083,0.7105247,302.1267,311.8421,8.11801
3,0.1222222,-0.1254736,-0.05470923,0.144951,-1.280564,3.656082,-2.990829,-1.327853,0.005621244,0,0,-0.09644987,-0.06598516,0.02247112,-0.621038,4.060653,-0.4414967,-0.08319191,0.004963808,-0.006311573,-0.6811322,1.997144,-0.1993158,0.1290261,1.136654,0.7120513,302.0631,312.6248,8.746572
3,0.1333333,-0.07427582,-0.04315867,0.1398788,-1.281917,3.656446,-2.991723,-1.328832,-0.08978312,0,0,-0.04222761,-0.0499886,0.009259628,-0.6213378,4.060555,-0.4428408,-0.07996605,-0.009993624,0.01282405,-0.6802337,1.9965,-0.1980398,0.1301205,1.137099,0.712999,301.9714,313.1943,9.101995
3,0.1444445,-0.03901871,-0.04662601,0.1274289,-1.282611,3.657583,-2.992832,-1.329169,-0.03033066,0,0,0.001345547,-0.03400223,-0.002789114,-0.6216074,4.060436,-0.4441018,-0.07996047,-0.01853299,0.02239686,-0.6795993,1.995855,-0.1965802,0.1301109,1.137418,0.7132125,301.8777,313.512,9.101135
3,0.1555556,0.004884252,-0.0609946,0.09923113,-1.282394,3.659115,-2.994937,-1.329427,-0.0236293,0,0,0.008793344,0.009663697,-0.006973734,-0.6222614,4.062186,-0.4458542,-0.07892049,-0.02279503,0.02131948,-0.6793255,1.995371,-0.195374,0.129092,1.137569,0.7127466,301.7942,313.5636,8.870854
3,0.1666667,0.04449257,-0.08277454,0.07218416,-1.282024,3.660834,-2.997298,-1.329059,0.03351463,0,0,0.005660271,0.04160661,-0.001515556,-0.6227909,4.064739,-0.4478768,-0.07587441,-0.02490155,-0.003200611,-0.6801468,1.99464,-0.1939889,0.1273902,1.137522,0.711625,301.6859,313.3193,8.562103
3,0.1777778,0.08940117,-0.1023703,0.04940877,-1.281622,3.66262,-3.000293,-1.32951,-0.04179682,0,0,0.007979974,0.07349671,0.01774804,-0.6227185,4.068221,-0.450875,-0.0728729,-0.02379044,-0.03942901,-0.6816654,1.993898,-0.1926336,0.1253294,1.137207,0.7100297,301.5999,312.8641,8.247019
