loc,t,aDotS,bDotS,gDotS,aS,bS,gS,qE,qDotE,tpad,enable,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH,aDotUB,bDotUB,gDotUB,aUB,bUB,gUB,xHand,yHand,zHand,aHand,bHand,gHand
6,0,0.3213897,-0.184387,0.3173375,-1.193569,3.459295,-2.751814,-1.086775,0.007182322,0,0,-0.04216133,0.3163961,-0.2100109,-0.5451092,3.895598,-0.3341396,-0.1428586,0.1892592,0.1802242,-0.7193757,1.911142,-0.2085186,0.2239148,1.139629,0.7149009,302.617,317.7353,15.7936
6,0.01111111,0.3011721,-0.1940177,0.3162089,-1.195895,3.463237,-2.75594,-1.086119,0.05990586,0,0,-0.0524712,0.3599656,-0.1778039,-0.5476493,3.904784,-0.3410718,-0.1376493,0.1860883,0.1631395,-0.7185667,1.914397,-0.2095572,0.2230038,1.138118,0.7145338,303.006,316.3911,17.01981
6,0.02222222,0.2799405,-0.2164705,0.3109298,-1.197764,3.467692,-2.759968,-1.086017,0.008741783,0,0,-0.06293331,0.3588321,-0.1532307,-0.54989,3.911081,-0.3454285,-0.1366896,0.1882938,0.1397144,-0.7181991,1.917885,-0.2107756,0.221913,1.136205,0.7140268,303.2938,316.1877,17.08788
6,0.03333334,0.2555307,-0.2368172,0.3024431,-1.199885,3.472269,-2.763653,-1.085353,0.06075886,0,0,-0.07875393,0.3406585,-0.1276078,-0.5514741,3.916409,-0.3485977,-0.1295231,0.175596,0.1012868,-0.7185603,1.920046,-0.2111815,0.2206527,1.133985,0.7133865,303.5973,316.5638,16.50205
6,0.04444445,0.2395386,-0.2495789,0.3067087,-1.20215,3.476829,-2.767486,-1.085083,0.02417778,0,0,-0.09140392,0.2883649,-0.09575216,-0.5520073,3.918902,-0.3493045,-0.1242693,0.170257,0.09484752,-0.7180634,1.922817,-0.2120207,0.2192182,1.131588,0.7126396,303.9941,316.9584,15.8454
6,0.05555556,0.2128883,-0.2495924,0.3086246,-1.204403,3.480795,-2.770321,-1.084813,0.024663,0,0,-0.1000758,0.2308675,-0.09909497,-0.553351,3.91938,-0.3483862,-0.1127417,0.1446329,0.08936571,-0.7174263,1.924063,-0.2121519,0.2176379,1.129194,0.7118174,304.455,317.2177,15.21593
6,0.06666667,0.1937308,-0.2326308,0.3029945,-1.206785,3.484132,-2.773028,-1.085093,-0.02567204,0,0,-0.1109032,0.1851194,-0.1087729,-0.5550086,3.919356,-0.3467702,-0.1021363,0.1317683,0.09458965,-0.7164361,1.926096,-0.2130167,0.2159754,1.126997,0.7109936,304.8996,317.4459,14.56113
6,0.07777778,0.1841957,-0.2199382,0.2942698,-1.208892,3.48724,-2.7759,-1.084511,0.05360004,0,0,-0.1228317,0.1372692,-0.1227084,-0.556745,3.918342,-0.344148,-0.09260081,0.1167683,0.1030117,-0.7151221,1.927907,-0.213647,0.214253,1.125104,0.7101974,305.2147,317.6227,14.02382
6,0.08888889,0.2035975,-0.2372043,0.2690376,-1.209978,3.491415,-2.780284,-1.084721,-0.01962279,0,0,-0.1378047,0.1245346,-0.1269017,-0.55854,3.919194,-0.3428745,-0.06922136,0.09953587,0.1134771,-0.7136307,1.929266,-0.2145999,0.2125048,1.123538,0.7095352,305.4077,317.7362,13.57216
6,0.1,0.2038023,-0.2406299,0.244568,-1.2108,3.494825,-2.783819,-1.085173,-0.04098523,0,0,-0.137624,0.1500476,-0.1108251,-0.5600857,3.923493,-0.3450567,-0.06291423,0.09313522,0.1048921,-0.7130582,1.930797,-0.2152828,0.2115344,1.122976,0.7092825,305.7854,316.6097,14.87892
6,0.1111111,0.1783225,-0.2195049,0.229261,-1.212303,3.497324,-2.785689,-1.086454,-0.1166565,0,0,-0.1169236,0.1893243,-0.08010266,-0.5613182,3.928198,-0.3479705,-0.05452308,0.09102806,0.0835326,-0.7130986,1.932318,-0.2160647,0.2111245,1.122783,0.7092419,305.8957,316.3503,15.34155
6,0.1222222,0.1550274,-0.2026954,0.2076048,-1.213265,3.499457,-2.787213,-1.086034,0.03928415,0,0,-0.09342524,0.2062281,-0.05981153,-0.5620931,3.934546,-0.3535828,-0.05142007,0.08572607,0.07178101,-0.7128467,1.933697,-0.2166673,0.2109301,1.12264,0.7092271,305.7686,316.5531,15.43017
6,0.1333333,0.1295703,-0.1932924,0.1913536,-1.21442,3.501886,-2.788477,-1.084672,0.1241345,0,0,-0.05604256,0.2103595,-0.04836725,-0.5631227,3.938596,-0.3576071,-0.05153968,0.08687526,0.04834876,-0.7133858,1.935101,-0.2171584,0.2109037,1.122523,0.7092057,305.6037,316.718,15.51345
6,0.1444445,0.1083364,-0.1891467,0.1815665,-1.215519,3.504478,-2.789909,-1.084453,0.01908727,0,0,-0.05606257,0.1655781,-0.0378887,-0.5634285,3.939112,-0.357336,-0.04749789,0.06988445,0.02909342,-0.7137187,1.935518,-0.21696,0.2108008,1.122434,0.7092783,305.5181,316.9182,15.58944
6,0.1555556,0.08818571,-0.176521,0.1674305,-1.216309,3.506407,-2.790841,-1.084288,0.01511012,0,0,-0.06783974,0.1101794,-0.03054499,-0.5632362,3.938136,-0.3554335,-0.0262484,0.05480738,0.03744601,-0.713046,1.936022,-0.217752,0.210604,1.122358,0.7093546,305.5746,316.9468,15.75701
6,0.1666667,0.07126124,-0.1596783,0.1490385,-1.217086,3.508159,-2.791659,-1.084599,-0.0283982,0,0,-0.07437508,0.07507329,-0.03915225,-0.5638871,3.937232,-0.3536233,-0.04022596,0.02823946,0.04488327,-0.7122028,1.935427,-0.2164015,0.2103066,1.122315,0.7095212,305.6446,316.9708,15.9727
6,0.1777778,0.05756778,-0.1471265,0.1264555,-1.217631,3.509744,-2.792355,-1.084571,0.003047072,0,0,-0.07440771,0.0473595,-0.0349938,-0.5639814,3.936451,-0.3520758,-0.03607343,0.01116655,0.04585836,-0.7116947,1.934961,-0.2156963,0.2099649,1.12228,0.7095906,305.827,316.8315,16.27313
6,0.1888889,0.0407265,-0.1399538,0.0996163,-1.217391,3.511193,-2.792777,-1.084701,-0.01177839,0,0,-0.0753722,0.05478089,-0.02429921,-0.5641177,3.938164,-0.3527066,-0.01715792,-0.01766125,0.03073787,-0.7116163,1.933301,-0.2150351,0.2095967,1.122257,0.7097306,305.9069,316.7219,16.60643
6,0.2,0.03341598,-0.1305606,0.08028917,-1.217278,3.512418,-2.793438,-1.084832,-0.01175437,0,0,-0.06670828,0.0738848,-0.01044025,-0.5642791,3.941147,-0.3546729,-0.01193148,-0.0208358,0.01685456,-0.7117767,1.932923,-0.2147176,0.2092774,1.122228,0.7097937,306.0815,316.5785,16.88814
6,0.2111111,0.01655035,-0.1095383,0.0533391,-1.217139,3.512937,-2.793134,-1.084784,0.00453378,0,0,-0.05703222,0.07168765,0.001197342,-0.564139,3.942702,-0.3557563,-0.005620011,-0.01761123,-0.002344194,-0.7124217,1.932638,-0.2146902,0.2090083,1.122193,0.7098272,306.2242,316.4225,17.14528
6,0.2222222,0.002910603,-0.08002696,0.02207547,-1.216865,3.51274,-2.792696,-1.085247,-0.0421699,0,0,-0.04943369,0.0705369,0.01924319,-0.5636447,3.944441,-0.3569901,-0.008830862,-0.005811052,-0.0193248,-0.7131962,1.93299,-0.2147544,0.2087624,1.122187,0.7100438,306.265,316.4044,17.29537
6,0.2333333,-0.01502093,-0.05580037,-0.003873888,-1.216129,3.512295,-2.7919,-1.08472,0.04854932,0,0,-0.05045125,0.04705854,0.0319471,-0.5628421,3.944565,-0.3564897,-0.01209376,0.007097933,-0.04696009,-0.7147056,1.933468,-0.214818,0.2086153,1.122192,0.7102135,306.4298,316.4375,17.29041
6,0.2444444,-0.03392294,-0.03275942,-0.04258092,-1.215013,3.511383,-2.790577,-1.08492,-0.01857105,0,0,-0.04601862,0.03417074,0.05743583,-0.5614455,3.945528,-0.356965,-0.009084661,-0.007774013,-0.06407391,-0.7157986,1.932188,-0.2138846,0.2085077,1.122237,0.7104033,306.5998,316.5114,17.21801
6,0.2555556,-0.05286128,-0.01605214,-0.07485811,-1.213404,3.510313,-2.789083,-1.084839,0.007721305,0,0,-0.01175852,0.005222552,0.08688893,-0.5594375,3.945368,-0.3578713,0.001300889,-0.03976138,-0.07596279,-0.7166407,1.92944,-0.2122332,0.2083884,1.122317,0.7107456,306.6695,316.6076,17.11963
6,0.2666667,-0.08652559,-0.0006731302,-0.1317258,-1.21068,3.508645,-2.786301,-1.084626,0.01948394,0,0,0.007462725,-0.02363564,0.1004785,-0.5576116,3.944168,-0.3576119,0.0149735,-0.06540774,-0.07825799,-0.7172005,1.926846,-0.2108968,0.2082737,1.122411,0.7111197,306.7851,316.6555,16.97865
6,0.2777778,-0.1212568,0.000899367,-0.1842254,-1.207217,3.507174,-2.783461,-1.084668,-0.003810421,0,0,0.0170101,-0.07695112,0.109789,-0.5553378,3.940597,-0.3551006,0.02438484,-0.08460815,-0.08795904,-0.7180521,1.924194,-0.2094842,0.2081509,1.122523,0.7115422,306.9514,316.6575,16.78658
6,0.2888889,-0.1570337,0.006687038,-0.2410217,-1.203363,3.505366,-2.77996,-1.08381,0.07859156,0,0,0.02677372,-0.1271802,0.1468109,-0.5516546,3.937102,-0.3526995,0.04645362,-0.1112965,-0.1126779,-0.7197246,1.920281,-0.2078776,0.2080351,1.122654,0.7120541,307.1328,316.7086,16.53806
6,0.3,-0.1833309,0.009427316,-0.2838604,-1.199512,3.503564,-2.776465,-1.083849,-0.004050201,0,0,0.04394761,-0.160338,0.1731865,-0.5480834,3.934035,-0.3511106,0.06642175,-0.1433406,-0.1256814,-0.7209049,1.91576,-0.2059199,0.2078968,1.122819,0.712678,307.3884,316.7089,16.19284
6,0.3111111,-0.2275797,0.03534784,-0.3505217,-1.194208,3.499912,-2.771123,-1.083619,0.02127139,0,0,0.06971596,-0.1850185,0.2059189,-0.5439464,3.93111,-0.3503125,0.07678751,-0.1753108,-0.1418354,-0.7223585,1.910745,-0.2033728,0.2067982,1.123124,0.7140347,306.4905,317.4148,14.63173
6,0.3222222,-0.2728434,0.05270433,-0.421354,-1.188494,3.496154,-2.765413,-1.083899,-0.02554101,0,0,0.08702741,-0.1777155,0.2377732,-0.5400773,3.930727,-0.3515285,0.07766131,-0.1976546,-0.1515094,-0.7237753,1.905851,-0.2006394,0.2052688,1.124253,0.7149888,306.2824,317.3202,13.79748
6,0.3333333,-0.3181341,0.0668944,-0.4900436,-1.181872,3.49179,-2.758666,-1.083083,0.07511213,0,0,0.09378713,-0.1960434,0.2909209,-0.534399,3.928927,-0.3511745,0.08607142,-0.2126149,-0.1558724,-0.7250562,1.900957,-0.1983165,0.2038842,1.126103,0.7158028,306.1951,316.3912,13.90248
6,0.3444445,-0.347601,0.07915913,-0.5383273,-1.175588,3.487551,-2.75218,-1.083031,0.004378892,0,0,0.09076086,-0.2281109,0.3217176,-0.5288718,3.925291,-0.3489644,0.09109958,-0.2434769,-0.1741202,-0.7268491,1.894673,-0.1947855,0.2030506,1.128717,0.7168187,306.072,315.369,14.22574
6,0.3555556,-0.3886249,0.1007964,-0.608121,-1.167907,3.481889,-2.744298,-1.082644,0.03566214,0,0,0.07183617,-0.2911167,0.3727623,-0.5214512,3.91908,-0.3436247,0.1142598,-0.2648424,-0.1988261,-0.7291165,1.888484,-0.1921364,0.2030168,1.132047,0.7182547,305.8271,314.4058,14.79373
6,0.3666667,-0.4255101,0.1268272,-0.6640604,-1.160437,3.475746,-2.735859,-1.083241,-0.05458024,0,0,0.0698065,-0.3508821,0.402376,-0.5143981,3.9114,-0.3376989,0.1150837,-0.2679027,-0.239323,-0.7324502,1.882802,-0.1892205,0.2038891,1.136005,0.7202263,305.4937,313.537,15.66258
6,0.3777778,-0.4601904,0.1347174,-0.7240792,-1.151995,3.469632,-2.727285,-1.082887,0.03317385,0,0,0.08809002,-0.3872657,0.4351216,-0.507077,3.904746,-0.3334901,0.09567396,-0.2729782,-0.2765285,-0.7360961,1.876831,-0.1851928,0.2055796,1.140426,0.7226699,305.0808,312.7648,16.84407
6,0.3888889,-0.4905085,0.1233185,-0.7945318,-1.14206,3.463753,-2.718357,-1.082903,-0.001588105,0,0,0.1141918,-0.3822509,0.5031246,-0.498262,3.902275,-0.333431,0.08568989,-0.3047518,-0.3128026,-0.7397057,1.869083,-0.180227,0.2080087,1.145225,0.7254666,304.7326,312.0439,18.16962
6,0.4,-0.5125241,0.1111489,-0.8372043,-1.132749,3.45803,-2.709512,-1.083203,-0.0270405,0,0,0.129478,-0.3867317,0.5530617,-0.4893516,3.898876,-0.3323148,0.08965831,-0.3366804,-0.3289176,-0.7430108,1.860934,-0.1753465,0.2109721,1.150317,0.7285529,304.4326,311.4122,19.58908
6,0.4111111,-0.5567917,0.1115704,-0.8972266,-1.122444,3.450994,-2.698754,-1.083207,0.0001021149,0,0,0.1342643,-0.4317907,0.6338166,-0.4779724,3.89268,-0.32849,0.0924993,-0.3728476,-0.3514307,-0.7465767,1.851867,-0.1698508,0.2142481,1.15563,0.7317556,304.1846,310.7329,21.16903
6,0.4222222,-0.6117998,0.1280166,-0.9489776,-1.112027,3.443156,-2.686729,-1.083622,-0.03781607,0,0,0.09108703,-0.4788617,0.7128111,-0.4659829,3.885775,-0.321851,0.08702932,-0.3887654,-0.3589156,-0.7499813,1.843731,-0.1646664,0.2175641,1.161067,0.734963,303.9857,309.9411,22.90255
6,0.4333333,-0.6478236,0.1404845,-0.9760225,-1.102268,3.435182,-2.674638,-1.082727,0.08246297,0,0,0.06254672,-0.5109025,0.7512631,-0.4547795,3.87825,-0.314889,0.08349165,-0.4227486,-0.3824549,-0.7539622,1.834162,-0.1585529,0.2206988,1.166542,0.7380629,303.7968,309.1142,24.56383
6,0.4444444,-0.7104238,0.1741156,-1.014139,-1.092531,3.425633,-2.660353,-1.082184,0.04924591,0,0,0.04783542,-0.5333689,0.7832532,-0.443281,3.870227,-0.3077996,0.0950876,-0.4280939,-0.3985182,-0.758137,1.825839,-0.1539142,0.2235368,1.172084,0.7411373,303.7274,308.2635,26.03047
6,0.4555556,-0.735925,0.1984547,-1.028433,-1.083443,3.416166,-2.646916,-1.082656,-0.04315075,0,0,0.07235979,-0.5089032,0.7799627,-0.4337752,3.865743,-0.3052971,0.1088553,-0.4356159,-0.4060766,-0.7620023,1.817486,-0.1495967,0.2260372,1.177791,0.7442358,303.6944,307.3496,27.41119
6,0.4666667,-0.7718553,0.2341863,-1.071702,-1.0732,3.40505,-2.631821,-1.081785,0.08042448,0,0,0.09160133,-0.5025805,0.7862256,-0.4236024,3.859711,-0.3015338,0.1120287,-0.4431177,-0.3997319,-0.7654974,1.809111,-0.1447852,0.2282408,1.183746,0.7472879,303.5953,306.3459,28.77422
6,0.4777778,-0.7844877,0.2446291,-1.092153,-1.063398,3.394636,-2.617635,-1.083042,-0.115334,0,0,0.09610617,-0.4867168,0.81288,-0.412505,3.855247,-0.2986482,0.110866,-0.4537447,-0.4050902,-0.7693878,1.800372,-0.1396998,0.2302151,1.190064,0.7502627,303.4723,305.3229,30.11366
6,0.4888889,-0.799175,0.2719685,-1.12558,-1.053344,3.382904,-2.602502,-1.082829,0.02088336,0,0,0.07046586,-0.4940896,0.8055923,-0.4024399,3.847731,-0.2916907,0.1106856,-0.4568288,-0.434927,-0.7744983,1.791937,-0.134895,0.2320292,1.19678,0.7531188,303.2833,304.1569,31.59372
6,0.5,-0.8300021,0.3058718,-1.137931,-1.043867,3.370635,-2.586264,-1.083828,-0.09137371,0,0,0.04940733,-0.5165848,0.8461502,-0.3902101,3.83895,-0.2833329,0.112808,-0.4536272,-0.440254,-0.7788974,1.783957,-0.1305372,0.2337553,1.2039,0.7560253,303.1086,302.8148,33.23501
6,0.5111111,-0.8491914,0.3218108,-1.139306,-1.035287,3.358648,-2.570072,-1.084044,-0.01882769,0,0,0.05586758,-0.5336961,0.8598847,-0.3786557,3.829595,-0.2755147,0.1223831,-0.4429896,-0.4551821,-0.7837619,1.776344,-0.1268506,0.2355129,1.211351,0.7589048,302.8461,301.2393,35.11753
6,0.5222223,-0.8779192,0.3408797,-1.147176,-1.02688,3.345982,-2.552826,-1.083604,0.04061147,0,0,0.07253222,-0.5943409,0.8286232,-0.3685751,3.812957,-0.2615088,0.1084794,-0.4310999,-0.4785027,-0.7893417,1.769077,-0.1224127,0.2374106,1.219011,0.7617855,302.5392,299.5906,37.12393
6,0.5333334,-0.899234,0.3578739,-1.149646,-1.018689,3.332891,-2.53518,-1.083843,-0.02194512,0,0,0.05744472,-0.6187632,0.8137239,-0.3583368,3.79783,-0.2475001,0.09981106,-0.4352252,-0.5008426,-0.7950457,1.760987,-0.1175658,0.2394698,1.22681,0.7646686,302.2583,298.0825,39.10689
6,0.5444446,-0.9130696,0.3631515,-1.151941,-1.010508,3.320129,-2.517749,-1.083559,0.02634117,0,0,0.03004766,-0.5857835,0.8417642,-0.3468362,3.789901,-0.2394978,0.08485141,-0.4168967,-0.5326567,-0.8018101,1.754283,-0.1133508,0.2416746,1.234697,0.7674858,302.0227,296.7032,41.01711
6,0.5555557,-0.9397756,0.407874,-1.151528,-1.003862,3.305496,-2.498796,-1.083739,-0.01649379,0,0,0.03445503,-0.5752026,0.8588158,-0.3357655,3.779888,-0.2305349,0.1276554,-0.4087363,-0.5094233,-0.805905,1.747622,-0.1116916,0.2439987,1.24269,0.7701738,301.8661,295.4523,42.83781
6,0.5666668,-0.9536902,0.4291852,-1.146546,-0.9969463,3.291427,-2.480249,-1.084185,-0.04036885,0,0,0.04511246,-0.5816299,0.8608325,-0.3250516,3.766209,-0.2185204,0.1275649,-0.423654,-0.5084107,-0.8109033,1.739679,-0.1076237,0.2463546,1.250774,0.7727764,301.7289,294.1538,44.76392
6,0.577778,-0.9973944,0.484458,-1.153833,-0.9911875,3.274908,-2.458837,-1.084047,0.01303803,0,0,0.04199609,-0.5806158,0.8747103,-0.3137886,3.752866,-0.2060259,0.1157894,-0.4470842,-0.4924514,-0.815241,1.730892,-0.1024079,0.2486831,1.258906,0.7753039,301.5872,292.8318,46.70234
6,0.5888891,-1.026047,0.5033996,-1.16922,-0.9841685,3.25877,-2.437568,-1.084463,-0.03783996,0,0,0.01980138,-0.569998,0.8951548,-0.3022464,3.740418,-0.1935783,0.1190135,-0.4471232,-0.4871428,-0.8199623,1.723378,-0.09869409,0.250908,1.267145,0.7777925,301.444,291.6827,48.49598
6,0.6000003,-1.033382,0.4893951,-1.178789,-0.976627,3.243813,-2.417585,-1.083307,0.1061018,0,0,0.004077345,-0.5839511,0.9335787,-0.2895346,3.724435,-0.1777506,0.1436574,-0.4505812,-0.4574653,-0.8236135,1.715947,-0.09615556,0.2529843,1.275484,0.7802132,301.3225,290.4475,50.34023
6,0.6111114,-1.024863,0.4692077,-1.175323,-0.9701443,3.229221,-2.398251,-1.083509,-0.0190797,0,0,0.009434789,-0.5914571,0.9409667,-0.2778029,3.706704,-0.160975,0.1393222,-0.4622769,-0.4574843,-0.8282298,1.707742,-0.09195708,0.2549056,1.284039,0.7826421,301.235,289.245,52.11717
6,0.6222225,-1.02054,0.4479199,-1.173014,-0.9632035,3.214525,-2.37881,-1.084561,-0.09584808,0,0,0.01580098,-0.6138663,0.9461501,-0.2663172,3.68489,-0.1403182,0.1275413,-0.4685782,-0.4617054,-0.8330411,1.699802,-0.08760548,0.2566301,1.292854,0.7850333,301.2206,287.8813,54.08189
6,0.6333337,-1.05882,0.4264972,-1.179502,-0.9565728,3.199617,-2.357047,-1.085407,-0.07651579,0,0,0.01054946,-0.634163,0.9642267,-0.2539974,3.660527,-0.1165999,0.1351675,-0.4484141,-0.4542199,-0.83748,1.693409,-0.08510504,0.2581562,1.301896,0.7872157,301.2433,286.3046,56.20303
6,0.6444448,-1.092946,0.4051985,-1.172117,-0.9503884,3.185159,-2.335161,-1.085641,-0.02061375,0,0,-0.005453318,-0.6309177,0.9590269,-0.2428622,3.637015,-0.09328041,0.1405118,-0.4399177,-0.4584785,-0.8423653,1.68656,-0.08218009,0.2595388,1.311037,0.7890738,301.2101,284.4727,58.47978
6,0.655556,-1.11745,0.3924043,-1.170061,-0.9444081,3.170091,-2.313069,-1.08367,0.1804391,0,0,-0.03735587,-0.6308797,0.966732,-0.2312817,3.610751,-0.06628501,0.1307845,-0.4461961,-0.4744325,-0.8478243,1.678851,-0.07811797,0.260874,1.320128,0.7906389,301.1942,282.4881,60.84342
6,0.6666671,-1.144156,0.4030492,-1.16085,-0.9391201,3.154406,-2.290065,-1.083391,0.02408764,0,0,-0.05755937,-0.6329738,0.97008,-0.2199095,3.581277,-0.03636893,0.1254825,-0.4418939,-0.4765111,-0.8527234,1.671953,-0.07486892,0.2621466,1.329151,0.7920119,301.2714,280.7234,62.99264
6,0.6777782,-1.148587,0.4149388,-1.142889,-0.9350694,3.13882,-2.267871,-1.083919,-0.04809731,0,0,-0.07439628,-0.5807818,0.9821277,-0.2084797,3.560404,-0.01447188,0.1182394,-0.4205874,-0.4625459,-0.8570856,1.666313,-0.07226647,0.2633669,1.338179,0.7932898,301.41,279.1356,64.93903
6,0.6888894,-1.140341,0.4322077,-1.114271,-0.9314533,3.123444,-2.245991,-1.083796,0.01193107,0,0,-0.06439632,-0.5287414,1.020604,-0.1956917,3.540719,0.005175587,0.1077752,-0.4056664,-0.4453906,-0.8611241,1.660696,-0.06942781,0.2644782,1.347259,0.794488,301.5698,277.6496,66.87775
6,0.7000005,-1.121302,0.4355889,-1.097135,-0.927905,3.108089,-2.224957,-1.084839,-0.09535364,0,0,-0.03982484,-0.4755068,1.014227,-0.1846924,3.522753,0.02240065,0.1025364,-0.4003477,-0.433627,-0.8652866,1.654637,-0.06635452,0.2654776,1.356437,0.7955431,301.7301,276.2096,68.76823
6,0.7111117,-1.111752,0.4377902,-1.092818,-0.9246687,3.092512,-2.20375,-1.085376,-0.04805296,0,0,-0.01187938,-0.4181093,1.032338,-0.1731236,3.50592,0.03829386,0.1047023,-0.3993151,-0.4283085,-0.8694875,1.648591,-0.06366366,0.2663805,1.365722,0.7963205,301.8549,274.6963,70.70606
6,0.7222228,-1.096841,0.431512,-1.091527,-0.9218622,3.07687,-2.182786,-1.086379,-0.09133757,0,0,-0.006627262,-0.410605,1.019545,-0.1625178,3.476789,0.06694468,0.118835,-0.3835514,-0.3942339,-0.8722763,1.643488,-0.06216617,0.2672081,1.375023,0.7967955,301.9602,272.9839,72.85684
6,0.7333339,-1.092652,0.4305164,-1.086134,-0.9192178,3.061243,-2.16126,-1.086486,-0.009051,0,0,-0.02320319,-0.4166766,0.9450752,-0.1552277,3.44222,0.1019479,0.1177839,-0.3739331,-0.402708,-0.8767542,1.638139,-0.05995042,0.2679493,1.384214,0.7971019,302.1046,271.1552,75.1342
6,0.7444451,-1.082243,0.3958436,-1.045254,-0.9164198,3.047765,-2.141567,-1.086758,-0.02493469,0,0,-0.001769185,-0.403982,0.956678,-0.1446858,3.406565,0.1364961,0.123251,-0.3644377,-0.3867238,-0.8803058,1.633015,-0.05816104,0.2686645,1.39323,0.7973714,302.3339,269.3516,77.27494
6,0.7555562,-1.080218,0.3587526,-1.02676,-0.9130909,3.034375,-2.121428,-1.086202,0.05099363,0,0,0.03230947,-0.3784716,0.9490555,-0.1350542,3.371711,0.1695275,0.1308531,-0.3538799,-0.3728847,-0.8837876,1.628124,-0.05677353,0.2695014,1.402007,0.7975789,302.5983,267.6697,79.20661
6,0.7666674,-1.090866,0.3110146,-1.013615,-0.9093134,3.020976,-2.100946,-1.086654,-0.04180015,0,0,0.07818431,-0.3210328,0.9425296,-0.1253108,3.345629,0.1930326,0.1414481,-0.3688901,-0.3655367,-0.8873589,1.621968,-0.05477403,0.2704414,1.41059,0.7977197,302.851,266.4006,80.87469
6,0.7777785,-1.073765,0.274801,-1.009996,-0.9050061,3.007337,-2.081125,-1.086208,0.04110991,0,0,0.09525907,-0.2955047,0.9414263,-0.1157058,3.308382,0.2284854,0.1573863,-0.3989187,-0.3369595,-0.88981,1.614836,-0.0524957,0.2713618,1.418889,0.7976364,303.1087,265.3019,82.52888
6,0.7888896,-1.024965,0.252738,-0.9848551,-0.9020787,2.994789,-2.063368,-1.08584,0.03321035,0,0,0.08019328,-0.3391316,0.9349797,-0.1073446,3.236174,0.2999705,0.1670097,-0.412912,-0.3146888,-0.8923587,1.608144,-0.05046744,0.2721366,1.426894,0.7973054,303.4365,264.326,84.04787
6,0.8000008,-0.9942319,0.2476414,-0.9653543,-0.8998635,2.982049,-2.045366,-1.086653,-0.07456981,0,0,0.04486203,-0.3741582,0.9223311,-0.09998572,3.153933,0.3825564,0.1682376,-0.3980456,-0.3029245,-0.8951603,1.602922,-0.04911668,0.272678,1.434659,0.7967899,303.8583,263.3613,85.44354
6,0.8111119,-0.983868,0.2788376,-0.9368018,-0.8994619,2.968772,-2.026402,-1.088092,-0.1309438,0,0,0.02572352,-0.3634486,0.92358,-0.0919973,3.077499,0.4590217,0.1651678,-0.377805,-0.3060365,-0.8987348,1.597651,-0.04769295,0.2730156,1.442227,0.796096,304.3333,262.343,86.73376
