loc,t,aDotS,bDotS,gDotS,aS,bS,gS,qE,qDotE,tpad,enable,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH,aDotUB,bDotUB,gDotUB,aUB,bUB,gUB,xHand,yHand,zHand,aHand,bHand,gHand
0,0.1666667,-0.3163176,-0.07484934,0.1765483,-1.25457,3.471268,2.92649,-1.809518,0.03472297,0,0,-0.05380973,0.3641583,-0.1202654,-0.8226345,4.139811,-0.508418,0.05469867,0.09362753,0.2606826,-0.5637662,2.246423,-0.4481709,0.1961319,1.14173,0.71754,297.035,314.107,15.97039
0,0.1777778,-0.3163053,-0.09076031,0.1820558,-1.257032,3.472254,2.929766,-1.809459,0.005012948,0,0,-0.03621925,0.4311141,-0.08717376,-0.8258974,4.148387,-0.5145211,0.06832693,0.07226726,0.2456398,-0.5617661,2.248441,-0.451124,0.1948463,1.14208,0.71853,296.797,314.0627,15.89832
0,0.1888889,-0.3023466,-0.1163423,0.1771138,-1.259271,3.474058,2.932166,-1.808966,0.04502282,0,0,-0.03076397,0.4097285,-0.06706015,-0.8278777,4.152294,-0.5169843,0.07541385,0.05205349,0.2061384,-0.5608426,2.249023,-0.4526655,0.193613,1.142389,0.719171,296.596,314.1053,15.74255
0,0.2,-0.2884299,-0.1217048,0.1698083,-1.261143,3.475203,2.934484,-1.808984,-0.002067319,0,0,-0.04154853,0.2796869,-0.03435908,-0.8265371,4.150981,-0.5152245,0.07065578,0.0383574,0.140094,-0.5614173,2.248574,-0.4529025,0.1923821,1.14273,0.7194633,296.4801,314.2686,15.46428
0,0.2111111,-0.2393679,-0.1025582,0.1528859,-1.262513,3.475254,2.935411,-1.809563,-0.05290105,0,0,-0.05715709,0.06773895,-0.03276548,-0.8236364,4.143129,-0.508728,0.06184193,0.03635835,0.09539796,-0.5619957,2.248677,-0.4534082,0.1910837,1.143142,0.7196353,296.4041,314.3593,15.21448
0,0.2222222,-0.2074482,-0.08119963,0.1485949,-1.264027,3.475115,2.936687,-1.809818,-0.02294885,0,0,-0.06958763,-0.07702827,-0.05761762,-0.8222297,4.135287,-0.502225,0.05621666,0.03861266,0.04643039,-0.5632234,2.248765,-0.4539315,0.1897884,1.143702,0.7195323,296.3244,314.3352,15.03252
0,0.2333333,-0.1563089,-0.05245227,0.1326458,-1.26507,3.474439,2.937098,-1.811383,-0.1430558,0,0,-0.07211855,-0.2300943,-0.1592895,-0.822945,4.122396,-0.4924513,0.02187622,0.02395433,0.02105229,-0.5636889,2.247973,-0.4522407,0.1885372,1.144409,0.7192871,296.2151,314.2372,14.88966
0,0.2444444,-0.112666,-0.01517635,0.119745,-1.265942,3.473113,2.937375,-1.810993,0.03660401,0,0,-0.04258527,-0.1991682,-0.2020798,-0.8257035,4.119082,-0.4907761,0.004595383,-0.005753693,0.0115172,-0.5633795,2.246079,-0.4501485,0.187521,1.145267,0.7187302,296.0594,314.0744,14.82341
0,0.2555556,-0.08278934,-0.002433884,0.1070149,-1.266538,3.472451,2.937424,-1.81164,-0.05973869,0,0,0.06624186,-0.0684053,-0.2303735,-0.8305297,4.121558,-0.4969072,-0.002015259,-0.03659487,0.007239166,-0.5628729,2.243679,-0.4477621,0.1867474,1.146159,0.7181383,295.8456,313.9286,14.81199
0,0.2666667,-0.03581883,0.006019535,0.0880653,-1.267015,3.472044,2.936451,-1.8117,-0.005169094,0,0,0.1464872,0.02718934,-0.2276214,-0.8341867,4.124221,-0.5030847,0.00839486,-0.07926996,0.008156593,-0.5617342,2.240088,-0.4452355,0.1863377,1.147005,0.7173716,295.6346,313.7986,14.8468
0,0.2777778,-0.01235235,0.007110146,0.08288254,-1.267683,3.471601,2.936002,-1.811365,0.03029768,0,0,0.235824,0.141766,-0.1705566,-0.8367578,4.131221,-0.5136039,0.01560534,-0.1027172,-0.008979689,-0.5615989,2.236398,-0.4425236,0.1863273,1.147753,0.7165188,295.5043,313.7789,14.84382
0,0.2888889,0.01648439,0.008134373,0.07135128,-1.268202,3.471346,2.934967,-1.811912,-0.05051626,0,0,0.2749409,0.1413688,-0.08889577,-0.8357122,4.133878,-0.5195673,0.03327111,-0.1507157,-0.03475071,-0.5613645,2.2299,-0.4379624,0.1866629,1.148365,0.7155939,295.4731,313.9143,14.80701
