loc,t,aDotS,bDotS,gDotS,aS,bS,gS,qE,qDotE,tpad,enable,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH,aDotUB,bDotUB,gDotUB,aUB,bUB,gUB,xHand,yHand,zHand,aHand,bHand,gHand
4,0,0.9234555,-0.2470328,0.2164855,-0.900868,3.586907,-2.82062,-1.111389,-0.01908874,0,0,0.5729474,0.0444963,-0.4218872,-0.3804746,4.092242,-0.4731731,0.1560514,-0.04311866,-0.03739832,-0.7482684,1.813455,-0.062494,0.2245854,1.194851,0.7319825,313.9863,293.3593,37.93754
4,0.01111111,0.8969748,-0.2993442,0.2092756,-0.9011546,3.594094,-2.834235,-1.111554,-0.01475835,0,0,0.476343,0.01999432,-0.3785205,-0.3826526,4.087293,-0.470625,0.1499248,-0.05388558,0.02439605,-0.745887,1.812232,-0.06304421,0.228056,1.191335,0.7294553,314.4317,294.4063,37.50704
4,0.02222222,0.8413088,-0.2587891,0.2308967,-0.9040532,3.597131,-2.843228,-1.11153,0.002520174,0,0,0.4437525,-0.03236681,-0.3187858,-0.3831405,4.080825,-0.4685904,0.1469688,-0.063595,0.07978569,-0.7429436,1.810914,-0.06361333,0.2310473,1.187637,0.7267285,314.874,295.165,37.18148
4,0.03333334,0.7897418,-0.2020897,0.2663655,-0.9087856,3.599635,-2.851398,-1.111341,0.017301,0,0,0.4521871,-0.07393897,-0.3200943,-0.3855474,4.070872,-0.4649735,0.1451738,-0.05946411,0.1373326,-0.7392557,1.81044,-0.06480855,0.2334462,1.183696,0.7238113,315.336,295.7091,36.78074
4,0.04444445,0.7693076,-0.1710864,0.2829869,-0.9120975,3.602022,-2.860631,-1.109542,0.1645615,0,0,0.4388537,-0.07152975,-0.3828224,-0.3907853,4.061818,-0.4610515,0.1516547,-0.05099435,0.1437085,-0.7376583,1.810322,-0.06664561,0.2352609,1.179474,0.7209163,315.7757,296.1473,36.16183
4,0.05555556,0.7670979,-0.1763634,0.2895072,-0.9151905,3.606592,-2.871627,-1.109236,0.02674581,0,0,0.4172277,-0.05428857,-0.4230458,-0.3962544,4.054833,-0.4585449,0.1453143,-0.03388727,0.134199,-0.7365702,1.810711,-0.06831647,0.2365471,1.175155,0.7183487,316.1558,296.8211,35.12448
4,0.06666667,0.7351395,-0.1615354,0.2859288,-0.9177977,3.609236,-2.88033,-1.110782,-0.1411224,0,0,0.4055166,-0.005271137,-0.4344334,-0.4011839,4.051785,-0.4598201,0.1048953,-0.01657099,0.1259395,-0.7354623,1.811338,-0.06860836,0.2374458,1.171027,0.7160491,316.4883,297.5978,33.98266
4,0.07777778,0.6454303,-0.09981351,0.296441,-0.9217419,3.609511,-2.884334,-1.111697,-0.08216754,0,0,0.3768657,0.1109058,-0.4507349,-0.40791,4.056316,-0.4674444,0.089943,-0.01111427,0.1121782,-0.7347235,1.811479,-0.06927015,0.2381124,1.167315,0.7137369,316.8402,298.2061,33.12411
4,0.08888889,0.5908765,-0.06670032,0.3170252,-0.9259747,3.610391,-2.88953,-1.110895,0.07409475,0,0,0.3429408,0.1588823,-0.4427879,-0.4136198,4.058666,-0.4722914,0.09203448,-0.003630973,0.09620585,-0.7342692,1.811849,-0.07060146,0.2386545,1.164051,0.7112361,317.1498,298.5936,32.5347
4,0.1,0.5213662,-0.04635821,0.3398227,-0.9311418,3.612246,-2.893711,-1.107876,0.2755365,0,0,0.2636759,0.2578718,-0.3958816,-0.4185381,4.067568,-0.4807892,0.11554,0.009014703,0.09397818,-0.7333217,1.812754,-0.0734625,0.2391095,1.161168,0.7088825,317.3613,298.9219,31.9806
4,0.1111111,0.442351,-0.02715401,0.3581986,-0.9357623,3.613197,-2.896323,-1.108882,-0.09392326,0,0,0.1899402,0.3301544,-0.3171778,-0.4221712,4.080286,-0.4919676,0.1153735,-0.02402736,0.1013539,-0.7318846,1.810859,-0.07334026,0.2394185,1.158665,0.7070251,317.4655,299.4132,31.38165
