ref,t,emg1,emg2,emg1raw,emg2raw,aDotS,bDotS,gDotS,aS,bS,gS,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH
73.00003,0,383,394,495,491,-0.2375118,0.1002434,-0.3097493,-0.7350106,-2.958966,-0.3184869,-0.09202231,-0.06086736,0.01517782,-0.3191479,2.77875,2.515013
73.00003,0.01111111,383,394,495,491,-0.23987,0.1214062,-0.3206387,-0.7356035,-2.965296,-0.3110796,-0.08246379,-0.04910965,0.01829874,-0.3191724,2.777454,2.516962
73.00003,0.02222222,383,394,495,491,-0.23987,0.1214062,-0.3206387,-0.7356035,-2.965296,-0.3110796,-0.08246379,-0.04910965,0.01829874,-0.3191724,2.777454,2.516962
73.00003,0.03333334,381,396,492,490,-0.2349557,0.1682019,-0.3307995,-0.7378597,-2.979064,-0.2952055,-0.03874504,-0.0681278,0.01068133,-0.3206419,2.774648,2.519598
73.00003,0.04444445,381,396,492,490,-0.2349557,0.1682019,-0.3307995,-0.7378597,-2.979064,-0.2952055,-0.03874504,-0.0681278,0.01068133,-0.3206419,2.774648,2.519598
73.00003,0.05555556,381,396,492,490,-0.2362483,0.2066361,-0.3227053,-0.7417489,-2.995763,-0.2755669,-0.09411175,-0.07255885,0.01520672,-0.3222542,2.769385,2.52825
73.00003,0.06666667,381,396,492,490,-0.2396077,0.2386843,-0.3134767,-0.7443732,-3.001834,-0.2684674,-0.009697076,-0.1158811,0.03729313,-0.3237142,2.761805,2.533046
73.00003,0.07777778,381,396,492,490,-0.2365957,0.2718417,-0.3042983,-0.747503,-3.00781,-0.2615448,-0.004489142,-0.08924396,0.03187379,-0.3237445,2.761031,2.533631
73.00003,0.08888889,362,403,507,489,-0.227095,0.2891911,-0.2939426,-0.7513204,-3.015063,-0.2535383,-0.02367126,-0.07115356,0.04363357,-0.3232172,2.759227,2.536423
73.00003,0.1,362,403,507,489,-0.2163418,0.2872889,-0.281207,-0.7536975,-3.020058,-0.2477954,-0.04066934,-0.07012052,0.05436403,-0.3233014,2.755469,2.540993
73.00003,0.1111111,362,403,507,489,-0.2053314,0.2682905,-0.2746431,-0.7554307,-3.024402,-0.2448148,-0.06404658,-0.0723161,0.06300066,-0.3235506,2.751406,2.545977
73.00003,0.1222222,362,403,507,489,-0.2008979,0.2481197,-0.2712277,-0.7567835,-3.029118,-0.2393063,-0.06076219,-0.08186045,0.07473259,-0.3238548,2.746039,2.551661
73.00003,0.1333333,362,403,507,489,-0.1940661,0.2099234,-0.2708125,-0.7581711,-3.034036,-0.2356583,-0.06508778,-0.0690935,0.07046176,-0.3236881,2.743999,2.554398
73.00003,0.1444445,362,403,507,489,-0.1940661,0.2099234,-0.2708125,-0.7581711,-3.034036,-0.2356583,-0.06508778,-0.0690935,0.07046176,-0.3236881,2.743999,2.554398
73.00003,0.1555556,375,393,497,488,-0.1817396,0.1291,-0.2667402,-0.7576454,-3.042404,-0.2257807,-0.0651271,-0.05523876,0.07363285,-0.3234111,2.737604,2.562003
73.00003,0.1666667,375,393,497,488,-0.1769934,0.08026862,-0.2619767,-0.7571293,-3.047284,-0.2216325,-0.07045897,-0.05847467,0.07152362,-0.3239299,2.734464,2.566004
73.00003,0.1777778,375,393,497,488,-0.1746038,0.05053264,-0.2552547,-0.7561822,-3.050885,-0.2171483,-0.06408138,-0.06165861,0.06512596,-0.3241658,2.731332,2.569389
73.00003,0.1888889,348,385,501,492,-0.1678723,0.0187111,-0.2506872,-0.7553145,-3.054962,-0.2135078,-0.07361809,-0.06487157,0.07370922,-0.3242649,2.726597,2.574987
73.00003,0.2,348,385,501,492,-0.1666559,0.001725025,-0.2462363,-0.7542642,-3.058456,-0.2091599,-0.07465095,-0.07552002,0.07481238,-0.3247022,2.722328,2.580121
73.00003,0.2111111,348,385,501,492,-0.1633083,-0.01735996,-0.2417624,-0.7532101,-3.061795,-0.2048056,-0.07466089,-0.06805946,0.07690726,-0.3247906,2.719616,2.583385
73.00003,0.2222222,348,385,501,492,-0.1663253,-0.03432735,-0.2330231,-0.7518376,-3.064841,-0.2006266,-0.07253301,-0.04990909,0.08963397,-0.3239847,2.716003,2.587539
73.00003,0.2333333,348,385,501,492,-0.163003,-0.04169989,-0.2297301,-0.7510572,-3.067587,-0.1976715,-0.08422944,-0.05098978,0.0950153,-0.3237504,2.712106,2.592623
73.00003,0.2444444,446,386,494,491,-0.1585977,-0.0404356,-0.2169931,-0.7503701,-3.070521,-0.1948177,-0.06930023,-0.04772744,0.1013259,-0.3234921,2.70777,2.597066
73.00003,0.2555556,446,386,494,491,-0.1543738,-0.02860168,-0.2096993,-0.750042,-3.073519,-0.1910445,-0.07795006,-0.08625016,0.04714582,-0.325891,2.707025,2.598954
73.00003,0.2666667,446,386,494,491,-0.1470354,-0.002924595,-0.2068514,-0.7505704,-3.077115,-0.1876016,-0.04675113,-0.1073249,0.09712039,-0.3263054,2.69623,2.608849
73.00003,0.2777778,446,386,494,491,-0.1440665,0.03229907,-0.203016,-0.7516389,-3.080591,-0.1835717,-0.05868398,-0.06158851,0.08428557,-0.3250777,2.6958,2.61017
73.00003,0.2888889,446,386,494,491,-0.1399678,0.06765714,-0.1906809,-0.7532464,-3.084041,-0.1797506,-0.05231194,-0.05090147,0.0874151,-0.3248854,2.693106,2.6132
73.00003,0.3,403,384,494,489,-0.1412531,0.1039401,-0.1846991,-0.7551287,-3.087333,-0.1757484,-0.04808287,-0.04023106,0.08843285,-0.3244811,2.690233,2.616334
73.00003,0.3111111,403,384,494,489,-0.1445528,0.1306872,-0.173317,-0.7569301,-3.091116,-0.1713883,-0.04488585,-0.03915678,0.08948322,-0.3244124,2.68654,2.620256
73.00003,0.3222222,403,384,494,489,-0.1404141,0.1639479,-0.1556161,-0.7595894,-3.093488,-0.1682425,-0.03849897,-0.03486792,0.09157263,-0.3240769,2.683238,2.623598
73.00003,0.3333333,403,384,494,489,-0.1319526,0.1876745,-0.1367695,-0.7622201,-3.095693,-0.1652651,-0.03419799,-0.0423012,0.09475966,-0.3242084,2.679332,2.627591
73.00003,0.3444445,363,385,506,492,-0.1223231,0.1942937,-0.1230571,-0.7644135,-3.097584,-0.162856,-0.0310144,-0.05617268,0.08305927,-0.3249392,2.676251,2.630835
73.00003,0.3555556,363,385,506,492,-0.1223231,0.1942937,-0.1230571,-0.7644135,-3.097584,-0.162856,-0.0310144,-0.05617268,0.08305927,-0.3249392,2.676251,2.630835
73.00003,0.3666667,363,385,506,492,-0.1016127,0.1661722,-0.08133437,-0.7674399,-3.09984,-0.1594978,-0.02576646,-0.06899325,0.05749336,-0.326168,2.672108,2.635202
73.00003,0.3777778,363,385,506,492,-0.08841066,0.1292201,-0.05970318,-0.7675539,-3.100264,-0.1587915,-0.0535341,-0.06700122,0.04163913,-0.3267539,2.671071,2.637337
73.00003,0.3888889,363,385,506,492,-0.08053944,0.08253767,-0.04751275,-0.7669957,-3.100761,-0.1578253,-0.03754846,-0.07121415,0.04050773,-0.3274133,2.66847,2.639761
73.00003,0.4,335,376,503,493,-0.07271808,0.04117082,-0.03643022,-0.7661424,-3.100633,-0.1573603,-0.0271161,-0.02541709,0.02224677,-0.3263917,2.670646,2.637236
73.00003,0.4111111,335,376,503,493,-0.06040944,-0.01600524,-0.01241718,-0.7642079,-3.099542,-0.1582674,-0.03143486,-0.01264729,0.02009996,-0.3260487,2.670783,2.637655
73.00003,0.4222222,335,376,503,493,-0.04284484,-0.07102033,0.009422138,-0.762014,-3.097749,-0.1594743,-0.03680267,-0.009486489,0.01372532,-0.3260774,2.670907,2.63814
73.00003,0.4333333,335,376,503,493,-0.0297716,-0.09846096,0.0245747,-0.7601668,-3.096222,-0.160627,-0.02729058,-0.01270138,-0.0033433,-0.3266356,2.671303,2.637823
73.00003,0.4444444,361,377,506,492,-0.004932418,-0.1246466,0.04815902,-0.7581327,-3.093763,-0.1632113,-0.01563729,-0.01269648,-0.0161833,-0.3270884,2.672635,2.636438
73.00003,0.4555556,361,377,506,492,0.0155713,-0.1455754,0.06744527,-0.7563708,-3.09139,-0.1656007,-0.009257616,-0.007332433,-0.01304526,-0.3270159,2.673533,2.635627
73.00003,0.4666667,361,377,506,492,0.03502144,-0.1643737,0.08882989,-0.7541577,-3.088819,-0.1685296,-0.009274653,-0.005207288,-0.01518105,-0.3271182,2.674078,2.635223
73.00003,0.4777778,361,377,506,492,0.0480552,-0.1832377,0.1081416,-0.7518535,-3.085594,-0.1717153,-0.005071871,0.009713164,-0.01737543,-0.3268013,2.675826,2.633443
73.00003,0.4888889,361,377,506,492,0.053509,-0.1851278,0.1262085,-0.7499366,-3.083016,-0.1743204,-0.005161081,0.01928123,-0.02806755,-0.326691,2.679051,2.630543
73.00003,0.5,339,377,501,490,0.05881323,-0.1743396,0.1345733,-0.7486662,-3.080056,-0.1773106,0.003263316,0.02566097,-0.04410367,-0.3267315,2.682484,2.627002
73.00003,0.5111111,339,377,501,490,0.07667775,-0.134568,0.154308,-0.7481869,-3.076482,-0.1811466,0.01387838,0.02673353,-0.05481346,-0.3269712,2.685507,2.623462
73.00003,0.5222223,339,377,501,490,0.08623946,-0.1109815,0.1613766,-0.7485725,-3.073429,-0.1848021,0.01810422,0.02672901,-0.06229061,-0.3271736,2.688489,2.620315
73.00003,0.5333334,339,377,501,490,0.09982768,-0.06603248,0.1703697,-0.7496495,-3.070271,-0.1885912,0.02871633,0.0278029,-0.06873728,-0.3275134,2.6913,2.617138
73.00003,0.5444446,409,350,503,493,0.1081466,-0.02752357,0.1784015,-0.7508516,-3.067202,-0.1925087,0.03510588,0.02141879,-0.07301475,-0.3280184,2.693894,2.614165
73.00003,0.5555557,409,350,503,493,0.1081466,-0.02752357,0.1784015,-0.7508516,-3.067202,-0.1925087,0.03510588,0.02141879,-0.07301475,-0.3280184,2.693894,2.614165
73.00003,0.5666668,409,350,503,493,0.1101181,-0.001908112,0.1812831,-0.7519163,-3.064487,-0.1957892,0.03822926,0.0256599,-0.08474636,-0.3282357,2.697463,2.610319
73.00003,0.577778,409,350,503,493,0.1121376,0.0151884,0.1842904,-0.7530748,-3.061206,-0.199304,0.04025964,0.03948971,-0.09331976,-0.3282218,2.702274,2.605461
73.00003,0.5888891,409,350,503,493,0.1109872,0.0290531,0.1862682,-0.7542503,-3.058417,-0.2025291,0.0402025,0.05013158,-0.09760823,-0.3280876,2.706943,2.600587
73.00003,0.6000003,409,350,503,493,0.1108543,0.03850012,0.17443,-0.7550994,-3.056478,-0.2052733,0.04237149,0.03840307,-0.100762,-0.3286564,2.709152,2.597806
73.00003,0.6111114,367,350,503,494,0.111906,0.038483,0.1722927,-0.755893,-3.053967,-0.2083721,0.04135966,0.02882277,-0.09647132,-0.3291102,2.711771,2.594881
73.00003,0.6222225,367,350,503,494,0.1097389,0.03839002,0.1680681,-0.7563984,-3.051032,-0.2114901,0.03711227,0.03095667,-0.08901601,-0.3292844,2.71507,2.591676
73.00003,0.6333337,367,350,503,494,0.107593,0.0318732,0.1585684,-0.7568741,-3.048967,-0.2141464,0.03070729,0.03732768,-0.08580032,-0.3292626,2.718015,2.588852
73.00003,0.6444448,367,350,503,494,0.1075754,0.02544301,0.1533196,-0.7577077,-3.046825,-0.2164873,0.02434714,0.04266142,-0.07620692,-0.3290687,2.721033,2.585835
73.00003,0.655556,365,339,497,492,0.1086338,0.02437666,0.1522564,-0.7583356,-3.044606,-0.2192458,0.02756462,0.04055436,-0.07194851,-0.3290996,2.723246,2.583413
73.00003,0.6666671,365,339,497,492,0.09684573,0.01877171,0.1353496,-0.7585961,-3.043205,-0.2210466,0.02756359,0.04375571,-0.06982612,-0.3289856,2.726069,2.580435
73.00003,0.6777782,365,339,497,492,0.09042771,0.01547776,0.1290508,-0.7593541,-3.041188,-0.2232171,0.01800339,0.05121714,-0.05701758,-0.3284748,2.728308,2.57846
73.00003,0.6888894,365,339,497,492,0.07870325,0.005683795,0.1175173,-0.7594765,-3.03982,-0.2247756,0.01591496,0.04589612,-0.05166727,-0.3284051,2.730026,2.576732
73.00003,0.7000005,365,339,497,492,0.06693848,-0.0009738021,0.1027452,-0.7593045,-3.038758,-0.2259964,0.0116978,0.02990191,-0.0537403,-0.3288082,2.731858,2.574989
73.00003,0.7111117,335,341,502,492,0.05726983,-0.003340559,0.08791646,-0.75937,-3.037942,-0.2269546,0.0138901,0.02247039,-0.0452112,-0.328976,2.732629,2.574112
73.00003,0.7222228,335,341,502,492,0.04863235,0.001803838,0.07618197,-0.7598004,-3.037425,-0.227614,0.01818115,0.02357424,-0.03775225,-0.3285728,2.732955,2.573484
73.00003,0.7333339,335,341,502,492,0.04747378,0.007097194,0.07188724,-0.76061,-3.036201,-0.2286239,0.01822634,0.02572952,-0.02604105,-0.3283427,2.73347,2.572845
73.00003,0.7444451,335,341,502,492,0.03670747,0.01436852,0.0622835,-0.7610403,-3.035732,-0.2290633,0.01401121,0.02788924,-0.01642925,-0.3276828,2.734086,2.572118
73.00003,0.7555562,326,332,506,493,0.02703419,0.02170858,0.05693896,-0.7617732,-3.035095,-0.2295751,0.01507942,0.03004391,-0.01324805,-0.3272716,2.735446,2.570705
73.00003,0.7666674,326,332,506,493,0.01840936,0.02152172,0.04528182,-0.7621743,-3.034782,-0.2293855,0.01404542,0.02685537,-0.008973657,-0.3270783,2.735766,2.570263
73.00003,0.7777785,326,332,506,493,0.01089393,0.02246537,0.03893951,-0.762593,-3.034246,-0.2296114,0.0119643,0.02047536,-0.003612385,-0.326854,2.735426,2.570489
73.00003,0.7888896,326,332,506,493,0.006530566,0.02123188,0.02620226,-0.7629461,-3.034264,-0.2291576,0.008794563,0.0194133,0.001732493,-0.3265888,2.735356,2.570576
73.00003,0.8000008,326,332,506,493,0.0001692306,0.02007098,0.02091704,-0.7632492,-3.034463,-0.2296454,0.006682763,0.01729372,0.00387789,-0.3262692,2.735721,2.570194
73.00003,0.8111119,331,319,494,492,-0.0062763,0.01996073,0.01454844,-0.7635331,-3.03494,-0.2288577,0.006695267,0.01409808,0.00494936,-0.3262426,2.735574,2.570324
73.00003,0.8222231,331,319,494,492,-0.008553946,0.0261532,-0.001489107,-0.7638718,-3.035736,-0.2281077,0.006707117,0.01089918,0.004967182,-0.3261525,2.73507,2.570712
73.00003,0.8333342,331,319,494,492,-0.01177236,0.02933464,-0.001507273,-0.7643741,-3.035926,-0.2277631,0.003553013,0.005578525,0.009245308,-0.3261222,2.734946,2.570833
73.00003,0.8444453,331,319,494,492,-0.01609062,0.03351671,-0.005789335,-0.7648247,-3.036346,-0.2271666,-0.001758187,0.005568508,0.01246653,-0.3259437,2.734479,2.57145
73.00003,0.8555565,331,319,494,492,-0.02144528,0.03454351,-0.007881168,-0.765563,-3.036434,-0.2266153,-0.007103488,0.01300325,0.0124719,-0.3256226,2.73471,2.571349
73.00003,0.8666676,325,301,502,494,-0.02043867,0.04091761,-0.01009176,-0.7661478,-3.036879,-0.2260859,-0.009186707,0.006617979,0.01782487,-0.3255107,2.733519,2.572637
73.00003,0.8777788,325,301,502,494,-0.02046842,0.04841149,-0.008046541,-0.7670804,-3.037217,-0.2257397,-0.00707613,0.001299084,0.01356053,-0.325547,2.733735,2.57268
73.00003,0.8888899,325,301,502,494,-0.01853772,0.07287693,-0.0126019,-0.7685058,-3.038127,-0.2249167,-0.007085333,-0.001907813,0.00930763,-0.3256726,2.733586,2.572895
73.00003,0.900001,325,301,502,494,-0.0207364,0.08352634,-0.01164494,-0.7696807,-3.038678,-0.2242083,-0.007091358,-0.002980995,0.00824013,-0.3257424,2.733343,2.573272
