loc,t,aDotS,bDotS,gDotS,aS,bS,gS,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH,aDotUB,bDotUB,gDotUB,aUB,bUB,gUB,xHand,yHand,zHand,aHand,bHand,gHand
2,0,-0.3911473,-0.2146557,0.133917,-1.296266,-0.551742,-1.386727,-0.2314542,0.05544591,-0.1639584,-0.3285542,-1.026512,1.832592,0.00151597,0.1538933,-0.001812115,-1.066668,-2.265143,1.436529,-0.698384,1.12183,-0.307163,284.3372,219.2751,353.6262
2,0.01111111,-0.3644977,-0.2209069,0.1445824,-1.297475,-0.5489505,-1.384238,-0.2228678,0.0500218,-0.1555628,-0.3298447,-1.024307,1.832663,-0.0005843416,0.1540164,-0.007149212,-1.067152,-2.263243,1.435678,-0.6983433,1.120244,-0.3089665,284.5537,219.406,353.4245
2,0.02222222,-0.3017371,-0.1961765,0.1381104,-1.298081,-0.547588,-1.383285,-0.2109507,0.04556125,-0.1376096,-0.3306362,-1.024232,1.834404,-0.01011001,0.1564353,-0.02101062,-1.068327,-2.261356,1.435222,-0.6978806,1.119724,-0.3104085,284.6588,219.9173,352.6593
2,0.03333334,-0.2794942,-0.1609314,0.1412079,-1.299595,-0.5465675,-1.381129,-0.2077853,0.03803664,-0.1366043,-0.3320099,-1.023991,1.836283,-0.01219424,0.1555488,-0.02850697,-1.069121,-2.259506,1.43457,-0.6974786,1.119117,-0.3118763,284.7711,219.8253,352.5416
2,0.04444445,-0.2573097,-0.1096689,0.1506315,-1.301509,-0.5469174,-1.378952,-0.2002663,0.03582534,-0.1303133,-0.3331183,-1.022014,1.83641,-0.0228195,0.1435405,-0.02036013,-1.069316,-2.258275,1.434634,-0.6970392,1.118628,-0.3132915,284.8356,220.0366,352.1349
2,0.05555556,-0.2222865,-0.07121637,0.1462688,-1.303045,-0.5468737,-1.377659,-0.183106,0.03029996,-0.1188259,-0.3340051,-1.021826,1.837553,-0.03448919,0.1283031,-0.01123709,-1.069398,-2.257282,1.434874,-0.6965666,1.118423,-0.3146573,284.7784,220.3426,351.7319
2,0.06666667,-0.1914265,-0.05939747,0.1409126,-1.304222,-0.5463539,-1.376795,-0.165858,0.04185362,-0.1094035,-0.3346741,-1.018643,1.835805,-0.04301775,0.1227307,-0.003969159,-1.069376,-2.255895,1.434956,-0.6960155,1.118511,-0.3158349,284.7173,220.7316,351.2928
2,0.07777778,-0.1082579,-0.07934869,0.1378246,-1.305321,-0.5443954,-1.378772,-0.1538774,0.0555649,-0.09670717,-0.3350241,-1.014912,1.833621,-0.04611934,0.107772,-0.003314344,-1.069626,-2.255091,1.435148,-0.6954992,1.119658,-0.3164744,284.5329,221.5455,350.5262
2,0.08888889,-0.09121493,-0.07824273,0.1292938,-1.306108,-0.5433658,-1.378536,-0.137671,0.06498305,-0.08408423,-0.335244,-1.011447,1.831327,-0.05239324,0.09948453,-0.01421976,-1.070246,-2.254247,1.435517,-0.6949601,1.120234,-0.3172557,284.4419,222.2167,349.7944
2,0.1,-0.05075095,-0.07172383,0.1271614,-1.307231,-0.5423719,-1.379511,-0.1119071,0.07221793,-0.07264175,-0.3352153,-1.007618,1.828078,-0.04910479,0.08898757,-0.01980522,-1.070842,-2.253674,1.435784,-0.6943557,1.121712,-0.3179398,284.2447,223.2543,348.6799
2,0.1111111,0.002528325,-0.07475483,0.1176132,-1.30802,-0.5412688,-1.381559,-0.09580114,0.06992228,-0.06112969,-0.3352925,-1.005415,1.826479,-0.05220926,0.08279616,-0.02850741,-1.071554,-2.252959,1.436135,-0.6936885,1.12281,-0.3185887,284.1077,224.1719,347.6875
2,0.1222222,0.07591937,-0.0404571,0.1004801,-1.308332,-0.541753,-1.384649,-0.0530577,0.05249634,-0.04041712,-0.3350363,-1.004892,1.825134,-0.05107845,0.07430415,-0.02979749,-1.072128,-2.252547,1.436417,-0.6930828,1.124249,-0.3192536,284.0016,225.4173,346.3801
2,0.1333333,0.09819366,-0.01589329,0.0961512,-1.309307,-0.5421184,-1.386155,-0.01994466,0.03833551,-0.02383682,-0.3348696,-1.005018,1.824712,-0.05088878,0.05103702,-0.03679576,-1.072811,-2.252958,1.437244,-0.6926562,1.126329,-0.3196321,283.6527,227.4912,344.2471
2,0.1444445,0.127841,0.03423607,0.0768471,-1.310109,-0.5442851,-1.38778,0.007877905,0.03061387,-0.009294366,-0.3344797,-1.00503,1.82377,-0.04436854,0.0395818,-0.04558741,-1.073715,-2.253001,1.437521,-0.6921768,1.128316,-0.3199672,283.3929,228.9205,342.7946
2,0.1555556,0.1543168,0.08116304,0.06393084,-1.310826,-0.5466122,-1.389836,0.02814291,0.03152198,-0.007399352,-0.334297,-1.003692,1.821785,-0.03891465,0.02154045,-0.04708596,-1.074222,-2.253468,1.438012,-0.6918315,1.130797,-0.3200562,283.1419,230.0187,341.7131
2,0.1666667,0.1979832,0.08764463,0.04262531,-1.310817,-0.5477148,-1.393087,0.05698112,0.02594425,0.001812166,-0.3339487,-1.003551,1.820089,-0.03349607,0.0143126,-0.05470072,-1.075057,-2.253682,1.438312,-0.691432,1.133289,-0.3202283,282.9256,231.3454,340.4061
2,0.1777778,0.2331913,0.07704473,0.01817074,-1.310275,-0.5482889,-1.396546,0.08140353,0.008724689,0.00570344,-0.3338661,-1.003991,1.818892,-0.03125627,0.008238163,-0.06656651,-1.076134,-2.254007,1.438718,-0.6912792,1.136805,-0.3201058,282.677,233.992,337.8582
2,0.1888889,0.2727215,0.05150715,-0.01794592,-1.308869,-0.5482256,-1.400867,0.1134994,-0.004372016,0.02443345,-0.3331055,-1.006204,1.818596,-0.02782628,-0.01256955,-0.08519751,-1.077546,-2.254996,1.439583,-0.6910757,1.139973,-0.3200403,282.4992,236.6642,335.2739
2,0.2,0.3015881,0.03019058,-0.05833224,-1.307149,-0.5484104,-1.405032,0.1274591,-0.0151674,0.03913893,-0.332232,-1.007414,1.81781,-0.02334958,-0.04558155,-0.08495481,-1.078278,-2.256868,1.440569,-0.6909565,1.14404,-0.3199607,282.3702,240.7321,331.3264
2,0.2111111,0.3133107,0.03333901,-0.08709871,-1.305317,-0.5492322,-1.408678,0.1426478,-0.007884458,0.05708808,-0.331113,-1.007239,1.815691,-0.0231014,-0.0741211,-0.09421487,-1.079388,-2.259098,1.441766,-0.6909673,1.148496,-0.3198156,282.2734,245.0812,327.0985
2,0.2222222,0.327093,0.05564411,-0.1265808,-1.302977,-0.5511848,-1.412068,0.1674028,-0.01776019,0.08337896,-0.3295321,-1.009974,1.815641,-0.02170612,-0.08907552,-0.1340208,-1.081993,-2.261199,1.442949,-0.6911289,1.153676,-0.3195084,282.1992,249.8886,322.4486
2,0.2333333,0.3291607,0.0747882,-0.1362287,-1.301389,-0.5528307,-1.415369,0.1890141,-0.02122208,0.1107941,-0.327695,-1.012464,1.815384,-0.02047145,-0.0883299,-0.1627715,-1.084737,-2.262526,1.443603,-0.6912653,1.158689,-0.3193402,282.1356,254.3479,318.1454
2,0.2444444,0.3386107,0.1215779,-0.1779332,-1.298283,-0.5565186,-1.418625,0.2170226,-0.02686891,0.1391927,-0.325344,-1.015846,1.815208,-0.02228506,-0.1088493,-0.1942128,-1.087795,-2.265163,1.44514,-0.6915689,1.164915,-0.3190745,281.9768,258.5943,314.0316
2,0.2555556,0.3395718,0.1534579,-0.2025358,-1.29568,-0.5597698,-1.421511,0.2310522,-0.03663629,0.1602839,-0.3232428,-1.019433,1.815779,-0.02093928,-0.1295126,-0.2192451,-1.090682,-2.267987,1.4466,-0.6921381,1.171593,-0.3187057,281.8761,262.513,310.1689
2,0.2666667,0.3362447,0.1906936,-0.2133023,-1.293497,-0.5636367,-1.42408,0.2473329,-0.04539615,0.1898796,-0.3203506,-1.024407,1.817148,-0.004864082,-0.1410402,-0.2226474,-1.093031,-2.270544,1.447292,-0.6927736,1.178232,-0.3183889,281.766,266.4818,306.2872
2,0.2777778,0.2953371,0.3171709,-0.2574074,-1.290267,-0.5720949,-1.423876,0.2690783,-0.03181359,0.217369,-0.3170227,-1.02617,1.815162,0.008034885,-0.1645488,-0.2167852,-1.094843,-2.273677,1.448252,-0.6936996,1.185937,-0.3177918,281.4045,270.4039,302.4618
2,0.2888889,0.263186,0.3734334,-0.2831676,-1.28712,-0.5790623,-1.423733,0.2823537,-0.02566189,0.2534536,-0.3130876,-1.029574,1.814767,0.01242182,-0.1815051,-0.2193269,-1.097027,-2.276933,1.44946,-0.6949099,1.194229,-0.317281,280.9764,273.9695,299.0989
2,0.3,0.2407051,0.4084048,-0.3141825,-1.283489,-0.5855066,-1.423837,0.2977126,-0.03551978,0.2947766,-0.3087882,-1.035194,1.816243,0.02764991,-0.2250141,-0.222497,-1.09925,-2.281744,1.450653,-0.6962379,1.202825,-0.3166677,280.543,278.2431,295.0646
2,0.3111111,0.2118803,0.4326742,-0.3590225,-1.27882,-0.5922444,-1.423394,0.3139563,-0.04747146,0.3232947,-0.3045591,-1.041966,1.818639,0.03637964,-0.2514449,-0.2284543,-1.101549,-2.286324,1.451996,-0.6974896,1.21141,-0.3159672,280.3925,283.1049,290.299
2,0.3222222,0.1649342,0.4653015,-0.4315856,-1.272716,-0.5997774,-1.421534,0.3471956,-0.07127208,0.3547518,-0.3001415,-1.050797,1.822086,0.05704038,-0.3064135,-0.2403968,-1.103961,-2.292518,1.453549,-0.6991308,1.220786,-0.3154605,280.4213,288.7315,284.6647
