loc,t,aDotS,bDotS,gDotS,aS,bS,gS,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH,aDotUB,bDotUB,gDotUB,aUB,bUB,gUB,xHand,yHand,zHand,aHand,bHand,gHand
3,0.1888889,0.1689244,0.2278179,0.07822141,-1.218357,-0.3323039,-1.501712,-0.004731148,-0.1466548,0.1114921,-0.3828246,-0.7583873,1.591057,-0.1769598,-0.06779537,-0.323304,-0.8492506,-2.324246,1.470963,-0.6827452,1.095868,-0.3041468,290.5758,230.1716,344.1991
3,0.2,0.2019535,0.2310742,0.07181497,-1.21922,-0.3352281,-1.504152,0.0004407316,-0.1476891,0.0965215,-0.3822595,-0.7629578,1.59512,-0.1641665,-0.07016064,-0.3295928,-0.8530291,-2.325917,1.473432,-0.6826336,1.096753,-0.303603,290.5949,231.2311,343.2968
3,0.2111111,0.2232408,0.2385795,0.07071464,-1.220147,-0.3382806,-1.50635,0.01614258,-0.138047,0.06336769,-0.3827735,-0.7655864,1.596846,-0.1618176,-0.06493457,-0.3293065,-0.8566217,-2.327128,1.475919,-0.6826182,1.097997,-0.3031153,290.5956,232.1587,342.5126
3,0.2222222,0.2444823,0.2610239,0.07698642,-1.221152,-0.3419158,-1.508482,0.03525854,-0.1263792,0.051503,-0.3826323,-0.7683294,1.598351,-0.1617421,-0.06095278,-0.3227213,-0.8599709,-2.327747,1.478008,-0.6825513,1.099267,-0.3024479,290.5617,233.2831,341.5986
3,0.2333333,0.267855,0.2866539,0.07793758,-1.2223,-0.3461886,-1.51084,0.06413004,-0.0945361,0.04493601,-0.3824422,-0.7680269,1.596168,-0.1572453,-0.05006256,-0.3082565,-0.862763,-2.327873,1.479663,-0.68256,1.100862,-0.3018455,290.5108,234.2073,340.8406
3,0.2444444,0.2890531,0.3314328,0.07774748,-1.223498,-0.3512774,-1.51307,0.09189977,-0.08722346,0.04787923,-0.3818749,-0.7697909,1.595831,-0.159159,-0.06930483,-0.3059947,-0.8659082,-2.330039,1.482925,-0.6825637,1.10265,-0.3011138,290.4835,234.9608,340.2231
3,0.2555556,0.3230574,0.3656307,0.08292191,-1.224889,-0.3567182,-1.515921,0.1165322,-0.1012726,0.06782111,-0.3805066,-0.7741767,1.597773,-0.1504377,-0.08995958,-0.3057479,-0.8690954,-2.332582,1.485942,-0.6826894,1.104711,-0.3003488,290.4825,235.8401,339.4898
3,0.2666667,0.3612977,0.4062048,0.08594046,-1.226194,-0.3624402,-1.519101,0.1284996,-0.1003495,0.09220535,-0.3787931,-0.7768388,1.598524,-0.1410398,-0.1211622,-0.3081197,-0.8723844,-2.335689,1.488944,-0.6827018,1.106565,-0.2996095,290.4045,236.9462,338.5576
3,0.2777778,0.3739852,0.4446057,0.0900335,-1.22765,-0.3690129,-1.521482,0.1542929,-0.1144412,0.1217236,-0.3765475,-0.7816926,1.600521,-0.1303629,-0.1480357,-0.3134648,-0.8758391,-2.339309,1.492403,-0.682969,1.109027,-0.2988807,290.1952,238.6161,337.1442
3,0.2888889,0.383423,0.5043406,0.1004257,-1.229503,-0.3771649,-1.523185,0.1949514,-0.1093769,0.1373142,-0.3747068,-0.7846141,1.599948,-0.1144786,-0.1754244,-0.3123392,-0.8789358,-2.343029,1.495587,-0.6832471,1.111785,-0.2977714,289.9427,240.0921,335.9968
3,0.3,0.3918536,0.5448517,0.1023821,-1.231115,-0.3848971,-1.525297,0.2259335,-0.1063644,0.1444745,-0.3729033,-0.7877268,1.599358,-0.1042767,-0.1912208,-0.3257048,-0.8827729,-2.346845,1.498842,-0.6835423,1.114889,-0.2968969,289.7871,241.4092,334.9906
3,0.3111111,0.4056737,0.5587006,0.09273499,-1.23215,-0.3919422,-1.527957,0.2602226,-0.08739093,0.1537941,-0.3709565,-0.7885141,1.596035,-0.08984905,-0.21293,-0.3531316,-0.8871048,-2.351361,1.502385,-0.6838391,1.118049,-0.2960242,289.6498,242.943,333.7695
3,0.3222222,0.3959686,0.6042757,0.04565387,-1.232469,-0.4072351,-1.531562,0.3108118,-0.05155256,0.1875193,-0.3659705,-0.7891511,1.588551,-0.03671515,-0.2552466,-0.3179431,-0.8931017,-2.360728,1.507453,-0.6847542,1.125187,-0.2944091,289.3674,246.4365,330.7871
3,0.3333333,0.3959686,0.6042757,0.04565387,-1.232469,-0.4072351,-1.531562,0.3108118,-0.05155256,0.1875193,-0.3659705,-0.7891511,1.588551,-0.03671515,-0.2552466,-0.3179431,-0.8931017,-2.360728,1.507453,-0.6847542,1.125187,-0.2944091,289.3674,246.4365,330.7871
3,0.3444445,0.3841963,0.6222654,0.02213652,-1.232354,-0.4154819,-1.532677,0.3333301,-0.05278346,0.2022046,-0.3632466,-0.7909477,1.585721,-0.01610222,-0.2759277,-0.3270698,-0.8964323,-2.365441,1.509788,-0.6853956,1.12937,-0.2935496,289.2713,247.8448,329.6437
3,0.3555556,0.3735044,0.6370736,0.003962658,-1.232109,-0.4235592,-1.533819,0.3673465,-0.08174592,0.2092103,-0.3607012,-0.7963794,1.585539,-0.01203191,-0.284162,-0.3369865,-0.9002891,-2.370154,1.512722,-0.6861813,1.133665,-0.2928647,289.1879,249.4913,328.2937
3,0.3666667,0.3574409,0.6699167,-0.03026992,-1.231064,-0.432745,-1.534219,0.3862727,-0.1180348,0.2024833,-0.3588647,-0.8035359,1.587385,0.01173186,-0.2851992,-0.357954,-0.9047546,-2.374365,1.514172,-0.6869358,1.137931,-0.2921126,289.0488,251.3838,326.6818
3,0.3777778,0.3232355,0.7144253,-0.06348693,-1.229679,-0.4426877,-1.533412,0.3957994,-0.1468785,0.2107992,-0.356283,-0.8111616,1.58978,0.04512426,-0.3025868,-0.3581909,-0.9085448,-2.379632,1.515817,-0.6879982,1.142835,-0.2914448,288.8353,253.6195,324.6753
