loc,t,aDotS,bDotS,gDotS,aS,bS,gS,qE,qDotE,tpad,enable,emgA,emgB,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH,aDotUB,bDotUB,gDotUB,aUB,bUB,gUB,xHand,yHand,zHand,aHand,bHand,gHand
3,0.1555556,0.003120475,-0.5175216,0.2466002,-1.382353,3.573303,-3.04157,-1.331933,-0.1079473,0,0,11.99413,19.62854,-0.2309536,0.129819,-0.009305058,-0.6022824,3.897921,-0.3594948,-0.1301812,0.1410581,0.3015781,-0.7767887,1.86229,-0.1192305,0.1897246,1.121108,0.6867768,306.4667,323.5452,12.75756
3,0.1666667,-0.01294634,-0.5221549,0.2157809,-1.382982,3.57968,-3.041973,-1.330505,0.1311045,0,0,11.91593,19.9609,-0.2350291,0.192667,-0.001660291,-0.6037855,3.905293,-0.3628941,-0.1284067,0.127143,0.2653647,-0.7752393,1.864037,-0.1191352,0.1883628,1.121118,0.6872991,306.5844,322.6052,13.86353
3,0.1777778,-0.1358556,-0.5313954,0.07243733,-1.378126,3.585188,-3.037364,-1.328616,0.171386,0,0,11.80841,20.0391,-0.2455084,0.45454,0.08642299,-0.6053115,3.931205,-0.3812581,-0.09054755,0.07879002,0.1021284,-0.7795988,1.861979,-0.1178899,0.187168,1.121125,0.6878665,306.6577,321.8134,14.72403
3,0.1888889,-0.1967421,-0.5396713,0.009846549,-1.375802,3.591379,-3.034644,-1.328189,0.03773293,0,0,11.67155,19.86315,-0.2201562,0.5416269,0.1716586,-0.604039,3.947929,-0.3934296,-0.08895368,0.05312812,0.05101498,-0.7804585,1.861404,-0.1164361,0.1860759,1.121151,0.6886251,306.7994,321.2319,15.28911
3,0.2,-0.2970517,-0.5792983,-0.0864004,-1.370747,3.59883,-3.029456,-1.32353,0.4258469,0,0,11.5347,19.49169,-0.1680303,0.5796008,0.2853219,-0.6004208,3.965912,-0.4082996,-0.1051981,0.02121308,0.03521562,-0.780565,1.860073,-0.1137101,0.1850114,1.121167,0.689521,307.0015,320.7834,15.70272
3,0.2111111,-0.3557038,-0.616286,-0.144461,-1.366374,3.606719,-3.025256,-1.325229,-0.1584688,0,0,11.3783,19.03226,-0.1527121,0.5112274,0.3521496,-0.5962024,3.974997,-0.4146347,-0.08823545,-0.01613779,0.04578662,-0.7792223,1.858121,-0.111734,0.1838809,1.121296,0.6908003,307.5146,320.366,15.83907
3,0.2222222,-0.4474312,-0.6578486,-0.2236721,-1.35996,3.615069,-3.018695,-1.323313,0.1772115,0,0,11.23167,18.63148,-0.1718655,0.4142591,0.3787019,-0.5918737,3.980641,-0.4167314,-0.08530577,-0.06729436,0.03944551,-0.7786785,1.854613,-0.1084034,0.1826342,1.121461,0.6922086,308.1414,319.9004,15.97353
3,0.2333333,-0.4474312,-0.6578486,-0.2236721,-1.35996,3.615069,-3.018695,-1.324548,-0.1140334,0,0,11.09482,18.33822,-0.1718655,0.4142591,0.3787019,-0.5918737,3.980641,-0.4167314,-0.08530577,-0.06729436,0.03944551,-0.7786785,1.854613,-0.1084034,0.1811753,1.121676,0.6936931,308.9037,319.2517,16.23756
3,0.2444444,-0.6427734,-0.6974279,-0.3910434,-1.344735,3.630405,-3.002949,-1.330883,-0.5778832,0,0,10.96774,18.17204,-0.2419766,0.01707378,0.3676492,-0.5799577,3.966631,-0.3975359,-0.1022876,-0.1312673,-0.04874721,-0.7818593,1.847422,-0.1003522,0.1794528,1.121907,0.6950909,309.495,318.2824,16.76657
3,0.2555556,-0.6427734,-0.6974279,-0.3910434,-1.344735,3.630405,-3.002949,-1.315053,1.452444,0,0,10.86999,18.21114,-0.2419766,0.01707378,0.3676492,-0.5799577,3.966631,-0.3975359,-0.1022876,-0.1312673,-0.04874721,-0.7818593,1.847422,-0.1003522,0.1764204,1.122252,0.6962449,308.6411,319.3176,14.56145
3,0.2666667,-0.8413705,-0.6984403,-0.5353196,-1.326529,3.643854,-2.981973,-1.330905,-1.461934,0,0,10.81134,18.36755,-0.2669905,-0.1980307,0.355619,-0.5691884,3.954434,-0.3811439,-0.152559,-0.1398054,-0.1974626,-0.7901167,1.841883,-0.09158904,0.1705099,1.122663,0.6980385,308.1944,320.717,10.82186
3,0.2777778,-0.9577078,-0.7070589,-0.6147787,-1.315659,3.650435,-2.968917,-1.311155,1.820229,0,0,10.79179,18.6217,-0.2877805,-0.2226578,0.4260391,-0.5614684,3.953601,-0.3765569,-0.1594264,-0.1632835,-0.2431808,-0.7940763,1.837737,-0.08665633,0.1604065,1.123425,0.7001301,304.8098,324.0601,3.349722
3,0.2888889,-0.9577078,-0.7070589,-0.6147787,-1.315659,3.650435,-2.968917,-1.320852,-0.9029929,0,0,10.80156,18.96383,-0.2877805,-0.2226578,0.4260391,-0.5614684,3.953601,-0.3765569,-0.1594264,-0.1632835,-0.2431808,-0.7940763,1.837737,-0.08665633,0.1488399,1.126021,0.7016783,304.6647,320.8069,2.340312
3,0.3,-1.072917,-0.7315983,-0.6887707,-1.304157,3.657747,-2.955269,-1.334863,-1.270835,0,0,10.85044,19.33529,-0.3020971,-0.2196069,0.4996712,-0.5532254,3.955418,-0.3742703,-0.1607002,-0.1782217,-0.2601973,-0.7971699,1.833844,-0.08207569,0.1382295,1.130955,0.7022448,303.9893,316.9337,2.327415
3,0.3111111,-1.2618,-0.7536932,-0.8147609,-1.279437,3.671111,-2.925656,-1.321781,1.20621,0,0,10.90909,19.58944,-0.3534369,-0.2786993,0.7545551,-0.5279296,3.958372,-0.3675676,-0.1581432,-0.2454152,-0.3038053,-0.8045596,1.822816,-0.0709032,0.1305207,1.137369,0.701151,301.8841,314.3217,2.211577
3,0.3222222,-1.350424,-0.7460231,-0.8720921,-1.266092,3.676547,-2.90904,-1.30298,1.707322,0,0,10.95797,19.65787,-0.4157466,-0.3085798,0.8295553,-0.5155582,3.958329,-0.3608655,-0.1670783,-0.2667439,-0.3431175,-0.8094364,1.817182,-0.06485277,0.1248096,1.143954,0.7016107,300.6639,311.3234,3.237663
3,0.3333333,-1.350424,-0.7460231,-0.8720921,-1.266092,3.676547,-2.90904,-1.319116,-1.487979,0,0,11.00684,19.53079,-0.4157466,-0.3085798,0.8295553,-0.5155582,3.958329,-0.3608655,-0.1670783,-0.2667439,-0.3431175,-0.8094364,1.817182,-0.06485277,0.1200967,1.151165,0.7058193,301.0445,307.5708,5.529422
3,0.3444445,-1.412638,-0.6872661,-0.943871,-1.24032,3.684967,-2.879153,-1.33773,-1.687161,0,0,11.02639,19.24731,-0.506797,-0.3778536,0.9164146,-0.4909021,3.954525,-0.3440034,-0.1803212,-0.2593208,-0.4037437,-0.8197886,1.808822,-0.05493808,0.1176735,1.159738,0.7110851,300.2255,304.6013,8.385581
3,0.3555556,-1.496053,-0.6175107,-0.9730583,-1.227889,3.686137,-2.860543,-1.305645,2.945879,0,0,11.02639,18.88563,-0.5184121,-0.3906519,0.9324573,-0.4792475,3.952714,-0.3363599,-0.1933117,-0.231636,-0.4430957,-0.8258058,1.806151,-0.05062243,0.1178558,1.168336,0.7157876,297.8665,302.6608,11.48871
3,0.3666667,-1.558109,-0.5636187,-0.9989599,-1.21533,3.687068,-2.841874,-1.318354,-1.189268,0,0,10.99707,18.44575,-0.5203462,-0.4013627,0.9590762,-0.467095,3.951072,-0.3293217,-0.2157863,-0.214536,-0.4653096,-0.8315081,1.803265,-0.04571689,0.1177886,1.176362,0.7231879,297.6081,300.5371,14.70727
3,0.3777778,-1.634087,-0.4982145,-1.039847,-1.202073,3.686054,-2.821052,-1.318627,-0.01174552,0,0,10.94819,17.87879,-0.5371724,-0.4035277,0.9869088,-0.4545574,3.949888,-0.3218308,-0.2265024,-0.20386,-0.4780212,-0.8370177,1.800349,-0.04091334,0.1180783,1.184665,0.7307116,297.4433,298.2703,18.13093
3,0.3888889,-1.688611,-0.4624421,-1.065609,-1.188713,3.686335,-2.80116,-1.318051,0.05137612,0,0,10.86999,17.15543,-0.5582517,-0.386499,1.010549,-0.4422184,3.950053,-0.3152075,-0.2352058,-0.1942819,-0.5056658,-0.8434455,1.797437,-0.0362656,0.1184456,1.193159,0.7376569,296.9147,296.6524,20.99468
3,0.4,-1.73346,-0.4521644,-1.089009,-1.174905,3.686265,-2.780276,-1.315932,0.1924932,0,0,10.77224,16.33431,-0.5878406,-0.3598804,1.034291,-0.4293559,3.951937,-0.3091855,-0.2503567,-0.1985196,-0.5321682,-0.8502989,1.793962,-0.03061943,0.1184394,1.201651,0.7436751,296.28,294.7457,23.95909
