loc,t,aDotS,bDotS,gDotS,aS,bS,gS,qE,qDotE,tpad,enable,emgA,emgB,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH,aDotUB,bDotUB,gDotUB,aUB,bUB,gUB,xHand,yHand,zHand,aHand,bHand,gHand
0,0,0.06299664,-0.8151552,0.6741754,-1.254645,3.467255,-2.757602,-1.09667,-0.02996167,0,0,12.77615,17.94722,-0.4991225,0.6656073,-0.6006843,-0.4284355,3.465191,0.04349048,-0.3032768,0.6171104,0.2285988,-0.9835219,1.699768,-0.04347344,0.2133787,1.161376,0.678623,299.9672,322.8542,12.17142
0,0.01111111,0.1044948,-0.7981695,0.6632457,-1.257958,3.477961,-2.763452,-1.096512,0.01454611,0,0,12.6393,17.96676,-0.5084673,0.7199138,-0.584462,-0.433977,3.489374,0.02745666,-0.3064229,0.6203249,0.2328903,-0.9811256,1.708216,-0.04470755,0.2099289,1.159765,0.6792204,300.4397,321.3083,13.21224
0,0.02222222,0.1459394,-0.7969396,0.668503,-1.261568,3.48928,-2.769019,-1.097304,-0.0726101,0,0,12.53177,17.82991,-0.4972022,0.7473934,-0.5205561,-0.4372442,3.511211,0.01266733,-0.3096591,0.6213919,0.2265412,-0.9790723,1.71673,-0.04593127,0.2054382,1.157156,0.6793066,300.7662,320.8302,12.88976
0,0.03333334,0.2077539,-0.8063454,0.6749096,-1.265535,3.501232,-2.777102,-1.097855,-0.0498955,0,0,12.43402,17.62463,-0.4416357,0.7141755,-0.4923565,-0.4416581,3.527209,0.001180579,-0.3032548,0.6255829,0.221297,-0.9771612,1.725476,-0.04796726,0.2002689,1.153766,0.6788798,301.1246,320.7083,11.85133
0,0.04444445,0.2823527,-0.8253853,0.6750294,-1.269099,3.513585,-2.786286,-1.09716,0.06371766,0,0,12.33627,17.42913,-0.4053229,0.6671537,-0.4704375,-0.4462276,3.540076,-0.007243532,-0.3097623,0.6160667,0.2158407,-0.9753417,1.733193,-0.04839363,0.1949206,1.149884,0.677638,301.6308,320.5146,10.67343
0,0.05555556,0.3591022,-0.8478485,0.6591343,-1.271941,3.525885,-2.796468,-1.099086,-0.1769861,0,0,12.22874,17.44868,-0.3698714,0.589157,-0.4166414,-0.4489935,3.548501,-0.01201219,-0.3180678,0.6278581,0.2361338,-0.9723904,1.742255,-0.04976383,0.1897374,1.145861,0.6756349,302.3222,320.3846,9.428698
0,0.06666667,0.4198343,-0.8562919,0.6538619,-1.275368,3.537861,-2.806753,-1.099865,-0.06999262,0,0,12.10166,17.63441,-0.3451956,0.5304163,-0.3829353,-0.4520897,3.55735,-0.01694303,-0.3273695,0.6343408,0.268154,-0.9688612,1.751218,-0.05100832,0.1848784,1.141753,0.6732401,302.8932,320.1825,8.376213
0,0.07777778,0.4474686,-0.842514,0.6430125,-1.27898,3.548767,-2.815277,-1.100386,-0.04760569,0,0,11.92571,17.90812,-0.3336041,0.5251147,-0.3979645,-0.4572403,3.570168,-0.02516075,-0.3243236,0.613004,0.2617739,-0.9665677,1.758605,-0.05178836,0.1805051,1.137528,0.6707107,303.3748,319.9551,7.475715
0,0.08888889,0.4602053,-0.8266553,0.6310812,-1.2825,3.55942,-2.823813,-1.100034,0.03214256,0,0,11.71066,18.26002,-0.3284433,0.5582183,-0.4266758,-0.4632185,3.586375,-0.03627865,-0.3140274,0.5862762,0.2319046,-0.9652819,1.765517,-0.05257479,0.176817,1.13325,0.6679203,303.8691,319.7589,6.70038
0,0.1,0.4824879,-0.7885197,0.6092841,-1.286002,3.568804,-2.8325,-1.098002,0.1849718,0,0,11.4565,18.68035,-0.2858214,0.5911846,-0.4354494,-0.468613,3.603207,-0.04976543,-0.3110217,0.5723888,0.2148604,-0.9638912,1.772711,-0.05340836,0.1738242,1.128869,0.6651601,304.4003,319.7302,5.920394
