loc,t,aDotS,bDotS,gDotS,aS,bS,gS,qE,qDotE,tpad,enable,emgA,emgB,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH,aDotUB,bDotUB,gDotUB,aUB,bUB,gUB,xHand,yHand,zHand,aHand,bHand,gHand
3,0,0.06697035,-0.1464113,0.4389113,-1.219088,3.421308,-2.761732,-1.08906,0.1383661,0,0,9.960899,11.01662,-0.4156854,0.3125173,-0.07921173,-0.3987508,3.605049,-0.1561355,-0.2502086,0.3877315,0.2067087,-0.9165679,1.677931,-0.07057404,0.2207473,1.162034,0.723709,301.6281,322.0844,15.09915
3,0.01111111,0.08308357,-0.1640182,0.4827447,-1.224838,3.426622,-2.765154,-1.086625,0.2212135,0,0,9.990225,11.02639,-0.3903822,0.3563558,-0.1260575,-0.4028116,3.618154,-0.164627,-0.2384359,0.3759628,0.2183522,-0.9138265,1.682689,-0.07133916,0.2187438,1.160501,0.7234359,302.3055,320.8992,15.65449
3,0.02222222,0.1035191,-0.2083442,0.5172747,-1.230083,3.433357,-2.769539,-1.087627,-0.09356017,0,0,10.00978,11.03617,-0.3301613,0.4429635,-0.2198346,-0.4104357,3.636372,-0.180023,-0.2236691,0.3503271,0.2139976,-0.9118189,1.686599,-0.0717959,0.2162927,1.158469,0.722899,302.9275,320.9306,14.93416
3,0.03333334,0.1035191,-0.2083442,0.5172747,-1.230083,3.433357,-2.769539,-1.088152,-0.04701724,0,0,10.02933,11.04594,-0.3301613,0.4429635,-0.2198346,-0.4104357,3.636372,-0.180023,-0.2236691,0.3503271,0.2139976,-0.9118189,1.686599,-0.0717959,0.2133209,1.155967,0.7229536,303.3104,321.4724,13.80865
3,0.04444445,0.136898,-0.3327113,0.5355731,-1.237847,3.44971,-2.779373,-1.086397,0.1606371,0,0,10.04888,11.04594,-0.2655325,0.4932021,-0.2839936,-0.4214873,3.66368,-0.2013741,-0.1911916,0.306429,0.172233,-0.9096512,1.693274,-0.07281376,0.210144,1.15338,0.7227,303.6653,321.7925,12.79931
3,0.05555556,0.136898,-0.3327113,0.5355731,-1.237847,3.44971,-2.779373,-1.090414,-0.3689038,0,0,10.05865,11.04594,-0.2655325,0.4932021,-0.2839936,-0.4214873,3.66368,-0.2013741,-0.1911916,0.306429,0.172233,-0.9096512,1.693274,-0.07281376,0.2071933,1.151048,0.7222022,304.1021,321.8618,11.98149
3,0.06666667,0.1530633,-0.4094343,0.5299584,-1.240419,3.459246,-2.784972,-1.086151,0.392763,0,0,10.05865,11.02639,-0.2612431,0.422748,-0.256656,-0.4234186,3.667247,-0.201551,-0.1903403,0.3000039,0.1509276,-0.9090199,1.697237,-0.07316609,0.2038678,1.148581,0.721962,304.1836,322.1277,11.37879
3,0.07777778,0.1530633,-0.4094343,0.5299584,-1.240419,3.459246,-2.784972,-1.087511,-0.1282121,0,0,10.06843,11.02639,-0.2612431,0.422748,-0.256656,-0.4234186,3.667247,-0.201551,-0.1903403,0.3000039,0.1509276,-0.9090199,1.697237,-0.07316609,0.2008849,1.146457,0.7211605,304.5356,322.0421,10.68394
3,0.08888889,0.2033067,-0.5001456,0.5031159,-1.248696,3.48412,-2.80122,-1.085547,0.1809737,0,0,10.0782,11.03617,-0.2320163,0.3188798,-0.1593476,-0.4273873,3.684262,-0.2096587,-0.1873272,0.2584107,0.1509549,-0.9046609,1.706845,-0.07294691,0.198286,1.144692,0.7202558,304.8445,321.8473,10.09918
3,0.1,0.229894,-0.4873644,0.4965346,-1.252041,3.490865,-2.807011,-1.093047,-0.6875136,0,0,10.0782,11.04594,-0.2170526,0.3166827,-0.15201,-0.4294885,3.691712,-0.2146127,-0.1829994,0.2434986,0.1658514,-0.9023695,1.709757,-0.07288353,0.1961523,1.143335,0.7195047,304.9988,321.9153,9.815941
3,0.1111111,0.2553979,-0.4682525,0.4845604,-1.255242,3.496972,-2.812834,-1.08823,0.4461138,0,0,10.0782,11.07527,-0.2008623,0.3399877,-0.1307109,-0.4312254,3.702572,-0.2229439,-0.1798861,0.2157824,0.1690567,-0.9004771,1.711417,-0.07216527,0.1930957,1.141428,0.7186736,304.6013,322,10.38527
3,0.1222222,0.2702427,-0.4502307,0.4726204,-1.258353,3.50272,-2.818202,-1.088046,0.01174622,0,0,10.06843,11.09482,-0.1933191,0.3537909,-0.1243153,-0.4334444,3.712101,-0.2298191,-0.1663162,0.1880037,0.1508674,-0.899603,1.712778,-0.07170561,0.1893791,1.138983,0.7172505,304.6438,321.9734,10.05717
3,0.1333333,0.2775595,-0.4250374,0.4350482,-1.260359,3.507317,-2.822918,-1.088086,-0.003544345,0,0,10.05865,11.12415,-0.1718757,0.3749913,-0.1115864,-0.4353267,3.723228,-0.2388927,-0.1527293,0.1740551,0.1273183,-0.8993804,1.714378,-0.07159349,0.1855434,1.136252,0.7154508,305.0299,321.8615,9.042249
3,0.1444445,0.2732471,-0.4242408,0.4105507,-1.262402,3.513204,-2.827539,-1.087524,0.05130079,0,0,10.0391,11.15347,-0.1504829,0.3844864,-0.1021043,-0.4371595,3.733359,-0.2471461,-0.1443343,0.1675936,0.1165984,-0.8985644,1.716274,-0.07141107,0.1820015,1.133438,0.7135888,305.5582,321.7801,7.895144
3,0.1555556,0.2614666,-0.4321702,0.3691089,-1.263081,3.519139,-2.831763,-1.086984,0.04882459,0,0,10.01955,11.17302,-0.1303511,0.3589135,-0.1098308,-0.4393427,3.739285,-0.251849,-0.1380673,0.1558365,0.108037,-0.8978001,1.717932,-0.07116685,0.1790325,1.130697,0.7118667,306.0697,321.7303,6.941394
3,0.1666667,0.2560805,-0.4271483,0.3413686,-1.264427,3.524544,-2.836174,-1.086332,0.0591693,0,0,10,11.19257,-0.1241311,0.3376882,-0.1291545,-0.4422339,3.74458,-0.2555718,-0.1402848,0.1526241,0.09953172,-0.8971678,1.719798,-0.07069361,0.1767916,1.128155,0.7104326,306.5305,321.7151,6.285025
3,0.1777778,0.2496376,-0.4198766,0.3253244,-1.2659,3.529724,-2.840196,-1.085813,0.04697186,0,0,9.980451,11.21212,-0.1253383,0.3036472,-0.1388964,-0.4445785,3.747684,-0.256946,-0.1372101,0.1504627,0.08672386,-0.896853,1.721847,-0.0705767,0.1752134,1.125896,0.7093272,306.9586,321.7655,5.923351
3,0.1888889,0.2367395,-0.3989568,0.292098,-1.266664,3.533973,-2.843713,-1.086114,-0.02784247,0,0,9.970675,11.23167,-0.1243353,0.2663472,-0.1380083,-0.4462228,3.749979,-0.2577823,-0.1364328,0.1408137,0.0579608,-0.8974032,1.723023,-0.06989333,0.1744425,1.124265,0.7087557,307.5173,321.1866,6.469361
3,0.2,0.2367395,-0.3989568,0.292098,-1.266664,3.533973,-2.843713,-1.085841,0.02515261,0,0,9.970675,11.25122,-0.1243353,0.2663472,-0.1380083,-0.4462228,3.749979,-0.2577823,-0.1364328,0.1408137,0.0579608,-0.8974032,1.723023,-0.06989333,0.174216,1.123846,0.7085564,307.4107,321.1476,6.871993
3,0.2111111,0.2367395,-0.3989568,0.292098,-1.266664,3.533973,-2.843713,-1.083431,0.2201342,0,0,9.960899,11.27077,-0.1243353,0.2663472,-0.1380083,-0.4462228,3.749979,-0.2577823,-0.1364328,0.1408137,0.0579608,-0.8974032,1.723023,-0.06989333,0.1742102,1.123713,0.7084345,307.2506,321.2593,6.997262
3,0.2222222,0.1586693,-0.3726348,0.1801144,-1.265743,3.546256,-2.850234,-1.083404,0.0008404638,0,0,9.960899,11.28055,-0.06425352,0.2083326,-0.06308819,-0.4477274,3.761718,-0.2680578,-0.1279482,0.058616,-0.02829498,-0.9005128,1.722398,-0.06536995,0.1743507,1.123704,0.7084672,307.1278,321.5889,6.670429
3,0.2333333,0.1297667,-0.349704,0.1394443,-1.264779,3.54928,-2.851473,-1.087976,-0.4176532,0,0,9.960899,11.261,-0.05860169,0.1686329,-0.007918276,-0.4455501,3.763287,-0.2691114,-0.1187012,0.03508845,-0.05711568,-0.9022976,1.721377,-0.06395581,0.1744195,1.123686,0.7087059,307.1385,322.0609,6.409306
3,0.2444444,0.0848674,-0.3247362,0.09345884,-1.26324,3.551735,-2.851376,-1.084829,0.2912434,0,0,9.960899,11.20235,-0.0656441,0.1470515,0.0538168,-0.4428922,3.767128,-0.2716363,-0.1156197,0.02439981,-0.0656505,-0.9032489,1.721065,-0.06263728,0.173962,1.123593,0.7086569,307.1846,321.8919,6.974542
3,0.2555556,0.05066168,-0.308166,0.05712861,-1.261575,3.55439,-2.85137,-1.08411,0.06298111,0,0,9.960899,11.09482,-0.06432733,0.1372837,0.09104738,-0.4407196,3.771282,-0.2747293,-0.1126545,0.0009307638,-0.08055986,-0.9047019,1.719719,-0.06066494,0.1733401,1.123564,0.7084843,307.3024,321.2329,7.824373
3,0.2666667,-0.01236781,-0.2811904,0.003707247,-1.258062,3.558915,-2.849812,-1.083146,0.088017,0,0,9.960899,10.95797,-0.05991869,0.1265116,0.1144012,-0.4380772,3.779012,-0.2805875,-0.1075776,-0.02362726,-0.09762111,-0.9074711,1.717428,-0.05709977,0.1728718,1.123598,0.7084523,307.5463,320.6592,8.365175
3,0.2777778,-0.1362607,-0.237916,-0.1009123,-1.249977,3.560988,-2.841851,-1.083384,-0.02215875,0,0,9.960899,10.81134,-0.06790502,0.05043016,0.2089101,-0.4286081,3.779246,-0.2791078,-0.1029213,-0.05676071,-0.1583446,-0.9136379,1.713358,-0.05252952,0.1726077,1.123657,0.7087144,307.8662,320.4927,8.432669
