loc,t,aDotS,bDotS,gDotS,aS,bS,gS,qE,qDotE,tpad,enable,emgA,emgB,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH,aDotUB,bDotUB,gDotUB,aUB,bUB,gUB,xHand,yHand,zHand,aHand,bHand,gHand
6,0,0.6714706,-0.08726429,0.07672208,-1.297518,3.376062,-3.118325,-1.489598,0.0876936,0,0,11.01662,11.68133,0.08477032,0.5815147,-0.2585123,-0.5925368,3.75708,-0.3992606,-0.05281267,0.2434584,0.5725756,-0.8157374,1.712115,-0.09063642,0.2158171,1.158586,0.671811,298.3378,327.6069,7.651951
6,0.01111111,0.6820996,-0.07559312,0.0712463,-1.298009,3.376736,-3.126459,-1.489625,-0.003230238,0,0,10.67449,11.75953,0.08568737,0.5773089,-0.277714,-0.5983761,3.7653,-0.4071976,-0.0517182,0.2498338,0.569364,-0.8099493,1.716872,-0.0934647,0.216411,1.156313,0.6721183,298.8678,327.6919,7.621767
6,0.02222222,0.6766732,-0.02665423,0.0664297,-1.298623,3.375369,-3.133288,-1.490171,-0.04977852,0,0,10.1955,11.81818,0.1018076,0.5953553,-0.2639454,-0.6034456,3.775162,-0.4170361,-0.04015348,0.2327113,0.5629021,-0.8042352,1.72035,-0.09582692,0.2170365,1.153813,0.6723867,299.4156,328.0751,7.337329
6,0.03333334,0.6584859,0.007252327,0.05327734,-1.298793,3.374151,-3.139541,-1.490809,-0.05796222,0,0,9.628544,11.85728,0.1191553,0.5803075,-0.2257938,-0.6069003,3.784197,-0.426419,-0.01918829,0.2144501,0.5329276,-0.7995678,1.723561,-0.09852284,0.2176917,1.151216,0.6725477,299.9781,328.5492,6.95441
6,0.04444445,0.6040074,0.07395063,0.02591681,-1.298448,3.370268,3.132957,-1.490065,0.06851182,0,0,9.169111,11.90616,0.1323146,0.5684296,-0.1801238,-0.614444,3.801593,-0.4441652,-0.004325867,0.2143578,0.5242899,-0.7886222,1.732098,-0.1049296,0.2183746,1.148593,0.6725156,300.512,329.0056,6.567707
6,0.05555556,0.6040074,0.07395063,0.02591681,-1.298448,3.370268,3.132957,-1.500714,-0.9745604,0,0,8.787879,11.89638,0.1323146,0.5684296,-0.1801238,-0.614444,3.801593,-0.4441652,-0.004325867,0.2143578,0.5242899,-0.7886222,1.732098,-0.1049296,0.2191071,1.145947,0.6727945,301.05,329.4351,6.086257
6,0.06666667,0.5475143,0.08649876,0.01408641,-1.298252,3.367643,3.123304,-1.483196,1.609715,0,0,8.494623,11.83773,0.1731752,0.5692992,-0.1335836,-0.6214561,3.820505,-0.4647661,0.02621495,0.1491845,0.5273249,-0.7769341,1.735327,-0.1091046,0.220307,1.142931,0.6733059,301.1523,329.6013,5.843849
6,0.07777778,0.5390117,0.07252528,0.004663348,-1.297887,3.367406,3.117673,-1.486097,-0.2798192,0,0,8.318671,11.73998,0.1967384,0.5436405,-0.1136094,-0.6241938,3.827928,-0.4739012,0.04521787,0.1181767,0.5293446,-0.7709574,1.736304,-0.1111191,0.2218666,1.139893,0.6734593,301.8247,330.3579,5.381028
6,0.08888889,0.5347943,0.0500831,-0.0004070848,-1.2976,3.367937,3.111587,-1.487864,-0.1573288,0,0,8.377321,11.70088,0.2084577,0.5244374,-0.1105728,-0.6276256,3.834685,-0.4821467,0.05246653,0.1010805,0.5154634,-0.7658048,1.738039,-0.1131939,0.2234914,1.137159,0.6737612,302.6117,330.9379,5.170865
6,0.1,0.5273458,0.03938792,-0.003478095,-1.297373,3.36778,3.106133,-1.488481,-0.0550964,0,0,8.641251,11.73021,0.2147001,0.5138214,-0.1266355,-0.6319655,3.840993,-0.4898738,0.05239106,0.1063911,0.5016083,-0.7609839,1.740899,-0.1158286,0.2250231,1.134873,0.6741719,303.2365,331.4007,5.098421
