loc,t,aDotS,bDotS,gDotS,aS,bS,gS,qE,qDotE,tpad,enable,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH,aDotUB,bDotUB,gDotUB,aUB,bUB,gUB,xHand,yHand,zHand,aHand,bHand,gHand
7,0.1666667,0.1480807,-0.3862655,0.2458583,-1.295171,3.633417,-2.96326,-1.488157,-0.2826263,0,0,-0.2284602,0.7942127,-0.01229352,-0.7936113,4.295034,-0.5755571,-0.2772192,0.2576419,0.4212714,-0.5482095,2.367156,-0.5581024,0.1024038,1.129186,0.7564866,291.7731,303.6635,16.13055
7,0.1777778,0.1332257,-0.3681549,0.2402962,-1.297384,3.637219,-2.965357,-1.492656,-0.4064831,0,0,-0.259108,0.8143289,0.02844521,-0.7976881,4.307879,-0.5804754,-0.2678719,0.2415912,0.3999031,-0.5461462,2.374581,-0.561842,0.09995588,1.128728,0.7566361,291.7389,303.7654,15.81697
7,0.1888889,0.1184085,-0.3212681,0.238646,-1.299587,3.639696,-2.966835,-1.495785,-0.2800801,0,0,-0.2438696,0.7864525,0.08045569,-0.7998032,4.319058,-0.5860699,-0.2563564,0.2042511,0.3924046,-0.5432087,2.380409,-0.5644189,0.09741041,1.12829,0.7566436,291.7608,303.895,15.41365
7,0.2,0.106758,-0.2839439,0.2382093,-1.302236,3.642039,-2.96815,-1.500088,-0.3890188,0,0,-0.2075683,0.7267725,0.0938701,-0.8022426,4.327404,-0.5908785,-0.2491199,0.1839507,0.3742661,-0.5409248,2.386428,-0.5671178,0.0947951,1.128004,0.756523,291.8311,303.9479,15.03995
7,0.2111111,0.08871809,-0.2391182,0.2418932,-1.304788,3.643687,-2.968942,-1.503152,-0.2748931,0,0,-0.1555495,0.6096765,0.06651244,-0.8038709,4.330173,-0.5929629,-0.2358021,0.148674,0.3283938,-0.5395202,2.389128,-0.5673508,0.09216847,1.127918,0.7563223,291.8051,303.8947,14.72536
7,0.2222222,0.08766364,-0.2380849,0.2386798,-1.30679,3.646858,-2.970686,-1.505903,-0.2475315,0,0,-0.1516943,0.4714113,0.004218102,-0.8062646,4.329295,-0.5906894,-0.2290277,0.1038057,0.2708774,-0.5383868,2.389395,-0.5651875,0.08966908,1.128051,0.7560272,291.6872,303.836,14.43093
7,0.2333333,0.09205326,-0.2331027,0.2088075,-1.307557,3.64953,-2.972568,-1.508207,-0.2070297,0,0,-0.1699964,0.318103,-0.02282587,-0.80646,4.327114,-0.586512,-0.2178927,0.08023787,0.2143508,-0.5381151,2.390111,-0.563829,0.08729393,1.128363,0.7557702,291.5077,303.8477,14.13804
7,0.2444444,0.0921634,-0.2291234,0.1842536,-1.308239,3.652263,-2.974396,-1.511159,-0.266652,0,0,-0.1722261,0.2371914,-0.03800006,-0.8071274,4.326136,-0.5838411,-0.2161592,0.07483527,0.1727946,-0.5380496,2.391855,-0.5628802,0.08512165,1.128865,0.7555013,291.343,303.8581,13.90647
7,0.2555556,0.07313986,-0.2230912,0.1489529,-1.308274,3.654663,-2.975145,-1.513699,-0.2286386,0,0,-0.1241664,0.1689385,-0.0182932,-0.8064504,4.326015,-0.5841172,-0.2208132,0.05348191,0.1377165,-0.5376635,2.391857,-0.5601685,0.08307899,1.129461,0.755298,291.1678,303.7195,13.86958
7,0.2666667,0.02542927,-0.2118641,0.09642629,-1.307174,3.656495,-2.974284,-1.515636,-0.1739813,0,0,-0.0237484,0.190101,0.02482607,-0.8067077,4.330908,-0.5907216,-0.1924872,-0.01378508,0.1162636,-0.5357955,2.388251,-0.5558488,0.08128732,1.130114,0.7549641,291.0402,303.404,14.00374
7,0.2777778,-2.721325E-05,-0.2046282,0.07173037,-1.30682,3.658515,-2.974045,-1.516395,-0.06696193,0,0,0.0008936822,0.2134665,0.04712871,-0.8075546,4.335804,-0.5947329,-0.1767497,-0.0575379,0.1076643,-0.533926,2.385762,-0.5521446,0.07971269,1.130711,0.754627,290.8915,303.0465,14.17305
7,0.2888889,-0.04565119,-0.1932774,0.03093856,-1.305496,3.660136,-2.972416,-1.516446,-0.003249342,0,0,0.008490175,0.2038031,0.06942033,-0.8073506,4.339252,-0.5974756,-0.1601341,-0.1183604,0.08418038,-0.531992,2.380148,-0.5461033,0.07833835,1.131283,0.7543528,290.8979,302.8313,14.20109
7,0.3,-0.070035,-0.1935809,0.001000896,-1.304002,3.662407,-2.97154,-1.518313,-0.1698248,0,0,0.003417999,0.1248323,0.111807,-0.804175,4.339728,-0.5974426,-0.1605062,-0.1493111,0.05546887,-0.5308399,2.37542,-0.5400646,0.07713283,1.131982,0.7542589,291.0568,302.6428,14.22544
7,0.3111111,-0.1060927,-0.1929005,-0.03963359,-1.301739,3.664216,-2.969531,-1.518325,0.00112911,0,0,-0.009057321,0.05328929,0.1617123,-0.8002037,4.340264,-0.5972501,-0.1693219,-0.1599804,0.02680051,-0.5303349,2.371071,-0.5341425,0.07606357,1.132876,0.7543303,291.1374,302.4619,14.33022
7,0.3222222,-0.1453039,-0.1805439,-0.08468765,-1.298891,3.665346,-2.967016,-1.519717,-0.1270028,0,0,-0.0001975298,0.008371681,0.2158394,-0.7959731,4.342251,-0.5989383,-0.1793986,-0.1600482,-0.02851082,-0.53138,2.365731,-0.5272036,0.07510705,1.134036,0.7545174,291.1861,302.2283,14.55481
7,0.3333333,-0.1940778,-0.1607501,-0.1330462,-1.295648,3.665907,-2.963405,-1.519418,0.02871255,0,0,0.02128581,-0.04073474,0.2443008,-0.7918313,4.342636,-0.6002131,-0.1789444,-0.1718768,-0.09241417,-0.5329677,2.358726,-0.5192142,0.07423241,1.135442,0.7546757,291.1491,301.8005,15.00613
