loc,t,aDotS,bDotS,gDotS,aS,bS,gS,qE,qDotE,tpad,enable,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH,aDotUB,bDotUB,gDotUB,aUB,bUB,gUB,xHand,yHand,zHand,aHand,bHand,gHand
1,0,-0.09598108,0.07807291,-0.08153319,-1.118388,3.425963,-2.971794,-1.472932,-0.04546823,0,0,-0.3430324,0.8609799,-0.3236826,-0.5368155,3.710785,-0.3279086,-0.2025462,0.5377457,0.3485009,-0.8638991,1.735915,-0.09172885,0.2038318,1.191634,0.6681155,298.2974,300.3466,33.072
1,0.01111111,-0.0598325,0.04942159,-0.06830411,-1.117958,3.42631,-2.972599,-1.472973,-0.003886928,0,0,-0.3312531,0.8631997,-0.01587921,-0.5303872,3.735286,-0.3460381,-0.2282042,0.5740245,0.3295606,-0.8616636,1.746253,-0.09501999,0.2038244,1.191082,0.670601,298.4955,300.2242,33.31235
1,0.02222222,-0.05991572,0.01865306,-0.0531019,-1.117686,3.427272,-2.972119,-1.47277,0.01819473,0,0,-0.3509966,0.8513119,0.05560133,-0.5314567,3.754172,-0.3576617,-0.2217017,0.5686886,0.3422797,-0.85803,1.75492,-0.09842777,0.2037247,1.190213,0.6728954,298.6321,300.2239,33.30216
1,0.03333334,-0.09088832,-0.04194092,-0.03990884,-1.117269,3.430004,-2.971301,-1.472445,0.02920016,0,0,-0.4051772,0.8182987,0.08571258,-0.5323654,3.770306,-0.3653372,-0.17144,0.5387428,0.3694964,-0.8536171,1.762136,-0.1029788,0.2035985,1.189039,0.6750773,298.7042,300.1912,33.17982
1,0.04444445,-0.130343,-0.08876667,-0.03433773,-1.116679,3.432887,-2.969726,-1.470429,0.1837722,0,0,-0.4468277,0.7832654,0.07738024,-0.5350482,3.784199,-0.3711786,-0.1373101,0.5066997,0.381953,-0.8496235,1.768695,-0.106947,0.2035271,1.187557,0.6772742,298.7639,300.0852,33.05945
1,0.05555556,-0.2146021,-0.135452,-0.01621063,-1.116536,3.436395,-2.965898,-1.468845,0.1430571,0,0,-0.4716265,0.6970912,0.05811158,-0.5368506,3.792971,-0.372768,-0.08927657,0.4852742,0.3964093,-0.8453465,1.775535,-0.112159,0.2035053,1.185825,0.679619,298.8795,300.1425,32.82447
1,0.06666667,-0.2573563,-0.2097907,0.009840738,-1.11671,3.441886,-2.964074,-1.467813,0.09325463,0,0,-0.4413689,0.5576531,0.005252093,-0.5390227,3.794601,-0.3704758,-0.04669294,0.4766373,0.3949337,-0.8417426,1.782698,-0.1178774,0.2034601,1.184019,0.6820034,299.1043,300.3784,32.49641
1,0.07777778,-0.2329952,-0.2819906,0.03620296,-1.117024,3.448078,-2.965232,-1.465325,0.2269295,0,0,-0.3996682,0.3938,-0.08183511,-0.542178,3.791079,-0.3646405,-0.03802131,0.4989941,0.4033655,-0.8378214,1.791949,-0.1238865,0.2032911,1.182338,0.6843356,299.3819,300.6696,32.14496
1,0.08888889,-0.1968881,-0.3095202,0.05687831,-1.11754,3.453235,-2.966474,-1.466473,-0.1067297,0,0,-0.3770953,0.2459293,-0.1634165,-0.545564,3.784274,-0.3553323,-0.05917354,0.5342067,0.4099489,-0.8339683,1.802185,-0.1294179,0.2027863,1.18107,0.6867194,299.6928,301.079,31.69176
1,0.1,-0.1033676,-0.2963294,0.1040929,-1.119691,3.456856,-2.969923,-1.469508,-0.2761241,0,0,-0.3743525,0.1842847,-0.2115576,-0.549081,3.782797,-0.3499878,-0.0729194,0.5576953,0.4143248,-0.8302596,1.812512,-0.1350641,0.2017669,1.180359,0.6890339,299.8492,301.1786,31.52089
