loc,t,aDotS,bDotS,gDotS,aS,bS,gS,qE,qDotE,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH,aDotUB,bDotUB,gDotUB,aUB,bUB,gUB,xHand,yHand,zHand,aHand,bHand,gHand
0,0.1666667,-0.06605798,0.2361918,-0.08184434,-1.31977,-0.773896,-1.437384,-1.322413,0.05303416,0.009784465,0.02000878,0.04135111,-0.3901222,-0.7523419,1.704242,-0.04498747,-0.03553791,-0.03537532,-0.8470178,-2.334076,1.562367,-0.6926599,1.179514,-0.3215335,302.8747,209.8618,2.639174
0,0.1777778,-0.06727657,0.2956475,-0.09310903,-1.320804,-0.7785538,-1.435685,-1.322438,-0.002908023,0.02477586,0.009102203,0.05600223,-0.3890021,-0.7535803,1.704568,-0.04518513,-0.03768303,-0.04282561,-0.8477747,-2.334768,1.563326,-0.693633,1.180076,-0.3212912,302.7642,210.0095,2.751395
0,0.1888889,-0.07617183,0.4104971,-0.1083437,-1.319979,-0.7878712,-1.43196,-1.322169,0.02475283,0.04384729,-0.01344883,0.06090711,-0.3882921,-0.7561439,1.705752,-0.0453384,-0.0387539,-0.04814893,-0.8485342,-2.335253,1.564239,-0.6947203,1.180703,-0.3209656,302.7012,210.2753,2.723528
0,0.2,-0.07844754,0.4657317,-0.1217816,-1.319147,-0.7955661,-1.429078,-1.322601,-0.03978742,0.05323466,-0.04228246,0.06158165,-0.3878154,-0.7600678,1.708642,-0.04877669,-0.05054852,-0.06187436,-0.8497492,-2.336613,1.56581,-0.6959989,1.181448,-0.3204511,302.6647,210.4849,2.681683
0,0.2111111,-0.0850458,0.5411444,-0.1386719,-1.318146,-0.8045564,-1.425585,-1.3218,0.07370859,0.06376998,-0.06691002,0.0665502,-0.3871357,-0.7647933,1.711924,-0.05312387,-0.06021617,-0.06918305,-0.8508139,-2.338,1.567608,-0.6974102,1.182359,-0.3196834,302.5713,210.7403,2.639233
0,0.2222222,-0.09912179,0.6176,-0.1567214,-1.316769,-0.8148783,-1.421016,-1.322177,-0.0352461,0.06697978,-0.06909014,0.06969071,-0.3863485,-0.7669291,1.713134,-0.05653314,-0.05708246,-0.07441624,-0.8518627,-2.33867,1.568796,-0.6991917,1.183421,-0.3185846,302.4185,210.9413,2.642744
0,0.2333333,-0.1056352,0.6707105,-0.1701751,-1.315253,-0.825099,-1.417296,-1.321994,0.01715385,0.07470948,-0.06941238,0.09624335,-0.3844156,-0.7697724,1.714654,-0.05884192,-0.06459121,-0.08392198,-0.8531287,-2.340015,1.570425,-0.7013959,1.184618,-0.3171628,302.2291,211.1593,2.793541
0,0.2444444,-0.1164814,0.7450269,-0.1892081,-1.314112,-0.8367578,-1.412648,-1.321301,0.06328854,0.07607046,-0.06648892,0.1228913,-0.3822355,-0.7719849,1.715834,-0.06330968,-0.07000095,-0.09336423,-0.8544608,-2.34129,1.572048,-0.7040495,1.185904,-0.3155077,301.9997,211.5177,3.083561
0,0.2555556,-0.1368382,0.8086295,-0.2124111,-1.312605,-0.8489838,-1.407507,-1.322145,-0.07772683,0.07080249,-0.06758247,0.1293266,-0.3807181,-0.7746763,1.71775,-0.06774838,-0.0754108,-0.1017423,-0.8558798,-2.342653,1.573844,-0.7070644,1.187229,-0.3137996,301.7594,211.9657,3.523407
0,0.2666667,-0.1539494,0.8572512,-0.239683,-1.310808,-0.8607928,-1.402109,-1.321767,0.0354045,0.06129667,-0.07403933,0.1421418,-0.3789806,-0.7782854,1.720925,-0.06699798,-0.08714321,-0.1177277,-0.8577285,-2.344466,1.575777,-0.7102272,1.188653,-0.311895,301.5526,212.328,3.894687
