loc,t,aDotS,bDotS,gDotS,aS,bS,gS
6,0,-0.6570567,1.106203,-0.3008153,287.2809,190.2976,30.15489
6,0.01111111,-0.6570557,1.105809,-0.30344,287.0433,191.1808,29.11257
6,0.02222222,-0.6572728,1.105478,-0.3061205,286.8201,192.4995,27.65548
6,0.03333334,-0.6574174,1.105208,-0.3085631,286.6134,193.942,26.07024
6,0.04444445,-0.6577174,1.105209,-0.3105905,286.4385,195.8854,24.03505
6,0.05555556,-0.6582207,1.105564,-0.3123836,286.3359,197.6114,22.25261
6,0.06666667,-0.6586216,1.106079,-0.3138959,286.3339,198.6616,21.2599
6,0.07777778,-0.6589258,1.106665,-0.3152664,286.3368,199.3714,20.60097
6,0.08888889,-0.6591808,1.107846,-0.316112,286.3274,199.5112,20.52336
6,0.1,-0.6593621,1.109499,-0.3165152,286.2432,199.654,20.38658
6,0.1111111,-0.6594003,1.111575,-0.3170449,286.0143,200.3785,19.61186
6,0.1222222,-0.6594121,1.114243,-0.316671,285.6372,201.8564,18.03444
6,0.1333333,-0.6594809,1.116968,-0.3164651,285.3555,203.5655,16.28481
6,0.1444445,-0.6595322,1.120583,-0.315734,285.0588,205.9228,13.94556
6,0.1555556,-0.6594382,1.124559,-0.3144744,284.8245,208.366,11.56783
6,0.1666667,-0.6591704,1.129899,-0.3123481,284.7189,211.8808,8.236385
6,0.1777778,-0.6590943,1.135936,-0.3095976,284.5609,216.918,3.311414
6,0.1888889,-0.6588203,1.142417,-0.3069468,284.4693,222.8254,357.5496
6,0.2,-0.658525,1.149693,-0.3037691,284.7811,228.305,352.3879
6,0.2111111,-0.6582772,1.15704,-0.3008149,285.1192,232.7607,348.1628
6,0.2222222,-0.6582021,1.16487,-0.2974799,285.5198,236.7015,344.3786
6,0.2333333,-0.6585878,1.173145,-0.2942183,285.7593,239.9108,341.0873
6,0.2444444,-0.6592754,1.182399,-0.2903349,285.7969,242.4289,338.3485
6,0.2555556,-0.6603287,1.191746,-0.2866929,285.7959,244.0409,336.4392
6,0.2666667,-0.6613109,1.201869,-0.2830536,285.9738,244.8828,335.3055
6,0.2777778,-0.6623232,1.21211,-0.2790416,286.098,245.2477,334.8674
6,0.2888889,-0.6635178,1.222793,-0.2753847,286.0656,245.1742,334.9197
6,0.3,-0.6649486,1.234544,-0.2710075,286.0615,245.0493,334.8854
6,0.3111111,-0.6661848,1.246012,-0.2669679,286.0523,244.7045,335.1353
6,0.3222222,-0.6677722,1.258656,-0.2625122,285.6553,244.3303,335.3531
6,0.3333333,-0.6693932,1.270695,-0.258226,285.2434,244.8821,334.5828
6,0.3444445,-0.6712452,1.283208,-0.2540385,284.4915,245.5249,333.7083
6,0.3555556,-0.6729856,1.295648,-0.2504226,283.5613,245.8667,333.2796
6,0.3666667,-0.6748539,1.308205,-0.2465091,282.5835,246.3161,332.7637
6,0.3777778,-0.6770849,1.321202,-0.2426282,281.2548,246.6941,332.3304
6,0.3888889,-0.6796492,1.333935,-0.239242,279.7429,246.1097,332.7797
6,0.4,-0.6823541,1.346607,-0.2357616,278.0423,244.7768,333.9618
6,0.4111111,-0.6851396,1.359528,-0.2323397,276.365,243.9199,334.737
6,0.4222222,-0.6880424,1.372158,-0.2291653,274.7223,241.7623,336.9777
6,0.4333333,-0.6909494,1.384944,-0.2264756,273.1606,234.9167,344.1875
6,0.4444444,-0.6943973,1.397637,-0.2240416,271.8596,216.3094,3.34521
6,0.4555556,-0.6976234,1.410036,-0.2228171,271.2925,168.6193,51.64085
6,0.4666667,-0.7011197,1.422563,-0.2207379,271.8297,120.3676,100.3613
6,0.4777778,-0.7054721,1.434932,-0.2193648,272.8505,95.71975,125.1854
6,0.4888889,-0.7094014,1.447094,-0.2183338,274.2354,87.02354,134.1006
6,0.5,-0.71495,1.458787,-0.2183299,275.6374,82.39523,138.7858
6,0.5111111,-0.7199138,1.470603,-0.2180933,276.9344,81.14947,140.3055
6,0.5222223,-0.7256516,1.482029,-0.2182518,278.0388,82.84065,139.1574
6,0.5333334,-0.7313913,1.493513,-0.2185979,279.0199,85.15826,137.6519
6,0.5444446,-0.737345,1.50463,-0.2194272,279.884,86.49987,137.2008
6,0.5555557,-0.7437115,1.515155,-0.220602,280.506,87.08999,137.5522
6,0.5666668,-0.7498637,1.525627,-0.2220779,281.0858,86.79789,138.5882
6,0.577778,-0.7565916,1.535366,-0.2238364,281.2086,85.42929,140.5179
6,0.5888891,-0.7634118,1.545213,-0.2253638,281.2039,83.77166,142.5108
6,0.6000003,-0.7703146,1.554384,-0.2276389,281.1024,81.84317,144.6551
6,0.6111114,-0.7775531,1.563603,-0.2289693,281.1276,79.52458,147.0849
6,0.6222225,-0.7846014,1.572314,-0.2315213,281.2281,77.74559,149.0442
6,0.6333337,-0.7920728,1.580874,-0.2333709,281.3884,77.2578,149.8663
6,0.6444448,-0.7993,1.588808,-0.2364091,281.6021,76.99803,150.5254
6,0.655556,-0.8070852,1.596304,-0.2390214,282.0189,77.92208,150.2088
6,0.6666671,-0.8146955,1.603311,-0.242446,282.4282,78.5293,149.9986
6,0.6777782,-0.8222693,1.610067,-0.2461393,282.7906,78.98253,149.8457
6,0.6888894,-0.8301806,1.616178,-0.2498349,283.1873,78.93085,149.9671
6,0.7000005,-0.8383133,1.621404,-0.2538747,283.6821,80.11949,148.9485
6,0.7111117,-0.8463805,1.626802,-0.2568987,284.0372,83.777,145.7754
6,0.7222228,-0.8542753,1.632029,-0.2607901,284.2376,87.56558,142.5865
6,0.7333339,-0.8622653,1.636938,-0.2639002,284.157,91.11337,139.6997
6,0.7444451,-0.8701323,1.641279,-0.2674876,283.8276,91.83884,139.1832
6,0.7555562,-0.8780401,1.644902,-0.2715468,283.323,89.76658,141.0614
6,0.7666674,-0.886059,1.648612,-0.2752497,283.0251,87.03721,143.6001
6,0.7777785,-0.8938868,1.651165,-0.2792649,282.705,81.8631,148.3785
6,0.7888896,-0.9016339,1.654358,-0.2829799,282.5327,80.72781,149.6382
6,0.8000008,-0.9090796,1.656974,-0.2867698,282.3727,82.4803,148.4959
6,0.8111119,-0.9166968,1.659714,-0.2902089,282.2307,84.94688,146.5828
6,0.8222231,-0.92412,1.661832,-0.2937879,282.1956,88.07784,143.8068
6,0.8333342,-0.9318148,1.663659,-0.2969958,282.1003,88.72149,142.8893
6,0.8444453,-0.9393579,1.665408,-0.3005672,281.9514,89.27229,142.0668
6,0.8555565,-0.9466581,1.66649,-0.3016256,281.627,89.10905,141.8522
6,0.8666676,-0.9539748,1.667413,-0.3051559,281.2229,89.79569,141.0902
6,0.8777788,-0.9611236,1.668074,-0.3088638,280.7608,93.31791,137.9736
6,0.8888899,-0.9680859,1.668524,-0.3125581,280.2416,98.25214,133.5322
6,0.900001,-0.9748191,1.668821,-0.3159015,279.5672,102.2153,129.8853
6,0.9111122,-0.9813517,1.668694,-0.3192657,278.6878,104.2765,127.7711
6,0.9222233,-0.9880794,1.668721,-0.3223981,277.8318,106.1138,125.791
6,0.9333345,-0.9947569,1.668024,-0.3256438,276.9874,105.2911,126.4283
6,0.9444456,-1.001224,1.66759,-0.3284008,276.4263,104.9848,126.9421
6,0.9555568,-1.007372,1.666994,-0.3310679,276.1542,108.2184,124.3177
6,0.9666679,-1.013671,1.666473,-0.3336816,275.8509,112.845,120.2962
6,0.977779,-1.019213,1.665944,-0.3360593,275.7658,120.026,114.0336
6,0.9888902,-1.024862,1.665218,-0.338299,275.5432,126.963,107.6134
6,1.000001,-1.030517,1.6646,-0.3405653,275.1932,133.3955,101.1906
6,1.011112,-1.035802,1.663841,-0.3428464,274.7637,140.0067,94.33968
6,1.022224,-1.040994,1.66303,-0.3450573,274.4453,147.6565,86.598
6,1.033335,-1.045474,1.661966,-0.347052,274.2126,155.9728,78.2424
6,1.044446,-1.049706,1.661087,-0.3491967,274.2299,162.7831,71.78925
6,1.055557,-1.053795,1.660089,-0.351082,274.2485,166.7209,68.38714
6,1.066668,-1.058074,1.659324,-0.3530679,274.2927,170.5698,65.02013
6,1.077779,-1.061648,1.658608,-0.3550596,274.2551,172.2575,63.71109
6,1.08889,-1.065549,1.657843,-0.3567472,273.8447,173.1705,62.62227
6,1.100002,-1.06907,1.657174,-0.3585784,273.5789,173.4431,62.08272
6,1.111113,-1.072285,1.656311,-0.3604438,273.4147,173.1926,62.16132
6,1.122224,-1.075685,1.65556,-0.3622351,273.4241,173.0549,62.22232
6,1.133335,-1.078379,1.654414,-0.3639282,273.5639,173.6221,61.61657
6,1.144446,-1.081219,1.653371,-0.3657799,273.6563,176.4311,58.85786
6,1.155557,-1.083711,1.652431,-0.3674055,273.7365,182.2626,53.1231
6,1.166668,-1.086207,1.651699,-0.3689341,273.7636,189.5895,45.94755
6,1.17778,-1.088544,1.650756,-0.3704108,274.1068,194.986,40.82604
6,1.188891,-1.091131,1.649832,-0.37191,274.3242,198.1152,37.88313
6,1.200002,-1.0936,1.648876,-0.3731844,274.4079,199.9784,36.0312
6,1.211113,-1.096016,1.647985,-0.3743216,274.4576,200.4477,35.44062
6,1.222224,-1.09813,1.646849,-0.3753365,274.5514,200.683,35.19314
6,1.233335,-1.100217,1.645893,-0.3765199,274.6215,201.3506,34.57924
6,1.244446,-1.102072,1.644717,-0.377409,274.508,201.9341,34.07773
6,1.255558,-1.103758,1.64378,-0.3783664,274.5337,201.7385,34.49944
6,1.266669,-1.105362,1.642704,-0.3790607,274.5715,200.6577,35.73472
6,1.27778,-1.107086,1.641595,-0.3796518,274.4087,200.1175,36.24065
6,1.288891,-1.108916,1.640559,-0.3802846,274.2841,200.0282,36.2692
6,1.300002,-1.110447,1.639362,-0.3807673,274.0827,199.1821,36.93958
6,1.311113,-1.111995,1.638126,-0.381175,273.8818,197.5124,38.34699
6,1.322224,-1.113455,1.63703,-0.381489,273.8613,195.5207,40.06202
6,1.333336,-1.114956,1.635673,-0.3817146,273.9772,192.6315,42.74341
6,1.344447,-1.116423,1.634314,-0.3820851,274.055,189.7248,45.53859
6,1.355558,-1.117783,1.63297,-0.382372,274.1536,186.6705,48.6293
6,1.366669,-1.118778,1.631675,-0.3824658,274.2897,184.8553,50.55145
6,1.37778,-1.119897,1.630397,-0.3827137,274.4775,184.6987,50.95197
6,1.388891,-1.12106,1.629059,-0.3828736,274.4122,185.0701,50.58134
6,1.400002,-1.122091,1.627729,-0.3831145,274.0222,187.6136,47.89108
6,1.411114,-1.123178,1.626347,-0.383118,273.5721,191.2895,43.9386
6,1.422225,-1.12412,1.62518,-0.3833213,273.3414,194.7562,40.33747
6,1.433336,-1.12522,1.623809,-0.3835339,273.2603,196.4338,38.64151
6,1.444447,-1.126289,1.622655,-0.3837289,273.1148,196.7798,38.34227
6,1.455558,-1.127355,1.621358,-0.3838364,273.1725,194.1992,41.00238
6,1.466669,-1.128232,1.619892,-0.3840145,273.3197,191.7166,43.6743
6,1.47778,-1.129232,1.618656,-0.3840706,273.5605,189.3539,46.30017
6,1.488891,-1.130128,1.617344,-0.3843268,273.6645,188.1211,47.77276
6,1.500003,-1.131063,1.616103,-0.3843981,273.8208,187.8362,48.40127
6,1.511114,-1.131572,1.614794,-0.3844549,273.9041,189.9498,46.58276
6,1.522225,-1.132383,1.613646,-0.3845048,273.7594,194.0557,42.59049
6,1.533336,-1.133097,1.612577,-0.3844775,273.6523,198.2396,38.37234
6,1.544447,-1.133889,1.611563,-0.3845547,273.5851,201.811,34.87455
6,1.555558,-1.134642,1.610474,-0.3845807,273.5254,204.0179,32.78115
6,1.566669,-1.13518,1.609456,-0.3844816,273.4776,203.6058,33.36664
6,1.577781,-1.135705,1.60863,-0.3843378,273.574,202.0574,35.06182
6,1.588892,-1.136182,1.607696,-0.3842707,273.6763,201.125,36.1317
6,1.600003,-1.136709,1.606928,-0.3841494,273.7171,199.6522,37.70622
6,1.611114,-1.137102,1.606159,-0.3841016,273.7009,199.8832,37.64968
6,1.622225,-1.137346,1.605351,-0.3840326,273.7193,201.2742,36.46168
6,1.633336,-1.137578,1.604618,-0.384018,273.7207,203.0863,34.71872
6,1.644447,-1.138013,1.603718,-0.3840339,273.6891,204.8168,32.96333
6,1.655559,-1.138361,1.602913,-0.3838649,273.6057,206.8429,30.81985
6,1.66667,-1.138699,1.602173,-0.3836766,273.6905,207.575,30.12976
6,1.677781,-1.138921,1.601403,-0.3834696,273.8048,207.8356,29.99742
6,1.688892,-1.139135,1.600696,-0.3832993,273.873,208.4825,29.46091
6,1.700003,-1.139251,1.599997,-0.3830091,273.9785,209.0643,28.94789
6,1.711114,-1.139403,1.59932,-0.3827648,273.977,210.2167,27.79869
6,1.722225,-1.139579,1.598623,-0.3825881,273.8692,211.4616,26.46515
6,1.733337,-1.139639,1.597905,-0.3822841,273.8049,211.9888,25.88657
6,1.744448,-1.139679,1.59717,-0.3819235,273.873,211.5759,26.3394
6,1.755559,-1.139671,1.596469,-0.3815972,274.0038,211.4912,26.47707
6,1.76667,-1.139774,1.595748,-0.3812374,274.0585,212.4481,25.51808
6,1.777781,-1.139848,1.595066,-0.3809195,274.1061,213.3362,24.55046
6,1.788892,-1.140114,1.594495,-0.3805256,274.0903,213.1841,24.56421
6,1.800003,-1.140347,1.593849,-0.3801148,274.087,212.1646,25.45787
6,1.811115,-1.140431,1.593334,-0.3797205,274.1658,209.1896,28.54732
6,1.822226,-1.140467,1.592607,-0.3792385,274.2618,207.8239,30.06182
6,1.833337,-1.140472,1.592036,-0.3788334,274.3144,207.9341,30.12955
6,1.844448,-1.140227,1.591546,-0.3785352,274.2151,210.4511,27.63297
6,1.855559,-1.140228,1.590988,-0.3781776,274.085,214.0548,23.97252
6,1.86667,-1.14036,1.590405,-0.3784195,274.0111,216.638,21.31807
6,1.877781,-1.140443,1.589919,-0.3780664,273.9562,218.1578,19.72671
6,1.888893,-1.140502,1.589491,-0.3777141,273.9407,217.3301,20.62387
6,1.900004,-1.140726,1.588966,-0.3772949,273.9039,216.688,21.34573
6,1.911115,-1.140971,1.588585,-0.3769447,273.876,215.9318,22.26583
6,1.922226,-1.140982,1.588159,-0.3766615,273.8509,215.9342,22.39735
6,1.933337,-1.141003,1.587795,-0.3764419,273.8447,217.4686,20.90725
6,1.944448,-1.140921,1.587374,-0.3763017,273.7783,220.4518,17.81061
6,1.955559,-1.141021,1.586969,-0.3761434,273.739,223.1698,14.95131
6,1.966671,-1.140994,1.586577,-0.3760782,273.7131,225.1156,12.83535
6,1.977782,-1.141093,1.586195,-0.3759753,273.7526,225.1349,12.73254
6,1.988893,-1.141138,1.585879,-0.3758764,273.8057,224.2462,13.658
6,2.000004,-1.140997,1.585888,-0.3754418,273.9031,221.8708,16.19345
6,2.011115,-1.14115,1.585615,-0.3753171,273.9211,220.7846,17.37507
6,2.022226,-1.141065,1.585327,-0.3752398,273.7893,221.036,17.20708
6,2.033337,-1.141015,1.585168,-0.3752853,273.6932,221.5363,16.71328
6,2.044448,-1.140846,1.584947,-0.3752938,273.6216,222.8235,15.38313
