loc,t,aDotS,bDotS,gDotS,aS,bS,gS
6,0.7444451,-0.7605574,1.538103,-0.2308286,273.2375,223.6178,354.0368
6,0.7555562,-0.764941,1.543883,-0.2321835,272.8052,224.0251,353.9871
6,0.7666674,-0.7695022,1.549331,-0.2332399,272.3499,230.5956,347.7604
6,0.7777785,-0.7740974,1.554524,-0.2348001,271.9304,240.2983,338.4891
6,0.7888896,-0.7786285,1.559971,-0.2361173,271.5255,246.4191,332.8008
6,0.8000008,-0.7835773,1.564991,-0.2378369,271.0434,249.0718,330.5318
6,0.8111119,-0.7887352,1.569903,-0.2398823,270.6471,210.2896,9.767956
6,0.8222231,-0.7938686,1.574883,-0.2419014,270.9772,162.7502,57.94296
6,0.8333342,-0.7993786,1.57966,-0.243973,271.5779,143.9219,77.33438
6,0.8444453,-0.805057,1.584216,-0.2463257,271.8987,131.2959,90.30326
6,0.8555565,-0.8107702,1.588655,-0.2484977,272.1157,119.5107,102.4403
6,0.8666676,-0.81657,1.592736,-0.2483195,272.166,105.9875,116.3467
6,0.8777788,-0.822762,1.596631,-0.2505216,272.2068,95.75002,126.9854
6,0.8888899,-0.8288624,1.6006,-0.2527342,272.2757,88.86229,134.3022
6,0.900001,-0.8352154,1.604033,-0.2550113,272.2353,87.06945,136.7432
6,0.9111122,-0.8415141,1.607636,-0.2573155,272.2485,90.01047,134.557
6,0.9222233,-0.8479767,1.611099,-0.2596586,272.3056,94.92181,130.3065
6,0.9333345,-0.8545198,1.614397,-0.2616343,272.3619,95.29147,130.4127
6,0.9444456,-0.8611419,1.617527,-0.2642319,272.403,95.14418,130.9483
6,0.9555568,-0.8677827,1.62066,-0.2668275,272.4509,95.03915,131.4404
6,0.9666679,-0.874563,1.623494,-0.2695823,272.5443,93.12993,133.6742
6,0.977779,-0.8813747,1.626139,-0.2722634,272.7685,94.80361,132.3317
6,0.9888902,-0.8883364,1.628973,-0.2749982,273.091,97.62459,129.8607
6,1.000001,-0.8953847,1.631474,-0.277762,273.6451,104.3673,123.4651
6,1.011112,-0.9024481,1.634043,-0.2803631,274.146,110.6095,117.6448
6,1.022224,-0.9092922,1.63639,-0.2831857,274.6852,119.1557,109.5727
6,1.033335,-0.9159886,1.638783,-0.2858209,274.9707,125.7649,103.2227
6,1.044446,-0.9228237,1.640568,-0.2886199,274.9047,125.8944,103.0832
6,1.055557,-0.9295353,1.642523,-0.2912886,274.8343,123.423,105.6809
6,1.066668,-0.9361672,1.643847,-0.2938211,274.854,123.4844,106.2371
6,1.077779,-0.9426294,1.645566,-0.2962894,275.1789,128.4783,102.1944
6,1.08889,-0.9492747,1.647327,-0.2988152,275.4958,133.3099,98.20873
6,1.100002,-0.9556217,1.648866,-0.3012553,275.7134,140.066,92.16918
6,1.111113,-0.9620137,1.650217,-0.3037705,275.7448,147.3318,85.10591
6,1.122224,-0.968318,1.651457,-0.3062325,275.8284,155.6342,76.70657
6,1.133335,-0.9746341,1.652617,-0.3086547,275.9948,161.2284,71.04177
6,1.144446,-0.9807845,1.653595,-0.3110843,275.8023,163.362,68.7048
6,1.155557,-0.9865165,1.654362,-0.3132412,275.5466,162.3109,69.88838
6,1.166668,-0.9919706,1.655153,-0.3153477,275.6546,161.4347,71.35328
6,1.17778,-0.9969547,1.656007,-0.3172698,276.0615,162.0746,71.61327
6,1.188891,-1.001934,1.656609,-0.3192876,276.5423,165.026,69.42413
6,1.200002,-1.006898,1.657408,-0.3212913,276.9477,168.4333,66.54911
6,1.211113,-1.011919,1.657916,-0.3233592,277.1896,172.7879,62.27641
6,1.222224,-1.016674,1.658366,-0.3254008,277.1915,175.9767,59.05755
6,1.233335,-1.020991,1.658202,-0.3273856,276.4778,178.5395,56.06898
6,1.244446,-1.025207,1.658347,-0.3292274,275.9541,180.4396,54.0209
6,1.255558,-1.029257,1.658377,-0.331247,275.5771,181.9273,52.57335
6,1.266669,-1.033083,1.658347,-0.3329301,275.3676,181.8204,52.85772
6,1.27778,-1.036947,1.658156,-0.3346363,275.508,180.4786,54.5301
6,1.288891,-1.040865,1.658093,-0.3362527,275.8138,179.8389,55.4677
6,1.300002,-1.044591,1.657871,-0.337952,276.4953,179.4164,56.23976
6,1.311113,-1.047977,1.657574,-0.3395872,276.9848,181.5142,54.28657
6,1.322224,-1.051381,1.657169,-0.341274,277.3218,184.1064,51.76827
6,1.333336,-1.054385,1.656401,-0.342878,277.451,188.0372,47.69696
6,1.344447,-1.057483,1.655614,-0.3444222,277.4572,191.2075,44.26031
6,1.355558,-1.060695,1.654928,-0.3458394,277.6083,192.6244,42.5032
6,1.366669,-1.064054,1.654364,-0.3471546,278.0181,191.6228,43.29768
6,1.37778,-1.067356,1.653815,-0.3484716,278.4538,190.1673,44.64742
6,1.388891,-1.070106,1.653163,-0.3497109,278.9172,187.0904,47.8901
6,1.400002,-1.073029,1.652544,-0.3509266,279.2559,185.9752,49.1263
6,1.411114,-1.07552,1.651757,-0.3520685,279.4839,185.9455,49.29014
6,1.422225,-1.07811,1.650962,-0.3531079,279.5408,186.9645,48.28633
6,1.433336,-1.080722,1.650181,-0.3541645,279.5316,187.6973,47.44241
6,1.444447,-1.083339,1.649368,-0.3551883,279.3275,188.5663,46.33527
6,1.455558,-1.085665,1.648299,-0.3563013,279.2437,189.6369,45.23362
6,1.466669,-1.087987,1.64739,-0.3573329,279.2759,190.6487,44.2736
6,1.47778,-1.090124,1.646109,-0.3584019,279.3722,191.2361,43.86806
6,1.488891,-1.092448,1.644984,-0.3593829,279.4547,190.2197,44.95454
6,1.500003,-1.094895,1.643878,-0.3603628,279.5325,188.7742,46.42256
6,1.511114,-1.097243,1.642609,-0.3614999,279.5455,186.7156,48.54716
6,1.522225,-1.099395,1.641394,-0.3626397,279.5917,185.0565,50.36093
6,1.533336,-1.100811,1.640291,-0.3639846,279.7702,184.8205,50.90506
6,1.544447,-1.102275,1.639349,-0.3652392,279.9692,185.3177,50.59781
6,1.555558,-1.103754,1.638393,-0.3664317,280.0942,186.2426,49.46965
6,1.566669,-1.105545,1.637468,-0.3676125,280.097,186.3213,49.0135
6,1.577781,-1.106987,1.636486,-0.3687152,280.1239,185.2988,49.48569
6,1.588892,-1.108223,1.635643,-0.3699369,280.5053,183.9625,50.86304
6,1.600003,-1.109368,1.634833,-0.3710541,280.9006,183.2157,51.72672
6,1.611114,-1.110366,1.63414,-0.372144,281.3102,182.55,52.59395
