loc,t,aDotS,bDotS,gDotS,aS,bS,gS,xS,yS,zS,aDotE,bDotE,gDotE,aE,bE,gE,xE,yE,zE,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH,xSH,ySH,zSH,aDotUB,bDotUB,gDotUB,aUB,bUB,gUB,xUB,yUB,zUB,xHand,yHand,zHand,aHand,bHand,gHand
5,0.1111111,-1.08786,-1.580234,0.2376493,-1.353202,-4.400545,-2.851672,0.3540121,1.227702,0.4130416,-0.912118,0.1418326,-1.6198,-1.391314,-4.259115,1.707076,0.2097563,1.137329,0.3648458,-0.001492681,-0.001003047,3.295073E-05,-0.006641391,-2.179405,0.6058425,2.767427,0.773858,1.075208,0.0003151419,-0.001569887,-0.000914371,-0.01307932,-2.342489,-2.985299,2.714947,0.7771863,0.9581044,0.0597475,1.123178,0.2333174,287.1519,194.4675,48.20364
5,0.1222222,-1.294828,-1.515317,0.1445525,-1.349752,-4.382234,-2.845651,0.3483973,1.228533,0.4125426,-0.8949981,0.1267844,-1.642351,-1.383831,-4.244346,1.723886,0.2044707,1.140162,0.3620532,-0.0005953926,0.001233972,-0.002078797,-0.006614227,-2.159267,0.5856363,2.767521,0.7739167,1.075112,-0.0005883925,0.00170016,-0.001911159,-0.01304736,-2.354148,-2.973497,2.71496,0.7772137,0.9580137,0.05681229,1.128164,0.2274042,285.0745,197.2441,44.98483
5,0.1333333,-1.356597,-1.471848,0.1483501,-1.343653,-4.36594,-2.839082,0.3429964,1.229622,0.4119678,-0.8753366,0.1829695,-1.62599,-1.379866,-4.228439,1.736355,0.1991329,1.142847,0.3591561,0.001424951,0.002495571,-0.002049646,-0.006596117,-2.152139,0.5784436,2.767542,0.7739227,1.075105,0.0006554115,0.001606264,0.001218172,-0.01316986,-2.352696,-2.974987,2.714952,0.7771994,0.9580048,0.05332931,1.132694,0.2202148,282.9749,200.0809,41.59406
5,0.1444445,-1.441078,-1.421136,0.05836864,-1.33726,-4.353034,-2.826039,0.3375889,1.230795,0.4110341,-0.991249,0.2553332,-1.548044,-1.371437,-4.214691,1.750762,0.1931838,1.146447,0.3560994,0.0005092073,0.0002562051,0.001133739,-0.006532734,-2.186208,0.6126314,2.767468,0.7738811,1.075042,0.002506693,-0.0006545451,-0.001033089,-0.01312033,-2.349495,-2.978312,2.71494,0.7772328,0.9580411,0.04988614,1.138227,0.2143749,281.0263,202.4422,38.69814
5,0.1555556,-1.492425,-1.401263,-0.002058873,-1.329648,-4.341479,-2.809412,0.3319987,1.232196,0.4102459,-1.146962,0.3618068,-1.467509,-1.362726,-4.199963,1.763918,0.1873146,1.149809,0.3531682,0.0004680487,0.00132405,-0.003124184,-0.006650446,-2.172163,0.5985686,2.7675,0.7738882,1.075063,-0.0006173855,-0.0004354882,0.0002125371,-0.01312938,-2.349109,-2.978547,2.714932,0.777218,0.9580166,0.04631532,1.143206,0.2083519,279.5708,203.9596,36.85144
5,0.1666667,-1.595505,-1.365047,-0.08953825,-1.322112,-4.329733,-2.792661,0.3260656,1.233561,0.409199,-1.276188,0.429185,-1.40871,-1.351828,-4.186857,1.78045,0.1805421,1.154167,0.3498461,0.0005344268,0.0002686292,7.541449E-05,-0.006459231,-2.179667,0.6060026,2.767447,0.7739559,1.075141,-0.002723037,0.0007848507,-0.000727809,-0.01309317,-2.353835,-2.973766,2.714924,0.7772471,0.9580348,0.0421808,1.149239,0.2031759,278.58,201.5333,39.29107
5,0.1777778,-1.644996,-1.347139,-0.1192224,-1.315006,-4.31636,-2.777491,0.3200698,1.23506,0.4083085,-1.344189,0.4571795,-1.394407,-1.342688,-4.172696,1.795614,0.1742791,1.157966,0.346369,0.0004466104,0.001329636,-0.0009904499,-0.006486928,-2.168821,0.5951681,2.767422,0.7739179,1.075144,-0.001521169,0.00176752,0.0002792168,-0.01317945,-2.358944,-2.968763,2.71493,0.7771857,0.9581354,0.03766339,1.155115,0.197633,278.1567,196.3601,44.77287
5,0.1888889,-1.697366,-1.335583,-0.1482047,-1.306378,-4.302486,-2.76145,0.3133848,1.236841,0.4071691,-1.408999,0.5005113,-1.409189,-1.332594,-4.158691,1.811638,0.1672831,1.162304,0.3426688,-0.001392115,-0.002051738,0.001100045,-0.006587595,-2.171717,0.5980227,2.767423,0.7739029,1.075096,0.001367632,-0.001638197,-0.0009709031,-0.01312938,-2.35087,-2.976875,2.714923,0.7771782,0.9581244,0.03291198,1.161582,0.1931754,278.1735,189.8385,51.82335
5,0.2,-1.731195,-1.342528,-0.1940366,-1.29717,-4.287626,-2.745781,0.3065554,1.238836,0.4058371,-1.459972,0.5380698,-1.439164,-1.321268,-4.144381,1.826905,0.1603905,1.166685,0.3386197,-0.000521115,0.0001731637,4.989661E-05,-0.006559898,-2.158047,0.5843915,2.767425,0.773828,1.075153,-0.001742348,-0.0003468737,-0.0007784381,-0.01325136,-2.35629,-2.971298,2.714945,0.7771578,0.9581518,0.02815511,1.16854,0.1894115,278.3358,184.554,57.8077
5,0.2111111,-1.741792,-1.354295,-0.2226416,-1.287756,-4.273818,-2.729987,0.2997881,1.240719,0.4046509,-1.492228,0.5670002,-1.448658,-1.309827,-4.13003,1.841452,0.1533159,1.171002,0.3348994,-0.0006248181,0.001228942,5.509262E-05,-0.006468286,-2.158584,0.5849178,2.767457,0.7738733,1.075163,0.001652112,0.001546536,0.0001051065,-0.01330089,-2.361917,-2.965797,2.714938,0.7771555,0.9581593,0.02347966,1.17491,0.1844554,278.3401,180.364,62.58551
5,0.2222222,-1.73388,-1.332407,-0.2581244,-1.27742,-4.262216,-2.711839,0.2926134,1.242894,0.4029343,-1.557953,0.6295162,-1.419592,-1.298237,-4.117358,1.855327,0.1460413,1.175574,0.3310785,0.0005049666,0.0002657049,0.002203634,-0.00639425,-2.180215,0.6065653,2.767474,0.7737827,1.075119,0.001582036,0.0004849493,9.965098E-05,-0.01324656,-2.36134,-2.96646,2.714928,0.7771389,0.9582127,0.01837757,1.181686,0.1804079,278.5091,176.9449,66.90181
5,0.2333333,-1.724686,-1.2657,-0.2948267,-1.26795,-4.252131,-2.694297,0.2857124,1.24492,0.4013104,-1.587455,0.6545657,-1.353245,-1.286816,-4.107446,1.870111,0.1386908,1.18035,0.327548,-0.0003434351,-0.001951906,0.001121421,-0.006441121,-2.17484,0.6012443,2.76749,0.7737801,1.075122,0.0003197058,-0.0004923849,-0.001969921,-0.01311127,-2.357429,-2.970242,2.714908,0.7772055,0.958173,0.0132734,1.18795,0.1758176,278.2592,174.5268,70.07629
5,0.2444444,-1.716251,-1.159976,-0.336867,-1.258549,-4.2425,-2.677862,0.2786503,1.247007,0.3997321,-1.592164,0.6657313,-1.303842,-1.275836,-4.100251,1.885466,0.1310694,1.185094,0.3241189,-0.0006502176,0.001212912,0.001116572,-0.006578008,-2.18215,0.6086234,2.767353,0.7738791,1.0752,0.0001760647,-0.001546736,-0.003024952,-0.01319756,-2.354934,-2.972651,2.714944,0.7771705,0.9581059,0.008274898,1.194026,0.170823,277.7362,172.3812,72.83311
5,0.2555556,-1.696471,-1.019404,-0.3633081,-1.249071,-4.234898,-2.661232,0.2714488,1.249311,0.3976243,-1.585645,0.6835012,-1.218161,-1.266076,-4.095363,1.901167,0.1235822,1.190033,0.3202047,-0.001497027,-0.001008194,3.334167E-05,-0.006712764,-2.187541,0.6140767,2.767368,0.7739429,1.075203,-0.0005662692,-0.0004342601,0.00128952,-0.01334989,-2.355869,-2.971668,2.714927,0.7771094,0.9581336,0.002931703,1.200415,0.1664033,276.9925,169.8948,75.76043
