loc,t,aDotS,bDotS,gDotS,aS,bS,gS
0,0,-0.6583819,1.094171,-0.3009698,287.7638,199.1322,19.33633
0,0.01111111,-0.6587275,1.09284,-0.3043322,287.785,200.7393,17.47504
0,0.02222222,-0.6591122,1.092021,-0.3073226,287.7865,202.842,15.19153
0,0.03333334,-0.6596621,1.091564,-0.3100729,287.7386,205.1356,12.73236
0,0.04444445,-0.6601732,1.091191,-0.3125776,287.7213,207.2776,10.47468
0,0.05555556,-0.6610256,1.092053,-0.3137867,287.7398,209.2279,8.551602
0,0.06666667,-0.6617654,1.092527,-0.3155104,287.7968,210.8126,6.976681
0,0.07777778,-0.6626981,1.094066,-0.3162389,287.7648,212.7322,5.24903
0,0.08888889,-0.6639068,1.096314,-0.3168078,287.7466,214.8076,3.447556
0,0.1,-0.665132,1.098995,-0.3165224,287.8121,216.263,2.384359
0,0.1111111,-0.6678692,1.104447,-0.3146717,287.3623,218.8846,0.3828218
0,0.1222222,-0.6678692,1.104447,-0.3146717,287.3623,218.8846,0.3828218
0,0.1333333,-0.6696893,1.107245,-0.3131577,286.8787,219.92,359.5916
0,0.1444445,-0.6738201,1.114096,-0.3083616,286.0343,222.0479,357.5557
0,0.1555556,-0.6756715,1.117915,-0.3057721,285.7447,223.0005,356.8493
0,0.1666667,-0.6756715,1.117915,-0.3057721,285.7447,223.0005,356.8493
0,0.1777778,-0.6779519,1.122002,-0.3024591,285.4173,224.3924,355.7868
0,0.1888889,-0.680278,1.125956,-0.2996473,285.0792,226.3174,354.1853
0,0.2,-0.6833524,1.130478,-0.2961556,284.7641,229.2012,351.7215
0,0.2111111,-0.6863095,1.134892,-0.2925455,284.4657,231.9296,349.3687
0,0.2222222,-0.6941004,1.144356,-0.2846713,283.6263,236.9288,345.131
0,0.2333333,-0.6941004,1.144356,-0.2846713,283.6263,236.9288,345.131
0,0.2444444,-0.7030116,1.154224,-0.2771329,282.6588,238.4776,344.4494
0,0.2555556,-0.7030116,1.154224,-0.2771329,282.6588,238.4776,344.4494
0,0.2666667,-0.708072,1.159074,-0.2739696,282.1384,238.4357,344.9489
0,0.2777778,-0.7135127,1.164172,-0.2704176,281.5244,238.7039,345.1119
0,0.2888889,-0.718603,1.168796,-0.2674838,280.836,239.7133,344.4709
0,0.3,-0.7245247,1.173794,-0.264306,279.986,240.3632,344.1582
0,0.3111111,-0.7369068,1.183515,-0.2591599,278.4973,240.0052,345.1579
0,0.3222222,-0.7432441,1.18849,-0.256602,277.9008,238.4673,347.132
0,0.3333333,-0.7497565,1.193055,-0.2546093,277.3174,237.544,348.4726
0,0.3444445,-0.7497565,1.193055,-0.2546093,277.3174,237.544,348.4726
0,0.3555556,-0.756419,1.197636,-0.2525374,276.7191,237.1557,349.2562
0,0.3666667,-0.7700365,1.205942,-0.2493902,275.5939,236.5313,350.9721
0,0.3777778,-0.7700365,1.205942,-0.2493902,275.5939,236.5313,350.9721
0,0.3888889,-0.7837333,1.213746,-0.2467672,274.5786,235.1107,353.7682
0,0.4,-0.7837333,1.213746,-0.2467672,274.5786,235.1107,353.7682
0,0.4111111,-0.7971734,1.220803,-0.2448199,273.6531,235.3961,354.6485
0,0.4222222,-0.7971734,1.220803,-0.2448199,273.6531,235.3961,354.6485
0,0.4333333,-0.8104501,1.226816,-0.2448484,273.174,248.7388,341.7105
0,0.4444444,-0.8168325,1.229943,-0.2444088,272.9828,259.7818,330.7923
0,0.4555556,-0.8233407,1.233218,-0.2434328,272.9802,274.3567,316.1805
0,0.4666667,-0.8296446,1.235639,-0.243401,272.9921,284.3505,306.2564
0,0.4777778,-0.8363496,1.237942,-0.2437882,272.8088,288.975,301.9652
0,0.4888889,-0.842581,1.240017,-0.2439726,272.3629,288.3483,303.1736
0,0.5,-0.842581,1.240017,-0.2439726,272.3629,288.3483,303.1736
0,0.5111111,-0.8546146,1.243002,-0.2460805,271.8101,292.3192,300.5927
0,0.5222223,-0.8546146,1.243002,-0.2460805,271.8101,292.3192,300.5927
0,0.5333334,-0.8657826,1.245629,-0.2478499,271.9059,281.9971,311.6241
0,0.5444446,-0.8657826,1.245629,-0.2478499,271.9059,281.9971,311.6241
0,0.5555557,-0.8767067,1.24768,-0.2497879,272.2438,297.8016,295.8365
0,0.5666668,-0.8816924,1.248412,-0.2508938,272.7394,306.4435,287.1779
0,0.577778,-0.8867464,1.249393,-0.2517213,273.2618,310.9222,282.8336
0,0.5888891,-0.8867464,1.249393,-0.2517213,273.2618,310.9222,282.8336
0,0.6000003,-0.8961225,1.249924,-0.2538809,273.9042,310.6774,283.6907
0,0.6111114,-0.8961225,1.249924,-0.2538809,273.9042,310.6774,283.6907
0,0.6222225,-0.9049269,1.249995,-0.2560358,273.293,302.2158,292.8225
0,0.6333337,-0.9049269,1.249995,-0.2560358,273.293,302.2158,292.8225
0,0.6444448,-0.9127728,1.249439,-0.2583214,273.5012,309.8695,285.5397
