loc,t,aDotS,bDotS,gDotS,aS,bS,gS
7,0,-0.6600651,1.099373,-0.301158,301.1688,188.1164,26.13728
7,0.01111111,-0.6616247,1.097669,-0.3067647,301.0651,188.5043,25.15284
7,0.02222222,-0.6633249,1.096399,-0.3121083,300.8844,189.0573,24.20822
7,0.03333334,-0.6647276,1.095836,-0.3172112,300.9118,189.9456,23.18823
7,0.04444445,-0.6661792,1.095056,-0.3226005,301.0173,191.0804,21.91256
7,0.05555556,-0.6673462,1.095499,-0.3272411,300.9799,193.0394,19.69064
7,0.06666667,-0.6684932,1.09621,-0.3313242,301.0479,194.6161,18.04988
7,0.07777778,-0.6692599,1.098046,-0.334622,300.8945,196.7548,15.89241
7,0.08888889,-0.6700406,1.100386,-0.3367231,300.6623,198.8606,13.5232
7,0.1,-0.6709764,1.103579,-0.3390028,300.2832,200.6484,11.59752
7,0.1111111,-0.6713583,1.10733,-0.3409454,299.8219,201.9664,10.18799
7,0.1222222,-0.6720892,1.110935,-0.3432042,299.5246,203.0541,9.001243
7,0.1333333,-0.6719669,1.116431,-0.3442226,298.9701,203.3043,8.720448
7,0.1444445,-0.6721216,1.121325,-0.3454217,298.5982,203.9379,7.958297
7,0.1555556,-0.6718746,1.126944,-0.3462809,298.0692,204.2593,7.461239
7,0.1666667,-0.6713967,1.133059,-0.347093,297.6786,204.7725,6.679321
7,0.1777778,-0.6707608,1.139233,-0.347827,297.4365,205.2803,5.950611
7,0.1888889,-0.6697777,1.146903,-0.3479226,297.5798,205.545,5.351718
7,0.2,-0.6687534,1.154455,-0.3472519,297.5396,206.2602,4.256323
7,0.2111111,-0.6679248,1.162499,-0.3472996,297.5181,207.8179,1.959712
7,0.2222222,-0.6668571,1.170275,-0.3475658,297.3775,209.6874,359.3105
7,0.2333333,-0.6657123,1.179122,-0.3477242,297.3511,212.067,355.9516
7,0.2444444,-0.6644461,1.188085,-0.3485356,297.4338,213.7671,353.477
7,0.2555556,-0.6629242,1.198101,-0.3489847,297.6292,214.5873,352.0456
7,0.2666667,-0.6615424,1.207618,-0.3500194,297.7869,215.0058,351.0249
7,0.2777778,-0.6598593,1.218558,-0.3505166,297.931,214.5854,350.7957
7,0.2888889,-0.6582434,1.229612,-0.3510962,297.9042,214.2525,350.2952
7,0.3,-0.6566599,1.241202,-0.351402,297.7368,213.5713,350.0602
7,0.3111111,-0.6553173,1.253153,-0.3521796,297.4044,212.2615,350.4336
7,0.3222222,-0.6540928,1.265225,-0.3529292,296.8897,210.4403,351.3412
7,0.3333333,-0.6530247,1.277054,-0.3536853,296.1602,208.9541,351.7504
7,0.3444445,-0.6519606,1.289182,-0.3541395,294.9755,207.8263,351.3618
7,0.3555556,-0.6509854,1.301528,-0.355114,293.8084,206.6718,351.22
7,0.3666667,-0.6496275,1.31343,-0.3568327,292.7945,205.0405,351.927
7,0.3777778,-0.6483976,1.324352,-0.3630071,291.8891,202.7389,353.5913
7,0.3888889,-0.6472619,1.336504,-0.3645394,291.1593,200.0748,355.6661
7,0.4,-0.6458819,1.349234,-0.3654959,290.6581,196.8422,358.404
7,0.4111111,-0.6452895,1.361043,-0.3674926,289.9799,194.2287,0.3788933
7,0.4222222,-0.6441177,1.373544,-0.3685534,289.1327,191.8762,1.950597
7,0.4333333,-0.6434306,1.385154,-0.3707488,288.2043,190.374,2.809694
7,0.4444444,-0.6427052,1.396585,-0.3729072,287.2986,189.7649,2.909105
7,0.4555556,-0.6420496,1.408119,-0.3748196,286.4969,188.6663,3.658739
7,0.4666667,-0.6416033,1.419016,-0.37743,286.0566,186.7319,5.884356
7,0.4777778,-0.6412136,1.430098,-0.3797336,285.6016,183.7393,8.954283
7,0.4888889,-0.6411983,1.440815,-0.3825703,285.2422,179.7173,13.08861
7,0.5,-0.6412319,1.451601,-0.3852954,284.641,176.2111,16.45152
7,0.5111111,-0.6418263,1.461725,-0.3888905,283.8002,173.3843,18.91541
7,0.5222223,-0.6421145,1.471763,-0.3923888,283.1073,171.3454,20.75732
7,0.5333334,-0.6428376,1.481321,-0.3961261,282.7615,169.6695,22.58202
7,0.5444446,-0.6433199,1.490781,-0.3995911,282.8052,168.0525,24.65942
7,0.5555557,-0.6442872,1.499831,-0.4035369,282.7936,166.9978,26.04786
7,0.5666668,-0.6454839,1.508598,-0.4077117,282.5829,166.3481,26.8048
7,0.577778,-0.6467485,1.517285,-0.4118482,282.3423,165.2066,27.97914
7,0.5888891,-0.6484793,1.525527,-0.4161883,282.0506,163.3878,29.7217
7,0.6000003,-0.6503072,1.533454,-0.4207102,281.8354,161.6768,31.57052
7,0.6111114,-0.6524027,1.540969,-0.4252858,281.7136,160.1786,33.43436
7,0.6222225,-0.6545214,1.548528,-0.4297874,281.7018,158.6109,35.46097
7,0.6333337,-0.6571313,1.555447,-0.4343945,281.9069,157.0325,37.77889
7,0.6444448,-0.6599358,1.562171,-0.4391462,282.0337,155.5266,39.97752
7,0.655556,-0.6628727,1.568299,-0.4444081,281.7537,155.0178,41.04609
7,0.6666671,-0.6656616,1.574293,-0.4493445,281.223,155.3173,41.25768
7,0.6777782,-0.6687093,1.580069,-0.4544401,280.9059,155.4641,41.71463
7,0.6888894,-0.6719546,1.585414,-0.4594355,280.9523,155.423,42.68511
7,0.7000005,-0.6753053,1.590775,-0.4644801,281.1886,154.7389,44.31417
7,0.7111117,-0.6791775,1.595642,-0.4696187,281.6259,153.5001,46.524
7,0.7222228,-0.683378,1.600307,-0.4748347,281.701,152.2611,48.41058
