loc,t,aDotS,bDotS,gDotS,aS,bS,gS,xS,yS,zS,qE,qDotE,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH,xSH,ySH,zSH,aDotUB,bDotUB,gDotUB,aUB,bUB,gUB,xUB,yUB,zUB,xHand,yHand,zHand,aHand,bHand,gHand,enable
5,0,-0.2408857,-0.6224778,0.6703652,-1.404729,-4.552533,-2.398222,0.2986645,1.265342,0.4406593,-0.6354542,-0.0145119,-0.5195987,0.2716456,0.1979413,-0.4711324,-3.643742,-0.5518968,0.3902576,1.442392,0.3573186,-0.2636426,0.3676569,-0.005052265,-1.15658,0.1969874,-0.07856192,0.5173613,1.493322,0.1998508,-0.002008529,1.11744,0.3526931,295.9515,273.1091,343.4921,False
5,0.01111111,-0.2408857,-0.6224778,0.6703652,-1.404729,-4.552533,-2.398222,0.2986645,1.265342,0.4406593,-0.6352614,0.01790388,-0.5195987,0.2716456,0.1979413,-0.4711324,-3.643742,-0.5518968,0.3902576,1.442392,0.3573186,-0.2636426,0.3676569,-0.005052265,-1.15658,0.1969874,-0.07856192,0.5173613,1.493322,0.1998508,-0.0001962781,1.114537,0.3441477,294.9976,254.3697,1.044376,False
5,0.02222222,-0.2312444,-0.6119173,0.6639022,-1.405648,-4.542853,-2.397587,0.2972149,1.265694,0.4389808,-0.6385014,-0.2964034,-0.4830884,0.2110221,0.2114918,-0.4689486,-3.639874,-0.5513265,0.3897849,1.442559,0.3566036,-0.2732058,0.3292921,0.0002560951,-1.15658,0.1996653,-0.07625403,0.5175067,1.493179,0.1997521,0.0004488397,1.11422,0.3402686,295.5187,247.3484,8.780589,False
5,0.03333334,-0.2312444,-0.6119173,0.6639022,-1.405648,-4.542853,-2.397587,0.2972149,1.265694,0.4389808,-0.6341482,0.4005492,-0.4830884,0.2110221,0.2114918,-0.4689486,-3.639874,-0.5513265,0.3897849,1.442559,0.3566036,-0.2732058,0.3292921,0.0002560951,-1.15658,0.1996653,-0.07625403,0.5175067,1.493179,0.1997521,0.0003753239,1.114242,0.3394715,295.631,247.187,9.571236,False
5,0.04444445,-0.250459,-0.6031694,0.5081214,-1.402479,-4.50919,-2.392251,0.2918919,1.266854,0.4329157,-0.638316,-0.3848518,-0.432908,0.1973287,0.2218666,-0.4642598,-3.614035,-0.5562113,0.3875004,1.442993,0.3536794,-0.1944002,0.2514997,0.001634782,-1.157125,0.2102162,-0.07311708,0.5178949,1.492821,0.1987903,-0.0003030174,1.11435,0.3387389,296.1983,247.7882,9.8798,False
5,0.05555556,-0.2576681,-0.6271386,0.4636441,-1.399715,-4.50091,-2.390577,0.2907802,1.266942,0.4306476,-0.6311207,0.6615964,-0.4031556,0.235767,0.2324264,-0.4639354,-3.602665,-0.5630615,0.3872305,1.44328,0.3531089,-0.1871058,0.1855035,-0.01774511,-1.158043,0.2097407,-0.07102145,0.5180628,1.492663,0.1984181,-0.000816022,1.114405,0.3378214,296.7675,247.4524,10.87017,False
5,0.06666667,-0.2596684,-0.6305647,0.4444981,-1.397966,-4.492812,-2.389165,0.2897335,1.267445,0.4293392,-0.6353264,-0.3905205,-0.3455238,0.1912364,0.2224515,-0.4623269,-3.599537,-0.5643132,0.3870707,1.443642,0.3525124,-0.197845,0.1535752,-0.02839772,-1.158849,0.2103237,-0.06856921,0.5182119,1.492445,0.198051,-0.001803693,1.114594,0.3352188,298.2302,245.3069,14.23325,False
5,0.07777778,-0.2575423,-0.6177191,0.4465305,-1.397928,-4.484628,-2.387587,0.288804,1.267744,0.4281554,-0.6361243,-0.06842972,-0.2983843,0.1274716,0.2295505,-0.4592856,-3.598215,-0.5640786,0.3868372,1.443923,0.3519108,-0.203362,0.125929,-0.05185422,-1.160304,0.2105969,-0.06602669,0.5184398,1.492175,0.1974766,-0.00254083,1.114793,0.3325056,299.3392,243.5629,17.26752,False
5,0.08888889,-0.2456997,-0.5816154,0.438719,-1.398025,-4.477683,-2.386742,0.2878394,1.268166,0.4270105,-0.6364678,-0.03115119,-0.2447795,0.03390467,0.2312301,-0.4551481,-3.601624,-0.560585,0.3866909,1.444093,0.3513367,-0.2088335,0.1110626,-0.07102422,-1.161858,0.2112901,-0.06377339,0.5185721,1.49193,0.1970689,-0.002859758,1.11492,0.3306156,300.2944,241.3918,20.01912,False
5,0.1,-0.2272668,-0.5373854,0.397828,-1.397435,-4.47259,-2.385773,0.2870882,1.26871,0.4260499,-0.6363112,0.01438816,-0.2371539,-0.00761871,0.2353839,-0.4519869,-3.601112,-0.5585834,0.3864811,1.444457,0.350774,-0.2284161,0.08455527,-0.1252719,-1.165455,0.2108952,-0.06016001,0.5187675,1.491744,0.1966467,-0.003271033,1.115134,0.3292956,300.7682,240.8396,21.09245,False
