loc,t,aDotS,bDotS,gDotS,aS,bS,gS,xS,yS,zS,qE,qDotE,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH,xSH,ySH,zSH,aDotUB,bDotUB,gDotUB,aUB,bUB,gUB,xUB,yUB,zUB,xHand,yHand,zHand,aHand,bHand,gHand,enable
7,0,0.04907871,0.0009259013,-0.01696954,-1.403116,-4.648133,-2.944215,0.3238057,1.215768,0.5210338,-1.527193,0.01507301,0.01335479,-0.03299745,0.0007379996,-0.6436589,-3.653063,-0.4271961,0.3135488,1.417029,0.4156892,0.01533487,0.01398764,-0.003845583,-1.052206,0.5819886,-0.1030904,0.4880503,1.488761,0.2976527,0.03947747,1.141576,0.4184441,286.7015,251.0882,1.002599,False
7,0.01111111,0.04907871,0.0009259013,-0.01696954,-1.403116,-4.648133,-2.944215,0.3238057,1.215768,0.5210338,-1.527206,-0.001365488,0.01335479,-0.03299745,0.0007379996,-0.6436589,-3.653063,-0.4271961,0.3135488,1.417029,0.4156892,0.01533487,0.01398764,-0.003845583,-1.052206,0.5819886,-0.1030904,0.4880503,1.488761,0.2976527,0.03935861,1.141347,0.4188169,286.7501,251.0786,1.083893,False
7,0.02222222,0.0480403,-0.005490684,-0.01903793,-1.402794,-4.647895,-2.944733,0.3237565,1.215768,0.5212538,-1.526744,0.04222765,0.01447618,-0.03726219,0.007117796,-0.6431321,-3.653728,-0.4268531,0.31341,1.416999,0.4157841,0.01331454,0.003320687,0.01000904,-1.051587,0.5816869,-0.1030286,0.4878796,1.488771,0.2977169,0.039246,1.141126,0.4191257,286.8051,251.0888,1.119808,False
7,0.03333334,0.0480403,-0.005490684,-0.01903793,-1.402794,-4.647895,-2.944733,0.3237565,1.215768,0.5212538,-1.527787,-0.09569022,0.01447618,-0.03726219,0.007117796,-0.6431321,-3.653728,-0.4268531,0.31341,1.416999,0.4157841,0.01331454,0.003320687,0.01000904,-1.051587,0.5816869,-0.1030286,0.4878796,1.488771,0.2977169,0.03918468,1.140947,0.4193429,286.8729,251.1436,1.10079,False
7,0.04444445,0.042592,0.01380048,-0.007536212,-1.403182,-4.64888,-2.945626,0.3236063,1.215757,0.5213273,-1.526825,0.08883383,0.006716296,0.02132629,-0.008734819,-0.6446474,-3.650743,-0.429285,0.3127106,1.416853,0.4158244,0.02621739,0.009665977,0.02376244,-1.050378,0.5820775,-0.1041397,0.487179,1.488973,0.2980907,0.03917828,1.140795,0.4194899,286.9026,251.0491,1.171192,False
7,0.05555556,0.04150066,0.0159729,-0.003302801,-1.403358,-4.649121,-2.946004,0.3235952,1.21575,0.5214849,-1.52751,-0.06349452,-0.00403418,0.04153457,-0.01290372,-0.6454788,-3.648996,-0.4301783,0.3125281,1.416835,0.4158576,0.03695419,0.01177692,0.03326054,-1.04967,0.5824209,-0.1051302,0.4869828,1.489064,0.2981613,0.03918022,1.14067,0.4195632,286.9268,251.0754,1.139444,False
7,0.06666667,0.04040696,0.01709128,0.002007019,-1.403656,-4.649304,-2.946391,0.3236104,1.215745,0.5216327,-1.527043,0.04335423,-0.0008257702,0.04899406,-0.007586696,-0.6456243,-3.647829,-0.431313,0.3123665,1.416787,0.4159391,0.04442073,0.009640669,0.03532223,-1.049245,0.5825177,-0.1058407,0.4867868,1.489116,0.2982502,0.03914666,1.140563,0.4195935,286.9299,251.1052,1.085195,False
7,0.07777778,0.03825735,0.01606366,0.005200332,-1.40385,-4.649548,-2.946593,0.3236722,1.215836,0.5216193,-1.527156,-0.01070893,0.007681385,0.03944452,-0.01510977,-0.6460637,-3.648063,-0.4315565,0.3122972,1.416786,0.4160097,0.04237295,-0.001022624,0.04598111,-1.048245,0.5821426,-0.1060452,0.486618,1.489181,0.2982557,0.03907241,1.140486,0.419619,286.9551,251.2009,0.9586322,False
7,0.08888889,0.03719863,0.005457158,0.007434654,-1.403958,-4.649552,-2.946776,0.3236475,1.215891,0.5216358,-1.527189,-0.002861123,0.02262925,0.02778535,-0.01628441,-0.6462512,-3.648305,-0.4321733,0.312261,1.416852,0.4161687,0.03491289,-0.008474104,0.04710313,-1.047658,0.5817876,-0.1058228,0.4864915,1.489168,0.2982805,0.0390428,1.140436,0.4196776,286.965,251.218,0.8982263,False
7,0.1,0.03829682,-0.005203546,0.006486734,-1.403896,-4.649098,-2.947321,0.3236623,1.215944,0.5217729,-1.527026,0.01484907,0.03117979,0.009711092,-0.02168679,-0.6464142,-3.649531,-0.4318848,0.3122279,1.416837,0.4162581,0.03171831,-0.01806036,0.04818507,-1.046992,0.5811826,-0.1057368,0.48637,1.489244,0.2982571,0.03907318,1.140406,0.419781,286.9716,251.2799,0.8247986,False
