ref,t,emg1,emg2,emg1raw,emg2raw,aDotS,bDotS,gDotS,aS,bS,gS,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH
0,0,120,214,499,496,0.4354427,-0.3580585,-0.4898756,-1.366841,-2.969032,-1.677667,0.1682089,0.0989797,0.104201,-0.9756757,-2.593301,1.581834
0,0.01111111,116,196,500,500,0.4627115,-0.3546687,-0.5008807,-1.373395,-2.964526,-1.683227,0.1731076,0.1199382,0.1026816,-0.9784475,-2.592128,1.580489
0,0.02222222,116,196,500,500,0.4731911,-0.3552654,-0.499169,-1.379619,-2.959927,-1.68829,0.1709095,0.1573777,0.1220891,-0.9811943,-2.589481,1.578096
0,0.03333334,116,196,500,500,0.4920371,-0.3561681,-0.484589,-1.38629,-2.955508,-1.692892,0.1749863,0.1880433,0.1432172,-0.9842601,-2.58657,1.575425
0,0.04444445,116,196,500,500,0.5056578,-0.3568,-0.4757687,-1.392846,-2.950987,-1.697483,0.1923271,0.2068245,0.1476957,-0.9879156,-2.584486,1.573322
0,0.05555556,116,196,500,500,0.5086836,-0.3481674,-0.4598177,-1.399063,-2.946917,-1.701761,0.2279327,0.2172892,0.1408524,-0.9923646,-2.583299,1.571983
0,0.06666667,120,167,501,504,0.5077701,-0.3212107,-0.4415247,-1.405231,-2.943705,-1.705909,0.2570401,0.2079707,0.113004,-0.9965751,-2.583168,1.571341
0,0.07777778,120,167,501,504,0.5052607,-0.2780087,-0.4193142,-1.410991,-2.941185,-1.709717,0.2660701,0.1604751,0.07160848,-0.9994385,-2.584502,1.571632
0,0.08888889,120,167,501,504,0.5104303,-0.220845,-0.3892199,-1.416961,-2.939897,-1.713192,0.2587638,0.1125627,0.05253465,-1.001746,-2.585875,1.571542
0,0.1,120,167,501,504,0.5116532,-0.1718087,-0.3754335,-1.422766,-2.93873,-1.716829,0.2522406,0.09479476,0.05345948,-1.00425,-2.586124,1.570569
0,0.1111111,119,178,501,497,0.5122993,-0.09816588,-0.341946,-1.428321,-2.939469,-1.719853,0.2388115,0.09186859,0.06855781,-1.006658,-2.585812,1.569191
0,0.1222222,119,178,501,497,0.5081559,-0.02664303,-0.2961058,-1.433837,-2.940718,-1.722188,0.2225188,0.1197326,0.1051861,-1.009625,-2.583797,1.566644
0,0.1333333,119,178,501,497,0.4994031,0.01614746,-0.2593726,-1.438966,-2.942105,-1.724256,0.2054426,0.137225,0.1274796,-1.012217,-2.581772,1.564275
0,0.1444445,119,178,501,497,0.4911114,0.05412526,-0.2187482,-1.443975,-2.943684,-1.725859,0.1797647,0.150869,0.1518482,-1.014515,-2.579268,1.561602
0,0.1555556,119,178,501,497,0.4672193,0.07491206,-0.1902102,-1.448387,-2.944945,-1.72743,0.167095,0.1370492,0.1490558,-1.016332,-2.578159,1.559849
0,0.1666667,123,195,502,496,0.4314573,0.07216562,-0.1709124,-1.452423,-2.945576,-1.729184,0.1682339,0.1104736,0.1294695,-1.018225,-2.578129,1.558801
0,0.1777778,123,195,502,496,0.4122237,0.06490473,-0.1648406,-1.456568,-2.945865,-1.730952,0.1707638,0.07509468,0.1033404,-1.019867,-2.578943,1.558204
0,0.1888889,123,195,502,496,0.382417,0.0519392,-0.1470785,-1.460028,-2.946146,-1.732174,0.1640347,0.04870778,0.07376402,-1.021221,-2.579858,1.558107
0,0.2,123,195,502,496,0.3628182,0.0497102,-0.1305249,-1.463515,-2.946762,-1.733321,0.1559432,0.03914456,0.0639025,-1.022662,-2.580076,1.557466
0,0.2111111,123,195,502,496,0.3336687,0.04229729,-0.1032938,-1.466709,-2.947139,-1.733895,0.1316136,0.02990246,0.06450376,-1.023406,-2.579983,1.556627
0,0.2222222,122,215,500,497,0.3088082,0.04995717,-0.07065832,-1.469451,-2.948191,-1.734031,0.101451,0.03061504,0.07869017,-1.023861,-2.579015,1.555104
0,0.2333333,122,215,500,497,0.2864452,0.05459467,-0.0465979,-1.471939,-2.949203,-1.734239,0.08082889,0.03613996,0.08223954,-1.024504,-2.578197,1.553969
0,0.2444444,122,215,500,497,0.2605961,0.04861365,-0.02548556,-1.4744,-2.949812,-1.734234,0.06496983,0.03990196,0.07819129,-1.02509,-2.577401,1.553058
0,0.2555556,122,215,500,497,0.2407667,0.03691421,-0.01464221,-1.476615,-2.950041,-1.734177,0.05652511,0.03096539,0.05971113,-1.025533,-2.577435,1.5528
0,0.2666667,116,230,499,492,0.1977617,0.002820771,0.00559742,-1.477802,-2.949512,-1.733435,0.06084489,0.03364986,0.01181169,-1.026385,-2.578208,1.554174
0,0.2777778,116,230,499,492,0.186583,-0.007076205,0.01163457,-1.479614,-2.949442,-1.733147,0.06647541,0.04703704,-0.004141562,-1.02768,-2.578297,1.554654
0,0.2888889,116,230,499,492,0.1511103,-0.03985913,0.02917399,-1.480508,-2.948391,-1.73234,0.05909252,0.05334942,-0.0008388571,-1.028476,-2.577879,1.554584
0,0.3,116,230,499,492,0.1278221,-0.06019829,0.03694264,-1.481419,-2.947551,-1.731633,0.04864905,0.06074896,0.006538186,-1.029107,-2.577051,1.554225
0,0.3111111,116,230,499,492,0.1165268,-0.06795355,0.04263272,-1.482496,-2.946866,-1.730866,0.01467854,0.06838921,0.02289126,-1.028999,-2.575403,1.55343
0,0.3222222,103,220,499,503,0.09044342,-0.09051567,0.0410965,-1.483105,-2.945427,-1.730288,-0.01915296,0.05835406,0.005726476,-1.028044,-2.57474,1.553877
0,0.3333333,103,220,499,503,0.05872086,-0.1107019,0.04126662,-1.483137,-2.943876,-1.729578,-0.02149962,0.04723636,-0.02095151,-1.027881,-2.574986,1.55501
0,0.3444445,103,220,499,503,0.03823455,-0.1393643,0.04379481,-1.483433,-2.941815,-1.728724,-0.01091776,0.04555037,-0.0605194,-1.028348,-2.575896,1.557116
0,0.3555556,103,220,499,503,0.02744682,-0.1553991,0.04747921,-1.48365,-2.939861,-1.727781,-0.006900065,0.0491701,-0.06239083,-1.028637,-2.575756,1.557811
0,0.3666667,91,200,498,496,0.01418248,-0.1666715,0.04905098,-1.483611,-2.937891,-1.726899,-0.0168887,0.05783619,-0.04828171,-1.028695,-2.574884,1.558012
0,0.3777778,91,200,498,496,0.008122027,-0.1714495,0.04461499,-1.483678,-2.936009,-1.726247,-0.03511543,0.06169477,-0.02400012,-1.028275,-2.573481,1.557495
0,0.3888889,91,200,498,496,-0.004767291,-0.1697216,0.03842008,-1.483497,-2.934147,-1.725815,-0.05508302,0.0642133,-0.007366921,-1.027735,-2.572041,1.557099
0,0.4,91,200,498,496,-0.01496825,-0.1576887,0.02711194,-1.483377,-2.93286,-1.725712,-0.06642561,0.0602499,-0.007032782,-1.027116,-2.571124,1.557197
0,0.4111111,91,200,498,496,-0.02164189,-0.1537086,0.02260529,-1.483102,-2.9313,-1.725326,-0.08565551,0.04210199,-0.02176669,-1.025851,-2.570733,1.557912
0,0.4222222,92,189,498,504,-0.02975453,-0.142572,0.01547207,-1.482852,-2.930023,-1.725179,-0.08687323,0.03764679,-0.02874561,-1.025187,-2.570253,1.558531
0,0.4333333,92,189,498,504,-0.03049044,-0.1324966,0.01473743,-1.482604,-2.928865,-1.724849,-0.06842221,0.04382969,-0.04655685,-1.025318,-2.570305,1.559874
