loc,t,aDotS,bDotS,gDotS,aS,bS,gS,qE,qDotE,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH,aDotUB,bDotUB,gDotUB,aUB,bUB,gUB,xHand,yHand,zHand,aHand,bHand,gHand
3,0.1666667,-0.1750709,-0.1616696,0.175718,-1.292768,-5.372599,-2.749388,-1.177182,-0.004672143,-0.174738,0.07261577,0.05617857,-0.5592798,-4.662109,-0.4860354,-0.08897863,0.13993,-0.06155263,-0.8784016,-0.5488521,-0.05807848,-0.6714081,1.145854,-0.315756,297.4546,196.8362,9.519069
3,0.1777778,-0.2070855,-0.167182,0.1491846,-1.292777,-5.370225,-2.746681,-1.177309,-0.01138479,-0.1556481,0.05338532,0.05390035,-0.5588228,-4.661497,-0.485445,-0.0869111,0.1143991,-0.07336602,-0.8796698,-0.548386,-0.05752801,-0.6713475,1.146324,-0.3172117,297.3626,196.7192,9.516648
3,0.1888889,-0.2294747,-0.1715141,0.1396718,-1.293213,-5.367847,-2.743991,-1.176294,0.09298965,-0.1428836,0.04693802,0.05594351,-0.5582742,-4.660384,-0.4850596,-0.08486411,0.08674501,-0.0873144,-0.8811154,-0.548432,-0.05659457,-0.6712623,1.146919,-0.3186067,297.3042,196.5891,9.507805
3,0.2,-0.2625333,-0.1791276,0.1195435,-1.293014,-5.36535,-2.740656,-1.176229,0.005311868,-0.126805,0.03300773,0.07926568,-0.5565794,-4.65879,-0.4854192,-0.07959352,0.05908367,-0.09701979,-0.8823671,-0.5487367,-0.05562758,-0.6711994,1.14772,-0.3199871,297.3256,196.3956,9.529836
3,0.2111111,-0.3115807,-0.1846379,0.09732224,-1.292644,-5.363039,-2.736142,-1.176495,-0.0241203,-0.1126445,0.009452239,0.1377347,-0.553031,-4.656873,-0.4862506,-0.07114493,0.03888622,-0.1088653,-0.8840044,-0.5492628,-0.05479028,-0.6712004,1.148781,-0.3214136,297.2906,196.1685,9.602438
3,0.2222222,-0.3520971,-0.1847837,0.08143368,-1.292202,-5.360858,-2.731471,-1.17609,0.03739198,-0.09432572,-0.005572088,0.1770146,-0.5499913,-4.654678,-0.4875728,-0.06581119,0.01758608,-0.110042,-0.8852842,-0.5499598,-0.05371729,-0.6712506,1.150101,-0.3229245,297.151,195.9369,9.712422
3,0.2333333,-0.4267326,-0.1882356,0.05179523,-1.290958,-5.359034,-2.724575,-1.1752,0.0811792,-0.08575881,-0.01520433,0.1886636,-0.5475768,-4.653275,-0.4881076,-0.05935811,-0.0196993,-0.1059502,-0.886341,-0.5517167,-0.05205095,-0.6713212,1.151674,-0.3245052,296.98,195.6047,9.896237
3,0.2444444,-0.5034837,-0.1916524,0.03066815,-1.289687,-5.357156,-2.71698,-1.175332,-0.01241152,-0.08688831,-0.0535676,0.1982269,-0.5444289,-4.654203,-0.4863981,-0.05821301,-0.04315698,-0.09857191,-0.8870974,-0.5534461,-0.05035478,-0.6714491,1.153528,-0.3262035,296.7964,195.1812,10.14329
3,0.2555556,-0.5717085,-0.1908053,0.008446172,-1.288266,-5.35539,-2.709103,-1.173653,0.1539408,-0.07516474,-0.1058409,0.227927,-0.5398632,-4.655672,-0.4845417,-0.05278506,-0.06341882,-0.08802459,-0.8876641,-0.555091,-0.04888844,-0.6716597,1.155648,-0.3280154,296.5461,194.6536,10.46857
3,0.2666667,-0.6228775,-0.1856251,-0.004251212,-1.286992,-5.353821,-2.700901,-1.173279,0.03332359,-0.07401621,-0.1314489,0.2534536,-0.5355159,-4.656492,-0.4830966,-0.04318823,-0.09216636,-0.0903164,-0.8886335,-0.5577852,-0.04702903,-0.6720242,1.158113,-0.3300015,296.3579,194.1015,10.81406
