loc,t,aDotS,bDotS,gDotS,aS,bS,gS,qE,qDotE,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH,aDotUB,bDotUB,gDotUB,aUB,bUB,gUB,xHand,yHand,zHand,aHand,bHand,gHand
2,0,0.2906715,-0.1961601,0.2527258,-1.286501,-5.39921,-2.684095,-1.10347,0.02984277,-0.1115916,0.2312387,-0.09383386,-0.5028671,-4.783889,-0.4582523,-0.05130856,0.2119416,0.08879229,-0.9041772,-0.664341,0.002159291,-0.6874591,1.153143,-0.2905377,297.0209,197.5215,10.73491
2,0.01111111,0.2959659,-0.1897701,0.2431198,-1.287835,-5.396404,-2.68826,-1.103465,0.0001018816,-0.1019598,0.2322605,-0.08855845,-0.5045854,-4.779814,-0.4611143,-0.04599469,0.2044968,0.08658866,-0.9033016,-0.6617684,0.000907339,-0.6867958,1.151635,-0.290916,297.2492,197.4955,10.60057
2,0.02222222,0.2884945,-0.1866432,0.2303283,-1.28891,-5.393596,-2.691992,-1.102887,0.05277569,-0.09457271,0.2120197,-0.09293532,-0.5064677,-4.777775,-0.4621596,-0.04285328,0.1864184,0.07796133,-0.9029623,-0.6599154,9.054747E-05,-0.6860785,1.150052,-0.2912425,297.4845,197.6076,10.31713
2,0.03333334,0.2820732,-0.1813771,0.2207244,-1.289958,-5.390825,-2.69559,-1.103024,-0.01304391,-0.08505161,0.197097,-0.0972978,-0.5082148,-4.775733,-0.4632579,-0.04074577,0.1693905,0.07362194,-0.9022758,-0.6582552,-0.0005621933,-0.6853472,1.148427,-0.2915862,297.7378,197.8649,9.934664
2,0.04444445,0.2713344,-0.1612139,0.2100145,-1.291291,-5.388885,-2.698774,-1.102541,0.04427076,-0.07865614,0.1906794,-0.09309334,-0.509802,-4.772851,-0.4649965,-0.03756718,0.1598189,0.07142245,-0.9016489,-0.656255,-0.001382447,-0.6845888,1.146794,-0.2919515,297.9978,198.1223,9.56051
2,0.05555556,0.251011,-0.1410638,0.2067479,-1.292731,-5.387191,-2.701367,-1.102321,0.01970511,-0.06900811,0.2002333,-0.08672721,-0.5115693,-4.768492,-0.4683275,-0.0344056,0.1449262,0.06601594,-0.9011125,-0.6548684,-0.001975,-0.6838265,1.145206,-0.2923709,298.2737,198.3442,9.21689
2,0.06666667,0.2317602,-0.1241129,0.1981887,-1.294256,-5.385533,-2.703753,-1.102111,0.01899604,-0.06351219,0.2108086,-0.06543148,-0.5128913,-4.763687,-0.4720075,-0.03022705,0.1321844,0.05634958,-0.9007583,-0.6533949,-0.002553172,-0.6830673,1.143701,-0.2928522,298.5231,198.5246,8.892842
2,0.07777778,0.2157403,-0.1146131,0.1907061,-1.295557,-5.383785,-2.706093,-1.101597,0.04685582,-0.0644401,0.2022238,-0.04201555,-0.5135805,-4.759728,-0.4746893,-0.02921377,0.1034542,0.04772344,-0.9003834,-0.6530803,-0.00242614,-0.6823505,1.14234,-0.2933437,298.7448,198.7203,8.510261
2,0.08888889,0.1719839,-0.095659,0.1746868,-1.2968,-5.382701,-2.706974,-1.101419,0.01594669,-0.06014124,0.1787332,-0.02932835,-0.5140348,-4.757438,-0.4762304,-0.0229177,0.07261486,0.03371082,-0.900435,-0.6533577,-0.002205364,-0.6817018,1.141179,-0.2938151,298.9417,198.9421,8.12205
2,0.1,0.1474156,-0.07980543,0.16719,-1.298156,-5.381523,-2.708213,-1.101434,-0.001346662,-0.05380689,0.1595556,-0.03156398,-0.5150916,-4.755655,-0.4773895,-0.01452052,0.04498868,0.0175635,-0.9006891,-0.65361,-0.002004828,-0.6811407,1.140259,-0.2942635,299.1006,199.1371,7.800904
2,0.1111111,0.09720062,-0.0449214,0.1457913,-1.299302,-5.381708,-2.707612,-1.100302,0.1036447,-0.04752812,0.1446599,-0.04442734,-0.5163091,-4.754558,-0.4781389,-0.004991716,0.02585183,0.008889882,-0.9008819,-0.6540222,-0.001992045,-0.6806796,1.139562,-0.2947127,299.1873,199.2605,7.588424
2,0.1222222,0.04376183,-0.004730657,0.1222445,-1.300379,-5.382562,-2.70612,-1.100699,-0.03708984,-0.0508685,0.1255303,-0.05831249,-0.5176546,-4.754222,-0.4776217,0.001382142,0.01734702,0.006675488,-0.9007769,-0.653918,-0.002165949,-0.6803842,1.139091,-0.2952324,299.2473,199.3911,7.392257
2,0.1333333,-0.01713536,0.03649182,0.09655724,-1.30129,-5.384108,-2.703567,-1.099531,0.107346,-0.03270699,0.1094602,-0.04676296,-0.5179305,-4.753459,-0.4787005,0.01519449,-0.006054597,8.002156E-05,-0.9009751,-0.6550027,-0.002145709,-0.6802002,1.138847,-0.2957831,299.2418,199.5042,7.24722
2,0.1444445,-0.05881277,0.06502526,0.07730395,-1.302201,-5.385464,-2.701108,-1.098999,0.04796803,0.0004670843,0.07944906,-0.01298443,-0.5168221,-4.752682,-0.4804843,0.03107847,-0.02410027,-0.01290918,-0.901578,-0.6559767,-0.002416552,-0.680179,1.138855,-0.2963913,299.2469,199.6474,7.079015
2,0.1555556,-0.1261599,0.1189724,0.03880402,-1.302829,-5.388896,-2.696428,-1.098481,0.04731621,0.01314454,0.01121532,-0.005826255,-0.5156753,-4.756771,-0.4775482,0.04814542,-0.05603937,-0.01423165,-0.9016846,-0.6580075,-0.002280997,-0.6803449,1.139209,-0.2970411,299.2656,199.7905,6.923879
2,0.1666667,-0.1956584,0.1781937,-0.01036585,-1.302937,-5.393163,-2.690933,-1.098909,-0.03921213,0.02047176,-0.06019415,-0.001829419,-0.514217,-4.762244,-0.4732783,0.06406088,-0.08049334,-0.02404527,-0.9022715,-0.6601884,-0.002177667,-0.6806986,1.139982,-0.2977054,299.2194,199.8813,6.856907
2,0.1777778,-0.2469421,0.2130331,-0.04561676,-1.302941,-5.397272,-2.685337,-1.097759,0.1058853,0.03096972,-0.1123987,-0.007386371,-0.5131469,-4.767836,-0.4691355,0.07354718,-0.09748466,-0.03696911,-0.9030465,-0.6622236,-0.001982723,-0.6812283,1.141174,-0.2983538,299.0541,199.901,6.872561
2,0.1888889,-0.349512,0.2827284,-0.1108012,-1.302301,-5.403772,-2.676429,-1.097556,0.0179642,0.03837579,-0.1241245,-0.0117281,-0.5126015,-4.771019,-0.4670894,0.07665654,-0.1070293,-0.04768999,-0.9040265,-0.6640116,-0.00180083,-0.6820166,1.142833,-0.2989654,298.8544,199.9069,6.90394
2,0.2,-0.4210439,0.3195265,-0.1758821,-1.30094,-5.409793,-2.668211,-1.097969,-0.03737393,0.04488932,-0.113529,0.003178079,-0.5117674,-4.771978,-0.4669011,0.08516259,-0.129378,-0.05210162,-0.9046769,-0.6666699,-0.001367533,-0.6831909,1.144958,-0.2995838,298.5584,199.8174,7.085539
2,0.2111111,-0.4701739,0.349016,-0.2228308,-1.299714,-5.41601,-2.659908,-1.095953,0.1850988,0.04834595,-0.1243216,0.04467181,-0.5093035,-4.773586,-0.4662426,0.09156236,-0.1496091,-0.05329347,-0.905299,-0.6696334,-0.0007502125,-0.684766,1.147506,-0.3001945,298.1665,199.6679,7.391972
2,0.2222222,-0.5513515,0.3985293,-0.2964688,-1.29759,-5.424075,-2.649193,-1.096974,-0.09451875,0.06047089,-0.1522686,0.115884,-0.5047985,-4.775201,-0.465777,0.09792689,-0.1740873,-0.05982155,-0.9060793,-0.6731683,2.024002E-05,-0.6868827,1.15053,-0.3008687,297.8141,199.5221,7.744902
2,0.2333333,-0.6089946,0.4258431,-0.3434209,-1.295526,-5.431745,-2.638619,-1.097753,-0.06979461,0.05855639,-0.1619547,0.1510264,-0.5013518,-4.776246,-0.4654843,0.1118615,-0.197537,-0.0525684,-0.9064122,-0.6769003,0.0006519418,-0.6893591,1.154083,-0.3014039,297.3653,199.2217,8.349691
2,0.2444444,-0.7007951,0.4667746,-0.4223599,-1.292352,-5.441236,-2.62524,-1.096547,0.1112166,0.05339265,-0.1993414,0.1882351,-0.496899,-4.779637,-0.4628822,0.1300664,-0.2188528,-0.04427972,-0.9065938,-0.6807082,0.0009254485,-0.692082,1.158078,-0.3017339,296.7852,198.8467,9.105556
2,0.2555556,-0.8011152,0.5065956,-0.5045073,-1.288532,-5.45185,-2.610125,-1.097106,-0.05165561,0.06727189,-0.2591119,0.2124638,-0.4918155,-4.786146,-0.4584509,0.1352841,-0.2347796,-0.05823039,-0.9077187,-0.6847192,0.001714277,-0.6951174,1.16247,-0.3019364,296.1885,198.4319,9.9574
2,0.2666667,-0.8961198,0.5496361,-0.5866368,-1.284741,-5.463067,-2.594239,-1.095604,0.1383565,0.07891142,-0.3060317,0.2175703,-0.4873606,-4.793377,-0.4532658,0.1491333,-0.2624556,-0.06058608,-0.9086546,-0.6894258,0.002601376,-0.6983984,1.167187,-0.3020495,295.5452,197.9082,10.9832
2,0.2777778,-0.9484124,0.5705694,-0.6399522,-1.281017,-5.473948,-2.579144,-1.094835,0.06969632,0.09694976,-0.379625,0.2321414,-0.4817158,-4.803277,-0.4461604,0.1597101,-0.2837152,-0.07140633,-0.909829,-0.6943601,0.003481018,-0.7019897,1.172271,-0.3021151,294.9928,197.2622,12.09042
2,0.2888889,-1.014601,0.6010083,-0.7028868,-1.276945,-5.486363,-2.562049,-1.095093,-0.0234756,0.1214042,-0.4500506,0.2488022,-0.4755548,-4.815107,-0.4378815,0.1423636,-0.2953263,-0.1064557,-0.9122525,-0.6988906,0.00526933,-0.7059485,1.177838,-0.302156,294.4831,196.4863,13.32761
2,0.3,-1.054097,0.6188353,-0.7434155,-1.273044,-5.49847,-2.545432,-1.096715,-0.1473869,0.1416333,-0.5226038,0.2718772,-0.4688548,-4.827783,-0.4288299,0.1314963,-0.306964,-0.1319673,-0.9145636,-0.7034974,0.006986537,-0.7101764,1.183992,-0.3020509,293.8891,195.6046,14.73185
2,0.3111111,-1.112828,0.6503833,-0.7988989,-1.268854,-5.51214,-2.526829,-1.096138,0.0545311,0.1492922,-0.576053,0.3163801,-0.4610028,-4.841156,-0.4191062,0.1173771,-0.3313641,-0.1649523,-0.9176193,-0.7091967,0.009643306,-0.7145412,1.190684,-0.3017712,293.1481,194.5726,16.39552
2,0.3222222,-1.196069,0.6839831,-0.8479949,-1.265045,-5.526484,-2.506372,-1.097196,-0.09680777,0.1549156,-0.5730042,0.3600288,-0.4535214,-4.84916,-0.4137833,0.1098142,-0.3654066,-0.1809769,-0.9200497,-0.7157701,0.01252937,-0.719036,1.197889,-0.3013816,292.3879,193.3986,18.24852
2,0.3333333,-1.235565,0.7018127,-0.87682,-1.261329,-5.540223,-2.487113,-1.096534,0.06193636,0.1401396,-0.5740983,0.3814274,-0.4465189,-4.858327,-0.4065835,0.1023577,-0.3984262,-0.1842209,-0.9223288,-0.7227569,0.01584741,-0.7235712,1.205521,-0.3008796,291.5707,191.9537,20.37938
2,0.3444445,-1.291035,0.7217417,-0.9066954,-1.257996,-5.554677,-2.466527,-1.095567,0.08824053,0.1171454,-0.5721219,0.4487101,-0.4371685,-4.865475,-0.4004292,0.1034396,-0.4069505,-0.1842597,-0.9244034,-0.7287517,0.01808739,-0.7282128,1.213571,-0.3003263,290.8152,190.3743,22.60203
2,0.3555556,-1.335834,0.7470015,-0.9281017,-1.254574,-5.569014,-2.446393,-1.09728,-0.156699,0.0995695,-0.5573935,0.5245016,-0.4272957,-4.870076,-0.3966683,0.09697758,-0.4016041,-0.1916414,-0.9268706,-0.7340969,0.02044669,-0.7329028,1.222095,-0.299702,290.075,188.6813,24.99482
2,0.3666667,-1.384926,0.7669722,-0.9505216,-1.251947,-5.584155,-2.42457,-1.0971,0.01830912,0.08298308,-0.5287668,0.5833021,-0.4175783,-4.873636,-0.3938032,0.08935207,-0.394091,-0.2107261,-0.93002,-0.7392112,0.0226398,-0.7374574,1.230988,-0.2989676,289.226,186.5554,27.88882
2,0.3777778,-1.428643,0.776269,-0.9878293,-1.248778,-5.599723,-2.402407,-1.098127,-0.09369431,0.09082687,-0.5087013,0.6344441,-0.4076932,-4.876833,-0.3921393,0.09463648,-0.4025918,-0.2172005,-0.9328249,-0.7452145,0.02488804,-0.7418251,1.240175,-0.2981346,288.4091,184.1772,30.9779
2,0.3888889,-1.455317,0.7867551,-1.002779,-1.246421,-5.61526,-2.380325,-1.097417,0.0660408,0.07809377,-0.5406885,0.6536021,-0.3976968,-4.886099,-0.3840169,0.1042312,-0.4111055,-0.2173147,-0.9353799,-0.7512455,0.02695758,-0.7459411,1.249577,-0.2971458,287.6324,181.3687,34.42671
2,0.4,-1.484115,0.794044,-1.01877,-1.244294,-5.630836,-2.357882,-1.097734,-0.02915047,0.09196013,-0.6367064,0.6894364,-0.3855293,-4.903089,-0.3698161,0.1050422,-0.4088827,-0.2460781,-0.9392352,-0.7567737,0.02900475,-0.7499865,1.259124,-0.2961431,286.8863,178.2246,38.18869
2,0.4111111,-1.508719,0.8194672,-1.032706,-1.243002,-5.647192,-2.335107,-1.098437,-0.06363187,0.09922194,-0.6675574,0.671187,-0.376245,-4.9175,-0.3577712,0.09862816,-0.40462,-0.2481374,-0.9421955,-0.7620366,0.03121118,-0.754025,1.268802,-0.295166,286.2418,174.78,42.27028
2,0.4222222,-1.539711,0.8438302,-1.038093,-1.242472,-5.663493,-2.311877,-1.09869,-0.0221909,0.1010929,-0.6898343,0.6402162,-0.3676291,-4.932844,-0.3446589,0.09432307,-0.4067389,-0.252369,-0.9452166,-0.7675719,0.03368579,-0.7579872,1.278559,-0.2941792,285.6669,171.1246,46.59081
2,0.4333333,-1.571728,0.8554795,-1.022106,-1.242802,-5.678789,-2.288669,-1.099092,-0.03635589,0.1087849,-0.7080907,0.6827151,-0.3566053,-4.947066,-0.3326725,0.0793179,-0.4205605,-0.264003,-0.9486984,-0.7736964,0.03691088,-0.7618293,1.288381,-0.2931267,285.1942,167.3343,51.00453
2,0.4444444,-1.599458,0.8650044,-1.007216,-1.243429,-5.694355,-2.264878,-1.099087,0.001173934,0.1367638,-0.677353,0.7145828,-0.3457901,-4.956117,-0.3265704,0.08358777,-0.4461259,-0.2662602,-0.9519879,-0.7808818,0.03991892,-0.765574,1.298288,-0.2919766,284.7964,163.4393,55.50318
2,0.4555556,-1.651666,0.8766114,-0.9838166,-1.24486,-5.709827,-2.239852,-1.099172,-0.00755382,0.1464535,-0.7019486,0.7378794,-0.3344472,-4.972241,-0.3134407,0.09316915,-0.461024,-0.2685271,-0.9553174,-0.7877169,0.042491,-0.769186,1.308318,-0.2906864,284.456,159.5587,60.00724
2,0.4666667,-1.660162,0.8701997,-0.9784691,-1.245847,-5.725062,-2.215988,-1.09907,0.009678884,0.1079926,-0.7434136,0.73587,-0.3238042,-4.994399,-0.2923464,0.09424219,-0.4567647,-0.2685062,-0.9583443,-0.7937024,0.04468864,-0.772586,1.318505,-0.2892643,284.158,155.5333,64.70054
2,0.4777778,-1.691064,0.87011,-0.9614242,-1.247678,-5.739536,-2.191523,-1.098196,0.08009043,0.09752047,-0.7456041,0.7636321,-0.3124431,-5.011574,-0.2767171,0.09211272,-0.4514351,-0.2684599,-0.9613697,-0.7992901,0.04693555,-0.7757708,1.328868,-0.2877779,283.9331,151.1497,69.7642
2,0.4888889,-1.702634,0.8317964,-0.9399526,-1.248823,-5.752428,-2.168404,-1.099602,-0.1288463,0.1159437,-0.7233829,0.801926,-0.3007486,-5.024529,-0.2663747,0.07927328,-0.4407754,-0.2736366,-0.9647967,-0.8045827,0.04949378,-0.7787587,1.339487,-0.2863031,283.8073,146.5676,75.00574
2,0.5,-1.70782,0.8009238,-0.9313338,-1.249928,-5.766054,-2.1449,-1.09929,0.02989256,0.07225537,-0.7381942,0.8053752,-0.2898217,-5.045427,-0.2458771,0.0719505,-0.4355153,-0.2575696,-0.9673362,-0.8101906,0.05216493,-0.7814842,1.350313,-0.2848172,283.8154,141.4578,80.74529
2,0.5111111,-1.693862,0.7722414,-0.9227086,-1.251196,-5.779356,-2.122111,-1.100388,-0.1005047,-0.001309276,-0.7550597,0.8026206,-0.279135,-5.0696,-0.2204056,0.06461346,-0.4217247,-0.2425424,-0.9697709,-0.8152652,0.05456098,-0.7839085,1.361305,-0.2833684,283.9192,136.2677,86.55733
2,0.5222223,-1.684206,0.7573871,-0.9215962,-1.252842,-5.792937,-2.099474,-1.100609,-0.01912558,-0.01170158,-0.7210384,0.8326265,-0.2676509,-5.086895,-0.2032317,0.05713147,-0.4025541,-0.2445381,-0.9727851,-0.8198493,0.05660016,-0.785971,1.372335,-0.2819965,284.2087,130.9058,92.49013
2,0.5333334,-1.676688,0.7382309,-0.9172537,-1.254455,-5.805935,-2.076993,-1.101405,-0.072632,-0.008141279,-0.6689569,0.8689822,-0.2558414,-5.10015,-0.1904192,0.04430163,-0.3705997,-0.2464453,-0.9757748,-0.8233342,0.05849127,-0.7877647,1.383314,-0.28074,284.6915,125.7758,98.10075
2,0.5444446,-1.670256,0.7308234,-0.9140425,-1.256671,-5.819303,-2.054402,-1.101835,-0.03861639,-0.02817512,-0.640219,0.8894365,-0.2443354,-5.117935,-0.172388,0.03370541,-0.3482714,-0.2388106,-0.9783394,-0.8271555,0.06047932,-0.7892777,1.394112,-0.2795005,285.317,121.0865,103.1864
2,0.5555557,-1.668075,0.7191805,-0.8958846,-1.259318,-5.83185,-2.031884,-1.101895,-0.005043174,-0.05148494,-0.6167608,0.9003174,-0.2329989,-5.136596,-0.1528716,0.01665813,-0.3206035,-0.2364313,-0.9810691,-0.8303922,0.06256112,-0.7905594,1.404635,-0.278168,286.0188,117.0053,107.6132
2,0.5666668,-1.664753,0.6883893,-0.8659386,-1.261643,-5.842993,-2.010012,-1.101922,-0.002541463,-0.1068192,-0.5857409,0.8997112,-0.2223601,-5.155157,-0.1316635,-0.01305893,-0.2961802,-0.2211702,-0.9832305,-0.8332644,0.06523466,-0.7917693,1.414921,-0.2767975,286.7535,113.6,111.3866
2,0.577778,-1.659195,0.633099,-0.8391392,-1.262992,-5.853469,-1.988376,-1.101764,0.01457845,-0.1352403,-0.5367903,0.9341294,-0.2103695,-5.169837,-0.1148933,-0.03107715,-0.2802659,-0.2092323,-0.9853441,-0.8364871,0.06788797,-0.7930127,1.425007,-0.2753569,287.5065,110.6925,114.6505
2,0.5888891,-1.654657,0.5617671,-0.8261073,-1.263219,-5.863307,-1.967147,-1.101983,-0.02013018,-0.1413965,-0.4217155,0.9291938,-0.2000966,-5.169621,-0.1132102,-0.04048954,-0.233486,-0.1844857,-0.9866202,-0.8375903,0.06927761,-0.7943151,1.434976,-0.2738452,288.2039,108.2148,117.5366
2,0.6000003,-1.650113,0.4957553,-0.8216575,-1.263088,-5.873384,-1.94596,-1.102063,-0.007078844,-0.1560313,-0.3610271,0.9475789,-0.1890908,-5.173936,-0.1069187,-0.0360121,-0.1856441,-0.1555966,-0.9874799,-0.8382136,0.06971464,-0.7955364,1.444828,-0.2722858,288.901,106.0254,120.2318
2,0.6111114,-1.630883,0.4488506,-0.8043082,-1.263383,-5.882328,-1.925083,-1.102293,-0.02099922,-0.1646028,-0.3695329,0.9444147,-0.1782097,-5.194055,-0.08503073,-0.03809011,-0.149459,-0.1458661,-0.9888093,-0.8386574,0.07043342,-0.7965498,1.454517,-0.2707442,289.6863,104.0535,122.7523
2,0.6222225,-1.605159,0.4170778,-0.7839763,-1.264284,-5.891628,-1.905288,-1.102429,-0.01237998,-0.1592237,-0.3941039,0.9592095,-0.1667235,-5.220348,-0.05759299,-0.05203958,-0.1355888,-0.1563507,-0.9910944,-0.8399428,0.07211015,-0.7972904,1.464025,-0.2693389,290.5587,102.3415,124.9898
2,0.6333337,-1.557196,0.4131145,-0.7530556,-1.266298,-5.900284,-1.887056,-1.102396,0.003159367,-0.1476654,-0.43459,0.9494178,-0.1562913,-5.256915,-0.02035827,-0.07464038,-0.1301952,-0.181701,-0.9940755,-0.8411681,0.07438236,-0.7976788,1.473337,-0.2681121,291.4236,100.8695,126.9509
2,0.6444448,-1.530616,0.4281686,-0.744589,-1.268983,-5.910043,-1.868071,-1.103522,-0.103031,-0.1478337,-0.450488,0.9301992,-0.1466075,-5.292284,0.01626046,-0.08860604,-0.1322988,-0.1943683,-0.9967881,-0.8429408,0.07686282,-0.7975846,1.482442,-0.2671272,292.2755,99.51755,128.7368
2,0.655556,-1.507184,0.4314942,-0.7318296,-1.271511,-5.919229,-1.849451,-1.104843,-0.1199932,-0.143563,-0.4462324,0.9301838,-0.1365104,-5.328388,0.05352315,-0.09495765,-0.1206059,-0.1889445,-0.9987472,-0.8439176,0.07855819,-0.797199,1.491371,-0.2663487,293.2613,98.19189,130.1751
2,0.6666671,-1.465493,0.4030284,-0.6966063,-1.273243,-5.926988,-1.83217,-1.104279,0.05240494,-0.142655,-0.4450762,0.9078209,-0.1273838,-5.369128,0.09553718,-0.09804171,-0.1014847,-0.1739363,-1.000232,-0.8443911,0.08002932,-0.7966939,1.500104,-0.2655628,294.2787,96.88068,131.3867
2,0.6777782,-1.427977,0.3574976,-0.6634747,-1.274191,-5.934166,-1.815433,-1.104105,0.01510817,-0.1397266,-0.4502792,0.8705054,-0.1195866,-5.418593,0.1461245,-0.0970519,-0.07695377,-0.1802543,-1.002427,-0.8442494,0.0809276,-0.7962613,1.508654,-0.264634,295.2677,95.70656,132.5417
2,0.6888894,-1.407651,0.3373739,-0.6548977,-1.275617,-5.942073,-1.798066,-1.104739,-0.05823648,-0.1368771,-0.462937,0.8246388,-0.1130112,-5.478264,0.2068206,-0.1013544,-0.07268194,-0.184463,-1.004672,-0.8448194,0.08250873,-0.7959024,1.516984,-0.2634583,296.1807,94.70358,133.7155
2,0.7000005,-1.345654,0.2897766,-0.627082,-1.275868,-5.948575,-1.783392,-1.104884,-0.01294139,-0.1393041,-0.471324,0.7830812,-0.1073856,-5.541993,0.2718113,-0.1132236,-0.05986165,-0.2002881,-1.007387,-0.8449602,0.08424244,-0.7955032,1.524959,-0.2620772,297.0303,93.76724,135.0314
2,0.7111117,-1.278407,0.2581704,-0.5929052,-1.276417,-5.954215,-1.770081,-1.104168,0.06525881,-0.1329081,-0.4638751,0.7809311,-0.1007207,-5.610796,0.3414969,-0.1196378,-0.0555991,-0.2023475,-1.009705,-0.8452723,0.08593621,-0.795095,1.532608,-0.260693,297.8233,93.01314,136.2279
2,0.7222228,-1.214273,0.2106239,-0.5501792,-1.276291,-5.959141,-1.757353,-1.106045,-0.1723741,-0.1392094,-0.430841,0.7821366,-0.0938743,-5.678402,0.4104829,-0.1291018,-0.04394549,-0.1873116,-1.01127,-0.8453186,0.08765369,-0.7947122,1.540051,-0.2594151,298.5491,92.46368,137.1791
