loc,t,aDotS,bDotS,gDotS,aS,bS,gS,qE,qDotE,emg,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH,aDotUB,bDotUB,gDotUB,aUB,bUB,gUB,xHand,yHand,zHand,aHand,bHand,gHand
1,0,0.04857714,0.1235913,-0.6781181,-1.293428,-1.310987,-0.7449698,-0.6943138,0.01791893,19.10966,0.1008883,-0.1957832,0.03999581,-0.4651733,-0.8778594,1.248131,0.03467932,-0.05050082,-0.008255064,-0.9093118,-2.799988,1.611512,-0.811798,1.141873,0.07810726,300.1493,236.2771,5.837724
1,0.01111111,0.03697206,0.1137758,-0.7239112,-1.287875,-1.318716,-0.7429649,-0.6938653,0.04094628,19.10966,0.09560901,-0.1884338,0.06879419,-0.463194,-0.8807377,1.250024,0.03043158,-0.0590214,-0.00611272,-0.9093108,-2.801136,1.611765,-0.8128688,1.142965,0.0817723,300.1618,236.2269,6.338796
1,0.02222222,0.01802665,0.0868153,-0.7877625,-1.280806,-1.326718,-0.7403332,-0.6942957,-0.03959691,19.10966,0.09558873,-0.155465,0.08594579,-0.4615754,-0.8813721,1.249562,0.02831314,-0.06651665,-0.000799397,-0.9093933,-2.802772,1.612769,-0.8139126,1.144411,0.08580717,300.1266,236.17,6.923395
1,0.03333334,0.003319815,0.0630988,-0.8462941,-1.273488,-1.335213,-0.737531,-0.6942989,0.000124044,18.13247,0.1136705,-0.1277714,0.09664489,-0.4601095,-0.8817801,1.248117,0.02726768,-0.06545494,0.001342773,-0.9093358,-2.803658,1.613042,-0.8152487,1.14602,0.09008023,299.9662,235.9606,7.753231
1,0.04444445,-0.0008558929,0.05653043,-0.8920891,-1.266345,-1.344082,-0.7347853,-0.6938919,0.03726204,18.13247,0.1498878,-0.1361994,0.08906813,-0.4588706,-0.8847692,1.24805,0.02082227,-0.06866033,-0.002896138,-0.9099169,-2.805303,1.614197,-0.8168488,1.147693,0.09452344,299.7954,235.6673,8.704039
1,0.05555556,0.006665856,0.05219066,-0.9304143,-1.259233,-1.35309,-0.7323086,-0.6939926,-0.009503668,18.13247,0.1681236,-0.1937093,0.09310248,-0.4565595,-0.8921009,1.25228,0.02075189,-0.08462791,-0.00720107,-0.9101657,-2.806983,1.615,-0.8184932,1.149413,0.09917397,299.698,235.2436,9.729438
1,0.06666667,0.007733524,0.05318816,-0.9506534,-1.252284,-1.36201,-0.7295469,-0.6943543,-0.03281506,18.13247,0.1810355,-0.2406057,0.1078317,-0.4538138,-0.8995498,1.256605,0.02281898,-0.09531455,-0.007271901,-0.9106988,-2.809121,1.616631,-0.8201156,1.151203,0.1040417,299.6844,234.8718,10.69846
1,0.07777778,0.001426369,0.03914276,-1.008119,-1.244386,-1.371974,-0.725696,-0.6948422,-0.04424114,18.13247,0.1950285,-0.2853963,0.1310933,-0.4503374,-0.9076399,1.261436,0.0259438,-0.1155533,-0.01054928,-0.9110067,-2.811455,1.617679,-0.8215549,1.153111,0.1091254,299.707,234.6092,11.60918
1,0.08888889,-0.004940271,0.03693706,-1.019837,-1.236921,-1.381463,-0.7223873,-0.6946818,0.01503715,19.10966,0.2025517,-0.3014061,0.1448713,-0.4472539,-0.9146574,1.265285,0.03226814,-0.1368582,-0.01384969,-0.9112442,-2.813903,1.618567,-0.8228229,1.155113,0.1143634,299.7107,234.3951,12.53837
1,0.1,-0.01441962,0.01862255,-1.063478,-1.228054,-1.391751,-0.7181683,-0.6940176,0.060553,19.10966,0.2175163,-0.3077983,0.1575992,-0.4442967,-0.9203565,1.267574,0.03219306,-0.1443333,-0.01814547,-0.9119404,-2.816668,1.620316,-0.8238877,1.157175,0.119679,299.7015,234.1213,13.52006
1,0.1111111,-0.02073687,0.007879496,-1.068776,-1.219968,-1.401007,-0.7146769,-0.6944901,-0.04365182,19.10966,0.2345437,-0.3141238,0.1522017,-0.4420294,-0.9268706,1.270642,0.04176337,-0.146471,-0.02141772,-0.9122499,-2.818674,1.620649,-0.8248969,1.159287,0.1250942,299.7243,233.7598,14.49176
1,0.1222222,-0.02290183,0.01106173,-1.068791,-1.212348,-1.410737,-0.7108999,-0.6940736,0.0386034,19.10966,0.2558715,-0.3311133,0.1478315,-0.439363,-0.9351312,1.274662,0.04276587,-0.1518009,-0.0246519,-0.9129508,-2.821095,1.621995,-0.8259696,1.16147,0.130542,299.8041,233.4849,15.43451
1,0.1333333,-0.02831945,0.02278647,-1.05605,-1.205351,-1.420394,-0.7069973,-0.6945626,-0.04504187,19.10966,0.2697313,-0.3534315,0.1381385,-0.4367691,-0.944522,1.27993,0.04170005,-0.1656741,-0.01829926,-0.9132767,-2.824036,1.62368,-0.8270481,1.163833,0.1360018,299.98,233.2022,16.42839
1,0.1444445,-0.03373682,0.03557535,-1.045443,-1.198554,-1.430227,-0.7029456,-0.6946387,-0.00651382,19.10966,0.2782993,-0.3694112,0.1433914,-0.4338162,-0.9535171,1.284797,0.04171105,-0.1773956,-0.01619003,-0.9133534,-2.826888,1.624687,-0.8281643,1.166376,0.1413693,300.066,232.898,17.48899
1,0.1555556,-0.03492621,0.05481121,-1.022074,-1.192412,-1.439776,-0.699132,-0.6946073,0.002988174,19.10966,0.2996405,-0.365164,0.1603955,-0.4305772,-0.9609756,1.287715,0.0373949,-0.1965859,-0.01621142,-0.9138339,-2.830747,1.626959,-0.8291332,1.169087,0.1466252,300.0352,232.5831,18.51793
1,0.1666667,-0.03929484,0.06766114,-0.9976152,-1.186656,-1.449257,-0.6950834,-0.6946265,-0.001764726,19.10966,0.3124527,-0.3726155,0.1656621,-0.4274986,-0.9696751,1.291815,0.04050562,-0.2221413,-0.01949719,-0.9142291,-2.834581,1.628824,-0.829923,1.1719,0.1517305,299.9306,232.2642,19.51903
1,0.1777778,-0.04694226,0.09436089,-0.9625528,-1.181871,-1.458587,-0.6908879,-0.6948608,-0.02138667,19.10966,0.3210322,-0.3896746,0.1751727,-0.4240658,-0.9793556,1.296828,0.03724883,-0.2349381,-0.02058304,-0.91488,-2.838645,1.631337,-0.8306166,1.174734,0.156657,299.8084,231.9267,20.50956
1,0.1888889,-0.05360892,0.1328329,-0.920074,-1.178102,-1.468161,-0.6865336,-0.6947101,0.01399294,18.13247,0.3104297,-0.4120753,0.1772595,-0.4207411,-0.9902672,1.303658,0.03187992,-0.2327697,-0.02798074,-0.9154169,-2.841702,1.63279,-0.8312557,1.177503,0.1613666,299.6858,231.619,21.45081
1,0.2,-0.06883803,0.1734323,-0.8616297,-1.175435,-1.477252,-0.6818854,-0.6945673,0.01292159,18.13247,0.2891192,-0.4238001,0.1666229,-0.4179043,-1.001129,1.310918,0.02965519,-0.2263791,-0.03864388,-0.917043,-2.845074,1.634932,-0.8317717,1.180188,0.1658561,299.595,231.3774,22.28628
1,0.2111111,-0.08091632,0.2215188,-0.7957419,-1.173814,-1.485809,-0.6773569,-0.6945748,-0.0007107523,18.13247,0.2709558,-0.4131452,0.1549831,-0.4155181,-1.010342,1.316855,0.02637108,-0.2092817,-0.0556022,-0.9180939,-2.84728,1.635888,-0.8322464,1.182739,0.1700873,299.4889,231.2339,23.01193
1,0.2222222,-0.08966091,0.2503845,-0.755362,-1.17216,-1.494743,-0.672739,-0.6941923,0.03509754,18.13247,0.2516955,-0.3886323,0.1401975,-0.4135085,-1.018292,1.321891,0.01771638,-0.1922059,-0.0714898,-0.9198564,-2.849756,1.638032,-0.8326608,1.18517,0.1740576,299.3895,231.2275,23.55595
1,0.2333333,-0.1017065,0.2931245,-0.6915846,-1.171885,-1.502712,-0.6681466,-0.6941689,0.001911678,20.19544,0.221755,-0.3609203,0.1179845,-0.4121252,-1.025738,1.327014,0.01242529,-0.1655444,-0.07562117,-0.9206175,-2.85101,1.638617,-0.8330431,1.187491,0.1777315,299.2633,231.301,24.0081
1,0.2444444,-0.1136997,0.3305354,-0.6320641,-1.172142,-1.510645,-0.6636288,-0.6943378,-0.01533529,20.19544,0.2035939,-0.3385739,0.1149074,-0.4102275,-1.032607,1.331568,0.01142389,-0.13788,-0.07341603,-0.9215763,-2.852628,1.639746,-0.8333973,1.189672,0.1810743,299.0854,231.3771,24.42293
1,0.2555556,-0.1224754,0.364814,-0.5725129,-1.173443,-1.518531,-0.6592842,-0.6941082,0.02114314,20.19544,0.1608895,-0.2630839,0.1365715,-0.4078738,-1.03337,1.33166,0.007180065,-0.1218858,-0.07546919,-0.9225307,-2.853692,1.640425,-0.8337138,1.19174,0.1841009,298.9213,231.437,24.78797
1,0.2666667,-0.127932,0.380868,-0.538479,-1.174067,-1.525968,-0.6548649,-0.694243,-0.01240504,20.19544,0.122444,-0.2216084,0.1336064,-0.4061257,-1.036545,1.334154,0.01580189,-0.07932203,-0.07330914,-0.9235938,-2.853869,1.640245,-0.8340488,1.193651,0.1867866,298.6815,231.5374,25.117
1,0.2777778,-0.1322664,0.3798504,-0.4937558,-1.173964,-1.532064,-0.6504766,-0.6944986,-0.02317545,20.19544,0.1021476,-0.1939464,0.1326827,-0.4043866,-1.039218,1.336017,0.02003238,-0.06651869,-0.07970095,-0.9246447,-2.854106,1.640132,-0.8343835,1.195399,0.1891141,298.4464,231.7175,25.30627
1,0.2888889,-0.137622,0.3757194,-0.4415491,-1.175026,-1.537771,-0.6465644,-0.6943479,0.01406531,20.41259,0.0903367,-0.1577076,0.1200526,-0.4030854,-1.040844,1.336594,0.02535773,-0.06118497,-0.08290947,-0.9254181,-2.854569,1.639789,-0.8347445,1.197042,0.1911552,298.2629,231.9341,25.322
1,0.3,-0.1388011,0.3832535,-0.3989571,-1.176267,-1.542971,-0.6426357,-0.693926,0.03842754,20.41259,0.08595911,-0.1480037,0.08174421,-0.4028734,-1.044302,1.338925,0.0295981,-0.06552508,-0.07661121,-0.9270224,-2.856509,1.641622,-0.8349841,1.198596,0.1929727,298.0568,231.9841,25.52408
1,0.3111111,-0.124093,0.400699,-0.2988568,-1.179795,-1.546634,-0.6401584,-0.6943101,-0.03536973,20.41259,0.0912364,-0.1532392,0.05721014,-0.4024569,-1.049181,1.342154,0.03603636,-0.07086048,-0.07241355,-0.9276935,-2.857358,1.641225,-0.8349486,1.200027,0.1945125,297.8376,231.9463,25.88424
1,0.3222222,-0.1146233,0.4104794,-0.2488039,-1.1825,-1.550763,-0.637296,-0.6942446,0.006460269,20.41259,0.1146711,-0.1861347,0.031476,-0.4021767,-1.056788,1.347227,0.0445749,-0.07519138,-0.0640022,-0.9287854,-2.858999,1.642135,-0.8348047,1.201346,0.1957588,297.6526,232.0678,26.01575
1,0.3333333,-0.1083982,0.4277788,-0.1817403,-1.186594,-1.554311,-0.6349429,-0.6951436,-0.08229632,20.41259,0.1369824,-0.226409,-0.02091762,-0.4029751,-1.066941,1.354461,0.04562537,-0.07941361,-0.06612787,-0.9292424,-2.859454,1.641737,-0.8344824,1.202605,0.1966819,297.4717,232.3446,25.97977
1,0.3444445,-0.1031812,0.4365119,-0.1242364,-1.190617,-1.557444,-0.6326233,-0.6950467,0.009675211,19.10966,0.1390555,-0.2358856,-0.05184149,-0.4036276,-1.07433,1.359681,0.04243598,-0.08047497,-0.06503937,-0.9300051,-2.860544,1.642002,-0.834226,1.203729,0.1972217,297.2019,232.6568,25.84328
1,0.3555556,-0.1000913,0.4430766,-0.07206127,-1.194741,-1.560246,-0.6302094,-0.695281,-0.02166451,19.10966,0.1176889,-0.207157,-0.05382435,-0.4039568,-1.078636,1.362857,0.04566687,-0.08898415,-0.06294467,-0.9304957,-2.86158,1.641493,-0.8341111,1.204709,0.1974715,296.946,232.8558,25.66481
1,0.3666667,-0.09483443,0.4496127,-0.03692253,-1.199294,-1.563071,-0.6282738,-0.6951553,0.01173016,19.10966,0.09309023,-0.15926,-0.0504215,-0.4044655,-1.079413,1.363359,0.04248268,-0.1017575,-0.05868312,-0.9310172,-2.863141,1.641984,-0.8341109,1.2055,0.1974815,296.6321,233.0651,25.45593
1,0.3777778,-0.08103465,0.4488046,0.01956636,-1.204249,-1.564477,-0.6271361,-0.6948933,0.0237981,19.10966,0.07062875,-0.09223806,-0.03523285,-0.4045965,-1.07725,1.36124,0.04038568,-0.09853856,-0.05438207,-0.9313426,-2.863771,1.642089,-0.8341014,1.206099,0.1973298,296.3412,233.2791,25.19601
1,0.3888889,-0.06710504,0.4298292,0.05799635,-1.208674,-1.565588,-0.6263627,-0.6953306,-0.04019248,20.8469,0.05460793,-0.04970671,-0.01907239,-0.4044351,-1.075952,1.359794,0.0510798,-0.1060218,-0.05020928,-0.9315892,-2.865344,1.641853,-0.8341174,1.206494,0.19707,296.0846,233.5561,24.87489
1,0.4,-0.05091516,0.3895299,0.08796367,-1.212177,-1.566087,-0.6259595,-0.6956214,-0.0262246,20.8469,0.05457459,-0.04222559,-0.02650528,-0.4048202,-1.076832,1.360008,0.05214697,-0.1092228,-0.04916118,-0.932198,-2.866919,1.64218,-0.8339817,1.206757,0.1967572,295.8996,233.9785,24.38277
1,0.4111111,-0.0409681,0.3267977,0.1073478,-1.214826,-1.565958,-0.6258264,-0.6958286,-0.01877153,20.8469,0.05775809,-0.04858865,-0.03507162,-0.4055041,-1.079659,1.36184,0.05738491,-0.132605,-0.05776186,-0.9327647,-2.868681,1.642072,-0.8336776,1.206914,0.1964195,295.7253,234.4403,23.86174
1,0.4222222,-0.0256326,0.2523828,0.1299785,-1.216789,-1.564792,-0.6262605,-0.6958994,-0.006402066,20.8469,0.07906485,-0.08043076,-0.05866586,-0.4064335,-1.084751,1.365055,0.06052609,-0.1443137,-0.06207367,-0.9335994,-2.870848,1.64256,-0.8331375,1.206936,0.1960269,295.5435,234.8407,23.48329
1,0.4333333,-0.01686778,0.2098773,0.1471653,-1.219017,-1.563855,-0.6266844,-0.6958457,0.004833169,20.8469,0.117457,-0.11017,-0.06314157,-0.4071052,-1.090246,1.367807,0.07429086,-0.1635036,-0.06756347,-0.9346635,-2.873648,1.643034,-0.8323894,1.206822,0.1955367,295.4414,235.1621,23.19508
1,0.4444444,-0.008126028,0.1674292,0.1835298,-1.22143,-1.561772,-0.6275111,-0.6959373,-0.008493856,21.06406,0.1633487,-0.1378089,-0.0516288,-0.4068911,-1.095385,1.369559,0.08696042,-0.185855,-0.07623775,-0.9357442,-2.876434,1.643343,-0.8315092,1.206583,0.1949314,295.4226,235.4049,22.93073
1,0.4555556,-0.02407066,0.1536053,0.2208436,-1.224557,-1.559849,-0.6272149,-0.6959069,0.002782724,21.06406,0.2027586,-0.1632317,-0.07311811,-0.4076985,-1.102151,1.372494,0.1220863,-0.2274868,-0.07342929,-0.9367062,-2.881038,1.643321,-0.830558,1.206251,0.1941911,295.4519,235.6071,22.65321
1,0.4666667,-0.04111829,0.1503901,0.2464064,-1.227866,-1.557862,-0.6269524,-0.695803,0.009372461,21.06406,0.2176232,-0.1854721,-0.105194,-0.4092677,-1.109477,1.376696,0.159595,-0.2478793,-0.04183137,-0.9365948,-2.884868,1.642873,-0.8295881,1.205843,0.1933322,295.4572,235.8404,22.30867
1,0.4777778,-0.06458256,0.1482603,0.2921927,-1.231582,-1.555082,-0.6265475,-0.6946622,0.1041928,21.06406,0.2293591,-0.2205423,-0.124513,-0.4104784,-1.118554,1.382193,0.1755737,-0.2521764,-0.04090716,-0.9372537,-2.888388,1.642639,-0.8285912,1.20537,0.1923147,295.4249,236.1358,21.93036
1,0.4888889,-0.08590378,0.1450896,0.3401234,-1.235759,-1.551673,-0.626245,-0.6945599,0.008471626,20.8469,0.2560463,-0.2864237,-0.1578162,-0.4120938,-1.131498,1.390413,0.1945848,-0.2638755,-0.06025661,-0.9385155,-2.892125,1.642036,-0.8276586,1.204858,0.1910813,295.3937,236.5444,21.44682
1,0.5,-0.09225713,0.1334391,0.3731855,-1.239672,-1.548041,-0.6262658,-0.6942232,0.03082286,20.8469,0.2890595,-0.2820959,-0.1589521,-0.4133514,-1.139866,1.394003,0.2071543,-0.2893948,-0.08066049,-0.9401534,-2.896469,1.641968,-0.8267571,1.204386,0.1896063,295.3685,236.9359,20.93526
1,0.5111111,-0.1059403,0.09630191,0.4457327,-1.243751,-1.54217,-0.6267403,-0.6941769,0.004089009,20.8469,0.3050298,-0.278882,-0.1568608,-0.4144795,-1.147562,1.397411,0.2163695,-0.364963,-0.1107519,-0.942408,-2.903707,1.643253,-0.8258263,1.203987,0.1878429,295.305,237.3008,20.42438
1,0.5222223,-0.1411854,0.1089196,0.4595039,-1.248102,-1.538583,-0.6253049,-0.694529,-0.03215082,20.8469,0.3114253,-0.2937528,-0.1665134,-0.4159479,-1.157474,1.402797,0.2130788,-0.392618,-0.1150497,-0.9439106,-2.909344,1.644374,-0.8247883,1.20371,0.1857497,295.2289,237.6422,19.88128
1,0.5333334,-0.1410797,0.08248737,0.5224489,-1.252678,-1.532083,-0.6259195,-0.6943868,0.013346,20.8469,0.3082166,-0.2746035,-0.158988,-0.4171219,-1.164468,1.405885,0.2207543,-0.40122,-0.08848806,-0.9443186,-2.914926,1.644746,-0.8235769,1.203557,0.1833195,295.1124,237.8446,19.4293
