loc,t,aDotS,bDotS,gDotS,aS,bS,gS,qE,qDotE,emg,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH,aDotUB,bDotUB,gDotUB,aUB,bUB,gUB,xHand,yHand,zHand,aHand,bHand,gHand
1,0,0.09558216,-0.01125147,0.02264819,-1.296398,-1.156909,-0.7327815,-0.6270386,-0.00379235,5.428882,0.005406605,0.0108897,-0.005869449,-0.4716533,-0.7781363,1.241857,-0.0440694,0.03416725,-0.01159559,-0.9180859,-2.810883,1.658465,-0.8093243,1.143427,0.04644885,302.4077,228.1377,10.45583
1,0.01111111,0.104119,-0.01119767,0.01627138,-1.296461,-1.156765,-0.7343683,-0.6270658,-0.002576037,5.428882,0.01709305,-0.002940435,-0.01234154,-0.4716799,-0.7790865,1.2424,-0.03870733,0.03099264,-0.009470381,-0.9173551,-2.809925,1.657756,-0.8089291,1.142978,0.04544176,301.9148,230.5028,7.516521
1,0.02222222,0.1083631,-0.007996548,0.009857548,-1.2963,-1.156897,-0.7357201,-0.6264309,0.05798948,5.428882,0.02776077,0.00557109,-0.008095589,-0.4717513,-0.7785054,1.241277,-0.03337994,0.03846869,-0.01166348,-0.9178137,-2.808542,1.657183,-0.8079742,1.142171,0.04391181,301.8986,230.7302,6.459436
1,0.03333334,0.1040347,0.0004269397,-0.002967503,-1.296199,-1.157313,-0.7366729,-0.6269379,-0.04692118,5.428882,0.01923087,0.03114271,-0.007981003,-0.472138,-0.7762209,1.239327,-0.02697278,0.04381528,-0.0117416,-0.9182329,-2.807072,1.656459,-0.8067077,1.141197,0.04227898,302.1251,230.2676,6.02087
1,0.04444445,0.1072062,0.004646147,-0.01682992,-1.295886,-1.157724,-0.7379055,-0.6267483,0.01770847,5.537459,0.008543219,0.05992621,-0.0153083,-0.4729082,-0.7736105,1.237188,-0.02590822,0.04700967,-0.01281212,-0.9183506,-2.806309,1.656263,-0.8055705,1.140075,0.04080627,302.3077,229.8717,5.614278
1,0.05555556,0.1136415,0.0003985222,-0.02639384,-1.295434,-1.158018,-0.7392467,-0.6263137,0.03948725,5.537459,0.009610515,0.05779625,-0.01851395,-0.4733172,-0.7730315,1.236302,-0.02268347,0.04806113,-0.01070751,-0.9183442,-2.805625,1.655963,-0.8047686,1.138851,0.03974304,302.4725,229.6443,5.217193
1,0.06666667,0.1307824,-0.008085349,-0.05298373,-1.294345,-1.158872,-0.7409596,-0.6264858,-0.01609811,5.537459,0.03303831,0.03863581,-0.02185971,-0.4735963,-0.7733772,1.235617,-0.01738224,0.0374071,-0.01075327,-0.9181653,-2.805218,1.655685,-0.804291,1.13765,0.0393034,302.6672,229.5743,4.900268
1,0.07777778,0.1372706,-0.01766975,-0.06465541,-1.293321,-1.159302,-0.7425378,-0.6265321,-0.004105461,5.537459,0.04901385,0.008821957,-0.02628361,-0.4738408,-0.7754155,1.236348,-0.01526585,0.02994217,-0.01078077,-0.9182286,-2.805084,1.655608,-0.8040472,1.136579,0.03956532,302.8694,229.6193,4.758509
1,0.08888889,0.1448078,-0.02511796,-0.07845616,-1.292277,-1.159839,-0.7442235,-0.62698,-0.0409688,5.537459,0.07880461,-0.03800347,-0.03932945,-0.4740981,-0.7793043,1.238139,-0.007828774,0.01289346,-0.007691159,-0.9183996,-2.805092,1.655513,-0.80394,1.135719,0.04048182,303.082,229.7553,4.778796
1,0.1,0.1416309,-0.02627537,-0.09123328,-1.291172,-1.160513,-0.7455211,-0.6266834,0.02742716,4.777416,0.07983416,-0.04543079,-0.04894409,-0.4745945,-0.7813305,1.238991,0.0006563482,0.001145837,-0.007806703,-0.9188012,-2.805453,1.655591,-0.8039429,1.13508,0.04191993,303.2534,229.8999,4.969938
