loc,t,aDotS,bDotS,gDotS,aS,bS,gS,xS,yS,zS,qE,qDotE,emgA,emgB,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH,xSH,ySH,zSH,aDotUB,bDotUB,gDotUB,aUB,bUB,gUB,xUB,yUB,zUB,xHand,yHand,zHand,aHand,bHand,gHand,enable
3,0,0.2451473,0.2430819,0.1787513,-1.383058,1.170305,-2.153424,0.3886892,1.290588,0.5128078,-0.4023717,-0.08853535,10.90185,14.65609,-0.05624777,-0.00943128,-0.2980726,-0.253142,-3.97454,-0.4215036,0.4444262,1.443102,0.3972273,0.1589502,0.1414256,0.07793681,-1.28817,0.1862595,-0.06478699,0.5646331,1.479053,0.2194777,0.07648437,1.119396,0.5914099,306.3923,290.8246,356.7482,True
3,0.01111111,0.2259889,0.2517082,0.2032329,-1.387294,1.171065,-2.155434,0.3881966,1.2897,0.5128229,-0.4018279,0.05048034,11.06101,14.87037,-0.04978004,-0.02220351,-0.2949466,-0.2557849,-3.981851,-0.4142246,0.4438148,1.442685,0.3977578,0.1378172,0.131802,0.096224,-1.28655,0.1876133,-0.06593374,0.5641558,1.479179,0.220257,0.07624593,1.119357,0.5896028,306.2065,287.2872,359.3529,True
3,0.02222222,0.2089848,0.2336503,0.2182563,-1.390535,1.172398,-2.157433,0.3876874,1.288783,0.5127809,-0.4018316,-0.0007558935,11.22016,15.17034,-0.059311,-0.01799713,-0.2842212,-0.2582238,-3.986459,-0.408767,0.4430479,1.442384,0.3982623,0.1273169,0.1339052,0.1133666,-1.284804,0.1893758,-0.06742005,0.5636669,1.479259,0.2207468,0.07501664,1.119311,0.5864823,305.7437,287.3286,358.0461,True
3,0.03333334,0.2068649,0.2272795,0.2225617,-1.393901,1.173361,-2.159861,0.3871644,1.287827,0.5128181,-0.4013085,0.04796891,11.37931,15.51318,-0.0635924,-0.01480982,-0.28525,-0.2611932,-3.991076,-0.4034084,0.4424243,1.441975,0.3988488,0.1305263,0.1349805,0.1154728,-1.283613,0.1912359,-0.0695378,0.5632437,1.479334,0.2214675,0.07324031,1.118921,0.5824367,305.3118,287.398,356.508,True
3,0.04444445,0.21649,0.2081707,0.2333,-1.396946,1.174926,-2.162864,0.3866175,1.287027,0.5127637,-0.4013288,-0.002107197,11.51194,15.92029,-0.107256,0.04462901,-0.2518126,-0.2638404,-3.984708,-0.406817,0.4415379,1.441738,0.3991883,0.1240738,0.115809,0.1069877,-1.282701,0.1919475,-0.07095886,0.5627708,1.479409,0.2219777,0.07220398,1.118692,0.5795002,305.4531,283.4144,359.9501,True
3,0.05555556,0.2325181,0.1720088,0.2377326,-1.399382,1.176814,-2.166331,0.3860214,1.286146,0.5128682,-0.4020228,-0.06324671,11.61804,16.30598,-0.1476466,0.1040403,-0.2088051,-0.265743,-3.976279,-0.4120693,0.4407247,1.441426,0.3995597,0.1133002,0.1104985,0.09322704,-1.282286,0.1932174,-0.07219829,0.5623588,1.479578,0.2226779,0.07184727,1.118715,0.5787389,305.4597,282.3328,1.250185,True
3,0.06666667,0.2410942,0.1272465,0.231555,-1.400588,1.178872,-2.169672,0.3854591,1.285437,0.5129015,-0.402696,-0.06091988,11.69761,16.67023,-0.1594452,0.1529774,-0.1958416,-0.2686943,-3.967304,-0.4185464,0.4399287,1.441082,0.3999164,0.08328246,0.1083656,0.07218897,-1.282311,0.194357,-0.07238445,0.5619141,1.479666,0.2233226,0.07191628,1.118559,0.5791663,305.2419,283.4072,0.5836506,True
3,0.07777778,0.2486125,0.05364278,0.2074083,-1.399971,1.181019,-2.172863,0.3849469,1.2848,0.512882,-0.4032196,-0.04734174,11.75066,17.01307,-0.144612,0.2328513,-0.1680742,-0.2716227,-3.952045,-0.4322859,0.4390927,1.440819,0.4002719,0.08211713,0.1456679,0.06478997,-1.281895,0.1976024,-0.07415465,0.5613996,1.479856,0.2239738,0.07215007,1.118322,0.5799047,304.937,285.0922,359.3824,True
3,0.08888889,0.2550767,-0.01458432,0.192827,-1.399227,1.183708,-2.176317,0.3842951,1.284127,0.5129437,-0.4031126,0.01010482,11.77719,17.24877,-0.1403445,0.2328572,-0.1670333,-0.2742949,-3.947239,-0.4355145,0.4383224,1.44056,0.4006772,0.1152166,0.162737,0.07517052,-1.280783,0.2003319,-0.07734352,0.5608208,1.479971,0.2245443,0.0723705,1.11805,0.5804682,304.6255,286.4116,358.4909,True
3,0.1,0.2647207,-0.06041002,0.186652,-1.398442,1.186581,-2.180106,0.3836964,1.283568,0.513031,-0.4029213,0.01735025,11.80371,17.33447,-0.1476394,0.191279,-0.1638747,-0.2761959,-3.947375,-0.433499,0.437485,1.440427,0.4010577,0.1207436,0.1296967,0.09426132,-1.279121,0.2008418,-0.07906339,0.5602573,1.480101,0.2250667,0.0725213,1.117806,0.5807175,304.3126,287.0809,358.1571,True
