loc,t,aDotS,bDotS,gDotS,aS,bS,gS,xS,yS,zS,qE,qDotE,emgA,emgB,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH,xSH,ySH,zSH,aDotUB,bDotUB,gDotUB,aUB,bUB,gUB,xUB,yUB,zUB,xHand,yHand,zHand,aHand,bHand,gHand,enable
6,0,-0.02942092,0.2522435,-0.1297574,-1.564142,1.461649,-2.633515,0.3680728,1.205241,0.4382501,-1.154856,0.00588597,11.27321,13.52046,0.1001376,-0.04448904,-0.05603272,-0.5892979,-3.620233,-0.5307059,0.3824013,1.412505,0.3764334,0.03520468,-0.05959471,-0.003265298,-1.065648,0.4619785,-0.1054678,0.5421728,1.482469,0.2230577,0.05251246,1.130418,0.3772845,285.841,249.3625,14.87685,True
6,0.01111111,-0.02636405,0.2831127,-0.1394681,-1.564549,1.457138,-2.633315,0.3685613,1.205142,0.4382718,-1.155107,-0.02294758,11.16711,13.69188,0.1149869,-0.03165114,-0.06035663,-0.5900431,-3.620843,-0.531943,0.3825586,1.412463,0.3764968,0.0649941,-0.0766059,-0.008907301,-1.065774,0.460376,-0.1063728,0.541929,1.482565,0.2228489,0.05197253,1.13431,0.3809565,285.205,290.8675,333.0141,True
6,0.02222222,-0.02114476,0.3065256,-0.1502152,-1.564885,1.452752,-2.633364,0.3690596,1.205279,0.4385977,-1.155228,-0.01081914,11.06101,13.88472,0.1245495,-0.03054638,-0.0646729,-0.590687,-3.621925,-0.5327214,0.3827789,1.412444,0.3766122,0.07886041,-0.08831277,-0.00800149,-1.065814,0.4589375,-0.1069355,0.541705,1.482581,0.2226291,0.05150976,1.134859,0.3829628,285.974,297.4205,325.8365,True
6,0.03333334,-0.01807941,0.3374026,-0.1577953,-1.565457,1.447594,-2.633224,0.3696868,1.205218,0.4386747,-1.155122,0.009746177,10.98143,14.14185,0.1533405,-0.04536432,-0.06805889,-0.5909235,-3.624277,-0.5334709,0.3830702,1.412455,0.37677,0.09706399,-0.1138751,-0.0007587066,-1.065324,0.4565385,-0.1074596,0.5414417,1.482639,0.2223234,0.0513279,1.133512,0.3840313,286.7347,295.3688,327.2226,True
6,0.04444445,-0.01284653,0.3597602,-0.1653271,-1.566177,1.442803,-2.633272,0.370388,1.205352,0.4392784,-1.155329,-0.01914809,10.95491,14.44182,0.1757308,-0.05913107,-0.07247245,-0.5911515,-3.626872,-0.5340533,0.3833565,1.412445,0.3769405,0.1077475,-0.1511464,-0.0009227833,-1.065112,0.4534052,-0.1073611,0.5412409,1.48274,0.2220075,0.05154979,1.130892,0.384486,287.6557,293.4182,328.9548,True
6,0.05555556,-0.01185865,0.3757199,-0.1717802,-1.566607,1.437618,-2.633154,0.3710722,1.205303,0.43944,-1.15514,0.01748475,10.95491,14.72038,0.2193684,-0.1058109,-0.1047623,-0.5916489,-3.633352,-0.5325481,0.3838087,1.412429,0.3772249,0.1162731,-0.1798989,-0.003178387,-1.064909,0.4500023,-0.1072926,0.5409884,1.482777,0.2216706,0.0520744,1.127634,0.3845888,288.7857,292.0688,330.1694,True
6,0.06666667,-0.01093765,0.4001634,-0.1889169,-1.566824,1.431621,-2.633034,0.3719192,1.205245,0.4396195,-1.155271,-0.01212898,11.00796,15.02035,0.240665,-0.1280909,-0.1187715,-0.5921012,-3.638398,-0.5317957,0.384206,1.412416,0.377455,0.1332286,-0.2118221,-0.01511338,-1.065226,0.446124,-0.1074303,0.5407676,1.482815,0.2213576,0.05274381,1.124343,0.3846309,289.9769,290.92,331.1015,True
6,0.07777778,-0.01429203,0.427783,-0.2071085,-1.567009,1.425315,-2.632695,0.3729206,1.205043,0.4398763,-1.155097,0.01601405,11.11406,15.32033,0.2832928,-0.1588167,-0.132919,-0.592491,-3.644088,-0.5315129,0.3846647,1.412459,0.377671,0.1470272,-0.2267151,-0.02166158,-1.065384,0.442555,-0.1078444,0.5405289,1.482872,0.2209702,0.05342159,1.121572,0.3849525,291.0436,289.9584,331.8029,True
6,0.08888889,-0.01123823,0.4543593,-0.2231962,-1.567121,1.418807,-2.632737,0.3739097,1.204929,0.4400997,-1.155059,0.003325882,11.19363,15.57746,0.3131331,-0.1821407,-0.1437831,-0.5927866,-3.650303,-0.5308931,0.3851759,1.412475,0.3779142,0.1725489,-0.253315,-0.02834402,-1.065564,0.4384053,-0.1085257,0.5403746,1.482973,0.2204778,0.0540036,1.119665,0.3857672,291.77,289.421,332.2569,True
6,0.1,-0.01139862,0.4862546,-0.2382155,-1.567575,1.411904,-2.632608,0.3749992,1.204882,0.4403622,-1.154836,0.02030684,11.27321,15.72745,0.331329,-0.2002031,-0.1385911,-0.5925448,-3.655821,-0.5305201,0.3857512,1.412484,0.378176,0.1875057,-0.3044387,-0.02856509,-1.065366,0.4326319,-0.1082405,0.5400834,1.482999,0.2200544,0.05456271,1.118764,0.3872103,292.0787,289.321,332.4456,True
