ref,t,emg1,emg2,emg1raw,emg2raw,aDotS,bDotS,gDotS,aS,bS,gS,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH
0,0,44,104,497,498,0.07706858,-0.2172352,0.1181244,-1.425803,-2.574693,-1.488222,-0.09237704,0.2102951,-0.03136918,-0.5909208,-2.740204,1.357898
0,0.01111111,44,104,497,498,0.08028504,-0.2151273,0.1202427,-1.427046,-2.572244,-1.489557,-0.09025427,0.218778,-0.04099344,-0.5922066,-2.735766,1.355181
0,0.02222222,44,104,497,498,0.08031211,-0.2225835,0.1223361,-1.428342,-2.569586,-1.491124,-0.08485603,0.2273432,-0.02932222,-0.5928553,-2.730603,1.351668
0,0.03333334,44,104,497,498,0.08777794,-0.2268955,0.1265046,-1.429693,-2.566752,-1.492545,-0.07945479,0.2401422,-0.01979715,-0.5935137,-2.725397,1.348095
0,0.04444445,44,104,497,498,0.09304766,-0.2365058,0.1253417,-1.430901,-2.563442,-1.493804,-0.06662013,0.2486271,-0.01987006,-0.594457,-2.72032,1.344016
0,0.05555556,44,104,497,498,0.09513911,-0.2428976,0.1242219,-1.432066,-2.560411,-1.49512,-0.06023464,0.2539117,-0.0263027,-0.5955665,-2.715362,1.34042
0,0.06666667,44,104,497,498,0.1036614,-0.2439874,0.1241589,-1.433298,-2.557336,-1.496795,-0.05174109,0.2602603,-0.03380055,-0.5966876,-2.710058,1.336672
0,0.07777778,44,104,497,498,0.1046376,-0.2503715,0.1187826,-1.434264,-2.553976,-1.498092,-0.04113876,0.2612417,-0.04875645,-0.5983164,-2.705381,1.332942
0,0.08888889,44,104,497,498,0.1088636,-0.2524945,0.1155318,-1.435246,-2.551002,-1.499838,-0.02411456,0.2537085,-0.05411808,-0.5996661,-2.701374,1.32921
0,0.1,44,104,497,498,0.1120009,-0.2503662,0.11124,-1.435962,-2.547916,-1.501247,-0.01241625,0.2462179,-0.05306882,-0.6007889,-2.697217,1.325647
0,0.1111111,44,104,497,498,0.1119858,-0.2450195,0.1080781,-1.436889,-2.545259,-1.502853,-0.005971141,0.2473094,-0.03924673,-0.6015196,-2.692482,1.321632
0,0.1222222,44,104,497,498,0.1151704,-0.2428854,0.1069944,-1.43778,-2.542582,-1.504442,-0.00160253,0.2516475,-0.01050813,-0.6014541,-2.687235,1.31736
0,0.1333333,44,104,497,498,0.1141243,-0.2354401,0.1081085,-1.438775,-2.54002,-1.505971,0.002762541,0.2517309,0.01823913,-0.6011687,-2.681966,1.312844
0,0.1444445,44,104,497,498,0.1162417,-0.2226122,0.1028507,-1.439614,-2.537999,-1.507569,0.008133426,0.2475061,0.03526944,-0.6011383,-2.67731,1.308845
0,0.1555556,44,104,497,498,0.1162876,-0.2055939,0.1040044,-1.440387,-2.535825,-1.509092,0.01244737,0.24647,0.04484437,-0.6012827,-2.672124,1.304029
0,0.1666667,44,104,497,498,0.1152564,-0.1906783,0.1041104,-1.44144,-2.534034,-1.510581,0.01350346,0.2411474,0.04698918,-0.6013966,-2.667528,1.300057
0,0.1777778,44,104,497,498,0.1121162,-0.1683106,0.1053498,-1.442583,-2.532668,-1.511854,0.004949018,0.2358621,0.04810474,-0.6015687,-2.662727,1.29651
0,0.1888889,44,104,497,498,0.109974,-0.1470052,0.1034084,-1.443979,-2.531183,-1.512663,-0.006793275,0.2358745,0.04393967,-0.6018723,-2.658099,1.29279
0,0.2,44,104,497,498,0.1057505,-0.1300063,0.1078158,-1.445133,-2.529702,-1.5134,-0.01637506,0.2359013,0.03857818,-0.6025887,-2.653525,1.289449
0,0.2111111,44,104,497,498,0.1068198,-0.1225513,0.1089265,-1.446372,-2.528552,-1.514478,-0.03447326,0.2444667,0.03435317,-0.6031367,-2.648438,1.286092
0,0.2222222,44,104,497,498,0.1057608,-0.1193769,0.1100253,-1.447582,-2.526961,-1.515698,-0.04618822,0.2423637,0.03654756,-0.6031735,-2.64411,1.283298
0,0.2333333,44,104,497,498,0.1046661,-0.1225677,0.1100176,-1.448754,-2.525475,-1.516731,-0.05578738,0.2423835,0.03338624,-0.6037008,-2.639406,1.280322
0,0.2444444,44,104,497,498,0.1078805,-0.1279614,0.1142242,-1.45013,-2.523362,-1.518211,-0.06964268,0.2456159,0.03233691,-0.6044172,-2.634743,1.277752
0,0.2555556,44,104,497,498,0.1004099,-0.1567449,0.1204972,-1.45158,-2.520772,-1.519456,-0.07919829,0.2424675,0.0387542,-0.6048204,-2.630336,1.275004
0,0.2666667,44,104,497,498,0.09505278,-0.1716944,0.1236323,-1.452747,-2.518039,-1.520419,-0.08560083,0.2318566,0.04520509,-0.6048454,-2.626081,1.27263
0,0.2777778,44,104,497,498,0.08968545,-0.2004707,0.1298953,-1.45436,-2.515097,-1.52127,-0.09094344,0.2254821,0.04632802,-0.6048662,-2.62184,1.270274
0,0.2888889,44,104,497,498,0.0769054,-0.2292703,0.1372779,-1.456006,-2.511459,-1.522369,-0.09207241,0.2126806,0.0399833,-0.6051821,-2.618328,1.268448
0,0.3,44,104,497,498,0.07157247,-0.2484559,0.1414638,-1.457579,-2.508136,-1.523421,-0.09432275,0.2008946,0.01979008,-0.6059672,-2.615364,1.267236
0,0.3111111,44,104,497,498,0.06193615,-0.2751117,0.14454,-1.458692,-2.503909,-1.52419,-0.09337667,0.1922826,-0.005751673,-0.6072199,-2.612553,1.265934
0,0.3222222,44,104,497,498,0.05440754,-0.302831,0.1476181,-1.460168,-2.49939,-1.52474,-0.09238164,0.1900922,-0.02811654,-0.6087373,-2.609035,1.263847
0,0.3333333,44,104,497,498,0.04900634,-0.3305371,0.1485317,-1.461385,-2.494737,-1.525433,-0.09135133,0.1911182,-0.03877679,-0.6100349,-2.605886,1.262236
0,0.3444445,44,104,497,498,0.04251903,-0.3485961,0.1420831,-1.462624,-2.49022,-1.526239,-0.08606301,0.1974412,-0.05693744,-0.6119342,-2.602369,1.260078
0,0.3555556,44,104,497,498,0.03386791,-0.3666511,0.134581,-1.463672,-2.485341,-1.526639,-0.07545358,0.1909938,-0.06334572,-0.6133542,-2.599634,1.258397
