ref,t,emg1,emg2,emg1raw,emg2raw,aDotS,bDotS,gDotS,aS,bS,gS,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH
90,0.3444445,740,203,468,493,-0.05881856,-0.02122938,0.04109998,-1.517087,3.118262,0.0271717,-0.04330625,0.04282612,0.09655811,-0.2811094,2.579889,3.134901
90,0.3555556,740,203,468,493,-0.04186033,0.01387427,0.03013669,-1.518285,3.117985,0.02761698,-0.008104824,0.05445586,0.09833196,-0.2801139,2.57652,3.137342
90,0.3666667,740,203,468,493,-0.02807727,0.0532108,0.01701601,-1.520113,3.117821,0.027601,0.006559167,0.0395321,0.07685973,-0.2800905,2.575605,3.137717
90,0.3777778,740,203,468,493,-0.02387742,0.08724787,0.0103142,-1.521901,3.117796,0.02771126,-0.002464391,0.01723851,0.0321756,-0.2806045,2.57916,3.134702
90,0.3888889,948,273,516,493,-0.024978,0.1084825,0.001585309,-1.523813,3.117522,0.02812298,-0.008945588,0.009790749,0.0237207,-0.2808895,2.578304,3.135565
90,0.4,948,273,516,493,-0.01962318,0.1104588,-0.01652877,-1.52507,3.11697,0.02831047,-0.0162594,0.01511618,0.03656962,-0.2806327,2.57604,3.138102
90,0.4111111,948,273,516,493,-0.0142606,0.1039798,-0.02604485,-1.525883,3.116469,0.02832645,-0.002202466,0.0203698,0.05561613,-0.2804191,2.571715,-3.141404
90,0.4222222,948,273,516,493,-0.002481855,0.08156504,-0.03326793,-1.526142,3.115948,0.02816186,0.01173008,0.03737503,0.05976087,-0.2795446,2.568823,-3.139127
90,0.4333333,812,259,458,494,0.009262893,0.06460318,-0.02882648,-1.526579,3.115677,0.02786678,0.02218167,0.01286924,0.0447004,-0.2799952,2.56908,-3.139945
90,0.4444444,812,259,458,494,0.02096681,0.05934862,-0.02342499,-1.527104,3.115648,0.0275504,0.03160986,7.910468E-05,0.03180528,-0.2803403,2.569029,-3.140501
90,0.4555556,812,259,458,494,0.02521858,0.06147057,-0.02450386,-1.52775,3.11533,0.02731231,0.01748871,-0.004122771,0.006370881,-0.2805757,2.571222,3.140891
90,0.4666667,812,259,458,494,0.02521943,0.06673679,-0.03094616,-1.528605,3.114821,0.02706837,0.0002911256,0.001262784,-0.01050095,-0.2804798,2.573477,3.139161
90,0.4777778,812,259,458,494,0.0241469,0.0751581,-0.04061401,-1.529522,3.114136,0.02696877,-0.005095488,0.009801374,-0.01789704,-0.2802476,2.574919,3.13803
90,0.4888889,652,332,480,502,0.02840301,0.08363204,-0.04814087,-1.530862,3.113414,0.02658314,0.001611866,0.04384606,0.005519569,-0.2787925,2.572215,3.140467
90,0.5,652,332,480,502,0.02940231,0.09967598,-0.0408255,-1.532296,3.113282,0.02640684,0.01021032,0.04807541,0.01182797,-0.2782007,2.57134,3.140931
90,0.5111111,652,332,480,502,0.02403066,0.1103935,-0.03455473,-1.534117,3.112947,0.02642442,0.01649318,0.03421862,0.003209963,-0.2782918,2.572904,3.138906
90,0.5222223,652,332,480,502,0.02824606,0.1158178,-0.02394137,-1.535373,3.113048,0.0261304,0.009768561,-0.006216114,-0.02021378,-0.279438,2.575951,3.136027
90,0.5333334,652,332,480,502,0.03036545,0.1201068,-0.02184846,-1.536852,3.112845,0.02569258,0.00334765,-0.02858437,-0.01804928,-0.2804143,2.57639,3.135686
90,0.5444446,660,335,465,484,0.0250575,0.118955,-0.03037549,-1.538248,3.112244,0.025626,0.00457787,-0.01156487,-0.006314937,-0.280188,2.575091,3.136733
90,0.5555557,660,335,465,484,0.01768168,0.09644844,-0.04296887,-1.538721,3.111424,0.02561215,0.01209849,0.0001378031,-0.003191055,-0.2797741,2.5757,3.135788
90,0.5666668,660,335,465,484,0.007103607,0.06340183,-0.04375602,-1.538792,3.110807,0.02584704,0.01948948,0.002255233,-0.0107187,-0.2797443,2.576876,3.134191
90,0.577778,660,335,465,484,0.008230068,0.04111731,-0.03503617,-1.538804,3.110486,0.02534317,0.01182333,-0.02753388,-0.02454126,-0.2808421,2.579758,3.131482
90,0.5888891,620,346,496,492,0.01572565,0.02515266,-0.03486833,-1.538684,3.11016,0.0249682,0.009875663,-0.02649675,-0.007482567,-0.2812415,2.578746,3.132234
90,0.6000003,620,346,496,492,0.02855524,0.01021219,-0.04109024,-1.538553,3.109583,0.02432531,0.01427413,-0.01373783,0.003144117,-0.2810754,2.577592,3.133077
90,0.6111114,620,346,496,492,0.03177243,0.005909104,-0.04636932,-1.538524,3.108929,0.0239072,0.02068915,9.424798E-05,0.002032617,-0.2807824,2.577843,3.13243
90,0.6222225,620,346,496,492,0.02540585,-0.004759464,-0.04628217,-1.538226,3.108438,0.02386512,0.03143864,0.02669636,0.005156986,-0.2797491,2.577385,3.132209
90,0.6333337,620,346,496,492,0.02542022,-0.009015299,-0.0473084,-1.538255,3.107839,0.02358016,0.04428412,0.03091109,0.01036158,-0.2794828,2.576442,3.132326
90,0.6444448,612,335,490,493,0.02434162,-0.007902443,-0.04199263,-1.538202,3.107523,0.02333888,0.04836779,0.01920257,-0.004609784,-0.2795936,2.578075,3.130111
90,0.655556,612,335,490,493,0.02858802,0.0005855523,-0.04632007,-1.538407,3.106946,0.02298308,0.04280826,0.00326518,-0.02268259,-0.279943,2.580595,3.127592
90,0.6666671,612,335,490,493,0.03071076,0.005892877,-0.04956378,-1.538683,3.10628,0.02264806,0.04273506,-0.008442704,-0.02695083,-0.2802652,2.581616,3.126183
90,0.6777782,612,335,490,493,0.03177732,0.01756524,-0.0550057,-1.539141,3.105437,0.0220808,0.04808855,-0.009527739,-0.02381229,-0.2804319,2.582253,3.124898
90,0.6888894,580,299,488,491,0.03176838,0.02179005,-0.05931329,-1.539542,3.104576,0.02188479,0.05880718,0.002155721,-0.01963597,-0.2801086,2.582307,3.123976
90,0.7000005,580,299,488,491,0.03814286,0.0313722,-0.06151929,-1.540158,3.103851,0.02131221,0.08228979,0.01274876,-0.0177252,-0.2796633,2.582832,3.121902
90,0.7111117,580,299,488,491,0.04026991,0.02927457,-0.05828006,-1.540405,3.103594,0.02083551,0.08766028,0.02019191,-0.01456812,-0.2791973,2.582957,3.120755
90,0.7222228,580,299,488,491,0.04134479,0.02607136,-0.0593133,-1.540604,3.102903,0.02036413,0.06230132,0.02662015,0.004869686,-0.2787872,2.581069,3.122556
90,0.7333339,580,299,488,491,0.04672046,0.01958274,-0.07095839,-1.540637,3.101836,0.0196227,0.05186626,0.04686764,0.02203307,-0.2776425,2.579235,3.12406
90,0.7444451,553,297,501,495,0.04460387,0.01635291,-0.07412889,-1.540768,3.100938,0.01917849,0.03146073,0.04267425,0.006258871,-0.2772937,2.580144,3.123299
90,0.7555562,553,297,501,495,0.03185809,0.007731192,-0.08153033,-1.540672,3.099891,0.01916943,0.03667549,0.03202197,-0.002342829,-0.2772233,2.581774,3.121187
90,0.7666674,553,297,501,495,0.02014297,0.005584382,-0.08046943,-1.540712,3.099025,0.01923761,0.04605131,0.006451488,-0.01738538,-0.2778806,2.584001,3.118263
90,0.7777785,553,297,501,495,0.01692156,0.007752515,-0.0751662,-1.540834,3.0984,0.01924879,0.06175911,-0.02765411,-0.03568833,-0.2792202,2.586723,3.114568
90,0.7888896,538,289,520,495,0.02862219,0.01419799,-0.07306559,-1.541273,3.097712,0.01861496,0.07347868,-0.04046727,-0.03260908,-0.2799542,2.586713,3.113398
90,0.8000008,538,289,520,495,0.03922821,0.02702012,-0.07102667,-1.541846,3.097023,0.01809298,0.07056816,-0.006398089,-0.01229308,-0.2791381,2.585207,3.114147
90,0.8111119,538,289,520,495,0.04134384,0.03128354,-0.07105439,-1.542286,3.096356,0.01768019,0.06960945,0.01596712,-0.006927375,-0.2784378,2.585227,3.113428
90,0.8222231,538,289,520,495,0.04670061,0.02698147,-0.07631354,-1.542435,3.095622,0.01694623,0.07184552,0.02873541,0.0005249791,-0.2777815,2.584656,3.113137
90,0.8333342,538,289,520,495,0.04885676,0.02907517,-0.0805992,-1.542773,3.094491,0.01610254,0.07622212,0.03296081,0.01221677,-0.2775072,2.582541,3.114352
90,0.8444453,609,298,485,492,0.05099598,0.02481406,-0.07948975,-1.54273,3.093654,0.0154719,0.06454653,0.04150877,0.01447536,-0.2768063,2.581662,3.114814
90,0.8555565,609,298,485,492,0.05205245,0.02169007,-0.07200103,-1.54292,3.09305,0.01489186,0.05605492,0.05538256,0.01351802,-0.2757639,2.581272,3.114724
