loc,t,aDotS,bDotS,gDotS,aS,bS,gS,aDotE,bDotE,gDotE,aE,bE,gE,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH,aDotUB,bDotUB,gDotUB,aUB,bUB,gUB,xHand,yHand,zHand,aHand,bHand,gHand
7,0.1555556,-0.1186881,-0.006935145,-0.03670326,-1.239053,3.475328,-2.901076,-0.1130114,0.02092709,-0.005089004,-1.29556,3.603675,1.407041,-0.1146024,0.00188145,0.06283134,-0.4572823,3.616933,-0.2801957,-0.08211233,0.08889251,0.002040297,-0.8627241,1.628233,-0.07391471,0.1882219,1.127356,0.7068859,292.9132,325.571,21.69774
7,0.1666667,-0.1027952,0.06234594,-0.03400955,-1.239719,3.472129,-2.899153,-0.1072827,-0.01742408,0.03747584,-1.296657,3.601765,1.408406,-0.07073063,0.03365752,0.07104817,-0.456665,3.621433,-0.2851244,-0.08538479,0.07935202,-0.004414949,-0.86322,1.628731,-0.07325158,0.1881666,1.1282,0.7071023,292.5536,325.8949,21.27091
7,0.1777778,-0.09957398,0.08886585,-0.04805781,-1.239347,3.470011,-2.897292,-0.1103229,-0.02274811,0.05561415,-1.296707,3.600518,1.410054,0.01368239,0.0588698,0.08735184,-0.4557931,3.626395,-0.2926438,-0.08652674,0.0730391,-0.01616974,-0.8639076,1.629521,-0.07276369,0.1885445,1.129482,0.7070211,292.1324,326.1923,20.81907
7,0.1888889,-0.01956564,0.06001551,-0.06772019,-1.238071,3.470157,-2.899586,-0.2178539,0.0261252,0.07142379,-1.294519,3.599529,1.4162,0.0445832,0.05449354,0.08915138,-0.4551454,3.628172,-0.2957185,-0.08989588,0.0539832,-0.03331563,-0.8648168,1.629332,-0.07151999,0.1888727,1.130908,0.7068858,291.9056,326.3548,20.58738
7,0.2,0.08176926,0.01732207,-0.08932658,-1.236065,3.471069,-2.904336,-0.3299631,0.1144051,0.05424511,-1.290513,3.599967,1.423402,0.04979771,0.02251669,0.08896948,-0.4539497,3.627007,-0.2954359,-0.08463934,0.04654,-0.04083214,-0.8655396,1.629683,-0.07098043,0.1892835,1.132818,0.7067083,291.8353,326.0405,20.97169
7,0.2111111,0.1532792,-0.01264266,-0.1143557,-1.233648,3.471784,-2.908989,-0.417127,0.1185555,0.07839896,-1.288693,3.598426,1.431485,0.02620357,-0.02533154,0.08902067,-0.4523427,3.623742,-0.2920247,-0.08250603,0.04651603,-0.03978859,-0.8661601,1.630245,-0.0705008,0.1895954,1.135026,0.7065604,291.7607,326.0078,21.02361
7,0.2222222,0.1597721,0.02861267,-0.1508949,-1.231161,3.469103,-2.910088,-0.4521381,0.1057257,0.09467322,-1.288049,3.59683,1.437606,0.00281623,-0.02952818,0.094565,-0.4510718,3.623532,-0.2912079,-0.09096719,0.05940428,-0.04714482,-0.8670086,1.63181,-0.07020412,0.1898916,1.137183,0.7065898,291.4722,326.4565,20.44821
7,0.2333333,0.1523249,0.04878633,-0.1585511,-1.229681,3.466936,-2.910049,-0.5235904,0.170623,0.0952683,-1.28392,3.596161,1.445896,0.0351191,0.02249416,0.1104373,-0.4498979,3.628642,-0.2969004,-0.1015172,0.07760855,-0.05234846,-0.8680712,1.63361,-0.06984353,0.1900219,1.139527,0.7067267,290.831,327.5371,19.1338
7,0.2444444,0.1130987,0.07173888,-0.2121692,-1.22597,3.464185,-2.909205,-0.5715937,0.1993222,0.09140009,-1.280764,3.595706,1.453878,0.09812368,0.072352,0.1078822,-0.4494233,3.634809,-0.3055658,-0.1078901,0.07869899,-0.05020005,-0.8686901,1.634628,-0.06916576,0.1903612,1.142368,0.706935,290.0747,328.9575,17.50369
7,0.2555556,0.09949917,0.01167591,-0.2585941,-1.22145,3.465021,-2.910187,-0.6453096,0.2503658,0.07390122,-1.276407,3.59592,1.463419,0.1109023,0.07657894,0.1056455,-0.4486372,3.63825,-0.3104061,-0.1015743,0.06693989,-0.05028708,-0.8692685,1.635019,-0.06849304,0.1905495,1.14613,0.7075199,289.4623,330.7856,15.51786
7,0.2666667,0.09223405,-0.03974955,-0.2922833,-1.216708,3.46616,-2.911448,-0.7030852,0.295037,0.04987824,-1.271714,3.596691,1.472939,0.08333759,0.05315242,0.1271342,-0.4465876,3.639432,-0.3115608,-0.08788377,0.04558389,-0.05791861,-0.8703061,1.634481,-0.06769676,0.1908767,1.149498,0.7080713,289.0343,332.1351,14.01994
7,0.2777778,0.07014474,-0.1052131,-0.3461442,-1.210634,3.468503,-2.912341,-0.8078176,0.3907895,0.02411643,-1.26415,3.59811,1.48516,0.03793438,0.02968294,0.1754375,-0.4431095,3.641483,-0.3124855,-0.07846156,0.02427749,-0.067664,-0.8714774,1.63386,-0.06670126,0.190997,1.153837,0.7091104,288.627,333.1825,12.85396
7,0.2888889,0.01710153,-0.1291124,-0.395163,-1.204281,3.469352,-2.911131,-0.9091651,0.4663013,0.01857731,-1.256592,3.598536,1.498464,0.01454186,0.008411154,0.1873048,-0.4405321,3.641834,-0.3121736,-0.08064193,0.01466992,-0.06345144,-0.8719924,1.633569,-0.06551882,0.1901375,1.157886,0.7100403,288.2066,333.2588,12.73246
7,0.3,-0.03181633,-0.1144789,-0.4220986,-1.198996,3.468771,-2.908871,-0.9932922,0.5205312,0.03101006,-1.248936,3.598102,1.512453,-0.0121184,-0.01601825,0.1928042,-0.4378572,3.640792,-0.3100156,-0.07752396,0.00509588,-0.06991483,-0.8730534,1.633098,-0.06448258,0.1901779,1.16261,0.7113461,287.7677,333.1801,12.69418
7,0.3111111,-0.1137683,-0.06051008,-0.4559052,-1.193234,3.465784,-2.903604,-1.072811,0.5353407,0.07960534,-1.2423,3.595814,1.527746,-0.03515522,-0.05023147,0.2450932,-0.4332713,3.640237,-0.3081994,-0.07436865,-0.0002385043,-0.07208581,-0.87392,1.632774,-0.06356513,0.1897855,1.167979,0.7128704,287.2055,332.4285,13.22758
7,0.3222222,-0.2287146,0.02631016,-0.5071632,-1.181797,3.458765,-2.892408,-1.201157,0.5821605,0.149816,-1.227837,3.590351,1.560179,-0.05080494,-0.03537522,0.2730051,-0.4267268,3.644363,-0.3105009,-0.07849235,0.0156825,-0.05813508,-0.8748905,1.633776,-0.06222982,0.1887,1.178879,0.7162358,285.9557,332.6169,12.46473
7,0.3333333,-0.2553222,0.04005001,-0.5169734,-1.176082,3.456037,-2.887444,-1.262817,0.6011529,0.1717675,-1.220382,3.58734,1.577179,-0.06470536,-0.02890496,0.2657135,-0.424135,3.646176,-0.3109062,-0.08590867,0.01888961,-0.05170257,-0.875218,1.634217,-0.06126762,0.1883304,1.185088,0.7183577,285.1731,333.3317,11.37996
7,0.3444445,-0.3607371,0.1089339,-0.5467261,-1.17031,3.449861,-2.876967,-1.347776,0.6159578,0.2065586,-1.212942,3.583207,1.597109,-0.0903075,-0.02027334,0.2596111,-0.4217446,3.648484,-0.3110386,-0.07426677,-0.004780512,-0.02630391,-0.8743536,1.632785,-0.06001141,0.1864076,1.192081,0.720856,284.0101,335.0294,9.17592
7,0.3555556,-0.4235467,0.1194004,-0.5609114,-1.164247,3.446211,-2.86834,-1.428642,0.6584779,0.2242844,-1.203985,3.579436,1.617483,-0.1410751,-0.02238107,0.297401,-0.4169903,3.651288,-0.3098234,-0.07113019,-0.006848779,-0.04230137,-0.8754562,1.632307,-0.05904734,0.1847148,1.198986,0.7233015,283.0906,335.9836,7.848448
7,0.3666667,-0.5214675,0.1318719,-0.586976,-1.157506,3.441772,-2.85665,-1.496787,0.7116582,0.2365725,-1.194075,3.5755,1.638349,-0.1673716,-0.04588687,0.3391131,-0.4115031,3.652158,-0.3076561,-0.08292512,-0.006618053,-0.06889895,-0.877323,1.632096,-0.05750937,0.1839581,1.206236,0.7258852,282.2266,336.6166,6.887573
7,0.3777778,-0.6342846,0.1559757,-0.6206476,-1.150577,3.436531,-2.843045,-1.555252,0.736089,0.2551709,-1.185495,3.571018,1.659077,-0.1863413,-0.07364857,0.3700843,-0.4057885,3.651128,-0.3037681,-0.08726682,-0.01183894,-0.08383127,-0.8788123,1.631406,-0.05588537,0.1820165,1.213538,0.7286158,281.3441,336.3222,6.815677
7,0.3888889,-0.7397224,0.1972805,-0.6373973,-1.144379,3.429871,-2.828041,-1.626464,0.7700877,0.2802647,-1.176099,3.565559,1.681898,-0.2033828,-0.115191,0.3849973,-0.400296,3.64755,-0.2975571,-0.08407824,-0.004290994,-0.1029724,-0.880774,1.631569,-0.05517457,0.1809112,1.221659,0.7315712,280.5421,335.1105,7.621296
7,0.4,-0.8366333,0.2300846,-0.6529675,-1.138249,3.423264,-2.812351,-1.673305,0.7870826,0.2859817,-1.167212,3.560676,1.704046,-0.2451833,-0.1874895,0.3851284,-0.3945526,3.637812,-0.284142,-0.07237186,0.003201108,-0.123205,-0.882954,1.631774,-0.05500945,0.1795902,1.229794,0.7343567,279.821,333.0947,9.320045
7,0.4111111,-0.8898704,0.2448336,-0.6650245,-1.131919,3.41687,-2.797666,-1.723305,0.8040649,0.2970488,-1.158185,3.55507,1.727545,-0.2912353,-0.2459089,0.3821553,-0.3892695,3.627526,-0.2695143,-0.07555047,0.009657156,-0.1316842,-0.8847836,1.631979,-0.05415804,0.17836,1.237916,0.7371839,279.075,331.332,10.78227
7,0.4222222,-0.9367278,0.2585506,-0.6738394,-1.125868,3.410432,-2.78264,-1.748818,0.8115048,0.3036756,-1.14957,3.549337,1.750146,-0.3232526,-0.2681711,0.384515,-0.384136,3.620702,-0.2582366,-0.08829011,0.0150474,-0.1284199,-0.8860816,1.632412,-0.05291115,0.1764395,1.246155,0.7400444,278.2488,329.7896,11.98709
7,0.4333333,-1.02087,0.2647996,-0.6816862,-1.119643,3.403875,-2.764754,-1.769075,0.8253295,0.303845,-1.140592,3.543588,1.773214,-0.3422253,-0.253256,0.3996726,-0.3789002,3.618145,-0.2513369,-0.1234671,0.01098558,-0.1251505,-0.8874489,1.632134,-0.0498629,0.1745727,1.254646,0.7430105,277.3195,329.1346,12.23625
