loc,t,aDotS,bDotS,gDotS,aS,bS,gS,aDotE,bDotE,gDotE,aE,bE,gE,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH,aDotUB,bDotUB,gDotUB,aUB,bUB,gUB,xHand,yHand,zHand,aHand,bHand,gHand
3,0,-0.5903127,-0.2742702,0.08989072,-1.346567,3.366623,-2.953161,0.1809828,-0.02909285,-0.3179079,-1.396374,3.476232,1.485032,-0.3296507,0.2634907,-0.1255739,-0.4788619,3.533826,-0.220799,-0.02152553,0.2448118,-0.01228845,-0.9043238,1.618582,-0.07075087,0.1970216,1.1335,0.6962845,279.1309,5.074738,343.5181
3,0.01111111,-0.59671,-0.2581,0.10567,-1.347783,3.369401,-2.947001,0.1959157,-0.03229836,-0.3158903,-1.397532,3.479843,1.481687,-0.3139918,0.2956685,-0.1745435,-0.4835235,3.541138,-0.2244499,-0.02602736,0.2019131,0.05247476,-0.9013543,1.619163,-0.07082517,0.1951391,1.13238,0.6982684,279.2679,6.74146,341.7361
3,0.02222222,-0.60203,-0.2506233,0.1066356,-1.348408,3.372284,-2.940578,0.2097872,-0.02376994,-0.3117312,-1.397919,3.483197,1.478287,-0.3011191,0.3019685,-0.1682359,-0.4859108,3.547797,-0.2274654,-0.04139857,0.1280877,0.1416181,-0.8964972,1.618065,-0.06914951,0.1936604,1.131348,0.700386,279.4042,6.600229,341.7901
3,0.03333334,-0.596626,-0.2080565,0.1040241,-1.349317,3.373448,-2.934284,0.2323118,-0.0162819,-0.2895211,-1.398028,3.485691,1.474413,-0.2933253,0.2728945,-0.120533,-0.4859853,3.552273,-0.2284721,-0.06931122,0.0929606,0.1840933,-0.8927448,1.618019,-0.06741633,0.1921415,1.130309,0.7024912,279.5339,4.95391,343.1857
3,0.04444445,-0.5614175,-0.1686314,0.1100315,-1.350595,3.374292,-2.929332,0.2337218,-0.06635432,-0.2447466,-1.401246,3.486582,1.47165,-0.2919532,0.2096816,-0.06019265,-0.4846426,3.553424,-0.2262837,-0.1191773,0.1146344,0.1949351,-0.8903933,1.620873,-0.0661428,0.1908141,1.129541,0.7043754,279.677,2.231436,345.5855
3,0.05555556,-0.4868781,-0.1847208,0.1114503,-1.351358,3.377206,-2.926951,0.2008409,-0.07915165,-0.2253444,-1.402826,3.488742,1.470191,-0.3152591,0.1466832,-0.01879737,-0.4835331,3.553202,-0.2217833,-0.1208557,0.1755199,0.1654127,-0.8898479,1.626208,-0.06805921,0.189169,1.12893,0.7060741,279.8716,359.1207,348.4926
3,0.06666667,-0.4282977,-0.1933903,0.1074193,-1.351895,3.379964,-2.924703,0.1326936,-0.0568209,-0.2184883,-1.40293,3.490966,1.470666,-0.3749088,0.1116784,-0.002466634,-0.4830276,3.553638,-0.2159997,-0.1340672,0.2741557,0.0636472,-0.8936237,1.634889,-0.07158177,0.188235,1.128898,0.7076865,280.0314,357.8516,349.5784
3,0.07777778,-0.3419959,-0.1904262,0.1001127,-1.352265,3.382333,-2.924403,0.07091317,-0.04408008,-0.2169997,-1.403193,3.493525,1.47128,-0.410034,0.09685689,0.007360481,-0.482951,3.555519,-0.2119479,-0.1709688,0.3300832,0.01924086,-0.8954666,1.641928,-0.07305583,0.1868533,1.128873,0.7089455,280.085,358.9373,348.3075
3,0.08888889,-0.2748678,-0.1755667,0.1054136,-1.353334,3.384255,-2.924127,0.03688208,-0.0515541,-0.2092969,-1.404212,3.495506,1.471732,-0.423867,0.1150607,0.001204669,-0.4834937,3.559305,-0.2100478,-0.20044,0.3740208,0.01631403,-0.8958059,1.649197,-0.07434454,0.1857111,1.128997,0.7101698,280.0934,2.30162,344.7399
3,0.1,-0.2183608,-0.1564338,0.1095791,-1.354547,3.385571,-2.924045,-0.0259809,-0.05586538,-0.2120548,-1.405401,3.498044,1.473505,-0.3973101,0.1673293,-0.02962914,-0.4857553,3.566613,-0.2132268,-0.229846,0.419963,0.03896645,-0.8948717,1.657026,-0.07577572,0.18439,1.129146,0.7112545,280.1792,5.238406,341.6335
3,0.1111111,-0.1597923,-0.1800513,0.1025251,-1.354873,3.388513,-2.924852,-0.07720117,-0.06016988,-0.2244742,-1.406512,3.500956,1.475774,-0.3002073,0.280037,-0.06182782,-0.4890682,3.580384,-0.2253458,-0.242661,0.4092518,0.07195929,-0.8932892,1.662638,-0.07615948,0.1828348,1.129706,0.7121155,280.3476,8.40383,338.4026
3,0.1222222,-0.1587684,-0.2303768,0.08181809,-1.354297,3.3929,-2.923775,-0.1521626,-0.03469689,-0.2772416,-1.406404,3.50628,1.479443,-0.2445602,0.314896,-0.05042267,-0.4903492,3.589957,-0.2329645,-0.2599254,0.3740313,0.1133625,-0.8907017,1.666498,-0.07524522,0.1815023,1.130675,0.7128658,280.5275,11.04652,335.754
3,0.1333333,-0.1747548,-0.2485852,0.07134422,-1.353986,3.396382,-2.922031,-0.1619805,-0.008098543,-0.3070323,-1.406134,3.51095,1.480516,-0.2410286,0.3520468,-0.02999506,-0.4910954,3.600353,-0.2392118,-0.2738971,0.3505131,0.1526853,-0.8878942,1.670406,-0.07447104,0.1800552,1.131331,0.713863,280.5981,13.11797,333.5768
3,0.1444445,-0.1960325,-0.2744506,0.04391558,-1.352771,3.400447,-2.919893,-0.1909624,0.06217369,-0.3313831,-1.403416,3.515889,1.482859,-0.265926,0.3933828,0.02374889,-0.4904818,3.613574,-0.2470497,-0.2935354,0.2832959,0.2056479,-0.8839298,1.671908,-0.0714891,0.1787569,1.132698,0.7150534,280.5281,14.91936,331.5909
3,0.1555556,-0.2012592,-0.273916,-0.001912858,-1.350576,3.403137,-2.917938,-0.2304156,0.1090167,-0.3311415,-1.401242,3.519792,1.486022,-0.2723744,0.3991835,0.1293073,-0.4869329,3.625513,-0.2543018,-0.2972455,0.2193697,0.2127911,-0.8814046,1.672529,-0.0684704,0.177481,1.134289,0.7164391,280.3387,15.33484,330.914
3,0.1666667,-0.1671482,-0.3084987,-0.03870644,-1.348091,3.407349,-2.918113,-0.3241404,0.1707483,-0.3220033,-1.397596,3.523444,1.492048,-0.2799129,0.3622838,0.2506115,-0.4810404,3.635205,-0.2595751,-0.2868273,0.1937629,0.20305,-0.8799121,1.674443,-0.06680646,0.1762242,1.136471,0.7180339,280.148,13.9925,332.0309
3,0.1777778,-0.09563683,-0.393222,-0.166453,-1.340783,3.413331,-2.921125,-0.4724022,0.2771661,-0.337025,-1.391409,3.528367,1.5015,-0.3111336,0.2968045,0.3581145,-0.4744635,3.64183,-0.2610734,-0.2729702,0.2132533,0.1168292,-0.8817157,1.678414,-0.06677797,0.1748183,1.139573,0.7200258,280.0285,12.93668,332.752
