loc,t,aDotS,bDotS,gDotS,aS,bS,gS,aDotE,bDotE,gDotE,aE,bE,gE,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH,aDotUB,bDotUB,gDotUB,aUB,bUB,gUB,xHand,yHand,zHand,aHand,bHand,gHand
6,0,-0.9321817,-0.05769514,0.1519859,-1.327186,3.375961,-3.005468,-0.158598,-0.08670113,-0.1275212,-1.381426,3.481523,1.480902,-0.8856504,0.1013379,-0.03395312,-0.4789264,3.543645,-0.208019,-0.2165197,0.3441441,0.04954378,-0.8900647,1.658261,-0.07301855,0.2007461,1.139662,0.6973691,276.5497,355.0281,350.0313
6,0.01111111,-0.8299696,-0.1313711,0.1477941,-1.32816,3.380665,-3.001138,-0.1154056,-0.07075226,-0.205563,-1.382148,3.486458,1.479846,-0.7979997,0.2374811,-0.05971733,-0.4821115,3.558827,-0.2154428,-0.2469411,0.4051135,0.04887607,-0.8899965,1.666747,-0.07452244,0.1987769,1.13958,0.699506,276.4501,351.4731,353.3252
6,0.02222222,-0.6841141,-0.2648096,0.1369416,-1.328192,3.389221,-3.001112,-0.0773278,-0.06544855,-0.2505536,-1.38326,3.490911,1.478441,-0.746678,0.2756013,-0.05793105,-0.4837515,3.567702,-0.2170354,-0.2604388,0.4413217,0.07253639,-0.8888087,1.674621,-0.07620742,0.1962514,1.139452,0.7019823,276.1161,355.6862,348.7097
6,0.03333334,-0.5073847,-0.3383526,0.1510788,-1.32955,3.396185,-3.003236,-0.03289233,-0.09530285,-0.2987565,-1.385881,3.495637,1.476388,-0.5965017,0.3860143,-0.1047524,-0.4884291,3.583709,-0.2301445,-0.2657049,0.4455816,0.08109502,-0.8879997,1.681018,-0.07722767,0.1942791,1.139395,0.7032472,275.6039,10.40444,333.5066
6,0.04444445,-0.422201,-0.3307929,0.1682907,-1.331526,3.399914,-3.002002,-0.04888648,-0.113418,-0.3007833,-1.388201,3.498739,1.477018,-0.571006,0.4414547,-0.1334922,-0.4924718,3.596613,-0.2360847,-0.2720871,0.4456049,0.08644383,-0.8872119,1.687478,-0.07797629,0.1922221,1.139348,0.704892,275.5961,22.5009,321.1571
6,0.05555556,-0.3082639,-0.2900835,0.199065,-1.334537,3.40214,-3.00298,-0.09995195,-0.1347419,-0.288737,-1.391108,3.501196,1.479504,-0.5497475,0.5118591,-0.1663761,-0.49743,3.611073,-0.2429605,-0.2817412,0.4371578,0.08642914,-0.8866132,1.693462,-0.07827989,0.1908412,1.13932,0.7055225,276.0168,35.24383,308.2387
6,0.06666667,-0.2135004,-0.2311818,0.2349063,-1.33831,3.402983,-3.003694,-0.1380566,-0.1773411,-0.2479994,-1.394649,3.502217,1.482184,-0.5099815,0.5574266,-0.1516373,-0.500474,3.626391,-0.25184,-0.2851676,0.4127549,0.07141052,-0.8865152,1.698303,-0.07814381,0.1898117,1.139235,0.706036,276.337,37.09992,306.3683
6,0.07777778,-0.143189,-0.1478514,0.2618771,-1.342288,3.402367,-3.004322,-0.1495645,-0.1997009,-0.2138309,-1.397749,3.503161,1.484112,-0.420041,0.5749685,-0.1173454,-0.502367,3.64012,-0.2624021,-0.2831424,0.4053612,0.05538787,-0.8868002,1.703801,-0.07852064,0.1893279,1.139167,0.7065582,276.3778,33.85526,309.6453
6,0.08888889,-0.09518172,-0.07006988,0.2675381,-1.345657,3.40107,-3.004213,-0.1215535,-0.2359142,-0.1639296,-1.401749,3.503023,1.484307,-0.311938,0.5411652,-0.05688471,-0.5023782,3.650764,-0.2718595,-0.2789303,0.4010936,0.05002776,-0.8867767,1.709417,-0.07910174,0.1888891,1.138968,0.7069457,276.2435,29.29048,314.2454
6,0.1,-0.05675334,-0.01586822,0.2595854,-1.348465,3.399838,-3.004499,-0.07422194,-0.2369635,-0.09071366,-1.404163,3.501267,1.483745,-0.2163973,0.4998318,0.02603683,-0.5005646,3.660454,-0.2814634,-0.2695959,0.3690622,0.04984334,-0.8863596,1.713259,-0.07892544,0.1883477,1.138621,0.7073168,276.1258,27.8721,315.5762
6,0.1111111,0.006250903,0.04977691,0.2292036,-1.350256,3.397284,-3.005909,-0.01316828,-0.2188421,-0.03783061,-1.405728,3.499661,1.482129,-0.1651189,0.4643162,0.05300549,-0.5002865,3.669247,-0.2888632,-0.2487943,0.3092966,0.03882197,-0.8865088,1.714868,-0.07782049,0.1882124,1.138091,0.7074566,275.9295,26.43649,316.9471
