loc,t,aDotS,bDotS,gDotS,aS,bS,gS,xS,yS,zS,qE,qDotE,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH,xSH,ySH,zSH,aDotUB,bDotUB,gDotUB,aUB,bUB,gUB,xUB,yUB,zUB,xHand,yHand,zHand,aHand,bHand,gHand,enable
4,0.1333333,-0.2663619,-0.5331305,0.3815927,-1.463485,-4.679265,-2.985033,0.3306681,1.196135,0.4602571,-1.57568,0.005298304,-0.2776254,0.2598908,0.3099263,-0.757876,-3.523607,-0.570974,0.3022876,1.404514,0.3645508,-0.2011965,0.156018,0.001541995,-0.9885356,0.6665276,-0.2180197,0.4497916,1.50717,0.2438586,0.04716098,1.125874,0.3678815,286.5953,262.6765,351.0479,False
4,0.1444445,-0.3081742,-0.4914582,0.4162627,-1.468614,-4.67433,-2.980716,0.3295999,1.196309,0.4592392,-1.575314,0.03359104,-0.2457459,0.2408369,0.2925985,-0.7567974,-3.519138,-0.5724313,0.3022377,1.404946,0.3640885,-0.2055325,0.1389862,-0.006968331,-0.9891028,0.6676093,-0.2161605,0.4501924,1.507208,0.2436662,0.04639227,1.127212,0.3653234,286.343,263.1578,350.3661,False
4,0.1555556,-0.3509786,-0.4573036,0.4392953,-1.473847,-4.669292,-2.975811,0.328596,1.196583,0.4583611,-1.575284,0.002427809,-0.2129304,0.1803028,0.2432305,-0.7558174,-3.518283,-0.5717072,0.3023851,1.405358,0.3636992,-0.201427,0.1038741,-0.026211,-0.98998,0.6677247,-0.2143166,0.4507612,1.507177,0.2433264,0.04566263,1.128717,0.3627898,286.1335,263.9482,349.3907,False
4,0.1666667,-0.392553,-0.4328909,0.4368097,-1.478075,-4.664296,-2.970547,0.3274811,1.196874,0.4574497,-1.574265,0.09341584,-0.2013403,0.1239383,0.2036384,-0.7547563,-3.518016,-0.5699801,0.3026486,1.405783,0.3634179,-0.1845948,0.06661688,-0.05195583,-0.9913335,0.6669146,-0.2124723,0.4513448,1.507277,0.243237,0.04489245,1.130361,0.3601796,285.9008,264.6973,348.4349,False
4,0.1777778,-0.4234117,-0.4138386,0.4258676,-1.481702,-4.659535,-2.965342,0.326394,1.197003,0.4565511,-1.573857,0.03663805,-0.1918637,0.1048352,0.1832975,-0.7538307,-3.515836,-0.5695471,0.3028466,1.406163,0.3630719,-0.197541,0.01656161,-0.0679012,-0.9922224,0.6647891,-0.208493,0.4520168,1.507229,0.2430024,0.04409014,1.132173,0.3574754,285.687,265.4832,347.3605,False
4,0.1888889,-0.4509847,-0.4086969,0.4022776,-1.4849,-4.654384,-2.959898,0.3252954,1.197191,0.4558885,-1.573832,0.002278337,-0.1769291,0.08358172,0.1778175,-0.7524506,-3.514153,-0.5693154,0.3032447,1.406634,0.3628826,-0.1975527,-0.01646443,-0.06687251,-0.9925367,0.6632572,-0.2054248,0.4526294,1.507306,0.2429068,0.04327593,1.134203,0.35469,285.4603,266.1736,346.3195,False
4,0.2,-0.4796903,-0.3896638,0.3881482,-1.487893,-4.650121,-2.954232,0.3242484,1.197364,0.4551573,-1.574277,-0.04034881,-0.169304,0.07185802,0.1958592,-0.7502871,-3.511186,-0.569799,0.3037187,1.407189,0.3626678,-0.1965552,-0.06227744,-0.07226591,-0.993007,0.6602194,-0.2016695,0.453284,1.507352,0.2426898,0.04241484,1.136452,0.3518484,285.1377,266.5713,345.5317,False
4,0.2111111,-0.5296847,-0.3536734,0.3631682,-1.490702,-4.646843,-2.946925,0.3232132,1.197554,0.4545312,-1.574383,-0.009063262,-0.1423915,0.0559078,0.227585,-0.7474087,-3.508021,-0.5712422,0.3042127,1.407668,0.3625326,-0.196537,-0.09105243,-0.06589778,-0.9929948,0.6579692,-0.198055,0.4538589,1.507377,0.2423179,0.04157445,1.138847,0.3490223,284.6964,266.803,344.8548,False
4,0.2222222,-0.594623,-0.3113031,0.3423068,-1.493367,-4.644191,-2.938486,0.322173,1.197833,0.4540756,-1.574544,-0.01453064,-0.1295363,0.04528303,0.2327937,-0.7451589,-3.505638,-0.5720153,0.3047915,1.408132,0.3623493,-0.1656062,-0.1241029,-0.05871633,-0.9929127,0.6550195,-0.1956276,0.4545556,1.50743,0.2420886,0.04078395,1.14131,0.346297,284.2203,267.0196,344.1553,False
4,0.2333333,-0.6541607,-0.2551507,0.3054375,-1.495602,-4.642761,-2.929635,0.3211274,1.198338,0.453836,-1.573326,0.1117078,-0.1134769,-0.004721403,0.2251306,-0.7423348,-3.505931,-0.5708904,0.3053909,1.408757,0.3622668,-0.152859,-0.1475453,-0.0609688,-0.993161,0.6520362,-0.1926661,0.4552703,1.507477,0.2417707,0.03999668,1.143777,0.3437681,283.7514,267.2673,343.4419,False
