loc,t,aDotS,bDotS,gDotS,aS,bS,gS,xS,yS,zS,qE,qDotE,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH,xSH,ySH,zSH,aDotUB,bDotUB,gDotUB,aUB,bUB,gUB,xUB,yUB,zUB,xHand,yHand,zHand,aHand,bHand,gHand,enable
3,0,-0.02040433,-0.7054737,0.2850373,-1.415258,1.505128,-2.98101,0.3416048,1.220333,0.4507923,-1.516288,0.01657213,-0.5612425,0.3697389,0.04256392,-0.68095,-3.562531,-0.5683671,0.3078256,1.42268,0.3438754,-0.2831504,0.6352592,-0.02553672,-0.9627844,0.5587619,-0.1270552,0.4566841,1.512604,0.2151277,0.05181577,1.135555,0.3968756,289.1414,259.6198,2.74574,False
3,0.01111111,-0.02040433,-0.7054737,0.2850373,-1.415258,1.505128,-2.98101,0.3416048,1.220333,0.4507923,-1.515955,0.03028766,-0.5612425,0.3697389,0.04256392,-0.68095,-3.562531,-0.5683671,0.3078256,1.42268,0.3438754,-0.2831504,0.6352592,-0.02553672,-0.9627844,0.5587619,-0.1270552,0.4566841,1.512604,0.2151277,0.0503507,1.135175,0.3950468,288.6815,263.5151,358.6306,False
3,0.02222222,-0.02040433,-0.7054737,0.2850373,-1.415258,1.505128,-2.98101,0.3416048,1.220333,0.4507923,-1.516514,-0.05124502,-0.5612425,0.3697389,0.04256392,-0.68095,-3.562531,-0.5683671,0.3078256,1.42268,0.3438754,-0.2831504,0.6352592,-0.02553672,-0.9627844,0.5587619,-0.1270552,0.4566841,1.512604,0.2151277,0.04931737,1.134518,0.3924096,288.7747,263.9955,357.3802,False
3,0.03333334,-0.04926483,-0.6627952,0.301751,-1.422243,1.528039,-2.982048,0.3376238,1.218833,0.449513,-1.516598,-0.007230245,-0.4609262,0.2847471,0.03954823,-0.6840473,-3.551463,-0.5638985,0.3054833,1.421822,0.3429356,-0.2193542,0.5329967,-0.03687485,-0.9663535,0.5774825,-0.1317737,0.456442,1.51238,0.2169619,0.04907767,1.133804,0.3897269,289.062,262.9543,357.2714,False
3,0.04444445,-0.05355362,-0.6478619,0.3059161,-1.424704,1.535185,-2.982326,0.3362771,1.218368,0.4490669,-1.51437,0.2037279,-0.4513089,0.2762516,0.0405288,-0.685177,-3.547206,-0.5625315,0.3045563,1.421652,0.3425927,-0.2087178,0.5117008,-0.04019562,-0.9676319,0.5833496,-0.1332025,0.4563736,1.512305,0.217556,0.04875052,1.133106,0.3873413,289.1609,262.8602,356.881,False
3,0.05555556,-0.05040275,-0.5786113,0.3066005,-1.429756,1.546466,-2.983325,0.334574,1.217691,0.4480562,-1.515898,-0.141314,-0.3820047,0.2391427,0.03572021,-0.6866822,-3.541086,-0.5613227,0.3035702,1.42139,0.3421063,-0.1894717,0.404058,-0.02561449,-0.9683488,0.589509,-0.132986,0.4563842,1.512026,0.2181435,0.04711853,1.132207,0.3839677,289.0972,264.0419,355.9895,False
3,0.06666667,-0.05042778,-0.5658103,0.309727,-1.432382,1.552713,-2.983628,0.3334855,1.217306,0.4475887,-1.515649,0.02423836,-0.3671524,0.2317486,0.02388448,-0.6880788,-3.538275,-0.5600532,0.3030268,1.421266,0.3418741,-0.1829872,0.3731406,-0.01293549,-0.9683552,0.5930277,-0.1332244,0.4564177,1.511975,0.2184868,0.04548417,1.13125,0.3795591,289.1844,264.2029,355.4243,False
3,0.07777778,-0.04834826,-0.5136095,0.3115821,-1.435369,1.556874,-2.983819,0.3329977,1.216963,0.4470372,-1.516772,-0.1029873,-0.3426161,0.2232755,0.02477932,-0.6888016,-3.535011,-0.5598226,0.3027015,1.421227,0.341748,-0.1595231,0.326248,-0.005726784,-0.968246,0.5953158,-0.1335077,0.4564862,1.511898,0.2188439,0.04408496,1.130344,0.3743159,289.3671,263.9772,354.6448,False
3,0.08888889,-0.04625455,-0.4869624,0.3178472,-1.438501,1.562409,-2.984086,0.3321738,1.216712,0.4464722,-1.516491,0.02653475,-0.3158461,0.2115749,0.03950007,-0.6887137,-3.531549,-0.5602465,0.3023723,1.421187,0.3415692,-0.1392691,0.2900767,-0.008073352,-0.9688676,0.5981489,-0.1346119,0.4566105,1.511528,0.2186928,0.0436386,1.129671,0.3690228,289.5729,263.1027,353.9921,False
3,0.1,-0.04946944,-0.4465204,0.3122953,-1.441297,1.566543,-2.983996,0.3316129,1.216582,0.4461606,-1.516629,-0.01289814,-0.2955306,0.1839172,0.04143256,-0.688645,-3.529747,-0.5591147,0.3022532,1.421032,0.3414199,-0.1233335,0.2538486,-0.01144618,-0.9691722,0.5997873,-0.1346646,0.4567252,1.511388,0.2190008,0.04364021,1.129271,0.3643247,289.6881,262.3109,353.3191,False
