loc,t,aDotS,bDotS,gDotS,aS,bS,gS,xS,yS,zS,aDotE,bDotE,gDotE,aE,bE,gE,xE,yE,zE,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH,xSH,ySH,zSH,aDotUB,bDotUB,gDotUB,aUB,bUB,gUB,xUB,yUB,zUB,xHand,yHand,zHand,aHand,bHand,gHand
0,0,-0.03418674,-0.09598437,0.02017892,-1.520259,-4.682225,-2.730626,0.4491765,1.215529,0.4751732,-0.03066501,0.004209027,-0.1016226,-1.551707,-4.53727,1.656526,0.2671057,1.12004,0.4644253,-0.06880008,-0.01828439,-0.01786771,-0.538937,1.255383,0.5257629,0.482733,1.441575,0.4001286,-0.02145212,0.03227784,-0.04679899,-1.038651,0.1365906,0.134997,0.5650957,1.49393,0.2104623,0.06142887,1.145186,0.3997285,284.5415,195.7108,66.96317
0,0.01111111,-0.02555283,-0.09778733,0.01271281,-1.519341,-4.681057,-2.730715,0.4490355,1.215489,0.4750807,-0.02079144,0.01872832,-0.1051594,-1.551157,-4.536267,1.656391,0.2670249,1.120037,0.4642587,-0.09241969,0.01779752,-0.01638052,-0.5383947,1.257713,0.5255352,0.4828071,1.441507,0.4000843,-0.03749803,0.0291006,-0.05303647,-1.039434,0.1369808,0.135818,0.5653067,1.493796,0.2105653,0.06138344,1.14521,0.3993163,284.599,195.623,66.90223
0,0.02222222,-0.01845574,-0.1031759,-0.005771514,-1.518713,-4.680155,-2.73078,0.4489655,1.215507,0.4751763,-0.01244381,0.02607471,-0.09985675,-1.550172,-4.535291,1.65612,0.2669195,1.120208,0.4645028,-0.09243005,0.03372676,-0.007764664,-0.5377939,1.259078,0.5254169,0.4828137,1.441473,0.4001191,-0.04830918,0.028074,-0.06784164,-1.04067,0.1373258,0.1365821,0.5655114,1.493666,0.2105305,0.061436,1.1452,0.3989237,284.8432,195.0775,67.39554
0,0.03333334,-0.01629017,-0.1057417,-0.01317099,-1.518037,-4.678957,-2.730817,0.4488186,1.215422,0.475235,-0.008961287,0.03437739,-0.1025436,-1.549367,-4.534253,1.65603,0.2668642,1.120191,0.4644399,-0.083822,0.02948038,-0.001478165,-0.5376011,1.259289,0.5257668,0.4828528,1.441424,0.4001665,-0.04832659,0.03446401,-0.06888599,-1.041377,0.1380503,0.1367994,0.5657527,1.493534,0.2105298,0.06136182,1.145245,0.3983701,285.1057,194.5971,67.83665
0,0.04444445,-0.01077039,-0.09948052,-0.01712763,-1.517603,-4.678267,-2.730942,0.4487371,1.215394,0.475338,-0.002995915,0.03393181,-0.09317969,-1.548725,-4.533559,1.655848,0.2668234,1.120114,0.4643195,-0.07622183,0.0135049,0.004753134,-0.5375655,1.258383,0.5271432,0.4829348,1.441432,0.4001944,-0.04090714,0.05578217,-0.07208806,-1.042102,0.1397676,0.1361424,0.5659811,1.493446,0.210521,0.06142021,1.145315,0.3980821,285.4869,193.931,68.48254
0,0.05555556,-0.0004580924,-0.09062299,-0.009044617,-1.517259,-4.677649,-2.731171,0.4487426,1.215485,0.475358,0.003597296,0.0300049,-0.08373164,-1.548806,-4.532689,1.65553,0.2668679,1.120062,0.4645298,-0.06328119,-0.01200654,0.006617635,-0.5380091,1.256612,0.5289738,0.4830447,1.441431,0.4002376,-0.0344684,0.04192155,-0.06794186,-1.04274,0.1398849,0.1362199,0.5663089,1.493385,0.2105997,0.06149659,1.145478,0.3979209,285.8977,193.2682,69.13853
0,0.06666667,0.007629632,-0.08019997,-0.003411816,-1.517352,-4.676969,-2.731504,0.4487545,1.215552,0.4754894,0.01270419,0.02089439,-0.0767926,-1.54876,-4.532139,1.655146,0.2669221,1.119995,0.4644063,-0.06325614,-0.01839193,0.005514683,-0.5381988,1.255845,0.5303334,0.4831289,1.441418,0.4002831,-0.05239108,0.001379047,-0.05084167,-1.04289,0.1383218,0.138139,0.5664898,1.493305,0.2106862,0.06159243,1.145556,0.3976508,286.2328,192.6891,69.69966
0,0.07777778,0.01157852,-0.07785612,0.0009113681,-1.517429,-4.676382,-2.731762,0.4488135,1.215561,0.4756174,0.01432635,0.0118614,-0.07051073,-1.548693,-4.53129,1.65487,0.2670059,1.119932,0.4643526,-0.04942336,-0.005560935,0.01079166,-0.5377157,1.256389,0.5299387,0.483159,1.441394,0.4002724,-0.06814817,-0.002952944,-0.02938516,-1.0425,0.1381418,0.1395433,0.5667011,1.493201,0.2108743,0.06172437,1.145614,0.397422,286.4005,192.2853,70.00784
0,0.08888889,0.01181104,-0.0782181,0.003238332,-1.517098,-4.675528,-2.732157,0.4488107,1.215581,0.4757323,0.01676426,0.01317557,-0.07211818,-1.548472,-4.530427,1.654642,0.2670727,1.119856,0.4642165,-0.04630994,0.0008762628,0.00547557,-0.5377306,1.256788,0.5300295,0.483292,1.441342,0.4002848,-0.06813172,0.03325845,-0.02713746,-1.042564,0.1401137,0.1392783,0.5668802,1.493093,0.2109487,0.06183334,1.145699,0.3971048,286.5517,191.9534,70.26871
0,0.1,0.00390897,-0.08494253,0.005429661,-1.516727,-4.67444,-2.732028,0.4489358,1.215526,0.4757431,0.01249594,0.01848283,-0.07980118,-1.548091,-4.529186,1.654736,0.2670795,1.119965,0.464226,-0.04748206,0.008370746,-0.001927858,-0.5377955,1.257697,0.5298135,0.4833663,1.441307,0.4003344,-0.0395762,0.06634964,-0.04650583,-1.043575,0.14244,0.137564,0.5671425,1.492988,0.2109978,0.06196014,1.145475,0.3962965,286.6239,191.8071,70.36562
0,0.1111111,-0.003015393,-0.08903898,-0.004653603,-1.516332,-4.673904,-2.731711,0.4490918,1.215406,0.4757042,0.004494204,0.02448761,-0.07415878,-1.547366,-4.528278,1.654868,0.2672158,1.120009,0.4643669,-0.04639407,-0.002248455,-0.006261189,-0.5382035,1.257301,0.5305986,0.4834633,1.441283,0.4003487,-0.02063681,0.05577623,-0.06910977,-1.045021,0.1428822,0.1370175,0.5674115,1.493052,0.2110858,0.06215443,1.145488,0.3960131,286.7196,191.5829,70.55164
