loc,t,aDotS,bDotS,gDotS,aS,bS,gS,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH,aDotUB,bDotUB,gDotUB,aUB,bUB,gUB,xHand,yHand,zHand,aHand,bHand,gHand
0,0,-0.0612985,-0.224883,0.06610005,-1.31267,-2.608815,-1.42647,-0.2222468,0.03355633,0.09044005,-0.537012,-1.366278,0.244859,-0.1161468,0.2053625,-0.05509302,-0.9447426,1.684435,1.896097,0.07410406,1.097975,0.7093988,286.5,294.0283,46.52381
0,0.01111111,-0.06611533,-0.2190324,0.06261481,-1.313143,-2.602046,-1.421318,-0.2175412,0.02642566,0.09079951,-0.5356703,-1.3633,0.2458609,-0.1140886,0.1989846,-0.06046448,-0.9448507,1.68714,1.89574,0.07154999,1.097049,0.710663,286.8703,293.2645,47.41998
0,0.02222222,-0.06515034,-0.2209488,0.05635924,-1.314514,-2.596187,-1.416052,-0.2144538,0.02671663,0.09764776,-0.5348602,-1.361217,0.2477778,-0.1205293,0.1947573,-0.0614948,-0.9448139,1.689813,1.896006,0.06916154,1.096121,0.7122336,287.1035,293.0216,47.69987
0,0.03333334,-0.0647671,-0.2299191,0.06384534,-1.315792,-2.591642,-1.410677,-0.224735,0.03154485,0.09814741,-0.5340171,-1.36162,0.2514986,-0.1236665,0.2054201,-0.06035706,-0.9446136,1.693064,1.895562,0.06676195,1.095134,0.713739,287.1577,292.927,47.72877
0,0.04444445,-0.06227177,-0.2254257,0.06769081,-1.316811,-2.586767,-1.40489,-0.2224737,0.03305362,0.09321743,-0.5336751,-1.360913,0.2549178,-0.1193798,0.2043353,-0.05720219,-0.9443862,1.696168,1.894864,0.06442589,1.094225,0.7152141,287.1151,293.0704,47.47666
0,0.05555556,-0.05882581,-0.2261281,0.07854169,-1.31791,-2.58262,-1.39886,-0.2276532,0.03869006,0.0862572,-0.5342067,-1.361567,0.2593067,-0.1150415,0.2117485,-0.05187676,-0.9439654,1.699317,1.89418,0.06173977,1.093395,0.7164214,286.8702,293.5378,46.8048
0,0.06666667,-0.05957812,-0.2298134,0.09038679,-1.319578,-2.58019,-1.392202,-0.2372243,0.04152997,0.08082958,-0.534155,-1.362627,0.264037,-0.1117894,0.2223884,-0.05079441,-0.9436251,1.702886,1.893293,0.05964149,1.092667,0.7178668,286.6075,294.0747,46.10509
0,0.07777778,-0.06558266,-0.2310158,0.1044723,-1.320953,-2.57678,-1.386507,-0.248616,0.03923698,0.07234874,-0.5337902,-1.363577,0.2684994,-0.1042933,0.2340779,-0.05398413,-0.9432331,1.706296,1.892134,0.05767834,1.091952,0.7187209,286.5015,294.599,45.61687
0,0.08888889,-0.06803646,-0.2260524,0.1059794,-1.32233,-2.573822,-1.38164,-0.2467792,0.03564425,0.06920835,-0.5336804,-1.363879,0.2723828,-0.1000592,0.2319368,-0.05615788,-0.9430829,1.709546,1.891225,0.05570915,1.091808,0.7200127,286.4627,295.4637,44.91695
0,0.1,-0.07095504,-0.2252834,0.1051744,-1.323101,-2.570587,-1.378073,-0.2466756,0.0328012,0.07017219,-0.533314,-1.364375,0.2762939,-0.1000966,0.2308783,-0.05937008,-0.9431713,1.71271,1.890621,0.05399653,1.091717,0.7212146,286.3565,296.4588,44.02402
0,0.1111111,-0.06927665,-0.214949,0.1004363,-1.323871,-2.567951,-1.374397,-0.2358095,0.03021765,0.06760567,-0.5330567,-1.366076,0.2811882,-0.09587733,0.2202008,-0.0583858,-0.9430802,1.715459,1.889949,0.05248638,1.092212,0.7224711,285.9175,298.3321,42.23931
0,0.1222222,-0.06455305,-0.2065739,0.09738155,-1.324607,-2.566523,-1.370839,-0.2262237,0.03137287,0.06451044,-0.5320378,-1.368307,0.2868155,-0.09268065,0.2116526,-0.05418942,-0.9428527,1.718305,1.88914,0.05138271,1.09305,0.7235447,285.2178,300.6545,39.89586
0,0.1333333,-0.06171962,-0.201383,0.09418842,-1.325088,-2.566626,-1.367479,-0.2193848,0.03170024,0.06404133,-0.5324644,-1.368738,0.2904888,-0.09162866,0.2052465,-0.05209566,-0.9426786,1.720974,1.888567,0.05066717,1.094138,0.7241589,284.5146,303.4158,37.1388
0,0.1444445,-0.05528527,-0.1982206,0.09704781,-1.326244,-2.570318,-1.362639,-0.2163019,0.0366964,0.06027428,-0.5327324,-1.368023,0.2927075,-0.0894661,0.2041379,-0.04571296,-0.9421604,1.723596,1.888143,0.05024827,1.096136,0.7251811,284.0612,305.6861,35.01063
0,0.1555556,-0.0434865,-0.1996345,0.1027382,-1.32822,-2.574226,-1.356292,-0.2160876,0.04863204,0.05693161,-0.5323643,-1.368589,0.2959512,-0.09041193,0.2072965,-0.03397086,-0.9414253,1.72661,1.887245,0.04982028,1.097978,0.7265362,283.5655,308.1968,32.61875
0,0.1666667,-0.03649564,-0.1947346,0.1057537,-1.331164,-2.582107,-1.348248,-0.2118911,0.05293237,0.05232289,-0.5323659,-1.368421,0.2979284,-0.08717561,0.2051225,-0.02761418,-0.9408575,1.729265,1.886554,0.04998067,1.100541,0.728242,282.7201,310.9279,29.91805
0,0.1777778,-0.04421936,-0.1925323,0.1215094,-1.333311,-2.587993,-1.344013,-0.2233707,0.04715201,0.0408751,-0.5332671,-1.368317,0.3002139,-0.07545705,0.2168092,-0.0329935,-0.940726,1.732709,1.885249,0.05065492,1.10381,0.7298108,281.8332,313.4096,27.52592
0,0.1888889,-0.035114,-0.1834179,0.1431195,-1.33401,-2.595929,-1.342152,-0.2279336,0.05536436,0.01842258,-0.5349465,-1.368416,0.301122,-0.05719639,0.2273203,-0.0203071,-0.9397672,1.735974,1.883505,0.0517806,1.107078,0.7314597,281.2502,314.6938,26.50016
0,0.2,-0.03016469,-0.1680895,0.1448127,-1.333451,-2.604669,-1.337237,-0.2172054,0.05382501,0.007707149,-0.5356448,-1.364449,0.2980019,-0.04548615,0.2187177,-0.01510964,-0.9390796,1.738539,1.882349,0.05338796,1.111405,0.7335694,280.7537,314.7915,26.67287
