loc,t,aDotS,bDotS,gDotS,aS,bS,gS,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH,aDotUB,bDotUB,gDotUB,aUB,bUB,gUB,xHand,yHand,zHand,aHand,bHand,gHand
2,0.1888889,-0.05060618,-0.1649523,0.09460393,-1.38456,-2.57357,-1.382349,-0.1921283,0.005502209,0.04214975,-0.5489553,-1.212252,0.2049025,-0.05478633,0.1805839,-0.05575003,-0.9587129,1.751947,1.913482,0.0387056,1.112141,0.7345873,284.5528,328.2789,16.63655
2,0.2,-0.01489836,-0.1377606,0.0926061,-1.383491,-2.576265,-1.382014,-0.1621957,0.03165479,0.02159512,-0.5477792,-1.208923,0.2024514,-0.04277042,0.1601133,-0.01761415,-0.9575363,1.753077,1.912963,0.03887573,1.11645,0.7346507,283.931,329.55,15.30899
2,0.2111111,0.001405565,-0.09253914,0.05206215,-1.379139,-2.579856,-1.379571,-0.09923392,0.03153603,0.02083373,-0.5471368,-1.206866,0.2003901,-0.03757199,0.09929976,-0.001960278,-0.9572977,1.752459,1.913695,0.03937327,1.121492,0.7352811,283.2724,331.1451,13.73375
2,0.2222222,-0.005280992,-0.06867474,0.02457934,-1.375491,-2.582921,-1.376734,-0.06598105,0.01645208,0.02690879,-0.5465105,-1.207061,0.2007512,-0.03569156,0.06310436,-0.009602336,-0.9576605,1.752296,1.914145,0.03972874,1.126116,0.7347994,282.8203,333.1078,11.89428
2,0.2333333,-0.01570334,-0.02884274,-0.0134663,-1.369511,-2.587689,-1.373842,-0.01554586,-0.007614844,0.03098678,-0.5464274,-1.207336,0.2007523,-0.02754,0.008775748,-0.02060036,-0.9589127,1.751059,1.914994,0.0407685,1.132209,0.7355283,282.4391,334.5431,10.63911
2,0.2444444,-0.03322079,0.01364161,-0.05525934,-1.363869,-2.592177,-1.370943,0.03722787,-0.03981235,0.03704553,-0.5471406,-1.206696,0.1990244,-0.01841367,-0.04977189,-0.03907689,-0.9604557,1.749351,1.915869,0.04222143,1.138388,0.7356847,282.1862,337.0851,8.13304
2,0.2555556,-0.04336575,0.05873114,-0.0877981,-1.356075,-2.598262,-1.367433,0.08758694,-0.06528053,0.03324788,-0.5485041,-1.20317,0.1938584,-0.002788804,-0.1030677,-0.04906845,-0.9620941,1.746764,1.916997,0.0440208,1.14508,0.7342007,282.0247,340.5885,4.646241
2,0.2666667,-0.01003492,0.1106638,-0.1001272,-1.347709,-2.605531,-1.364054,0.1408167,-0.05034582,0.002931487,-0.5492972,-1.198,0.1855776,0.02400599,-0.1470337,-0.01332039,-0.9622321,1.743568,1.917924,0.04573779,1.152752,0.7351382,281.8715,345.0224,0.134513
2,0.2777778,0.01691915,0.153252,-0.116356,-1.337904,-2.613462,-1.359488,0.1881998,-0.03963963,-0.01790767,-0.5487225,-1.194315,0.1792792,0.04327195,-0.1877307,0.01399573,-0.9624813,1.739621,1.919206,0.04773536,1.160553,0.7353836,281.7947,349.0877,356.042
2,0.2888889,0.01714938,0.2120123,-0.1541903,-1.326368,-2.622334,-1.353755,0.2536606,-0.06162453,-0.02960828,-0.5475507,-1.190693,0.1719166,0.06638016,-0.2538858,0.01239585,-0.963937,1.734423,1.920881,0.04995487,1.169925,0.7363681,281.8536,354.3698,350.6143
2,0.3,0.03067567,0.2561926,-0.1704071,-1.314098,-2.633305,-1.346516,0.2979276,-0.06565872,-0.05042123,-0.5458788,-1.186288,0.1645477,0.09081858,-0.2945403,0.02474362,-0.9649224,1.7292,1.922216,0.0518082,1.178182,0.7372226,281.8665,358.8594,346.0168
2,0.3111111,0.03067567,0.2561926,-0.1704071,-1.314098,-2.633305,-1.346516,0.2979276,-0.06565872,-0.05042123,-0.5458788,-1.186288,0.1645477,0.09081858,-0.2945403,0.02474362,-0.9649224,1.7292,1.922216,0.0518082,1.178182,0.7372226,281.8665,358.8594,346.0168
