loc,t,aDotS,bDotS,gDotS,aS,bS,gS,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH,aDotUB,bDotUB,gDotUB,aUB,bUB,gUB,xHand,yHand,zHand,aHand,bHand,gHand
0,0,-0.07351132,-0.170034,0.01660996,-1.317178,-2.620893,-1.386973,-0.1574621,-0.007854596,0.09866795,-0.5081279,-1.361071,0.2455317,-0.1081351,0.130977,-0.07578395,-0.9539294,1.695727,1.882656,0.06594329,1.092242,0.7151878,284.6613,313.7404,27.53256
0,0.01111111,-0.07241065,-0.1723602,0.02373707,-1.317713,-2.612257,-1.382313,-0.162809,-0.005030006,0.09477721,-0.5069807,-1.359537,0.2472324,-0.1059555,0.1373362,-0.07366807,-0.9545243,1.697895,1.882568,0.06265308,1.091411,0.7164617,284.7913,313.5586,27.39958
0,0.02222222,-0.07902145,-0.1742752,0.03552078,-1.318062,-2.604052,-1.377147,-0.1735051,-0.008538023,0.08775569,-0.5056198,-1.358338,0.2494631,-0.09953989,0.1479722,-0.07793594,-0.9548711,1.700538,1.881966,0.05919126,1.090607,0.7176532,284.8564,314.0137,26.64324
0,0.03333334,-0.082844,-0.1795853,0.05466128,-1.318408,-2.596608,-1.371769,-0.1900052,-0.006848261,0.07715556,-0.5050153,-1.357648,0.2516,-0.09198347,0.1660439,-0.07791224,-0.9548732,1.703592,1.881,0.05606205,1.08998,0.7186769,284.8603,314.8112,25.58674
0,0.04444445,-0.06822334,-0.1792017,0.05816179,-1.318405,-2.589284,-1.366155,-0.1861388,0.007439703,0.07380693,-0.5043798,-1.357404,0.2543436,-0.09293543,0.1659676,-0.06299385,-0.9546953,1.7055,1.881093,0.05326584,1.089557,0.7200258,284.9462,315.6383,24.51461
0,0.05555556,-0.04992591,-0.1807274,0.045945,-1.317413,-2.582587,-1.360205,-0.1724162,0.02292511,0.0837438,-0.5041944,-1.356636,0.2569263,-0.1056623,0.1542559,-0.04802616,-0.954348,1.707169,1.881633,0.05060207,1.089282,0.7211958,285.0441,316.6682,23.2259
0,0.06666667,-0.04278674,-0.1863996,0.03527819,-1.315664,-2.575874,-1.355821,-0.1666495,0.02989976,0.09567672,-0.5041151,-1.356092,0.2605639,-0.1184384,0.1479288,-0.04369803,-0.9543986,1.709326,1.881899,0.04858621,1.089677,0.7225684,284.9535,319.3217,20.16823
0,0.07777778,-0.05143919,-0.1954757,0.03676968,-1.313921,-2.569902,-1.351921,-0.1766605,0.02585787,0.1016424,-0.5045364,-1.355424,0.264164,-0.1237925,0.155451,-0.05214552,-0.954584,1.711872,1.88195,0.04601173,1.089816,0.7236542,284.8513,321.7833,17.38853
0,0.08888889,-0.06273118,-0.2143883,0.07370991,-1.312275,-2.565598,-1.347693,-0.2162726,0.02999502,0.08750522,-0.5054728,-1.354879,0.2676882,-0.1161322,0.196964,-0.05521953,-0.954135,1.71595,1.88061,0.04435398,1.090708,0.7249937,284.613,325.2095,13.64664
0,0.1,-0.07628816,-0.2285127,0.09607467,-1.311135,-2.562027,-1.343828,-0.2446418,0.02757181,0.08159962,-0.5060091,-1.354555,0.2712616,-0.1128531,0.2246799,-0.06365086,-0.9540269,1.72015,1.87935,0.04289423,1.091978,0.7264097,284.3839,328.7613,9.819584
0,0.1111111,-0.08462698,-0.2405042,0.106265,-1.310193,-2.561502,-1.339786,-0.2619734,0.026674,0.08339455,-0.5066494,-1.354348,0.2750555,-0.116011,0.2407168,-0.0699509,-0.9539901,1.724258,1.878342,0.04171504,1.093353,0.7278221,284.1987,332.058,6.245773
0,0.1222222,-0.08163719,-0.2520907,0.1165654,-1.309692,-2.563583,-1.334406,-0.274554,0.03567582,0.0845525,-0.5074866,-1.353106,0.2776622,-0.1212267,0.2545664,-0.0655885,-0.9536311,1.728034,1.877628,0.04132052,1.095306,0.7295024,283.9982,335.5784,2.57438
0,0.1333333,-0.0804828,-0.2534266,0.1195943,-1.3101,-2.566077,-1.327863,-0.2763508,0.03759038,0.08498531,-0.5083042,-1.351423,0.2792484,-0.1222717,0.2566983,-0.06450569,-0.9534175,1.731677,1.876906,0.04131807,1.097359,0.7312933,283.7491,338.7404,359.3552
0,0.1444445,-0.08094767,-0.255514,0.1233452,-1.31163,-2.574405,-1.320327,-0.2797706,0.03744304,0.08590963,-0.5090004,-1.348107,0.2782391,-0.1233188,0.2599041,-0.06554639,-0.9532354,1.735378,1.876045,0.04133586,1.099636,0.7328627,283.551,341.0825,356.9906
0,0.1555556,-0.0892348,-0.2407124,0.1111652,-1.312448,-2.580008,-1.314093,-0.2647623,0.02166471,0.08771873,-0.5093626,-1.345271,0.2773432,-0.1181782,0.2418107,-0.07631841,-0.9536369,1.738379,1.875471,0.04207639,1.102343,0.7348124,283.232,342.0368,356.135
0,0.1666667,-0.1026684,-0.211002,0.06459633,-1.31283,-2.586233,-1.312399,-0.2198438,-0.01010984,0.103932,-0.5076342,-1.341783,0.2756047,-0.1186471,0.1886439,-0.09783503,-0.9547533,1.739857,1.875983,0.0433009,1.105324,0.7367448,282.736,342.2013,356.0649
0,0.1777778,-0.117309,-0.1937773,0.005937688,-1.310708,-2.59187,-1.312069,-0.1755813,-0.03932935,0.1377343,-0.5066488,-1.339296,0.2750672,-0.1361936,0.1334473,-0.1224312,-0.9566165,1.74068,1.877464,0.04502771,1.108714,0.73887,282.451,342.4742,355.9417
0,0.1888889,-0.1208335,-0.1931941,-0.01853264,-1.308838,-2.599904,-1.309235,-0.15993,-0.046056,0.1567462,-0.5054626,-1.336581,0.2750387,-0.1502078,0.113327,-0.1298566,-0.9577446,1.742459,1.878386,0.04703571,1.112449,0.7407146,282.1649,343.5462,354.971
0,0.2,-0.1111048,-0.1961845,-0.03421149,-1.306111,-2.608353,-1.305732,-0.1471933,-0.03721288,0.170154,-0.5052443,-1.33415,0.2755131,-0.1640661,0.1005878,-0.1223415,-0.9586086,1.743756,1.879837,0.04906798,1.115967,0.7423825,281.8269,346.1694,352.3795
0,0.2111111,-0.1095673,-0.2010354,-0.02857454,-1.30369,-2.616964,-1.302235,-0.1525493,-0.03198925,0.1701239,-0.5055788,-1.330655,0.2748185,-0.1661563,0.1069869,-0.1190907,-0.9590842,1.746071,1.88064,0.05176222,1.120171,0.7444119,281.3822,350.3555,348.2518
0,0.2222222,-0.1032292,-0.2026968,-0.001832429,-1.299761,-2.627066,-1.299012,-0.1680173,-0.02050003,0.1519723,-0.5069109,-1.324812,0.2716555,-0.1542268,0.1281784,-0.1073781,-0.9592791,1.748798,1.880438,0.05487955,1.124421,0.7456366,281.0115,354.7364,344.1078
0,0.2333333,-0.08864602,-0.211024,0.03035374,-1.294991,-2.638192,-1.295297,-0.1887553,0.001292288,0.1329675,-0.5084811,-1.318354,0.2673494,-0.1453813,0.1568174,-0.08708124,-0.9588216,1.752014,1.879909,0.05833047,1.129285,0.7479014,280.6648,358.5425,340.5608
0,0.2444444,-0.07888821,-0.2148476,0.04523846,-1.28977,-2.649517,-1.291309,-0.1969806,0.01460215,0.1241564,-0.5095847,-1.312796,0.2640601,-0.1420317,0.1695285,-0.07427272,-0.9587294,1.754748,1.880143,0.06233362,1.134233,0.7504957,280.2346,1.849743,337.549
