ref,t,emg1,emg2,emg1raw,emg2raw,aDotS,bDotS,gDotS,aS,bS,gS,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH
90,0,477,364,501,486,-0.994655,-0.08725536,-0.4119765,-0.8619491,3.050077,-0.003706587,-0.4666932,-0.2002811,0.3498706,-0.3484283,2.569108,2.747858
90,0.01111111,524,443,509,482,-0.9570402,-0.1422627,-0.3934637,-0.8591448,3.044194,0.009752496,-0.5265175,-0.1708948,0.3629195,-0.3478568,2.555951,2.76801
90,0.02222222,524,443,509,482,-0.9119843,-0.1939193,-0.3621162,-0.8556763,3.03995,0.02149331,-0.3577426,-0.2377537,0.3460708,-0.3510211,2.541481,2.779958
90,0.03333334,524,443,509,482,-0.8680363,-0.2360808,-0.3372743,-0.8522648,3.035686,0.03286447,-0.3955222,-0.1955665,0.3226613,-0.3510329,2.533738,2.792388
90,0.04444445,524,443,509,482,-0.8166517,-0.2727708,-0.3039727,-0.8484203,3.032099,0.04306065,-0.4234548,-0.1670317,0.322722,-0.3508667,2.522877,2.808066
90,0.05555556,544,600,500,477,-0.7675155,-0.2849596,-0.2730581,-0.8454306,3.028697,0.05272739,-0.3987603,-0.1710276,0.3428211,-0.3516107,2.507701,2.825845
90,0.06666667,544,600,500,477,-0.7333244,-0.2984791,-0.2570139,-0.8419168,3.025161,0.06238242,-0.4170614,-0.1734537,0.3131317,-0.3528183,2.498432,2.839589
90,0.07777778,544,600,500,477,-0.7333244,-0.2984791,-0.2570139,-0.8419168,3.025161,0.06238242,-0.4170614,-0.1734537,0.3131317,-0.3528183,2.498432,2.839589
90,0.08888889,544,600,500,477,-0.6328597,-0.3336689,-0.205798,-0.834044,3.019062,0.07824474,-0.4068283,-0.136189,0.2958441,-0.3535091,2.479231,2.866301
90,0.1,544,600,500,477,-0.608217,-0.3439867,-0.1897644,-0.8302565,3.016592,0.08512155,-0.4038319,-0.1042071,0.3020777,-0.3529093,2.468495,2.880577
90,0.1111111,607,817,528,477,-0.5707271,-0.3571975,-0.1567308,-0.8265935,3.014709,0.09041858,-0.383842,-0.05814505,0.3155411,-0.3510249,2.459441,2.892368
90,0.1222222,607,817,528,477,-0.5376056,-0.3674636,-0.1343226,-0.8223106,3.012981,0.09672068,-0.3333417,-0.003514826,0.2893608,-0.3489551,2.454003,2.89978
90,0.1333333,607,817,528,477,-0.4959967,-0.3743057,-0.1034576,-0.8188831,3.011564,0.102202,-0.2993145,-0.002220809,0.2742013,-0.3481279,2.446909,2.908339
90,0.1444445,607,817,528,477,-0.4533284,-0.3738597,-0.07905807,-0.8147883,3.010611,0.1068412,-0.2812653,-0.02887958,0.2347852,-0.3487314,2.441757,2.915881
