loc,t,aDotS,bDotS,gDotS,aS,bS,gS,xS,yS,zS,qE,qDotE,emgA,emgB,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH,xSH,ySH,zSH,aDotUB,bDotUB,gDotUB,aUB,bUB,gUB,xUB,yUB,zUB,xHand,yHand,zHand,aHand,bHand,gHand,enable
7,0,0.7460476,-0.3888984,0.8204116,-1.434213,-4.502424,-2.663527,0.3234674,1.252023,0.5388315,-1.008653,0.0649075,19.20424,14.27041,-0.5334659,0.5932713,-0.4931836,-0.4865478,-3.403085,-0.6474914,0.3573193,1.446675,0.4681554,-0.07472318,0.5961888,0.3464588,-1.065592,0.5226763,-0.1422013,0.5259879,1.505314,0.3315318,0.04290363,1.12276,0.4215678,294.9724,266.2304,343.1623,True
7,0.01111111,0.7226647,-0.4128804,0.7524116,-1.437181,-4.49469,-2.67197,0.3222586,1.250934,0.5367365,-1.008298,0.03245505,18.64722,14.31326,-0.4638448,0.5881619,-0.4436336,-0.4929016,-3.397007,-0.6502014,0.355465,1.446139,0.4665225,-0.07165676,0.5663973,0.3325222,-1.063141,0.5294023,-0.1447945,0.5247108,1.505458,0.3307192,0.0430268,1.119287,0.4173163,295.0956,257.0164,352.5751,True
7,0.02222222,0.7142181,-0.4377128,0.7078373,-1.440124,-4.486677,-2.680679,0.3212123,1.249732,0.5346746,-1.009542,-0.1136639,18.16976,14.35612,-0.4484643,0.5690463,-0.3936781,-0.4985874,-3.390745,-0.6513975,0.3534708,1.445276,0.4650698,-0.06750625,0.5408511,0.3207184,-1.060781,0.5356641,-0.1472502,0.523474,1.505658,0.3299639,0.04359176,1.115489,0.4121241,295.5299,253.2151,356.1244,True
7,0.03333334,0.6812258,-0.4587104,0.6152986,-1.440542,-4.479901,-2.687923,0.3202715,1.248803,0.5327041,-1.00995,-0.03607022,17.85146,14.39897,-0.4456654,0.5189369,-0.3276843,-0.5018466,-3.385939,-0.6508721,0.3516697,1.444715,0.4633849,-0.07834148,0.5185088,0.3016104,-1.058979,0.5415264,-0.1488768,0.5222945,1.50584,0.3292344,0.04447076,1.114448,0.408873,295.7058,246.3405,3.48063,True
7,0.04444445,0.6235759,-0.429443,0.5629186,-1.442872,-4.474527,-2.693581,0.3194602,1.247888,0.530863,-1.010487,-0.04864557,17.53315,14.37754,-0.4504676,0.4720018,-0.2786779,-0.5051223,-3.381833,-0.6492795,0.3497372,1.44421,0.4618073,-0.1115667,0.5089458,0.2827634,-1.057287,0.5479577,-0.1495615,0.521111,1.505948,0.328536,0.04503664,1.113991,0.4071349,295.6833,244.2757,6.149991,True
7,0.05555556,0.5914725,-0.3924817,0.5317858,-1.445871,-4.469688,-2.699588,0.3186315,1.246972,0.5290098,-1.009488,0.09181836,17.24138,14.29184,-0.4501815,0.4570759,-0.2477905,-0.5094153,-3.376373,-0.6492257,0.3480718,1.443916,0.4600616,-0.115798,0.5153282,0.2860209,-1.054827,0.5552627,-0.1518068,0.5198671,1.506082,0.3278039,0.04557161,1.113549,0.4062261,295.4714,244.1033,7.057875,True
7,0.06666667,0.545529,-0.3567917,0.4804151,-1.447898,-4.465639,-2.704694,0.3177156,1.246258,0.5271039,-1.008295,0.1085657,16.97613,14.14185,-0.4351364,0.4635117,-0.2255197,-0.5139496,-3.369887,-0.6506582,0.3464434,1.443507,0.4584608,-0.1063657,0.5249443,0.2710262,-1.053345,0.5625517,-0.1545747,0.5187746,1.506233,0.3270724,0.04598846,1.113109,0.4055347,295.252,244.1891,7.566616,True
7,0.07777778,0.5144794,-0.3231408,0.4322782,-1.44986,-4.461774,-2.709864,0.3169686,1.245735,0.5253971,-1.008996,-0.06470703,16.7374,13.92758,-0.3965123,0.4657768,-0.1874375,-0.5178176,-3.362375,-0.6543011,0.3449758,1.443282,0.4569709,-0.08635038,0.5239194,0.2495185,-1.052174,0.5694024,-0.1576559,0.5176564,1.506512,0.3263919,0.04626876,1.112714,0.4047929,295.1669,244.1628,8.13838,True
7,0.08888889,0.4856204,-0.3000665,0.3937802,-1.45156,-4.458229,-2.714653,0.3161696,1.245219,0.5236681,-1.008704,0.02759865,16.5252,13.71331,-0.3546021,0.423312,-0.1600633,-0.5204296,-3.35817,-0.6555091,0.3435908,1.443084,0.4554389,-0.08110699,0.5132828,0.2409244,-1.050693,0.5758756,-0.1601601,0.5165529,1.506672,0.3256059,0.04649245,1.112348,0.4038651,295.1978,243.8297,9.036813,True
7,0.1,0.4301199,-0.2762107,0.3265363,-1.451941,-4.455468,-2.717905,0.3152692,1.245082,0.5220304,-1.009144,-0.04023485,16.20689,13.54189,-0.338349,0.3605298,-0.1591486,-0.5229452,-3.357219,-0.653189,0.3422225,1.443074,0.4539585,-0.07581758,0.4930516,0.2376443,-1.048875,0.5817579,-0.1623037,0.5155313,1.506845,0.3247612,0.04667017,1.112048,0.4027733,295.3528,243.014,10.38525,True
