loc,t,aDotS,bDotS,gDotS,aS,bS,gS,xS,yS,zS,qE,qDotE,emgA,emgB,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH,xSH,ySH,zSH,aDotUB,bDotUB,gDotUB,aUB,bUB,gUB,xUB,yUB,zUB,xHand,yHand,zHand,aHand,bHand,gHand,enable
1,0,0.2159702,-0.6950001,0.3479804,-1.368543,-4.580467,-2.721266,0.3360889,1.219339,0.5279975,-1.238387,0.08329671,10.55703,14.35612,-0.1883824,0.3611233,-0.03317574,-0.5889218,-3.770248,-0.4443612,0.3618085,1.414625,0.449055,-0.06275884,0.1312874,0.09228702,-0.9616547,0.4315824,-0.1765095,0.5031541,1.493774,0.2907448,0.04411157,1.124692,0.4231999,289.07,253.6058,358.2149,False
1,0.01111111,0.2169505,-0.6789898,0.3510411,-1.369348,-4.572299,-2.725307,0.3352919,1.219257,0.5271697,-1.238665,-0.02629042,10.58355,14.29184,-0.1987527,0.3738144,0.01165805,-0.5893421,-3.762028,-0.4487629,0.3611055,1.41462,0.4483924,-0.05551584,0.1270559,0.07090753,-0.9617116,0.4331022,-0.1769399,0.5029274,1.493877,0.2904868,0.04470978,1.123697,0.4206498,289.517,247.2085,4.233305,False
1,0.02222222,0.2094229,-0.6641121,0.3540811,-1.370156,-4.563974,-2.729208,0.3343213,1.219206,0.5261726,-1.238328,0.03112697,10.6366,14.22755,-0.2167382,0.3577639,0.02029345,-0.5904878,-3.756061,-0.4507301,0.3602919,1.414593,0.4478209,-0.07070431,0.109017,0.04439279,-0.9618161,0.4334833,-0.1760195,0.5026512,1.493793,0.2902591,0.04535501,1.122266,0.4172571,289.9398,245.7191,5.129988,False
1,0.03333334,0.1858782,-0.6449839,0.3613116,-1.371363,-4.556112,-2.732087,0.3333919,1.219139,0.5252452,-1.238041,0.02602288,10.66313,14.20613,-0.2495468,0.3256672,0.03329011,-0.5909421,-3.751282,-0.4508721,0.359623,1.414683,0.4472578,-0.07836072,0.1186622,0.02316047,-0.9623151,0.435185,-0.1758424,0.5024443,1.493861,0.2899554,0.04604304,1.120433,0.4132162,290.3657,245.5306,4.485659,False
1,0.04444445,0.1687806,-0.6354517,0.3675872,-1.37262,-4.547556,-2.73527,0.3323748,1.219025,0.5242684,-1.237834,0.01864013,10.68966,14.22755,-0.2589913,0.3021896,0.04079253,-0.5915568,-3.746348,-0.4518015,0.3590255,1.414631,0.4467082,-0.08580855,0.1293349,0.01902326,-0.9624526,0.437437,-0.1760437,0.5022284,1.493791,0.2897427,0.04673631,1.118358,0.4088107,290.8724,245.3096,3.719497,False
1,0.05555556,0.1378641,-0.6323864,0.3685678,-1.373846,-4.53924,-2.737363,0.3313739,1.218919,0.5234773,-1.236938,0.08180872,10.71618,14.14185,-0.2599056,0.2830021,0.05143343,-0.5918609,-3.741407,-0.452985,0.358534,1.414701,0.4461329,-0.09319931,0.1389292,0.02444087,-0.9622805,0.4397918,-0.1760453,0.502037,1.493749,0.2894557,0.04735344,1.116239,0.4043088,291.4165,245.0174,3.008648,False
1,0.06666667,0.08668166,-0.6210066,0.3576843,-1.374434,-4.531544,-2.738079,0.3304232,1.218765,0.5224781,-1.237111,-0.01638052,10.74271,14.09899,-0.2502076,0.2670542,0.05774055,-0.5922242,-3.736623,-0.454542,0.3580458,1.4148,0.445488,-0.09522498,0.1495587,0.03300961,-0.9619018,0.4421951,-0.1763668,0.5018967,1.493741,0.2891719,0.04788112,1.114294,0.3999619,291.9417,244.7726,2.319353,False
1,0.07777778,0.01420268,-0.6086602,0.3467406,-1.375007,-4.52404,-2.737284,0.329507,1.218638,0.5215168,-1.236253,0.07872471,10.74271,14.09899,-0.2212043,0.2224065,0.06813429,-0.5916361,-3.734228,-0.4549923,0.3576846,1.414852,0.4449568,-0.1058396,0.1367727,0.04053657,-0.9614043,0.44349,-0.1755119,0.5018013,1.493817,0.2889016,0.04812128,1.113273,0.3969019,292.4063,241.2318,5.762378,False
1,0.08888889,-0.02742761,-0.5907961,0.3411697,-1.376024,-4.51675,-2.736876,0.3285682,1.21855,0.5205314,-1.235129,0.1021979,10.74271,14.16327,-0.1921194,0.1436782,0.07103755,-0.5903829,-3.735112,-0.4530998,0.3572921,1.41492,0.4443383,-0.1026623,0.1143877,0.04365375,-0.9608973,0.4441644,-0.1748645,0.5016446,1.493834,0.2885301,0.04810787,1.112988,0.3945983,292.333,241.356,5.525056,False
1,0.1,-0.06043046,-0.5804715,0.3229145,-1.376554,-4.509285,-2.73692,0.3273731,1.218567,0.5196047,-1.233905,0.1114334,10.68966,14.33469,-0.1791843,0.08833331,0.06450399,-0.5894476,-3.736082,-0.4505696,0.3567414,1.414941,0.4437864,-0.1048183,0.09094186,0.04576039,-0.96024,0.4443906,-0.1738384,0.5014234,1.493764,0.288132,0.04804399,1.112821,0.3920521,292.0929,244.0461,2.406512,False
