loc,t,aDotS,bDotS,gDotS,aS,bS,gS,xS,yS,zS,qE,qDotE,emgA,emgB,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH,xSH,ySH,zSH,aDotUB,bDotUB,gDotUB,aUB,bUB,gUB,xUB,yUB,zUB,xHand,yHand,zHand,aHand,bHand,gHand,enable
4,0,0.1720406,0.002295062,0.7084908,4.69231,1.561712,-2.480476,0.3282026,1.245205,0.4865129,-0.8642772,0.02680027,11.32626,14.1847,-0.155325,0.06978521,0.1430654,-0.3869573,-3.731699,-0.5031087,0.3761665,1.445488,0.433764,0.05421108,0.00130783,-0.007181058,-1.025911,0.2198344,-0.06458485,0.4969579,1.495832,0.2652674,0.01434618,1.128075,0.409097,295.934,279.1897,339.9279,False
4,0.01111111,0.170878,0.04307689,0.7497214,4.683936,1.566408,-2.482181,0.3281828,1.24467,0.484884,-0.8647487,-0.04354108,11.27321,14.14185,-0.1486009,0.007997394,0.1546105,-0.3840539,-3.734131,-0.4995027,0.3761193,1.445598,0.4335399,0.04131724,-0.01569916,-0.01774606,-1.026241,0.2191618,-0.06419949,0.4967283,1.49586,0.2652223,0.01477805,1.127515,0.4058566,296.8004,283.9919,334.9204,False
4,0.02222222,0.1793701,0.07008261,0.7910325,4.674513,-4.712119,-2.484336,0.3279268,1.244017,0.4832683,-0.8646309,0.0112257,11.24668,13.99186,-0.1187236,-0.03764534,0.133018,-0.3824646,-3.738269,-0.4954984,0.3759732,1.445508,0.4333391,0.03609105,-0.01145576,-0.007036471,-1.025976,0.2191907,-0.06442294,0.496584,1.495836,0.26507,0.01543527,1.126446,0.4009024,297.3358,285.2715,333.1123,False
4,0.03333334,0.1216545,0.08539391,0.7452512,4.668654,-4.709017,-2.483575,0.3276767,1.243338,0.4822981,-0.8640738,0.05068777,11.24668,13.79901,-0.1245139,-0.001352146,0.08519319,-0.3837391,-3.735965,-0.4960034,0.3757564,1.445383,0.4330952,0.05229798,-0.001926702,0.01734006,-1.024922,0.2198237,-0.06587222,0.4964923,1.495752,0.2649689,0.01635325,1.125199,0.3946899,297.9434,285.2631,332.0446,False
4,0.04444445,0.09073608,0.07649621,0.7177002,4.662766,-4.705112,-2.483295,0.3273009,1.242693,0.4809959,-0.8644679,-0.03643839,11.24668,13.58474,-0.1966467,0.06562237,0.01122736,-0.3873941,-3.73179,-0.495128,0.3754849,1.445049,0.4328673,0.06204598,0.01294886,0.03432879,-1.024005,0.220708,-0.06729914,0.4963149,1.495647,0.2649546,0.01736747,1.123971,0.38781,298.5842,284.9083,330.9625,False
4,0.05555556,0.05347994,0.0319827,0.6350632,4.659889,-4.701788,-2.482626,0.3269767,1.243527,0.4842701,-0.8616205,0.2607033,11.24668,13.34904,-0.2247942,0.0954358,-0.03859669,-0.3901057,-3.729829,-0.4934233,0.3752845,1.444882,0.4327092,0.06413209,0.04811924,0.0258561,-1.024204,0.222626,-0.06910983,0.4962134,1.495589,0.2649422,0.01823716,1.122866,0.3808974,299.1199,284.4718,329.7803,False
4,0.06666667,0.04295958,-0.01859228,0.5811571,4.657518,-4.697232,-2.482826,0.3263918,1.243189,0.4833267,-0.8620205,-0.03870786,11.22016,13.13477,-0.1823648,0.08077468,-0.0761868,-0.3920285,-3.731575,-0.4911987,0.3749578,1.444655,0.4325974,0.0715599,0.07475851,0.02051939,-1.024297,0.224688,-0.0711831,0.4960419,1.49555,0.2649343,0.01873127,1.121989,0.3747018,299.5732,283.7839,328.834,False
4,0.07777778,0.02049022,-0.07926406,0.4688042,4.657922,-4.693384,-2.482242,0.3258966,1.243016,0.4833009,-0.8619592,0.006368392,11.16711,12.9205,-0.1546982,0.05642663,-0.09665385,-0.3932631,-3.734373,-0.4879393,0.3748384,1.444473,0.4323657,0.07681362,0.09609063,0.009862067,-1.024691,0.2269142,-0.07345824,0.4959611,1.49535,0.2648809,0.01901093,1.121578,0.3698662,300.0235,282.815,328.0409,False
4,0.08888889,0.0173786,-0.09016016,0.4411992,4.655488,-4.689992,-2.482151,0.3254253,1.242723,0.4825585,-0.8631033,-0.1045066,11.11406,12.77051,-0.1440701,0.02775183,-0.1191557,-0.3947881,-3.738849,-0.4826276,0.3745471,1.444316,0.4322276,0.07034099,0.09185842,0.001394151,-1.024955,0.2278879,-0.07447743,0.4959226,1.495306,0.2648473,0.01920129,1.121878,0.3673153,300.3731,281.7999,327.4724,False
4,0.1,0.005654315,-0.1314089,0.3520997,4.656342,-4.68699,-2.481738,0.3248983,1.242867,0.4827623,-0.8625814,0.04877182,11.03448,12.72766,-0.1525112,0.01492326,-0.114865,-0.3956094,-3.740614,-0.4788864,0.3742619,1.444242,0.4319344,0.06062035,0.07058667,-0.01134585,-1.025511,0.2278634,-0.07479008,0.4958852,1.495201,0.2647383,0.01894071,1.122633,0.3666945,300.1368,281.895,327.3625,False
