loc,t,aDotS,bDotS,gDotS,aS,bS,gS,xS,yS,zS,aDotE,bDotE,gDotE,aE,bE,gE,xE,yE,zE,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH,xSH,ySH,zSH,aDotUB,bDotUB,gDotUB,aUB,bUB,gUB,xUB,yUB,zUB,xHand,yHand,zHand,aHand,bHand,gHand
5,0,0.04116253,-0.1007986,0.01618381,-1.515169,-4.628215,-2.730121,0.4675765,1.201384,0.4674189,-0.2052908,0.04072396,-0.1169222,-1.547173,-4.495142,1.620681,0.2848256,1.101425,0.4508736,-0.05506695,-0.05518839,-0.07771847,-0.5619414,1.358524,0.3807702,0.5011345,1.429612,0.3975365,-0.03432325,0.08985344,-0.007972091,-0.9655935,0.120017,0.03860785,0.5750718,1.49861,0.205374,0.07391986,1.154341,0.3978051,283.8262,196.0069,71.33586
5,0.01111111,-0.006684538,-0.1132978,0.0008179694,-1.513825,-4.62652,-2.729932,0.4668173,1.201403,0.4675407,-0.1570199,0.05936998,-0.1267139,-1.546034,-4.493814,1.622125,0.2839594,1.101542,0.4508934,-0.09616163,0.02872904,-0.08448939,-0.5618364,1.364958,0.3778618,0.5004578,1.429576,0.3976038,-0.03961455,0.106891,-0.004673913,-0.9654635,0.1221443,0.03802621,0.5748048,1.498644,0.2055492,0.07303461,1.154716,0.3976853,283.7825,196.8792,70.2484
5,0.02222222,-0.04797547,-0.1275765,-0.01259777,-1.512935,-4.62558,-2.72993,0.466225,1.201565,0.4676538,-0.1082959,0.06992158,-0.1234007,-1.544432,-4.492243,1.623894,0.2834812,1.101792,0.4507909,-0.1434416,0.1072268,-0.07417165,-0.5608457,1.372153,0.3749757,0.4998364,1.4297,0.3977485,-0.04486662,0.1100734,0.001784318,-0.9651573,0.1237241,0.03769039,0.5745091,1.498601,0.2057397,0.07272283,1.155045,0.3975339,283.5344,197.236,69.67358
5,0.03333334,-0.06438489,-0.1302614,-0.01292289,-1.51223,-4.624305,-2.729878,0.4656874,1.201642,0.4678366,-0.08065777,0.06724805,-0.1231423,-1.54383,-4.490862,1.624782,0.2829802,1.101907,0.4506376,-0.17108,0.1484842,-0.04179529,-0.5592132,1.376398,0.3740245,0.4992603,1.429858,0.3978436,-0.05338841,0.1026163,0.00185063,-0.9651647,0.1247196,0.03800224,0.5742552,1.498632,0.2058866,0.07201468,1.15547,0.3977528,283.3989,197.3882,69.46686
5,0.04444445,-0.06272008,-0.127591,0.0007093251,-1.512037,-4.62294,-2.729801,0.4652065,1.201765,0.4677231,-0.05837109,0.05693352,-0.124794,-1.543709,-4.489463,1.625013,0.2824986,1.102063,0.4503629,-0.1730418,0.1537306,-0.02151664,-0.5580894,1.37941,0.3734702,0.4987947,1.42999,0.3979061,-0.06738192,0.0888101,-0.01188482,-0.9657336,0.1253358,0.03885552,0.5739394,1.498623,0.2060246,0.07209735,1.15592,0.3976498,283.175,196.2577,70.73003
5,0.05555556,-0.05047032,-0.1136618,0.003150918,-1.511975,-4.621603,-2.729507,0.4647785,1.201921,0.4678555,-0.05162266,0.04438141,-0.123986,-1.54347,-4.488689,1.625099,0.2821464,1.102226,0.4501886,-0.1565875,0.12498,0.006985471,-0.5570955,1.379285,0.3746247,0.4984338,1.430131,0.3980405,-0.07278457,0.07924253,-0.01931308,-0.9661943,0.1260218,0.03937244,0.5737128,1.498629,0.2061133,0.07198361,1.15625,0.3975771,283.1318,194.5294,72.74196
5,0.06666667,-0.04166274,-0.1070715,0.009889802,-1.512283,-4.621178,-2.729458,0.464503,1.202017,0.4675949,-0.03768343,0.02549086,-0.1078109,-1.543456,-4.487587,1.625144,0.2817944,1.102427,0.4502127,-0.1176333,0.07506397,0.03519727,-0.5561708,1.376734,0.3768032,0.4981525,1.430322,0.3981223,-0.07389544,0.06433911,-0.02360469,-0.9665778,0.1262726,0.04004595,0.5734375,1.498693,0.2062235,0.07196926,1.156764,0.3973216,283.4128,192.8383,74.80977
5,0.07777778,-0.04166274,-0.1070715,0.009889802,-1.512283,-4.621178,-2.729458,0.464503,1.202017,0.4675949,-0.03768343,0.02549086,-0.1078109,-1.543456,-4.487587,1.625144,0.2817944,1.102427,0.4502127,-0.1176333,0.07506397,0.03519727,-0.5561708,1.376734,0.3768032,0.4981525,1.430322,0.3981223,-0.07389544,0.06433911,-0.02360469,-0.9665778,0.1262726,0.04004595,0.5734375,1.498693,0.2062235,0.07196926,1.156764,0.3973216,283.4128,192.8383,74.80977
5,0.08888889,-0.0311564,-0.09551272,0.01801885,-1.513186,-4.620803,-2.729418,0.464323,1.202067,0.4676683,-0.02626527,0.004530214,-0.09141219,-1.543635,-4.486783,1.625108,0.2814779,1.102492,0.4500399,-0.08849509,0.03686409,0.04756172,-0.5556585,1.37473,0.3784434,0.4977962,1.430411,0.3981979,-0.07387743,0.05582272,-0.02255214,-0.9666055,0.1268472,0.04042146,0.5732023,1.498725,0.2063842,0.07201099,1.157187,0.3972496,283.8072,191.4835,76.55805
5,0.1,0.002347186,-0.03227539,0.03971079,-1.515125,-4.621528,-2.730248,0.4640282,1.202039,0.4677377,0.001686566,-0.03382275,-0.03217334,-1.545553,-4.487386,1.62434,0.2813435,1.102538,0.4501965,-0.008118778,-0.02868917,0.05293551,-0.555316,1.369159,0.381084,0.4972599,1.430489,0.398289,-0.0664573,0.05370162,-0.02582442,-0.9670758,0.1283415,0.04092373,0.5727367,1.498821,0.2066512,0.07233495,1.157748,0.3969788,284.9862,189.5994,79.24552
