ref,t,emg1,emg2,emg1raw,emg2raw,aDotS,bDotS,gDotS,aS,bS,gS,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH
90,0,397,526,501,477,-0.5219167,-0.05439684,-0.3385671,-0.7301498,3.090247,-0.03408527,-0.1679476,-0.136443,0.2838125,-0.3072761,2.543436,2.840918
90,0.01111111,397,526,501,477,-0.505626,-0.0295251,-0.3285958,-0.7304065,3.085422,-0.02532773,-0.1721996,-0.1493512,0.2721803,-0.3087589,2.532902,2.8531
90,0.02222222,397,526,501,477,-0.4873137,-0.001513541,-0.3100797,-0.7311107,3.081026,-0.01715023,-0.1356224,-0.1648839,0.297527,-0.3099584,2.518677,2.866832
90,0.03333334,356,785,497,474,-0.4675417,0.01283164,-0.302333,-0.7316588,3.076802,-0.009011605,-0.1401777,-0.1447683,0.2825272,-0.3103541,2.509743,2.876991
90,0.04444445,356,785,497,474,-0.4497586,0.02396715,-0.2989514,-0.7321957,3.071928,-0.0008277104,-0.1158474,-0.1221629,0.2864846,-0.3103035,2.498566,2.888283
90,0.05555556,356,785,497,474,-0.4464338,0.0198027,-0.300071,-0.7322276,3.06685,0.007893077,-0.1117609,-0.1029952,0.2799657,-0.3102401,2.488669,2.898359
90,0.06666667,356,785,497,474,-0.4282801,0.01809034,-0.2926044,-0.7322457,3.062111,0.01570786,-0.1138567,-0.1008483,0.2863678,-0.310515,2.476998,2.910824
90,0.07777778,334,856,494,482,-0.4068571,0.01321444,-0.2787614,-0.732308,3.058131,0.02254952,-0.1160076,-0.1019676,0.2778748,-0.3108921,2.466992,2.921355
90,0.08888889,334,856,494,482,-0.3925495,0.03383983,-0.2752662,-0.7332827,3.053736,0.02980503,-0.09373346,-0.1104025,0.2543133,-0.3118162,2.458994,2.929382
90,0.1,334,856,494,482,-0.3831242,0.03933261,-0.2677397,-0.7338282,3.049327,0.0370467,-0.08106548,-0.1082235,0.2403431,-0.3123835,2.451524,2.936847
90,0.1111111,334,856,494,482,-0.3597074,0.03872556,-0.2506514,-0.7341435,3.045765,0.04303882,-0.09494167,-0.1115734,0.2330142,-0.313103,2.443004,2.946406
90,0.1222222,334,856,494,482,-0.3466126,0.02725089,-0.2401119,-0.7342308,3.042221,0.04915343,-0.07385455,-0.07715659,0.2561039,-0.3128788,2.431388,2.957636
90,0.1333333,392,866,479,479,-0.3318031,-0.006579757,-0.2277234,-0.7333946,3.038874,0.05493888,-0.07711203,-0.06126176,0.2518217,-0.3123419,2.421678,2.967762
90,0.1444445,392,866,479,479,-0.322737,-0.02560787,-0.2194315,-0.7326766,3.035293,0.06095443,-0.0878462,-0.09569388,0.2009534,-0.3138599,2.417526,2.972825
