ref,t,emg1,emg2,emg1raw,emg2raw,aDotS,bDotS,gDotS,aS,bS,gS,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH
90,0,44,104,497,498,-0.5420027,-0.01340161,-0.3323774,-0.775309,3.075599,-0.006794257,-0.2191816,-0.06619476,0.1818715,-0.378668,2.978792,2.304407
90,0.01111111,44,104,497,498,-0.5366458,-0.02303578,-0.3271687,-0.7748728,3.07057,0.002665292,-0.2041629,-0.05980149,0.197768,-0.3771952,2.972926,2.311503
90,0.02222222,44,104,497,498,-0.5291015,-0.03058865,-0.3166483,-0.7743232,3.06586,0.01154161,-0.2009256,-0.05867413,0.2052031,-0.3755654,2.968454,2.31764
90,0.03333334,44,104,497,498,-0.5173011,-0.04455238,-0.3051403,-0.7735002,3.061378,0.02015001,-0.1923236,-0.04696161,0.209395,-0.3737075,2.963498,2.32407
90,0.04444445,44,104,497,498,-0.5044385,-0.05531799,-0.2936129,-0.7726752,3.057045,0.02856027,-0.1827595,-0.04176351,0.1901504,-0.3728436,2.960539,2.328339
90,0.05555556,44,104,497,498,-0.4958963,-0.06495042,-0.2895133,-0.7718485,3.052282,0.03731195,-0.1689296,-0.02705356,0.1623157,-0.3722375,2.95905,2.331068
90,0.06666667,44,104,497,498,-0.4873596,-0.08205058,-0.2843912,-0.7706091,3.047847,0.04567108,-0.1892126,-0.03340819,0.1528251,-0.3716527,2.955084,2.337204
90,0.07777778,44,104,497,498,-0.47459,-0.09914399,-0.2792273,-0.7695374,3.044496,0.05323339,-0.1977699,-0.04404424,0.1475745,-0.3710241,2.951118,2.342878
90,0.08888889,44,104,497,498,-0.4660415,-0.1055805,-0.2750866,-0.7684343,3.040139,0.06134858,-0.1957116,-0.0674478,0.155145,-0.3705043,2.944691,2.350929
90,0.1,44,104,497,498,-0.458561,-0.1088171,-0.2698249,-0.7675049,3.036199,0.06920277,-0.1796686,-0.06743234,0.1710744,-0.3692223,2.939029,2.357668
90,0.1111111,44,104,497,498,-0.4468248,-0.1131203,-0.2667543,-0.7663906,3.032016,0.07687321,-0.1882859,-0.07494695,0.1509039,-0.3691099,2.934861,2.3638
90,0.1222222,44,104,497,498,-0.4404038,-0.1152856,-0.2636426,-0.7652167,3.027551,0.08474179,-0.1904222,-0.06226836,0.127432,-0.3686907,2.932307,2.368202
90,0.1333333,44,104,497,498,-0.4393378,-0.1216832,-0.2626356,-0.7640311,3.023245,0.09267054,-0.1625767,-0.02512529,0.1164983,-0.3671737,2.932639,2.368651
90,0.1444445,44,104,497,498,-0.4372534,-0.1397971,-0.2616671,-0.7624582,3.019709,0.1002249,-0.1722122,-0.01456402,0.08878203,-0.3669431,2.932486,2.37098
90,0.1555556,44,104,497,498,-0.4287174,-0.1558294,-0.2576285,-0.7604715,3.014997,0.1081318,-0.1806205,0.006819591,0.09295362,-0.3655908,2.932153,2.373504
90,0.1666667,44,104,497,498,-0.4201251,-0.1569757,-0.2491873,-0.7589876,3.011021,0.1154379,-0.1762632,0.01329274,0.1142144,-0.3640834,2.928995,2.378429
90,0.1777778,44,104,497,498,-0.4040215,-0.1517617,-0.2364992,-0.7579271,3.007508,0.1219286,-0.1539555,-0.009149536,0.1238118,-0.3638262,2.924366,2.383653
90,0.1888889,44,104,497,498,-0.3868139,-0.1359368,-0.2205404,-0.7570808,3.004379,0.128056,-0.164649,-0.02187008,0.1281724,-0.3632999,2.920041,2.389855
